Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,8.40,8.41,7.93,8.03,1651200,8.03
2017-02-03,8.50,8.50,8.37,8.45,418800,8.45
2017-02-02,8.39,8.49,8.33,8.44,233900,8.44
2017-02-01,8.49,8.49,8.30,8.37,374400,8.37
2017-01-31,8.44,8.50,8.32,8.39,585900,8.39
2017-01-30,8.51,8.52,8.27,8.49,651800,8.49
2017-01-27,8.75,8.75,8.41,8.56,730400,8.56
2017-01-26,8.76,8.80,8.55,8.61,598700,8.61
2017-01-25,8.59,8.69,8.53,8.69,336900,8.69
2017-01-24,8.38,8.65,8.28,8.61,968000,8.61
2017-01-23,8.50,8.53,8.22,8.33,454300,8.33
2017-01-20,8.61,8.73,8.51,8.52,506900,8.52
2017-01-19,8.38,8.63,8.38,8.50,641000,8.50
2017-01-18,8.45,8.48,8.23,8.24,566300,8.24
2017-01-17,8.59,8.62,8.48,8.52,396900,8.52
2017-01-16,8.66,8.66,8.49,8.52,100700,8.52
2017-01-13,8.47,8.64,8.47,8.63,311000,8.63
2017-01-12,8.64,8.69,8.48,8.52,667600,8.52
2017-01-11,8.44,8.65,8.39,8.51,1201100,8.51
2017-01-10,8.47,8.57,8.36,8.38,253600,8.38
2017-01-09,8.65,8.66,8.39,8.41,487500,8.41
2017-01-06,8.83,8.89,8.68,8.68,436700,8.68
2017-01-05,8.80,8.90,8.79,8.80,711600,8.80
2017-01-04,8.78,8.88,8.68,8.79,1058900,8.79
2017-01-03,9.25,9.31,8.64,8.74,1103200,8.74
2016-12-30,9.11,9.20,9.06,9.12,191800,9.12
2016-12-29,9.14,9.18,9.07,9.13,235500,9.13
2016-12-28,9.09,9.27,9.09,9.14,498900,9.14
2016-12-23,9.11,9.21,9.02,9.10,229700,9.10
2016-12-22,9.13,9.24,9.07,9.10,282900,9.10
2016-12-21,8.99,9.37,8.99,9.10,687000,9.10
2016-12-20,9.04,9.06,8.92,8.95,763000,8.95
2016-12-19,9.07,9.20,9.00,9.01,324700,9.01
2016-12-16,9.19,9.21,9.04,9.10,254400,9.10
2016-12-15,9.07,9.34,9.03,9.16,453900,9.16
2016-12-14,9.30,9.46,9.11,9.12,389500,9.12
2016-12-13,9.37,9.44,9.28,9.37,1166000,9.37
2016-12-12,9.89,9.90,9.23,9.29,674300,9.29
2016-12-09,9.44,9.70,9.42,9.61,581400,9.61
2016-12-08,9.56,9.60,9.27,9.37,674200,9.37
2016-12-07,9.71,9.81,9.47,9.52,343000,9.52
2016-12-06,9.65,9.87,9.65,9.75,442400,9.75
2016-12-05,9.62,9.86,9.61,9.73,386000,9.73
2016-12-02,9.67,9.76,9.54,9.58,307300,9.58
2016-12-01,9.94,10.04,9.58,9.65,696200,9.65
2016-11-30,9.96,10.10,9.57,9.74,1568100,9.74
2016-11-29,9.10,9.27,9.02,9.12,885800,9.12
2016-11-28,9.36,9.36,9.18,9.22,433100,9.22
2016-11-25,9.42,9.49,9.20,9.22,243000,9.22
2016-11-24,9.50,9.52,9.44,9.49,117900,9.49
2016-11-23,9.42,9.66,9.41,9.52,615600,9.52
2016-11-22,9.35,9.47,9.26,9.46,345500,9.46
2016-11-21,9.34,9.45,9.26,9.35,451100,9.35
2016-11-18,9.15,9.19,9.06,9.15,425300,9.15
2016-11-17,9.26,9.31,9.06,9.08,344700,9.08
2016-11-16,9.10,9.19,9.02,9.19,425000,9.19
2016-11-15,9.18,9.28,9.10,9.14,822800,9.14
2016-11-14,8.78,9.13,8.78,9.07,382200,9.07
2016-11-11,8.92,8.95,8.72,8.84,387800,8.84
2016-11-10,8.90,9.07,8.87,8.99,582400,8.99
2016-11-09,8.64,8.99,8.64,8.96,508400,8.96
2016-11-08,8.78,8.93,8.73,8.75,494600,8.75
2016-11-07,8.70,8.89,8.67,8.84,562000,8.84
2016-11-04,8.71,8.85,8.61,8.65,584600,8.65
2016-11-03,8.72,8.83,8.57,8.75,1116300,8.75
2016-11-02,9.06,9.15,8.71,8.77,488800,8.77
2016-11-01,9.07,9.22,9.02,9.18,757100,9.18
2016-10-31,9.03,9.15,8.94,9.05,708900,9.05
2016-10-28,9.37,9.39,8.98,9.05,959600,9.05
2016-10-27,9.45,9.62,9.39,9.39,415200,9.39
2016-10-26,9.54,9.69,9.37,9.45,487900,9.45
2016-10-25,9.75,9.84,9.62,9.63,910800,9.63
2016-10-24,9.95,10.12,9.65,9.80,1152000,9.80
2016-10-21,10.00,10.07,9.90,9.98,491800,9.98
2016-10-20,10.03,10.20,9.89,10.01,890800,10.01
2016-10-19,10.14,10.29,10.03,10.07,1737000,10.07
2016-10-18,10.22,10.26,10.02,10.04,759000,10.04
2016-10-17,10.25,10.33,10.06,10.11,631500,10.11
2016-10-14,9.99,10.29,9.94,10.18,1887000,10.18
2016-10-13,9.61,10.01,9.61,9.83,1993600,9.83
2016-10-12,9.69,9.73,9.60,9.61,520800,9.61
2016-10-11,9.66,9.83,9.58,9.73,1155600,9.73
2016-10-07,9.81,9.82,9.46,9.59,575400,9.59
2016-10-06,9.60,9.86,9.43,9.83,727900,9.83
2016-10-05,9.26,9.62,9.26,9.57,563100,9.57
2016-10-04,9.45,9.53,9.18,9.19,515800,9.19
2016-10-03,9.27,9.53,9.16,9.49,347700,9.49
2016-09-30,9.14,9.27,9.12,9.20,397600,9.20
2016-09-29,9.19,9.30,9.10,9.13,538500,9.13
2016-09-28,8.89,9.23,8.82,9.15,554900,9.15
2016-09-27,8.82,8.87,8.75,8.82,177200,8.82
2016-09-26,8.90,9.04,8.90,8.91,178100,8.91
2016-09-23,8.99,9.04,8.79,8.86,247200,8.86
2016-09-22,9.25,9.27,8.97,9.03,596300,9.03
2016-09-21,8.98,9.18,8.94,9.15,581600,9.15
2016-09-20,8.61,8.86,8.59,8.83,522500,8.83
2016-09-19,8.76,8.76,8.58,8.64,487100,8.64
2016-09-16,8.76,8.84,8.65,8.67,811200,8.67
2016-09-15,8.79,9.00,8.72,8.88,596700,8.88
2016-09-14,8.75,8.95,8.65,8.75,1090800,8.75
2016-09-13,9.00,9.00,8.77,8.78,526900,8.78
2016-09-12,8.93,9.11,8.90,9.04,430100,9.04
2016-09-09,9.32,9.37,8.97,9.05,475900,9.05
2016-09-08,9.19,9.57,9.12,9.46,568800,9.46
2016-09-07,9.16,9.19,9.06,9.09,296600,9.09
2016-09-06,9.03,9.16,9.00,9.14,320300,9.14
2016-09-02,9.02,9.10,8.94,9.04,252700,9.04
2016-09-01,8.88,9.03,8.86,8.97,528300,8.97
2016-08-31,8.95,9.03,8.79,8.95,720100,8.95
2016-08-30,9.18,9.26,8.97,9.00,202400,9.00
2016-08-29,9.11,9.22,9.02,9.17,196200,9.17
2016-08-26,9.14,9.27,9.10,9.20,281200,9.20
2016-08-25,9.02,9.17,8.93,9.14,261300,9.14
2016-08-24,9.17,9.24,9.04,9.05,301600,9.05
2016-08-23,9.10,9.28,9.07,9.24,281100,9.24
2016-08-22,9.26,9.29,9.11,9.14,448300,9.14
2016-08-19,9.43,9.46,9.27,9.31,463300,9.31
2016-08-18,9.25,9.50,9.25,9.47,1236700,9.47
2016-08-17,9.26,9.30,9.07,9.12,481600,9.12
2016-08-16,9.04,9.36,8.99,9.30,752000,9.30
2016-08-15,8.98,9.05,8.88,9.04,389000,9.04
2016-08-12,8.83,8.95,8.78,8.90,323700,8.90
2016-08-11,8.73,8.91,8.70,8.78,230500,8.78
2016-08-10,8.82,8.91,8.65,8.71,454100,8.71
2016-08-09,8.81,9.01,8.79,8.83,617200,8.83
2016-08-08,8.86,9.00,8.84,8.85,1157800,8.85
2016-08-05,8.60,8.98,8.58,8.78,1187400,8.78
2016-08-04,8.35,8.47,8.28,8.38,500400,8.38
2016-08-03,8.20,8.35,8.12,8.34,522200,8.34
2016-08-02,8.02,8.20,8.01,8.17,523200,8.17
2016-07-29,8.21,8.29,8.13,8.26,573700,8.26
2016-07-28,8.29,8.34,8.19,8.23,706700,8.23
2016-07-27,8.40,8.54,8.17,8.32,511100,8.32
2016-07-26,8.18,8.45,8.11,8.41,612100,8.41
2016-07-25,8.53,8.58,8.22,8.22,1047600,8.22
2016-07-22,8.50,8.66,8.44,8.63,971300,8.63
2016-07-21,8.43,8.60,8.29,8.42,837400,8.42
2016-07-20,8.12,8.50,8.11,8.47,1435100,8.47
2016-07-19,8.40,8.46,8.12,8.21,953200,8.21
2016-07-18,8.21,8.41,8.15,8.40,963200,8.40
2016-07-15,7.94,8.22,7.89,8.15,1404000,8.15
2016-07-14,7.57,7.90,7.57,7.87,1819800,7.87
2016-07-13,7.63,7.76,7.45,7.54,876600,7.54
2016-07-12,7.58,7.69,7.49,7.63,760100,7.63
2016-07-11,7.61,7.66,7.49,7.52,303000,7.52
2016-07-08,7.65,7.72,7.57,7.57,466100,7.57
2016-07-07,7.68,7.78,7.48,7.54,1400600,7.54
2016-07-06,7.05,7.46,7.03,7.39,2262500,7.39
2016-07-05,7.02,7.10,6.96,7.08,362700,7.08
2016-07-04,7.14,7.24,7.07,7.19,333200,7.19
2016-06-30,7.36,7.38,7.19,7.22,350300,7.22
2016-06-29,7.10,7.40,7.07,7.37,1116700,7.37
2016-06-28,7.07,7.16,7.01,7.06,370300,7.06
2016-06-27,6.90,7.10,6.88,6.98,833700,6.98
2016-06-24,6.80,7.04,6.80,6.96,672600,6.96
2016-06-23,7.14,7.15,7.03,7.06,1144400,7.06
2016-06-22,7.24,7.26,6.99,7.06,862700,7.06
2016-06-21,7.25,7.31,7.17,7.20,700900,7.20
