Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,24.690001,25.52,24.610001,25.51,3899600,25.51
2017-02-09,25.74,25.74,25.01,25.18,3107800,25.18
2017-02-08,25.66,25.84,25.469999,25.75,3227100,25.75
2017-02-07,25.299999,25.65,25.030001,25.450001,3216000,25.450001
2017-02-06,25.00,25.41,24.85,25.40,3177000,25.40
2017-02-03,24.610001,24.93,24.459999,24.67,2653400,24.67
2017-02-02,24.65,24.709999,24.219999,24.68,4153700,24.68
2017-02-01,23.74,24.16,23.620001,24.110001,4025500,24.110001
2017-01-31,24.00,24.16,23.809999,23.98,5347800,23.98
2017-01-30,23.52,23.959999,23.41,23.620001,3864900,23.620001
2017-01-27,23.40,23.73,23.209999,23.379999,3135500,23.379999
2017-01-26,23.030001,23.639999,22.940001,23.40,3700800,23.40
2017-01-25,23.360001,23.709999,23.15,23.60,3887100,23.60
2017-01-24,23.549999,24.129999,23.43,23.84,4927300,23.84
2017-01-23,23.09,23.65,22.92,23.639999,3535700,23.639999
2017-01-20,22.60,23.059999,22.59,22.82,5315000,22.82
2017-01-19,22.129999,22.68,22.00,22.559999,3816300,22.559999
2017-01-18,22.49,22.799999,22.129999,22.299999,4306300,22.299999
2017-01-17,22.950001,23.10,22.440001,22.52,4460100,22.52
2017-01-16,22.40,22.50,22.290001,22.50,1136900,22.50
2017-01-13,22.08,22.219999,21.65,22.17,3347900,22.17
2017-01-12,22.309999,22.67,21.940001,22.16,5459100,22.16
2017-01-11,22.120001,22.219999,21.389999,21.98,5755700,21.98
2017-01-10,22.51,22.73,21.889999,22.219999,3737100,22.219999
2017-01-09,22.90,22.92,22.309999,22.42,4202000,22.42
2017-01-06,22.51,22.92,22.08,22.370001,4396700,22.370001
2017-01-05,22.280001,23.129999,22.280001,23.02,6506300,23.02
2017-01-04,22.07,22.15,21.549999,21.809999,4775600,21.809999
2017-01-03,21.559999,22.07,21.309999,22.040001,4358300,22.040001
2016-12-30,22.07,22.620001,21.43,21.49,4035800,21.49
2016-12-29,21.02,22.190001,21.02,22.120001,4471600,22.120001
2016-12-28,20.049999,20.74,19.870001,20.709999,3322700,20.709999
