Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,13.49,13.63,13.42,13.59,503000,13.59
2017-02-09,13.34,13.51,13.31,13.43,754200,13.43
2017-02-08,13.38,13.38,13.13,13.31,657100,13.31
2017-02-07,13.52,13.59,13.29,13.38,1466900,13.38
2017-02-06,13.61,13.69,13.48,13.50,792700,13.50
2017-02-03,13.63,13.72,13.58,13.65,901100,13.65
2017-02-02,13.41,13.69,13.41,13.57,803900,13.57
2017-02-01,13.49,13.60,13.36,13.52,904300,13.52
2017-01-31,13.52,13.54,13.26,13.37,1584600,13.37
2017-01-30,13.77,13.77,13.40,13.53,852200,13.53
2017-01-27,13.97,14.01,13.78,13.82,571600,13.82
2017-01-26,13.98,14.11,13.80,13.96,1644900,13.96
2017-01-25,13.87,14.06,13.76,13.95,1062100,13.95
2017-01-24,13.50,13.89,13.49,13.72,1037400,13.72
2017-01-23,13.67,13.67,13.44,13.50,1061900,13.50
2017-01-20,13.62,13.84,13.56,13.57,1204600,13.57
2017-01-19,13.45,13.74,13.45,13.64,829900,13.64
2017-01-18,13.59,13.70,13.37,13.52,1611500,13.52
2017-01-17,13.74,13.91,13.55,13.56,1053800,13.56
2017-01-16,13.79,13.92,13.63,13.81,659400,13.81
2017-01-13,14.00,14.05,13.79,13.83,966500,13.83
2017-01-12,14.23,14.23,13.88,14.00,837400,14.00
2017-01-11,13.67,14.24,13.65,14.23,1562700,14.23
2017-01-10,13.47,13.70,13.46,13.59,789600,13.59
2017-01-09,13.74,13.74,13.45,13.50,617000,13.50
2017-01-06,13.80,13.80,13.56,13.56,1190600,13.56
2017-01-05,13.72,13.81,13.70,13.74,726200,13.74
2017-01-04,13.65,13.84,13.63,13.72,1328000,13.72
2017-01-03,13.74,13.94,13.69,13.83,637800,13.83
2016-12-30,13.75,13.81,13.62,13.67,657800,13.67
2016-12-29,13.98,13.98,13.65,13.74,888100,13.74
2016-12-28,13.95,14.10,13.95,13.99,514300,13.99
2016-12-23,14.06,14.11,13.92,13.97,627100,13.97
2016-12-22,14.13,14.22,14.01,14.11,1072900,14.11
2016-12-21,14.21,14.38,14.21,14.22,410800,14.22
2016-12-20,14.16,14.28,14.00,14.21,602600,14.21
2016-12-19,14.22,14.37,14.01,14.08,716300,14.08
2016-12-16,14.24,14.44,14.02,14.22,1288200,14.22
2016-12-15,13.99,14.49,13.99,14.27,1860700,14.27
2016-12-14,14.35,14.44,13.92,13.93,1074300,13.93
2016-12-13,14.45,14.61,14.32,14.35,831000,14.35
2016-12-12,14.68,14.74,14.31,14.50,878500,14.50
2016-12-09,14.78,14.78,14.47,14.75,818300,14.75
2016-12-08,14.30,14.85,14.30,14.72,1508700,14.72
2016-12-07,14.24,14.27,14.15,14.27,733700,14.27
2016-12-06,14.22,14.27,14.09,14.20,555400,14.20
2016-12-05,14.15,14.35,14.08,14.22,715600,14.22
2016-12-02,13.95,14.24,13.90,14.01,714000,14.01
2016-12-01,13.61,14.28,13.61,13.99,2123200,13.99
2016-11-30,13.80,13.96,13.41,13.50,1648800,13.50
2016-11-29,14.00,14.06,13.68,13.86,1296300,13.86
2016-11-28,14.13,14.20,13.95,14.01,1108300,14.01
2016-11-25,14.25,14.33,14.19,14.19,587700,14.19
2016-11-24,14.21,14.29,14.17,14.19,430000,14.19
2016-11-23,14.30,14.44,14.22,14.28,1058900,14.28
2016-11-22,13.89,14.41,13.87,14.27,1930500,14.27
2016-11-21,14.00,14.00,13.76,13.85,1330500,13.85
2016-11-18,13.76,14.05,13.63,14.00,2541200,14.00
2016-11-17,13.13,13.75,12.90,13.74,1983400,13.74
2016-11-16,13.30,13.30,13.08,13.18,1003200,13.18
2016-11-15,12.88,13.28,12.81,13.26,3453800,13.26
2016-11-14,12.95,13.04,12.62,12.66,1436100,12.66
2016-11-11,12.81,13.11,12.80,12.94,1266700,12.94
2016-11-10,12.93,13.08,12.91,13.00,2279600,13.00
2016-11-09,12.47,12.98,12.47,12.88,1884800,12.88
2016-11-08,12.92,13.03,12.73,12.80,2210700,12.80
2016-11-07,12.75,12.93,12.39,12.83,3218400,12.83
2016-11-04,11.71,12.07,11.60,11.94,1463000,11.94
2016-11-03,12.18,12.18,11.61,11.80,2341300,11.80
2016-11-02,12.60,12.65,12.12,12.19,1903700,12.19
2016-11-01,12.73,12.87,12.56,12.67,1105600,12.67
2016-10-31,12.70,12.73,12.47,12.65,891700,12.65
2016-10-28,12.47,12.76,12.46,12.70,1255300,12.70
2016-10-27,12.66,12.79,12.45,12.47,1213400,12.47
2016-10-26,12.75,12.75,12.51,12.70,1608000,12.70
2016-10-25,13.04,13.10,12.78,12.86,1668300,12.86
2016-10-24,12.99,13.06,12.92,13.01,647800,13.01
2016-10-21,12.84,13.04,12.71,12.97,1462000,12.97
2016-10-20,12.75,12.95,12.67,12.90,1460600,12.90
2016-10-19,13.08,13.14,12.76,12.80,2360000,12.80
2016-10-18,13.09,13.15,13.01,13.05,1383900,13.05
2016-10-17,13.08,13.14,12.95,12.99,1623500,12.99
2016-10-14,12.74,13.08,12.71,12.99,2364000,12.99
2016-10-13,12.49,12.70,12.36,12.61,1511400,12.61
2016-10-12,12.38,12.65,12.29,12.51,1934400,12.51
2016-10-11,12.26,12.49,12.23,12.39,1488800,12.39
2016-10-07,12.64,12.70,12.15,12.31,2280300,12.31
2016-10-06,12.18,12.59,12.10,12.53,4795800,12.53
2016-10-05,11.39,11.93,11.31,11.88,2574100,11.88
2016-10-04,11.38,11.77,11.10,11.32,2765800,11.32
2016-10-03,10.65,11.28,10.65,11.28,4487500,11.28
2016-09-30,10.15,10.65,10.13,10.60,2622000,10.60
2016-09-29,10.02,10.25,10.02,10.16,2058200,10.16
2016-09-28,9.81,10.13,9.81,10.02,2474200,10.02
2016-09-27,9.40,9.81,9.40,9.81,2988300,9.81
2016-09-26,9.65,9.76,9.34,9.35,2463700,9.35
2016-09-23,9.80,9.80,9.58,9.65,1283500,9.65
2016-09-22,9.49,9.82,9.49,9.82,2917700,9.82
2016-09-21,9.46,9.48,9.28,9.41,942200,9.41
2016-09-20,9.43,9.52,9.41,9.48,1205200,9.48
2016-09-19,9.30,9.46,9.18,9.41,1485900,9.41
2016-09-16,9.23,9.27,9.13,9.23,693500,9.23
2016-09-15,9.09,9.25,9.08,9.20,790700,9.20
2016-09-14,8.95,9.11,8.94,9.07,1418700,9.07
2016-09-13,9.00,9.05,8.92,8.97,631600,8.97
2016-09-12,8.99,9.08,8.94,9.05,821400,9.05
2016-09-09,9.15,9.20,8.97,9.07,1560400,9.07
2016-09-08,9.53,9.55,9.11,9.20,2359200,9.20
2016-09-07,9.20,9.57,9.20,9.49,2500700,9.49
2016-09-06,9.10,9.23,9.03,9.16,1335600,9.16
2016-09-02,8.91,9.11,8.91,9.11,1252800,9.11
2016-09-01,8.95,8.99,8.84,8.93,758500,8.93
2016-08-31,8.91,9.00,8.88,8.96,912900,8.96
2016-08-30,8.83,8.99,8.83,8.93,561400,8.93
2016-08-29,8.89,8.92,8.82,8.83,610100,8.83
2016-08-26,8.89,8.98,8.86,8.90,340800,8.90
2016-08-25,8.92,8.94,8.86,8.88,519300,8.88
2016-08-24,8.97,9.01,8.92,8.95,714300,8.95
2016-08-23,9.03,9.08,8.96,8.98,721700,8.98
2016-08-22,9.01,9.03,8.93,9.01,855300,9.01
2016-08-19,8.95,9.06,8.89,9.01,733200,9.01
2016-08-18,9.01,9.02,8.91,8.94,457300,8.94
2016-08-17,8.95,9.02,8.84,8.99,579200,8.99
2016-08-16,8.98,9.06,8.93,8.94,962700,8.94
2016-08-15,9.02,9.04,8.97,9.01,732900,9.01
2016-08-12,9.10,9.13,8.94,8.96,913700,8.96
2016-08-11,9.15,9.15,8.94,9.09,1869000,9.09
2016-08-10,9.06,9.14,9.04,9.10,701700,9.10
2016-08-09,9.08,9.14,9.03,9.07,775200,9.07
2016-08-08,9.14,9.21,8.97,9.04,864500,9.04
2016-08-05,8.88,9.10,8.82,9.06,1339000,9.06
2016-08-04,8.85,8.93,8.76,8.87,729600,8.87
2016-08-03,8.85,8.93,8.66,8.84,1161200,8.84
2016-08-02,8.85,8.99,8.75,8.84,1440700,8.84
2016-07-29,9.64,9.69,8.74,8.99,3496000,8.99
2016-07-28,9.29,9.45,9.21,9.44,845500,9.44
2016-07-27,9.45,9.55,9.26,9.27,799300,9.27
2016-07-26,9.40,9.46,9.31,9.42,766200,9.42
2016-07-25,9.54,9.57,9.42,9.45,545600,9.45
2016-07-22,9.38,9.58,9.38,9.51,738300,9.51
2016-07-21,9.37,9.41,9.08,9.39,1351400,9.39
2016-07-20,9.54,9.56,9.38,9.40,1291200,9.40
2016-07-19,9.59,9.63,9.47,9.53,764800,9.53
2016-07-18,9.50,9.64,9.47,9.60,732500,9.60
2016-07-15,9.57,9.58,9.45,9.48,968700,9.48
2016-07-14,9.59,9.70,9.54,9.61,945000,9.61
2016-07-13,9.49,9.56,9.32,9.52,1333800,9.52
2016-07-12,9.19,9.48,9.16,9.47,1384000,9.47
2016-07-11,8.99,9.19,8.99,9.13,921400,9.13
2016-07-08,8.75,8.96,8.71,8.90,1020400,8.90
2016-07-07,8.71,8.80,8.61,8.65,705500,8.65
2016-07-06,8.79,8.79,8.56,8.66,1004900,8.66
2016-07-05,9.01,9.02,8.76,8.84,828100,8.84
2016-07-04,9.08,9.08,8.95,9.07,579400,9.07
2016-06-30,8.68,8.91,8.65,8.89,1207900,8.89
2016-06-29,8.54,8.76,8.51,8.74,1607800,8.74
2016-06-28,8.61,8.62,8.40,8.42,1889800,8.42
2016-06-27,8.95,8.98,8.17,8.30,2969700,8.30
2016-06-24,8.90,9.23,8.90,8.99,1796100,8.99
2016-06-23,9.50,9.55,9.31,9.41,849600,9.41
2016-06-22,9.48,9.61,9.42,9.45,838200,9.45
2016-06-21,9.50,9.60,9.41,9.46,902000,9.46
2016-06-20,9.43,9.56,9.36,9.44,1120000,9.44
2016-06-17,9.21,9.44,9.20,9.24,1637300,9.24
2016-06-16,9.44,9.51,9.15,9.15,1370000,9.15
2016-06-15,9.33,9.77,9.33,9.54,1516500,9.54
2016-06-14,9.65,9.75,9.18,9.36,2177500,9.36
2016-06-13,9.75,9.88,9.63,9.67,1423000,9.67
2016-06-10,10.16,10.16,9.81,9.84,1258800,9.84
2016-06-09,10.18,10.26,10.07,10.17,1050900,10.17
2016-06-08,10.33,10.49,10.06,10.10,1443600,10.10
2016-06-07,9.84,10.30,9.75,10.27,1788200,10.27
2016-06-06,9.63,9.84,9.63,9.81,1260600,9.81
2016-06-03,9.73,9.73,9.52,9.61,1154200,9.61
2016-06-02,9.63,9.75,9.61,9.73,809800,9.73
2016-06-01,9.60,9.71,9.51,9.68,1031900,9.68
2016-05-31,9.77,9.80,9.63,9.63,1151800,9.63
2016-05-30,9.72,9.84,9.68,9.79,379300,9.79
2016-05-27,9.66,9.74,9.60,9.71,721200,9.71
2016-05-26,9.70,9.78,9.60,9.70,1098000,9.70
2016-05-25,9.59,9.68,9.56,9.65,863900,9.65
2016-05-24,9.55,9.59,9.47,9.58,961100,9.58
2016-05-20,9.38,9.59,9.38,9.50,1208500,9.50
2016-05-19,9.30,9.42,9.20,9.33,1132200,9.33
2016-05-18,9.38,9.58,9.32,9.32,1381100,9.32
2016-05-17,9.61,9.61,9.43,9.43,1156900,9.43
2016-05-16,9.45,9.62,9.42,9.48,1191000,9.48
2016-05-13,9.39,9.52,9.33,9.39,1237200,9.39
2016-05-12,9.78,9.78,9.36,9.38,1644100,9.38
2016-05-11,9.60,9.79,9.56,9.68,1407600,9.68
2016-05-10,9.67,9.73,9.52,9.56,1627900,9.56
2016-05-09,9.71,9.75,9.40,9.57,1449600,9.57
2016-05-06,9.47,9.83,9.47,9.71,1625500,9.71
2016-05-05,9.66,9.68,9.38,9.52,1486500,9.52
2016-05-04,9.50,9.84,9.50,9.60,2310900,9.60
2016-05-03,9.80,9.80,9.20,9.60,2759600,9.60
2016-05-02,9.45,9.89,9.43,9.75,3275200,9.75
2016-04-29,9.40,9.75,9.06,9.33,6877000,9.33
2016-04-28,8.35,8.42,8.27,8.28,951300,8.28
2016-04-27,8.44,8.44,8.30,8.37,1153600,8.37
2016-04-26,8.36,8.47,8.28,8.39,1109100,8.39
2016-04-25,8.42,8.46,8.26,8.32,632000,8.32
