Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,22.93,22.93,22.549999,22.690001,60700,22.690001
2017-02-06,23.110001,23.23,22.690001,22.879999,86500,22.879999
2017-02-03,23.01,23.15,22.780001,23.01,95300,23.01
2017-02-02,22.59,22.969999,22.360001,22.91,107900,22.91
2017-02-01,21.99,22.65,21.959999,22.610001,86400,22.610001
2017-01-31,22.16,22.299999,21.60,21.969999,292300,21.969999
2017-01-30,22.629999,22.65,21.92,22.190001,114600,22.190001
2017-01-27,22.959999,23.08,22.26,22.629999,101800,22.629999
2017-01-26,23.200001,23.25,22.90,23.040001,88600,22.905001
2017-01-25,23.40,23.40,23.17,23.200001,98400,23.064063
2017-01-24,22.709999,23.17,22.66,22.99,77300,22.855293
2017-01-23,22.50,22.76,22.379999,22.709999,69100,22.576933
2017-01-20,22.709999,22.719999,22.42,22.52,118300,22.388047
2017-01-19,22.92,22.93,22.50,22.60,94200,22.467579
2017-01-18,22.34,22.620001,22.25,22.60,76000,22.467579
2017-01-17,22.26,22.40,22.209999,22.34,89700,22.209102
2017-01-16,22.559999,22.620001,22.030001,22.26,125900,22.129571
2017-01-13,23.23,23.23,22.450001,22.629999,332900,22.497402
2017-01-12,23.92,23.92,23.24,23.469999,197300,23.33248
2017-01-11,23.790001,24.049999,23.73,23.99,77000,23.849433
2017-01-10,23.77,23.780001,23.459999,23.780001,66700,23.640665
2017-01-09,23.889999,23.93,23.620001,23.74,66700,23.600898
2017-01-06,24.190001,24.190001,23.67,23.870001,91100,23.730138
2017-01-05,24.07,24.190001,23.940001,24.110001,116200,23.968731
2017-01-04,23.709999,24.129999,23.709999,24.08,119600,23.938906
2017-01-03,23.98,24.23,23.41,23.65,132800,23.511425
2016-12-30,24.00,24.00,23.92,23.950001,41500,23.809669
2016-12-29,24.00,24.09,23.91,24.00,43400,23.859375
2016-12-28,23.780001,24.07,23.75,23.92,62200,23.779844
2016-12-23,23.790001,23.85,23.60,23.68,75000,23.407041
2016-12-22,23.700001,23.83,23.60,23.700001,100500,23.426811
2016-12-21,23.700001,23.790001,23.58,23.58,63300,23.308193
2016-12-20,23.84,23.85,23.58,23.700001,112100,23.426811
2016-12-19,23.709999,23.889999,23.52,23.709999,67400,23.436694
2016-12-16,23.68,24.08,23.68,23.700001,106100,23.426811
2016-12-15,23.309999,23.76,23.200001,23.74,125600,23.466349
2016-12-14,23.40,23.59,23.35,23.370001,94500,23.100615
2016-12-13,23.389999,23.73,23.389999,23.49,112000,23.219231
2016-12-12,23.59,23.709999,23.42,23.51,223300,23.239
2016-12-09,24.030001,24.040001,23.610001,23.74,82100,23.466349
2016-12-08,24.24,24.280001,23.540001,23.92,293500,23.644274
2016-12-07,23.24,24.389999,23.17,24.23,360500,23.9507
2016-12-06,23.17,23.25,22.959999,23.219999,127600,22.952342
2016-12-05,22.879999,23.040001,22.74,23.00,74100,22.734879
2016-12-02,22.940001,22.940001,22.58,22.799999,97800,22.537184
2016-12-01,22.59,22.90,22.379999,22.82,212300,22.556954
2016-11-30,22.15,22.59,22.00,22.450001,218800,22.19122
2016-11-29,21.66,22.15,21.41,22.139999,199900,21.884792
2016-11-28,20.99,21.540001,20.65,21.48,187100,21.2324
2016-11-25,20.799999,21.040001,20.639999,21.040001,107600,20.66403
2016-11-24,20.73,20.809999,20.440001,20.68,105900,20.310462
2016-11-23,20.799999,20.84,20.35,20.51,86500,20.1435
2016-11-22,20.719999,20.91,20.50,20.719999,121300,20.349746
2016-11-21,20.48,20.549999,20.24,20.35,81600,19.986359
2016-11-18,20.360001,20.629999,20.07,20.26,119200,19.897967
2016-11-17,19.83,20.41,19.83,20.360001,118900,19.996181
2016-11-16,19.35,19.84,19.309999,19.75,119500,19.39708
2016-11-15,19.530001,19.60,19.139999,19.35,111600,19.004228
2016-11-14,19.719999,19.719999,19.27,19.540001,83400,19.190834
2016-11-11,20.549999,20.66,19.40,19.51,157300,19.161369
2016-11-10,21.030001,21.15,20.18,20.389999,274500,20.025643
2016-11-09,18.620001,20.440001,18.549999,20.309999,192300,19.947073
2016-11-08,18.76,18.879999,18.549999,18.75,75200,18.41495
2016-11-07,18.120001,19.00,18.110001,18.75,398400,18.41495
2016-11-04,18.549999,18.58,17.799999,17.940001,310000,17.619424
2016-11-03,19.98,19.98,18.559999,18.780001,288700,18.444414
2016-11-02,20.00,20.00,19.700001,19.879999,109300,19.524756
2016-11-01,19.66,20.10,19.66,19.99,177100,19.632791
2016-10-31,20.370001,20.370001,19.52,19.709999,218800,19.357794
2016-10-28,20.790001,20.790001,20.32,20.34,119900,19.976538
2016-10-27,21.00,21.01,20.709999,20.75,94000,20.379211
2016-10-26,21.120001,21.299999,21.00,21.07,64900,20.560904
2016-10-25,21.639999,21.639999,21.120001,21.200001,82300,20.687764
2016-10-24,21.65,21.65,21.299999,21.57,59500,21.048823
2016-10-21,20.99,21.59,20.98,21.48,194500,20.960997
2016-10-20,21.049999,21.15,20.940001,21.00,132100,20.492596
2016-10-19,21.10,21.219999,20.959999,21.00,135200,20.492596
2016-10-18,20.85,21.129999,20.73,21.040001,268300,20.53163
2016-10-17,20.709999,21.110001,20.709999,20.77,85800,20.268153
2016-10-14,21.049999,21.219999,20.719999,20.82,289600,20.316944
2016-10-13,21.200001,21.209999,20.709999,20.889999,224200,20.385253
2016-10-12,21.309999,21.42,21.120001,21.23,129100,20.717038
2016-10-11,21.74,21.85,21.219999,21.309999,98600,20.795105
2016-10-07,21.709999,21.84,21.48,21.639999,113700,21.117131
2016-10-06,21.76,21.799999,21.450001,21.75,102900,21.224474
2016-10-05,21.76,21.799999,21.370001,21.610001,132900,21.087857
2016-10-04,22.35,22.51,21.58,21.68,238500,21.156166
2016-10-03,22.379999,23.049999,22.030001,22.08,178900,21.5465
2016-09-30,22.42,22.549999,22.24,22.379999,124500,21.839251
2016-09-29,22.35,22.940001,22.309999,22.450001,158400,21.907561
2016-09-28,22.200001,22.440001,22.01,22.35,73700,21.809977
2016-09-27,22.129999,22.32,22.07,22.139999,95800,21.473313
2016-09-26,22.629999,22.65,22.10,22.129999,116900,21.463613
2016-09-23,22.799999,22.809999,22.50,22.66,62300,21.977655
2016-09-22,22.709999,23.049999,22.68,22.879999,49400,22.191029
2016-09-21,22.799999,22.969999,22.57,22.59,75300,21.909763
2016-09-20,22.299999,22.780001,22.26,22.67,59300,21.987354
2016-09-19,22.139999,22.42,22.110001,22.23,92300,21.560603
2016-09-16,22.41,22.440001,22.129999,22.15,130800,21.483012
2016-09-15,22.35,22.75,22.35,22.450001,66700,21.773979
2016-09-14,22.290001,22.58,22.200001,22.219999,81800,21.550903
2016-09-13,22.459999,22.559999,22.01,22.360001,120100,21.686689
2016-09-12,22.77,22.889999,22.200001,22.65,111400,21.967955
2016-09-09,23.290001,23.35,22.76,22.76,105800,22.074644
2016-09-08,22.84,23.18,22.57,23.15,151300,22.452899
2016-09-07,21.700001,22.60,21.66,22.60,222500,21.919462
2016-09-06,22.07,22.08,21.25,21.700001,1319200,21.046563
2016-09-02,22.35,22.50,22.07,22.09,194900,21.424819
2016-09-01,22.91,22.91,22.26,22.32,167800,21.647893
2016-08-31,23.209999,23.57,22.870001,22.99,101600,22.297717
2016-08-30,22.959999,23.200001,22.780001,23.15,101200,22.452899
2016-08-29,22.66,22.959999,22.41,22.889999,69500,22.200728
2016-08-26,22.780001,23.00,22.530001,22.73,105500,21.914612
2016-08-25,22.629999,22.799999,22.35,22.719999,183500,21.90497
2016-08-24,22.77,22.82,22.59,22.67,203400,21.856765
2016-08-23,22.870001,22.92,22.719999,22.82,210100,22.001383
2016-08-22,23.10,23.10,22.59,22.82,214800,22.001383
2016-08-19,23.360001,23.360001,23.030001,23.08,320000,22.252057
2016-08-18,23.52,23.610001,23.33,23.459999,221200,22.618424
2016-08-17,23.90,23.92,23.59,23.68,87600,22.830533
2016-08-16,24.07,24.07,23.690001,23.860001,84900,23.004077
2016-08-15,23.65,24.110001,23.50,23.99,125100,23.129412
2016-08-12,23.99,23.99,23.50,23.700001,140000,22.849816
2016-08-11,24.35,24.35,23.67,24.01,278800,23.148695
2016-08-10,24.219999,24.450001,23.950001,24.24,187200,23.370444
2016-08-09,24.35,24.549999,23.99,24.02,264000,23.158337
2016-08-08,23.77,24.379999,23.60,24.26,221300,23.389727
2016-08-05,23.379999,23.74,23.34,23.530001,154700,22.685915
2016-08-04,23.18,23.469999,23.049999,23.26,185600,22.4256
2016-08-03,23.24,23.389999,22.969999,23.00,207900,22.174927
2016-08-02,23.690001,23.690001,22.92,23.26,207100,22.4256
2016-07-29,23.98,23.98,22.870001,23.25,360600,22.415958
2016-07-28,25.65,25.65,23.76,23.969999,1196300,23.110129
2016-07-27,27.950001,27.950001,25.58,25.639999,766800,24.720222
2016-07-26,29.50,29.559999,29.110001,29.469999,59800,28.282672
2016-07-25,29.610001,29.610001,29.25,29.57,37200,28.378644
2016-07-22,29.75,29.790001,29.40,29.67,46200,28.474615
2016-07-21,29.65,29.73,29.549999,29.67,56500,28.474615
2016-07-20,29.610001,29.870001,29.530001,29.610001,78000,28.417033
2016-07-19,29.27,29.440001,29.059999,29.379999,46900,28.196298
2016-07-18,29.280001,29.389999,29.040001,29.23,51600,28.052342
2016-07-15,29.450001,29.50,29.030001,29.24,39400,28.061939
2016-07-14,29.030001,29.73,29.030001,29.35,150600,28.167508
2016-07-13,28.719999,29.26,28.719999,29.02,156300,27.850804
2016-07-12,28.67,29.16,28.639999,28.73,78200,27.572487
2016-07-11,28.620001,28.690001,28.290001,28.50,50400,27.351754
2016-07-08,28.40,28.76,28.33,28.49,72200,27.342156
2016-07-07,27.90,28.280001,27.75,28.030001,88800,26.90069
2016-07-06,28.120001,28.18,27.719999,27.84,133100,26.718345
2016-07-05,28.83,28.85,28.299999,28.450001,82700,27.303769
