Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,65.610001,66.610001,65.290001,65.93,502200,65.93
2017-02-06,65.00,65.889999,64.540001,65.889999,755900,65.889999
2017-02-03,63.41,64.300003,62.93,64.129997,562600,64.129997
2017-02-02,63.16,63.57,62.82,63.389999,684500,63.389999
2017-02-01,61.50,62.169998,60.630001,61.91,562500,61.91
2017-01-31,61.610001,62.779999,61.200001,62.07,707700,62.07
2017-01-30,60.50,61.41,59.98,60.599998,550900,60.599998
2017-01-27,58.369999,60.349998,58.369999,60.290001,359700,60.290001
2017-01-26,58.549999,59.18,58.18,58.869999,723500,58.869999
2017-01-25,60.939999,61.169998,59.580002,59.91,751300,59.91
2017-01-24,62.240002,62.98,61.869999,62.16,447900,62.16
2017-01-23,61.389999,62.66,61.00,62.490002,511600,62.490002
2017-01-20,60.299999,61.68,60.259998,60.849998,695800,60.849998
2017-01-19,60.07,60.880001,59.470001,60.299999,662500,60.299999
2017-01-18,60.709999,61.84,59.830002,60.48,815300,60.48
2017-01-17,62.50,62.830002,60.700001,60.709999,849300,60.709999
2017-01-16,61.00,61.169998,60.50,61.169998,130500,61.169998
2017-01-13,59.650002,60.669998,59.07,60.459999,544200,60.459999
2017-01-12,60.990002,61.599998,59.299999,59.919998,1293700,59.919998
2017-01-11,58.18,60.34,57.689999,60.049999,1043600,60.049999
2017-01-10,58.330002,59.200001,57.93,58.68,597100,58.68
2017-01-09,60.310001,60.310001,57.799999,58.299999,700900,58.299999
2017-01-06,58.959999,60.389999,58.549999,59.389999,908400,59.389999
2017-01-05,58.82,60.580002,58.43,60.299999,1062500,60.299999
2017-01-04,57.830002,58.009998,56.849998,57.560001,784000,57.560001
2017-01-03,56.330002,57.84,55.630001,57.830002,796400,57.830002
2016-12-30,58.720001,60.00,56.240002,56.450001,840200,56.450001
2016-12-29,55.77,58.68,55.599998,58.57,812800,58.57
2016-12-28,53.91,54.93,53.459999,54.900002,558900,54.900002
2016-12-23,51.740002,53.040001,51.450001,52.610001,351600,52.610001
2016-12-22,51.490002,52.16,50.990002,51.439999,524400,51.439999
2016-12-21,51.00,51.560001,50.130001,51.27,507700,51.27
2016-12-20,50.200001,50.470001,49.50,50.419998,805000,50.419998
2016-12-19,50.009998,51.830002,49.700001,51.18,658800,51.18
2016-12-16,49.25,50.34,48.77,49.700001,1978900,49.700001
2016-12-15,48.439999,49.02,46.91,48.619999,1052300,48.619999
2016-12-14,52.799999,53.080002,50.07,50.290001,1289500,50.290001
2016-12-13,51.299999,52.119999,50.880001,52.07,960500,52.07
2016-12-12,50.98,51.610001,49.880001,51.060001,773900,51.060001
2016-12-09,52.869999,52.970001,49.959999,50.400002,1031700,50.400002
2016-12-08,52.900002,53.720001,52.799999,53.310001,711700,53.310001
2016-12-07,54.349998,54.740002,53.009998,53.330002,923000,53.330002
2016-12-06,54.209999,55.25,53.52,53.790001,589200,53.790001
2016-12-05,53.790001,54.630001,52.709999,54.279999,944200,54.279999
2016-12-02,54.09,55.18,53.720001,54.599998,1101600,54.599998
2016-12-01,54.389999,54.50,52.360001,53.43,1369500,53.43
2016-11-30,55.48,55.540001,54.209999,55.200001,1314200,55.200001
2016-11-29,54.93,56.610001,54.91,56.369999,472300,56.369999
2016-11-28,55.880001,56.82,54.700001,56.66,653000,56.525999
2016-11-25,54.889999,55.580002,54.48,55.110001,427500,54.979666
2016-11-24,53.57,54.73,53.560001,54.369999,163300,54.241414
2016-11-23,55.00,55.209999,53.220001,53.779999,1105800,53.652809
2016-11-22,58.139999,58.279999,56.439999,57.50,614600,57.364013
2016-11-21,57.43,58.91,57.00,58.060001,537200,57.92269
2016-11-18,57.040001,57.990002,56.02,57.040001,750000,56.905102
2016-11-17,59.939999,60.34,57.25,57.77,811900,57.633375
2016-11-16,59.599998,60.07,57.990002,59.490002,801900,59.349308
2016-11-15,57.189999,59.700001,56.93,59.48,842500,59.33933
2016-11-14,56.240002,57.990002,54.110001,56.919998,1413000,56.785383
2016-11-11,62.75,62.810001,56.459999,57.189999,1338500,57.054745
2016-11-10,67.330002,67.400002,62.419998,62.75,1170300,62.601597
2016-11-09,69.00,70.099998,66.589996,67.68,1157900,67.519938
2016-11-08,66.400002,67.800003,65.040001,66.169998,598600,66.013507
2016-11-07,66.150002,67.699997,65.220001,66.309998,593000,66.153175
2016-11-04,69.910004,70.300003,68.610001,69.260002,540600,69.096203
2016-11-03,68.559998,69.730003,68.239998,69.389999,430300,69.225893
2016-11-02,70.18,71.150002,67.959999,68.559998,690400,68.397854
2016-11-01,69.230003,70.169998,68.25,69.230003,735200,69.066275
2016-10-31,66.809998,68.360001,65.760002,68.120003,597700,67.958899
2016-10-28,65.089996,67.370003,65.050003,66.169998,654700,66.013507
2016-10-27,65.470001,66.00,64.099998,65.110001,660300,64.956016
2016-10-26,66.040001,66.650002,63.900002,64.419998,785800,64.267645
2016-10-25,64.959999,66.510002,64.459999,66.239998,739400,66.083341
2016-10-24,65.43,65.760002,63.709999,64.550003,594700,64.397343
2016-10-21,65.040001,65.599998,64.550003,65.330002,427600,65.175497
2016-10-20,64.989998,65.169998,63.650002,64.959999,607500,64.806369
2016-10-19,63.790001,65.230003,63.529999,64.889999,1088300,64.736535
2016-10-18,61.16,63.02,61.040001,62.889999,952200,62.741265
2016-10-17,60.00,61.130001,60.00,60.610001,545400,60.466658
2016-10-14,60.470001,61.549999,59.830002,60.009998,435800,59.868075
2016-10-13,61.130001,62.68,60.50,61.16,680400,61.015357
2016-10-12,59.470001,61.43,59.369999,61.09,750600,60.945523
2016-10-11,59.509998,60.25,58.119999,59.220001,721300,59.079946
2016-10-07,61.790001,62.32,59.240002,59.669998,832000,59.528879
2016-10-06,60.150002,61.450001,59.779999,60.259998,1120200,60.117484
2016-10-05,63.66,63.740002,60.279999,61.630001,1287500,61.484247
2016-10-04,67.370003,67.370003,62.549999,62.66,1430000,62.511809
2016-10-03,70.629997,71.339996,68.260002,69.120003,585400,68.956534
2016-09-30,73.00,73.540001,70.949997,70.949997,806500,70.782201
2016-09-29,71.279999,73.050003,70.650002,72.510002,398000,72.338516
2016-09-28,71.57,72.650002,70.57,72.010002,461700,71.839699
2016-09-27,71.379997,72.00,70.669998,71.290001,414000,71.121401
2016-09-26,71.889999,72.540001,71.290001,71.650002,329100,71.48055
2016-09-23,73.889999,74.139999,71.260002,71.540001,538600,71.370809
2016-09-22,73.690002,74.57,73.00,73.870003,698300,73.695301
2016-09-21,70.00,73.660004,69.989998,73.440002,801600,73.266317
2016-09-20,69.169998,69.510002,68.730003,69.080002,514500,68.916628
2016-09-19,68.800003,69.419998,68.150002,68.779999,642500,68.617335
2016-09-16,67.739998,68.599998,66.650002,67.989998,1114900,67.829202
2016-09-15,67.400002,68.669998,66.879997,67.959999,428700,67.799274
2016-09-14,68.029999,69.00,66.599998,67.330002,556000,67.170767
2016-09-13,68.400002,68.860001,66.800003,67.489998,703500,67.330384
2016-09-12,65.620003,69.449997,65.589996,68.790001,893500,68.627313
2016-09-09,69.860001,69.93,66.279999,66.480003,898700,66.322779
2016-09-08,71.949997,72.410004,70.160004,70.489998,587300,70.32329
2016-09-07,71.800003,72.540001,70.870003,72.370003,572000,72.198848
2016-09-06,70.540001,71.800003,70.239998,71.800003,727000,71.630197
2016-09-02,69.400002,70.230003,68.779999,69.730003,661000,69.565092
2016-09-01,66.040001,68.900002,65.690002,68.150002,692500,67.988827
2016-08-31,65.800003,67.010002,65.620003,66.470001,1025800,66.3128
2016-08-30,69.00,69.339996,65.919998,66.510002,683600,66.352706
2016-08-29,67.580002,69.82,67.459999,69.410004,653000,69.116158
2016-08-26,68.93,70.220001,66.879997,68.160004,703900,67.87145
2016-08-25,66.660004,68.489998,66.360001,67.860001,746900,67.572717
2016-08-24,71.110001,71.120003,66.739998,67.239998,929300,66.955339
2016-08-23,72.959999,73.220001,71.629997,72.190002,700600,71.884388
2016-08-22,71.410004,72.989998,71.150002,72.989998,470200,72.680996
2016-08-19,72.769997,73.379997,72.089996,72.209999,543500,71.9043
2016-08-18,73.690002,74.00,72.82,73.760002,432100,73.447741
2016-08-17,74.260002,74.260002,72.029999,73.669998,622300,73.358118
2016-08-16,75.07,75.540001,74.120003,74.669998,388200,74.353884
2016-08-15,76.199997,76.370003,74.68,75.139999,542500,74.821896
2016-08-12,76.629997,77.32,75.529999,75.800003,480400,75.479105
2016-08-11,77.25,77.699997,75.730003,76.029999,489200,75.708127
2016-08-10,77.839996,77.919998,76.470001,77.190002,399600,76.86322
2016-08-09,75.860001,76.93,75.68,76.629997,436300,76.305586
2016-08-08,75.040001,76.669998,75.00,75.389999,753600,75.070837
2016-08-05,76.599998,77.110001,75.82,76.220001,559900,75.897325
2016-08-04,77.50,78.349998,77.459999,77.910004,512000,77.580173
2016-08-03,77.57,78.00,76.57,77.559998,576000,77.231649
2016-08-02,76.75,78.209999,76.209999,77.830002,809700,77.50051
2016-07-29,75.50,76.349998,74.620003,75.980003,786400,75.658344
2016-07-28,73.779999,75.150002,73.260002,74.529999,817200,74.214478
2016-07-27,70.410004,72.480003,69.50,72.190002,665000,71.884388
2016-07-26,68.830002,69.959999,68.279999,69.599998,451600,69.305348
2016-07-25,70.50,70.50,67.510002,67.779999,537500,67.493054
2016-07-22,69.370003,70.879997,68.919998,70.660004,439500,70.360866
2016-07-21,68.50,69.93,68.00,69.68,520900,69.385011
2016-07-20,71.339996,71.400002,67.980003,68.220001,748100,67.931193
2016-07-19,72.610001,72.889999,72.260002,72.580002,564000,72.272736
2016-07-18,72.660004,73.00,71.779999,72.580002,354600,72.272736
2016-07-15,71.400002,72.879997,71.400002,72.550003,776300,72.242864
2016-07-14,71.839996,72.449997,70.620003,72.449997,1062100,72.143281
2016-07-13,72.150002,73.970001,72.150002,73.730003,996300,73.417869
2016-07-12,72.199997,72.370003,70.650002,70.760002,813000,70.460441
2016-07-11,72.440002,73.00,72.040001,73.00,748000,72.690956
2016-07-08,71.980003,73.059998,71.230003,72.839996,1015000,72.53163
2016-07-07,71.830002,72.300003,70.550003,71.93,781400,71.625486
2016-07-06,72.68,73.32,72.199997,73.00,1075500,72.690956
2016-07-05,71.400002,72.43,70.559998,71.93,963100,71.625486
2016-07-04,71.010002,72.50,70.760002,70.949997,399100,70.649632
2016-06-30,69.00,69.800003,68.57,69.139999,880200,68.847297
2016-06-29,69.00,69.699997,68.650002,68.699997,883400,68.409157
2016-06-28,67.900002,69.510002,67.099998,68.199997,806500,67.911274
2016-06-27,67.760002,69.589996,67.25,68.809998,1364100,68.518692
2016-06-24,67.639999,68.349998,65.669998,67.510002,1285400,67.2242
2016-06-23,63.439999,64.68,63.169998,63.560001,476200,63.290921
2016-06-22,63.200001,64.709999,62.68,64.629997,646600,64.356387
2016-06-21,63.599998,64.279999,63.299999,63.529999,470900,63.261046
2016-06-20,63.00,64.860001,62.34,64.629997,637900,64.356387
2016-06-17,65.949997,66.339996,63.389999,64.690002,2086200,64.416139
2016-06-16,67.779999,68.879997,64.709999,65.449997,1286900,65.172916
2016-06-15,64.400002,66.760002,64.120003,66.239998,1165700,65.959572
2016-06-14,66.00,66.00,63.459999,64.160004,857800,63.888384
2016-06-13,65.949997,66.650002,64.989998,65.93,960100,65.650887
2016-06-10,65.00,65.849998,63.400002,64.519997,774400,64.246853
2016-06-09,64.50,65.379997,64.269997,64.970001,770300,64.694952
2016-06-08,65.50,65.959999,64.059998,64.330002,907600,64.057662
2016-06-07,63.48,64.449997,63.389999,64.080002,667400,63.80872
2016-06-06,65.139999,65.620003,63.630001,64.449997,1037400,64.177149
2016-06-03,61.189999,65.00,61.16,64.900002,1576900,64.625249
2016-06-02,58.799999,59.66,58.459999,59.139999,498900,58.889631
2016-06-01,59.32,61.080002,58.349998,59.009998,904800,58.760181
2016-05-31,58.509998,59.880001,57.700001,58.860001,1924100,58.610818
2016-05-30,57.200001,58.349998,57.07,58.00,197800,57.754458
2016-05-27,58.450001,59.130001,57.580002,57.720001,776000,57.475645
2016-05-26,58.869999,59.549999,57.919998,58.549999,751000,58.302129
2016-05-25,57.259998,58.82,56.029999,58.380001,1019100,58.132851
2016-05-24,59.599998,60.450001,57.939999,58.029999,1198700,57.78433
2016-05-20,60.389999,60.740002,59.009998,60.439999,988800,60.184127
2016-05-19,57.209999,60.080002,56.759998,59.84,1173100,59.586669
2016-05-18,61.560001,61.900002,58.330002,58.459999,1096400,58.21251
2016-05-17,61.490002,62.560001,60.889999,62.34,970100,62.076085
2016-05-16,60.93,62.169998,60.889999,61.389999,1321500,61.130106
2016-05-13,58.740002,60.700001,58.66,59.650002,1029400,59.397474
2016-05-12,59.27,60.07,58.060001,58.73,523500,58.481367
2016-05-11,59.650002,60.439999,57.470001,59.939999,824400,59.686244
