Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,11.02,11.37,10.89,11.11,581200,11.11
2017-01-19,10.90,11.26,10.76,11.01,660800,11.01
2017-01-18,11.01,11.44,10.94,11.08,766200,11.08
2017-01-17,11.18,11.20,10.96,11.11,657100,11.11
2017-01-16,10.77,10.97,10.68,10.92,294700,10.92
2017-01-13,10.67,10.82,10.38,10.80,1222800,10.80
2017-01-12,11.40,11.54,10.86,10.98,1651900,10.98
2017-01-11,11.00,11.25,10.75,11.22,2151800,11.22
2017-01-10,10.93,11.25,10.71,11.03,1374400,11.03
2017-01-09,10.81,11.33,10.64,10.79,1770000,10.79
2017-01-06,10.87,11.49,10.23,10.48,1500500,10.48
2017-01-05,10.24,11.45,10.23,11.37,1760200,11.37
2017-01-04,9.80,10.07,9.70,9.94,1031800,9.94
2017-01-03,9.35,9.77,9.17,9.72,942700,9.72
2016-12-30,9.79,10.07,9.17,9.26,1006100,9.26
2016-12-29,9.04,9.92,8.93,9.73,1160600,9.73
2016-12-28,8.51,8.96,8.51,8.89,653800,8.89
2016-12-23,8.25,8.33,8.19,8.28,385300,8.28
2016-12-22,8.09,8.37,8.09,8.18,971000,8.18
2016-12-21,8.20,8.26,8.09,8.15,713100,8.15
2016-12-20,8.03,8.32,8.00,8.21,972500,8.21
2016-12-19,8.15,8.25,8.09,8.22,646200,8.22
2016-12-16,8.16,8.34,8.00,8.09,992800,8.09
2016-12-15,8.10,8.20,7.96,8.09,1649700,8.09
2016-12-14,8.58,8.94,8.28,8.31,1538300,8.31
2016-12-13,8.52,8.68,8.33,8.54,576500,8.54
2016-12-12,8.18,8.85,8.14,8.51,1289700,8.51
2016-12-09,7.98,8.08,7.86,7.99,1039300,7.99
2016-12-08,8.11,8.14,7.98,8.04,860300,8.04
2016-12-07,8.25,8.31,8.00,8.11,1221700,8.11
2016-12-06,8.35,8.55,8.03,8.03,1436700,8.03
2016-12-05,8.25,8.51,8.02,8.38,1154200,8.38
2016-12-02,8.21,8.42,8.21,8.29,1045700,8.29
2016-12-01,8.50,8.50,8.03,8.15,1557800,8.15
2016-11-30,8.81,8.81,8.45,8.55,1655700,8.55
2016-11-29,8.55,8.93,8.49,8.83,585200,8.83
2016-11-28,8.42,8.79,8.22,8.77,699200,8.77
2016-11-25,8.38,8.46,8.23,8.28,432300,8.28
2016-11-24,8.40,8.40,8.26,8.29,123800,8.29
2016-11-23,8.42,8.55,8.26,8.39,898600,8.39
2016-11-22,8.82,8.86,8.44,8.82,684200,8.82
2016-11-21,8.76,8.97,8.73,8.80,463700,8.80
2016-11-18,8.56,8.71,8.45,8.65,450600,8.65
2016-11-17,8.92,9.08,8.45,8.63,1154800,8.63
2016-11-16,9.31,9.42,8.71,8.90,1013100,8.90
2016-11-15,9.18,9.37,8.88,9.33,1187100,9.33
2016-11-14,8.48,8.95,8.20,8.69,1211200,8.69
2016-11-11,9.59,9.61,8.40,8.60,1665800,8.60
2016-11-10,10.20,10.35,9.48,9.55,1177400,9.55
2016-11-09,10.39,10.49,9.84,10.07,1343600,10.07
2016-11-08,9.97,10.14,9.52,9.61,930100,9.61
2016-11-07,10.06,10.20,9.81,9.93,980000,9.93
2016-11-04,10.88,10.88,10.32,10.42,1483200,10.42
2016-11-03,10.58,10.91,10.55,10.79,839900,10.79
2016-11-02,10.92,11.15,10.34,10.62,1361300,10.62
2016-11-01,10.79,10.95,10.58,10.71,1207000,10.71
2016-10-31,10.29,10.55,10.14,10.52,878500,10.52
2016-10-28,10.55,10.67,10.01,10.26,1120400,10.26
2016-10-27,11.30,11.32,10.53,10.54,895100,10.54
2016-10-26,11.80,11.86,11.20,11.23,1509600,11.23
2016-10-25,11.55,11.79,11.40,11.78,1040000,11.78
2016-10-24,11.64,11.71,11.19,11.51,1424500,11.51
2016-10-21,11.37,11.63,11.36,11.60,1151200,11.60
2016-10-20,11.07,11.41,10.84,11.34,1103700,11.34
2016-10-19,10.95,11.06,10.72,11.01,1260300,11.01
2016-10-18,10.27,10.80,10.16,10.77,1371700,10.77
