Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,29.75,29.77,29.49,29.77,104100,29.77
2017-01-24,29.360001,29.83,29.360001,29.780001,96000,29.780001
2017-01-23,29.690001,29.85,29.35,29.40,93200,29.40
2017-01-20,29.68,29.940001,29.60,29.68,43800,29.68
2017-01-19,29.219999,30.00,29.200001,29.700001,183300,29.700001
2017-01-18,29.98,29.98,29.00,29.15,97400,29.15
2017-01-17,30.40,30.51,29.889999,29.90,67700,29.90
2017-01-16,30.00,30.469999,29.99,30.299999,36800,30.299999
2017-01-13,30.27,30.33,29.959999,30.00,108000,30.00
2017-01-12,30.65,30.82,30.00,30.299999,68600,30.299999
2017-01-11,30.90,31.02,30.450001,30.50,84700,30.50
2017-01-10,30.469999,30.91,30.35,30.809999,50000,30.809999
2017-01-09,30.440001,30.450001,30.23,30.25,20000,30.25
2017-01-06,30.559999,30.559999,30.110001,30.40,50300,30.40
2017-01-05,31.24,31.24,30.32,30.639999,52500,30.639999
2017-01-04,30.370001,31.450001,30.370001,31.120001,90700,31.120001
2017-01-03,31.00,31.049999,30.200001,30.34,56700,30.34
2016-12-30,30.84,31.219999,30.690001,30.959999,47400,30.959999
2016-12-29,30.309999,30.84,30.309999,30.84,63800,30.84
2016-12-28,29.76,30.57,29.76,30.25,53200,30.25
2016-12-23,30.10,30.309999,29.889999,30.25,37100,30.10
2016-12-22,30.02,30.290001,30.00,30.049999,50400,29.900991
2016-12-21,30.200001,30.450001,29.809999,30.09,66100,29.940793
2016-12-20,30.120001,30.41,29.950001,30.25,46000,30.10
2016-12-19,30.00,30.32,30.00,30.120001,65100,29.970645
2016-12-16,29.23,30.02,29.00,29.99,72100,29.841289
2016-12-15,29.08,29.389999,28.709999,29.030001,114800,28.88605
2016-12-14,29.809999,29.90,29.049999,29.110001,204000,28.965653
2016-12-13,30.469999,30.75,29.76,29.860001,105000,29.711934
2016-12-12,29.98,30.719999,29.98,30.610001,275800,30.458215
2016-12-09,30.00,30.23,29.799999,30.030001,97800,29.881091
2016-12-08,29.809999,30.200001,29.639999,30.00,66600,29.851239
2016-12-07,30.02,30.030001,29.790001,29.83,204400,29.682082
2016-12-06,29.92,30.09,29.719999,29.99,74900,29.841289
