Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,8.94,8.98,8.84,8.91,312000,8.91
2017-02-09,8.89,9.00,8.83,8.90,531300,8.90
2017-02-08,9.00,9.04,8.86,8.91,220800,8.91
2017-02-07,9.00,9.13,8.94,8.97,300300,8.97
2017-02-06,9.00,9.02,8.93,8.98,174600,8.98
2017-02-03,8.96,8.99,8.92,8.98,165900,8.98
2017-02-02,8.95,8.99,8.91,8.98,249200,8.98
2017-02-01,8.56,9.00,8.56,8.97,413300,8.97
2017-01-31,8.56,8.65,8.48,8.53,1761600,8.53
2017-01-30,8.77,8.84,8.52,8.54,262500,8.54
2017-01-27,8.77,8.82,8.75,8.76,155500,8.76
2017-01-26,8.88,8.91,8.77,8.79,217500,8.79
2017-01-25,8.74,8.90,8.74,8.83,333400,8.83
2017-01-24,8.41,8.84,8.41,8.72,249300,8.72
2017-01-23,8.41,8.54,8.35,8.44,213300,8.44
2017-01-20,8.67,8.73,8.46,8.49,250200,8.49
2017-01-19,8.67,8.83,8.67,8.69,144700,8.69
2017-01-18,8.75,8.78,8.65,8.66,126200,8.66
2017-01-17,8.80,8.86,8.71,8.79,159400,8.79
2017-01-16,8.75,8.75,8.68,8.75,114400,8.75
2017-01-13,8.59,8.79,8.59,8.74,207400,8.74
2017-01-12,8.63,8.75,8.54,8.60,366200,8.60
2017-01-11,8.64,8.85,8.54,8.60,217100,8.60
2017-01-10,8.72,8.79,8.41,8.68,742200,8.68
2017-01-09,8.99,9.15,8.98,9.08,201200,9.08
2017-01-06,8.98,9.05,8.98,9.00,82900,9.00
2017-01-05,8.87,9.05,8.86,9.02,456600,9.02
2017-01-04,8.81,8.93,8.81,8.89,183800,8.89
2017-01-03,8.88,8.94,8.70,8.80,219400,8.80
2016-12-30,8.89,8.95,8.80,8.88,143300,8.88
2016-12-29,8.76,8.93,8.76,8.89,156400,8.89
2016-12-28,8.66,8.84,8.66,8.80,165300,8.80
2016-12-23,8.72,8.72,8.62,8.69,188000,8.69
2016-12-22,8.67,8.75,8.63,8.72,123900,8.72
2016-12-21,8.47,8.71,8.47,8.67,143300,8.67
2016-12-20,8.52,8.52,8.36,8.46,229900,8.46
2016-12-19,8.73,8.75,8.52,8.56,221000,8.56
2016-12-16,8.58,8.79,8.58,8.78,542300,8.78
2016-12-15,8.41,8.64,8.41,8.56,298500,8.56
2016-12-14,8.64,8.64,8.40,8.43,680600,8.43
2016-12-13,8.51,8.78,8.51,8.73,291200,8.529999
2016-12-12,8.64,8.72,8.55,8.59,202900,8.393207
2016-12-09,8.72,8.85,8.59,8.66,459900,8.461603
