Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,4.87,4.89,4.76,4.81,672300,4.81
2017-02-02,4.94,5.02,4.83,4.86,682900,4.86
2017-02-01,4.69,4.89,4.69,4.84,642700,4.84
2017-01-31,4.88,4.89,4.72,4.77,546900,4.77
2017-01-30,4.75,4.83,4.72,4.75,716000,4.75
2017-01-27,4.61,4.72,4.55,4.72,901200,4.72
2017-01-26,4.59,4.65,4.51,4.61,734600,4.61
2017-01-25,4.86,4.87,4.67,4.71,1008200,4.71
2017-01-24,4.99,5.07,4.80,4.87,826000,4.87
2017-01-23,4.94,5.00,4.84,4.99,936300,4.99
2017-01-20,4.79,4.98,4.73,4.86,1087200,4.86
2017-01-19,4.76,4.87,4.69,4.78,978800,4.78
2017-01-18,4.92,4.97,4.75,4.83,899700,4.83
2017-01-17,5.03,5.07,4.88,4.90,1519700,4.90
2017-01-16,5.00,5.00,4.88,4.95,649700,4.95
2017-01-13,4.75,4.98,4.68,4.95,759400,4.95
2017-01-12,5.04,5.04,4.74,4.79,1049100,4.79
2017-01-11,4.80,5.01,4.66,4.88,1486400,4.88
2017-01-10,4.81,4.97,4.65,4.78,1216100,4.78
2017-01-09,4.81,4.99,4.62,4.72,1440400,4.72
2017-01-06,4.76,4.97,4.51,4.64,1603500,4.64
2017-01-05,4.65,4.96,4.62,4.91,1558000,4.91
2017-01-04,4.49,4.61,4.40,4.53,2099800,4.53
2017-01-03,4.14,4.45,4.09,4.43,1356500,4.43
2016-12-30,4.39,4.52,4.09,4.12,1441700,4.12
2016-12-29,3.99,4.42,3.90,4.40,1584800,4.40
2016-12-28,3.75,3.98,3.71,3.91,889000,3.91
2016-12-23,3.63,3.75,3.61,3.68,453800,3.68
2016-12-22,3.70,3.78,3.60,3.61,826600,3.61
2016-12-21,3.73,3.75,3.65,3.71,854600,3.71
2016-12-20,3.70,3.73,3.54,3.71,1139500,3.71
2016-12-19,3.60,3.88,3.43,3.76,1451100,3.76
2016-12-16,4.05,4.05,3.75,3.79,3404600,3.79
2016-12-15,4.08,4.12,3.90,4.00,1392600,4.00
2016-12-14,4.42,4.51,4.17,4.22,1673200,4.22
2016-12-13,4.40,4.43,4.29,4.37,617600,4.37
2016-12-12,4.37,4.50,4.26,4.37,833000,4.37
2016-12-09,4.48,4.51,4.27,4.32,698700,4.32
2016-12-08,4.65,4.68,4.43,4.52,858600,4.52
2016-12-07,4.50,4.75,4.49,4.68,907000,4.68
2016-12-06,4.47,4.54,4.35,4.41,943900,4.41
2016-12-05,4.36,4.50,4.27,4.46,1284000,4.46
2016-12-02,4.43,4.52,4.40,4.44,1254600,4.44
2016-12-01,4.74,4.77,4.33,4.39,1888300,4.39
2016-11-30,4.91,4.91,4.63,4.71,1511800,4.71
2016-11-29,4.78,4.99,4.76,4.93,953200,4.93
