Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,34.91,35.14,34.91,34.97,107700,34.843
2017-01-20,35.00,35.01,34.89,34.93,123500,34.803
2017-01-19,35.00,35.00,34.78,34.92,79800,34.793
2017-01-18,35.22,35.235,34.92,34.97,131900,34.843
2017-01-17,34.89,35.34,34.88,35.16,204900,35.032
2017-01-16,34.99,34.99,34.74,34.90,24400,34.773
2017-01-13,34.79,35.00,34.60,34.89,108900,34.763
2017-01-12,34.92,34.94,34.65,34.79,113000,34.663
2017-01-11,35.22,35.37,34.85,34.89,195000,34.763
2017-01-10,35.48,35.51,35.15,35.15,76700,35.022
2017-01-09,35.63,35.75,35.34,35.43,63300,35.301
2017-01-06,35.66,36.10,35.61,35.64,144100,35.51
2017-01-05,35.67,35.81,35.37,35.67,223300,35.54
2017-01-04,36.08,36.08,35.55,35.65,147600,35.52
2017-01-03,35.97,36.11,35.64,36.09,161300,35.958
2017-01-02,35.95,35.95,35.95,35.95,000,35.819
2016-12-30,35.51,36.00,35.42,35.95,61500,35.819
2016-12-29,35.30,35.61,35.25,35.54,60100,35.41
2016-12-28,35.28,35.515,35.10,35.34,84200,35.211
2016-12-27,35.32,35.32,35.32,35.32,000,35.064
2016-12-26,35.32,35.32,35.32,35.32,000,35.064
2016-12-23,35.39,35.50,35.23,35.32,39700,35.064
2016-12-22,35.25,35.51,35.12,35.43,135100,35.173
2016-12-21,34.99,35.59,34.98,35.26,142900,35.005
2016-12-20,35.39,35.53,34.73,34.97,199000,34.717
2016-12-19,35.20,35.50,34.99,35.41,97900,35.154
2016-12-16,35.19,35.77,35.00,35.10,824800,34.846
2016-12-15,35.41,35.54,35.02,35.10,171400,34.846
2016-12-14,35.85,36.24,35.36,35.47,200000,35.213
2016-12-13,35.82,35.93,35.50,35.78,167600,35.521
2016-12-12,35.43,35.86,35.31,35.74,219000,35.481
2016-12-09,35.61,35.98,35.42,35.50,168100,35.243
2016-12-08,34.95,35.57,34.88,35.52,175900,35.263
2016-12-07,34.50,34.98,34.29,34.89,214100,34.637
2016-12-06,34.46,34.84,34.33,34.43,289800,34.181
2016-12-05,34.77,34.88,34.33,34.46,165500,34.21
2016-12-02,34.11,34.71,34.055,34.65,150500,34.399
2016-12-01,33.79,34.20,33.57,34.13,197700,33.883
2016-11-30,34.19,34.19,33.25,33.89,237300,33.645
2016-11-29,33.49,34.40,33.48,34.23,223200,33.982
2016-11-28,33.01,34.03,33.01,33.51,152200,33.267
2016-11-25,33.02,33.36,33.00,33.14,73700,32.776
2016-11-24,33.26,33.26,32.82,33.00,64000,32.637
2016-11-23,33.39,33.39,32.92,33.13,130000,32.766
2016-11-22,33.33,33.68,32.79,33.53,279700,33.162
2016-11-21,33.06,33.49,33.06,33.31,101500,32.944
2016-11-18,32.97,33.26,32.83,33.01,122000,32.647
2016-11-17,33.00,33.64,33.00,33.10,150100,32.736
2016-11-16,32.90,32.98,32.82,32.93,90800,32.568
2016-11-15,32.79,33.06,32.77,32.86,184600,32.499
2016-11-14,32.90,33.10,32.37,32.84,290200,32.479
2016-11-11,33.02,33.23,32.86,32.90,347300,32.539
2016-11-10,34.25,34.25,32.91,33.06,268200,32.697
2016-11-09,34.16,34.55,34.01,34.21,118000,33.834
2016-11-08,34.75,34.75,34.19,34.57,151500,34.19
2016-11-07,35.00,35.32,34.745,34.80,137800,34.418
2016-11-04,34.60,35.00,34.49,34.85,333100,34.467
2016-11-03,33.94,34.60,33.58,34.56,262800,34.18
2016-11-02,35.37,35.41,34.32,34.44,441400,34.062
2016-11-01,36.15,36.24,35.75,36.07,149700,35.674
2016-10-31,36.50,36.50,35.94,36.06,105800,35.664
2016-10-28,36.39,36.63,36.36,36.43,84000,36.03
2016-10-27,36.51,36.57,36.20,36.49,93300,36.089
2016-10-26,36.81,36.86,36.50,36.57,233200,36.045
2016-10-25,37.30,37.31,36.78,36.86,148700,36.33
2016-10-24,37.45,37.47,36.975,37.29,98400,36.754
2016-10-21,37.44,37.53,37.17,37.45,93200,36.912
2016-10-20,37.68,37.79,37.12,37.41,128100,36.873
2016-10-19,37.92,38.03,37.63,37.71,67900,37.168
2016-10-18,37.91,38.075,37.71,37.85,84500,37.306
2016-10-17,37.30,38.01,37.24,37.78,59800,37.237
