Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,11.79,11.84,11.70,11.77,953700,11.77
2017-02-08,11.75,11.79,11.68,11.77,1199700,11.77
2017-02-07,11.60,11.74,11.60,11.74,1760400,11.74
2017-02-06,11.68,11.69,11.57,11.61,826100,11.61
2017-02-03,11.65,11.77,11.63,11.64,1704500,11.64
2017-02-02,11.45,11.63,11.41,11.58,1539300,11.58
2017-02-01,11.36,11.43,11.33,11.40,1657000,11.40
2017-01-31,11.25,11.35,11.21,11.31,2001800,11.31
2017-01-30,11.30,11.34,11.22,11.26,820700,11.26
2017-01-27,11.31,11.32,11.20,11.28,1977000,11.28
2017-01-26,11.36,11.38,11.27,11.30,1138200,11.30
2017-01-25,11.33,11.39,11.29,11.35,1732700,11.35
2017-01-24,11.28,11.33,11.19,11.31,2596700,11.31
2017-01-23,11.29,11.31,11.21,11.26,1842000,11.26
2017-01-20,11.38,11.38,11.26,11.29,1106400,11.29
2017-01-19,11.38,11.38,11.28,11.33,1742100,11.33
2017-01-18,11.34,11.40,11.31,11.34,3492000,11.34
2017-01-17,11.27,11.34,11.20,11.31,4272700,11.31
2017-01-16,11.19,11.23,11.15,11.21,752800,11.21
2017-01-13,11.25,11.25,11.18,11.18,718300,11.18
2017-01-12,11.25,11.26,11.18,11.22,1280300,11.22
2017-01-11,11.19,11.25,11.16,11.23,4086800,11.23
2017-01-10,11.24,11.24,11.15,11.17,899800,11.17
2017-01-09,11.25,11.25,11.19,11.20,739700,11.20
2017-01-06,11.25,11.26,11.17,11.21,1267200,11.21
2017-01-05,11.25,11.25,11.15,11.22,1195500,11.22
2017-01-04,11.27,11.28,11.17,11.26,2070700,11.26
2017-01-03,11.36,11.48,11.16,11.23,2201300,11.23
2016-12-30,11.44,11.44,11.36,11.39,384100,11.39
2016-12-29,11.40,11.44,11.32,11.44,681400,11.44
2016-12-28,11.42,11.42,11.31,11.37,883400,11.37
2016-12-23,11.47,11.47,11.38,11.42,691200,11.276
2016-12-22,11.57,11.58,11.43,11.45,1462900,11.305621
2016-12-21,11.52,11.61,11.44,11.57,1392700,11.424108
2016-12-20,11.40,11.51,11.36,11.48,1172300,11.335243
2016-12-19,11.45,11.45,11.33,11.39,1054800,11.246378
2016-12-16,11.20,11.39,11.19,11.39,2206600,11.246378
2016-12-15,11.21,11.25,11.11,11.16,630500,11.019278
2016-12-14,11.33,11.37,11.18,11.21,960600,11.068648
2016-12-13,11.22,11.31,11.16,11.29,1282400,11.147639
2016-12-12,11.19,11.19,11.09,11.19,858000,11.048899
2016-12-09,11.19,11.20,11.12,11.16,876800,11.019278
