Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,3.00,3.00,2.91,2.93,1053500,2.93
2017-02-08,2.98,3.09,2.96,2.98,2177800,2.98
2017-02-07,2.69,2.98,2.66,2.95,2405300,2.95
2017-02-06,2.73,2.84,2.67,2.83,1244700,2.83
2017-02-03,2.64,2.69,2.58,2.67,1221500,2.67
2017-02-02,2.53,2.67,2.53,2.63,1224900,2.63
2017-02-01,2.41,2.52,2.41,2.51,959600,2.51
2017-01-31,2.47,2.50,2.40,2.40,912800,2.40
2017-01-30,2.41,2.49,2.41,2.43,581100,2.43
2017-01-27,2.33,2.42,2.32,2.40,605700,2.40
2017-01-26,2.34,2.41,2.32,2.33,734400,2.33
2017-01-25,2.41,2.41,2.35,2.38,651800,2.38
2017-01-24,2.43,2.47,2.41,2.44,1078700,2.44
2017-01-23,2.46,2.47,2.42,2.43,819400,2.43
2017-01-20,2.42,2.50,2.40,2.44,921500,2.44
2017-01-19,2.46,2.50,2.41,2.47,790500,2.47
2017-01-18,2.49,2.55,2.45,2.48,1575100,2.48
2017-01-17,2.49,2.51,2.47,2.49,1005600,2.49
2017-01-16,2.45,2.46,2.41,2.41,231400,2.41
2017-01-13,2.36,2.44,2.33,2.43,1357000,2.43
2017-01-12,2.47,2.47,2.38,2.38,874200,2.38
2017-01-11,2.41,2.52,2.34,2.43,1364300,2.43
2017-01-10,2.49,2.53,2.40,2.44,978400,2.44
2017-01-09,2.44,2.52,2.38,2.44,1850100,2.44
2017-01-06,2.45,2.50,2.34,2.38,1328300,2.38
2017-01-05,2.40,2.53,2.40,2.51,2293000,2.51
2017-01-04,2.38,2.38,2.29,2.35,1226900,2.35
2017-01-03,2.27,2.36,2.24,2.35,1187400,2.35
2016-12-30,2.25,2.34,2.23,2.24,2257600,2.24
2016-12-29,2.14,2.26,2.11,2.23,1619800,2.23
2016-12-28,2.02,2.14,2.00,2.11,1089600,2.11
2016-12-23,1.94,2.01,1.93,2.00,1022100,2.00
2016-12-22,1.92,1.97,1.90,1.94,1002900,1.94
2016-12-21,1.89,1.96,1.89,1.92,616700,1.92
2016-12-20,1.82,1.90,1.80,1.87,3016400,1.87
2016-12-19,1.88,1.90,1.83,1.84,2107100,1.84
2016-12-16,1.92,1.93,1.75,1.81,27357200,1.81
2016-12-15,1.80,1.89,1.80,1.86,3765300,1.86
2016-12-14,1.97,2.05,1.84,1.84,4560200,1.84
2016-12-13,2.04,2.04,1.92,1.95,3349300,1.95
2016-12-12,2.00,2.08,1.97,2.03,2745600,2.03
2016-12-09,2.13,2.19,1.95,1.98,1752600,1.98
2016-12-08,2.29,2.31,2.14,2.17,1148800,2.17
2016-12-07,2.45,2.46,2.29,2.30,1164100,2.30
2016-12-06,2.49,2.52,2.39,2.40,923300,2.40
2016-12-05,2.42,2.53,2.39,2.52,1133300,2.52
2016-12-02,2.60,2.60,2.45,2.53,984200,2.53
2016-12-01,2.45,2.61,2.43,2.55,1515200,2.55
2016-11-30,2.43,2.50,2.42,2.46,1125900,2.46
2016-11-29,2.51,2.53,2.44,2.49,931200,2.49
2016-11-28,2.38,2.53,2.37,2.52,1053800,2.52
2016-11-25,2.32,2.37,2.32,2.34,608600,2.34
2016-11-24,2.31,2.34,2.29,2.29,142400,2.29
2016-11-23,2.36,2.39,2.22,2.28,1488700,2.28
2016-11-22,2.47,2.49,2.38,2.43,879600,2.43
2016-11-21,2.46,2.52,2.42,2.47,903300,2.47
2016-11-18,2.45,2.46,2.34,2.37,1325200,2.37
2016-11-17,2.40,2.44,2.27,2.37,1563300,2.37
2016-11-16,2.51,2.51,2.35,2.38,1031700,2.38
2016-11-15,2.45,2.52,2.42,2.50,1292600,2.50
2016-11-14,2.25,2.53,2.24,2.43,2093800,2.43
2016-11-11,2.43,2.49,2.27,2.34,2268200,2.34
2016-11-10,2.65,2.73,2.44,2.44,1861500,2.44
2016-11-09,2.86,2.88,2.60,2.66,1732400,2.66
2016-11-08,2.74,2.80,2.63,2.68,1143200,2.68
2016-11-07,2.81,2.85,2.70,2.74,1067900,2.74
2016-11-04,2.92,2.96,2.87,2.87,1300800,2.87
2016-11-03,2.84,2.92,2.84,2.92,819900,2.92
2016-11-02,2.84,2.91,2.83,2.84,1587000,2.84
2016-11-01,2.75,2.84,2.74,2.78,1274900,2.78
2016-10-31,2.71,2.74,2.66,2.71,938600,2.71
2016-10-28,2.80,2.83,2.64,2.69,1651100,2.69
2016-10-27,2.93,2.96,2.81,2.81,747500,2.81
2016-10-26,3.00,3.07,2.83,2.91,1895600,2.91
2016-10-25,3.01,3.18,2.99,3.12,898200,3.12
2016-10-24,3.06,3.08,2.93,2.99,1028500,2.99
2016-10-21,3.08,3.10,3.00,3.02,809700,3.02
2016-10-20,3.10,3.13,3.04,3.08,612400,3.08
2016-10-19,3.01,3.12,2.98,3.08,1180600,3.08
2016-10-18,2.93,3.01,2.88,2.98,915600,2.98
2016-10-17,2.94,2.96,2.86,2.89,724200,2.89
2016-10-14,2.95,3.02,2.87,2.88,860100,2.88
2016-10-13,2.93,3.09,2.85,2.96,1185100,2.96
2016-10-12,2.87,2.95,2.80,2.91,989200,2.91
2016-10-11,2.92,2.95,2.85,2.88,915000,2.88
2016-10-07,3.05,3.08,2.91,2.94,1522600,2.94
2016-10-06,2.95,3.03,2.90,2.95,1100300,2.95
2016-10-05,3.07,3.09,2.91,3.01,1200800,3.01
2016-10-04,3.17,3.17,2.98,3.00,1262700,3.00
2016-10-03,3.29,3.31,3.17,3.24,723000,3.24
2016-09-30,3.40,3.45,3.28,3.28,986800,3.28
2016-09-29,3.36,3.43,3.32,3.37,513900,3.37
2016-09-28,3.49,3.53,3.31,3.39,1062000,3.39
2016-09-27,3.56,3.56,3.41,3.47,833800,3.47
2016-09-26,3.70,3.76,3.58,3.59,481400,3.59
2016-09-23,3.73,3.77,3.63,3.68,898200,3.68
2016-09-22,3.71,3.77,3.66,3.73,657500,3.73
2016-09-21,3.78,3.79,3.58,3.67,1622000,3.67
2016-09-20,3.55,3.75,3.55,3.74,1202100,3.74
2016-09-19,3.48,3.57,3.44,3.55,693300,3.55
2016-09-16,3.55,3.63,3.35,3.37,5995300,3.37
2016-09-15,3.67,3.70,3.56,3.57,1081000,3.57
2016-09-14,3.49,3.78,3.46,3.68,1804000,3.68
2016-09-13,3.39,3.47,3.30,3.44,1425800,3.44
2016-09-12,3.06,3.44,3.05,3.42,1937700,3.42
2016-09-09,3.20,3.24,3.07,3.09,909100,3.09
2016-09-08,3.31,3.31,3.22,3.25,496600,3.25
2016-09-07,3.35,3.36,3.20,3.31,973700,3.31
2016-09-06,3.19,3.41,3.19,3.40,1286800,3.40
2016-09-02,3.16,3.18,3.05,3.17,1329600,3.17
2016-09-01,2.96,3.10,2.87,3.09,1003700,3.09
2016-08-31,2.97,3.00,2.88,2.95,875100,2.95
2016-08-30,3.12,3.14,2.92,2.97,681100,2.97
2016-08-29,3.07,3.19,3.07,3.15,436800,3.15
2016-08-26,3.20,3.23,3.05,3.10,875000,3.10
2016-08-25,3.06,3.22,3.05,3.14,788800,3.14
2016-08-24,3.10,3.19,2.99,2.99,913200,2.99
2016-08-23,3.22,3.23,3.11,3.13,485900,3.13
2016-08-22,3.24,3.25,3.15,3.23,1305500,3.23
2016-08-19,3.27,3.33,3.18,3.20,700900,3.20
2016-08-18,3.32,3.35,3.22,3.30,759300,3.30
2016-08-17,3.26,3.33,3.22,3.30,672000,3.30
2016-08-16,3.32,3.36,3.27,3.27,353100,3.27
2016-08-15,3.31,3.34,3.28,3.32,213800,3.32
2016-08-12,3.29,3.36,3.28,3.31,614100,3.31
2016-08-11,3.32,3.38,3.29,3.29,301800,3.29
2016-08-10,3.35,3.39,3.31,3.32,412600,3.32
2016-08-09,3.38,3.40,3.29,3.30,375400,3.30
2016-08-08,3.32,3.42,3.31,3.36,500300,3.36
2016-08-05,3.34,3.35,3.21,3.28,453100,3.28
2016-08-04,3.40,3.46,3.36,3.40,298400,3.40
2016-08-03,3.43,3.46,3.36,3.40,271900,3.40
2016-08-02,3.40,3.50,3.35,3.45,987700,3.45
2016-07-29,3.28,3.38,3.27,3.33,740500,3.33
2016-07-28,3.29,3.33,3.19,3.31,786800,3.31
2016-07-27,3.15,3.31,3.08,3.30,1136200,3.30
2016-07-26,3.18,3.22,3.12,3.17,535800,3.17
2016-07-25,3.21,3.23,3.14,3.16,945300,3.16
2016-07-22,3.15,3.26,3.15,3.22,602000,3.22
2016-07-21,3.07,3.25,3.06,3.19,528500,3.19
2016-07-20,3.15,3.22,3.05,3.06,1484100,3.06
2016-07-19,3.38,3.39,3.20,3.20,864100,3.20
2016-07-18,3.40,3.45,3.36,3.40,777900,3.40
2016-07-15,3.37,3.50,3.37,3.49,770000,3.49
2016-07-14,3.37,3.45,3.35,3.44,920100,3.44
2016-07-13,3.41,3.46,3.32,3.41,892400,3.41
2016-07-12,3.42,3.48,3.35,3.37,1015100,3.37
2016-07-11,3.43,3.53,3.40,3.41,947500,3.41
2016-07-08,3.34,3.45,3.30,3.41,1664300,3.41
2016-07-07,3.32,3.36,3.26,3.34,775800,3.34
2016-07-06,3.43,3.46,3.33,3.38,2199500,3.38
2016-07-05,3.62,3.64,3.36,3.37,1782700,3.37
2016-07-04,3.22,3.64,3.22,3.64,1058000,3.64
2016-06-30,3.09,3.12,3.06,3.08,747300,3.08
2016-06-29,2.99,3.12,2.99,3.08,855100,3.08
2016-06-28,3.02,3.08,2.97,2.97,660200,2.97
2016-06-27,3.12,3.15,2.98,3.04,1206000,3.04
2016-06-24,3.10,3.14,3.01,3.09,1585400,3.09
2016-06-23,2.95,2.95,2.88,2.89,398900,2.89
2016-06-22,2.93,2.97,2.91,2.95,395500,2.95
2016-06-21,3.01,3.05,2.91,2.91,589100,2.91
2016-06-20,2.95,3.05,2.87,3.05,907300,3.05
2016-06-17,3.02,3.07,2.91,2.98,6606700,2.98
2016-06-16,3.13,3.13,2.94,2.99,2165300,2.99
2016-06-15,2.97,3.10,2.92,3.04,1465000,3.04
2016-06-14,2.89,2.99,2.88,2.97,1022900,2.97
2016-06-13,3.08,3.09,2.86,2.89,1050000,2.89
2016-06-10,3.04,3.13,3.00,3.01,980300,3.01
2016-06-09,3.04,3.06,3.00,3.01,659000,3.01
2016-06-08,3.11,3.16,3.03,3.04,1547200,3.04
2016-06-07,3.04,3.11,3.01,3.06,535500,3.06
2016-06-06,3.07,3.10,3.00,3.06,954100,3.06
2016-06-03,3.04,3.11,3.01,3.04,1326200,3.04
2016-06-02,2.88,2.95,2.87,2.91,368600,2.91
2016-06-01,2.97,3.02,2.87,2.93,485200,2.93
2016-05-31,2.95,3.01,2.87,2.97,1516100,2.97
2016-05-30,2.97,2.97,2.86,2.93,345300,2.93
2016-05-27,3.00,3.04,2.93,2.94,621800,2.94
2016-05-26,3.12,3.12,2.98,3.00,778500,3.00
2016-05-25,3.06,3.10,2.98,3.07,831300,3.07
2016-05-24,3.14,3.20,3.03,3.08,1124600,3.08
2016-05-20,3.26,3.31,3.19,3.30,955600,3.30
2016-05-19,3.07,3.30,3.05,3.27,1271900,3.27
2016-05-18,3.13,3.26,3.08,3.11,1681800,3.11
2016-05-17,3.18,3.22,3.09,3.14,1071600,3.14
2016-05-16,3.26,3.26,3.13,3.18,1019400,3.18
2016-05-13,3.23,3.37,3.19,3.33,732400,3.33
