Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,12.28,12.41,12.05,12.10,59800,12.10
2017-01-19,12.68,12.68,12.27,12.30,112200,12.30
2017-01-18,12.83,12.83,12.60,12.65,44100,12.65
2017-01-17,12.81,12.92,12.69,12.80,73100,12.80
2017-01-16,12.83,12.93,12.73,12.74,11900,12.74
2017-01-13,12.50,12.95,12.30,12.82,139500,12.82
2017-01-12,12.64,12.83,12.23,12.49,204000,12.49
2017-01-11,12.56,12.78,12.41,12.64,122000,12.64
2017-01-10,12.58,12.61,12.48,12.56,46100,12.56
2017-01-09,12.53,12.60,12.38,12.59,97600,12.59
2017-01-06,12.36,12.65,12.36,12.53,92400,12.53
2017-01-05,12.43,12.44,12.15,12.39,124600,12.39
2017-01-04,12.38,12.53,12.01,12.30,109500,12.30
2017-01-03,12.48,12.64,12.31,12.38,35700,12.38
2016-12-30,12.52,12.70,12.41,12.52,163700,12.52
2016-12-29,12.88,12.88,12.43,12.55,136000,12.55
2016-12-28,12.50,12.97,12.48,12.88,104000,12.88
2016-12-23,12.12,12.55,12.09,12.46,42100,12.46
2016-12-22,11.90,12.22,11.82,12.13,160000,12.13
2016-12-21,11.80,11.95,11.49,11.87,61900,11.87
2016-12-20,11.74,11.80,11.43,11.68,234400,11.68
2016-12-19,12.06,12.09,11.76,11.76,65000,11.76
2016-12-16,11.67,12.22,11.67,12.05,355400,12.05
2016-12-15,11.35,11.75,10.96,11.63,353900,11.63
2016-12-14,11.26,11.50,11.09,11.33,57400,11.33
2016-12-13,11.00,11.40,10.99,11.27,66300,11.27
2016-12-12,11.14,11.19,10.90,11.08,36600,11.08
2016-12-09,11.11,11.14,11.00,11.11,57900,11.11
2016-12-08,10.81,11.10,10.81,11.06,36500,11.06
2016-12-07,10.57,10.92,10.56,10.87,94600,10.87
2016-12-06,10.68,10.85,10.46,10.57,27100,10.57
2016-12-05,10.47,10.80,10.47,10.71,32500,10.71
2016-12-02,10.51,10.58,10.32,10.52,51200,10.52
2016-12-01,10.57,10.57,10.40,10.51,37100,10.51
2016-11-30,10.95,10.95,10.37,10.50,107200,10.50
2016-11-29,10.54,11.02,10.43,10.81,265400,10.81
2016-11-28,9.95,10.58,9.95,10.54,331900,10.54
2016-11-25,10.00,10.09,9.93,10.08,38800,10.08
2016-11-24,10.02,10.04,9.98,10.01,54600,10.01
2016-11-23,9.93,10.15,9.86,10.00,88500,10.00
2016-11-22,9.72,9.90,9.62,9.83,91000,9.83
2016-11-21,9.60,9.80,9.57,9.74,48800,9.74
2016-11-18,9.79,9.79,9.53,9.64,90500,9.64
2016-11-17,10.11,10.11,9.74,9.79,1040400,9.79
2016-11-16,10.23,10.33,10.09,10.11,79100,10.11
2016-11-15,10.17,10.43,10.16,10.26,56000,10.26
2016-11-14,9.81,10.35,9.74,10.14,101500,10.14
2016-11-11,9.55,9.97,9.55,9.81,90800,9.81
2016-11-10,9.87,9.87,9.50,9.61,121400,9.61
2016-11-09,10.99,10.99,9.67,9.83,223100,9.83
2016-11-08,10.87,11.13,10.70,11.11,49900,11.11
2016-11-07,11.07,11.07,10.80,10.87,28300,10.87
2016-11-04,11.38,11.38,11.00,11.04,37700,11.04
2016-11-03,11.15,11.42,11.13,11.27,21200,11.27
2016-11-02,11.14,11.29,11.00,11.14,25300,11.14
2016-11-01,11.62,11.74,10.95,11.18,108400,11.18
2016-10-31,11.95,11.95,11.43,11.50,124200,11.50
2016-10-28,11.51,11.93,11.51,11.84,76700,11.84
2016-10-27,11.67,11.78,11.54,11.68,162700,11.68
2016-10-26,11.53,11.77,11.53,11.61,26700,11.61
2016-10-25,11.81,11.83,11.42,11.59,63200,11.59
2016-10-24,11.78,11.92,11.50,11.89,162500,11.89
2016-10-21,11.54,11.84,11.50,11.78,381900,11.78
2016-10-20,11.50,11.62,11.46,11.54,40100,11.54
2016-10-19,11.50,11.51,11.30,11.46,209400,11.46
2016-10-18,11.48,11.58,11.43,11.50,68900,11.50
2016-10-17,11.50,11.63,11.45,11.55,339800,11.55
2016-10-14,11.43,11.48,11.20,11.46,204100,11.46
2016-10-13,11.35,11.47,11.23,11.42,41600,11.42
2016-10-12,11.27,11.40,11.19,11.36,32100,11.36
2016-10-11,11.35,11.39,11.08,11.26,41500,11.26
2016-10-07,11.00,11.48,11.00,11.33,31100,11.33
2016-10-06,11.00,11.28,11.00,11.27,39800,11.27
2016-10-05,10.94,11.14,10.94,11.05,9100,11.05
2016-10-04,11.05,11.21,11.00,11.05,32600,11.05
2016-10-03,11.00,11.32,10.95,11.05,45900,11.05
2016-09-30,11.14,11.17,10.96,11.00,70400,11.00
2016-09-29,11.25,11.26,11.01,11.13,62300,11.13
2016-09-28,11.21,11.32,11.00,11.19,60100,11.19
2016-09-27,10.95,11.01,10.80,10.92,24000,10.92
2016-09-26,11.15,11.15,10.80,11.01,37100,11.01
