Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,59.99,60.23,59.50,60.19,1002100,60.19
2017-02-02,59.15,59.91,59.15,59.77,514200,59.77
2017-02-01,59.59,60.02,58.90,59.21,673500,59.21
2017-01-31,59.95,60.16,59.08,59.61,1020700,59.61
2017-01-30,60.52,60.52,59.95,60.16,607100,60.16
2017-01-27,60.27,60.69,60.22,60.42,454200,60.42
2017-01-26,60.89,61.00,59.945,60.18,734000,60.18
2017-01-25,62.04,62.10,60.65,60.91,951400,60.91
2017-01-24,61.32,61.90,61.00,61.78,600700,61.78
2017-01-23,61.60,61.73,60.76,61.36,782800,61.36
2017-01-20,61.58,62.22,61.37,61.68,788600,61.68
2017-01-19,61.78,61.78,61.44,61.58,458200,61.58
2017-01-18,61.74,62.00,61.60,61.68,618700,61.68
2017-01-17,61.34,62.01,61.03,61.93,830500,61.93
2017-01-16,61.31,61.49,61.12,61.30,282500,61.30
2017-01-13,59.57,61.34,59.48,61.25,860700,61.25
2017-01-12,59.93,59.96,58.77,59.46,2223500,59.46
2017-01-11,60.76,60.87,59.91,60.10,675000,60.10
2017-01-10,61.14,61.43,60.43,60.73,489500,60.73
2017-01-09,60.74,61.205,60.16,61.01,565800,61.01
2017-01-06,61.04,61.04,60.41,60.66,1022800,60.66
2017-01-05,61.18,61.41,60.61,60.98,922600,60.98
2017-01-04,60.97,61.34,60.85,61.01,520700,61.01
2017-01-03,61.10,61.56,60.56,60.75,747800,60.75
2017-01-02,60.88,60.88,60.88,60.88,000,60.88
2016-12-30,61.26,61.40,60.68,60.88,544300,60.88
2016-12-29,61.24,61.59,61.07,61.22,434500,61.22
2016-12-28,61.20,61.42,61.01,61.29,652200,61.29
2016-12-27,61.20,61.20,61.20,61.20,000,61.20
2016-12-26,61.20,61.20,61.20,61.20,000,61.20
2016-12-23,61.55,61.69,61.08,61.20,387800,61.20
2016-12-22,61.80,61.94,61.14,61.55,519200,61.55
2016-12-21,61.76,62.23,61.67,61.77,840200,61.77
2016-12-20,62.54,62.72,61.25,61.76,903400,61.76
2016-12-19,62.98,63.12,62.17,62.53,627000,62.53
2016-12-16,62.98,63.40,62.56,62.77,3148300,62.77
2016-12-15,62.30,63.15,61.35,62.65,949600,62.65
2016-12-14,62.74,63.07,61.96,62.30,905400,62.30
2016-12-13,62.49,63.31,62.27,62.74,1067500,62.74
2016-12-12,61.57,62.13,61.02,62.02,807300,62.02
2016-12-09,60.80,61.74,60.50,61.50,749700,61.50
2016-12-08,61.66,61.67,60.23,60.63,1015000,60.63
2016-12-07,60.20,61.88,60.05,61.59,1662600,61.59
2016-12-06,60.59,60.77,59.65,60.21,1361700,60.21
2016-12-05,60.96,61.31,60.55,60.59,677800,60.59
2016-12-02,60.21,61.60,60.19,60.57,1300000,60.57
2016-12-01,62.22,62.29,60.12,60.19,1397600,60.19
2016-11-30,64.08,64.47,61.90,61.99,1667900,61.99
2016-11-29,63.34,64.45,63.18,64.23,774200,64.23
2016-11-28,63.10,63.56,62.94,63.27,545700,63.18
2016-11-25,63.26,63.65,62.75,63.21,663800,63.12009
2016-11-24,63.74,63.74,63.13,63.16,344700,63.07016
2016-11-23,63.50,63.87,63.05,63.65,786000,63.55946
2016-11-22,63.50,64.80,62.73,63.50,1175800,63.40967
2016-11-21,62.43,63.32,61.22,63.12,1499300,63.03021
2016-11-18,63.05,63.40,62.02,62.37,735800,62.28128
2016-11-17,63.16,63.40,62.80,63.20,893100,63.1101
2016-11-16,63.40,63.80,62.90,63.18,737000,63.09013
2016-11-15,63.26,63.46,62.585,63.31,969100,63.21995
2016-11-14,63.42,63.82,61.28,62.53,1281300,62.44105
2016-11-11,63.24,64.03,63.12,63.38,851600,63.28985
2016-11-10,66.65,66.65,62.50,63.30,1860200,63.20996
2016-11-09,65.65,67.10,65.53,66.62,1083800,66.52524
2016-11-08,66.83,67.55,66.71,66.86,846800,66.76489
2016-11-07,66.82,67.19,66.55,66.80,696200,66.70498
2016-11-04,66.98,67.15,66.24,66.36,720000,66.26561
2016-11-03,67.09,67.52,66.41,66.58,627400,66.48529
2016-11-02,67.53,68.00,67.08,67.16,566300,67.06447
2016-11-01,67.08,67.81,67.01,67.68,854700,67.58373
2016-10-31,67.41,67.99,66.99,67.38,672000,67.28415
2016-10-28,66.91,67.83,66.73,67.49,606100,67.394
2016-10-27,66.69,67.47,66.50,67.09,649300,66.99456
2016-10-26,67.10,67.85,66.65,66.68,879400,66.58515
2016-10-25,67.61,67.65,66.88,67.30,477300,67.20427
2016-10-24,67.21,68.21,66.965,67.63,524400,67.5338
2016-10-21,67.00,67.53,66.59,67.37,520100,67.27417
2016-10-20,67.50,67.69,66.84,67.06,1060300,66.96461
2016-10-19,67.11,67.71,66.93,67.54,820700,67.44393
2016-10-18,66.44,67.47,66.40,67.13,879500,67.03451
2016-10-17,66.68,66.75,65.89,66.44,673800,66.34549
2016-10-14,66.61,67.00,66.32,66.57,755400,66.47531
2016-10-13,65.00,66.88,64.96,66.35,1485500,66.25562
2016-10-12,64.66,65.37,64.585,65.24,1414100,65.1472
2016-10-11,64.33,64.93,63.73,64.78,825700,64.68785
2016-10-10,64.04,64.04,64.04,64.04,000,63.94891
2016-10-07,64.03,64.25,63.50,64.04,435300,63.94891
2016-10-06,63.87,64.57,63.30,64.18,1253700,64.08871
2016-10-05,64.00,64.68,63.69,63.98,681400,63.88899
2016-10-04,64.55,65.11,63.845,64.40,574500,64.30839
2016-10-03,63.59,64.62,63.15,64.47,754200,64.37829
2016-09-30,63.84,64.10,63.16,63.58,852400,63.48956
2016-09-29,63.50,63.97,62.91,63.42,612400,63.32979
2016-09-28,65.01,65.40,63.19,63.66,1067600,63.56945
2016-09-27,64.27,65.23,64.14,64.80,792400,64.70783
2016-09-26,64.97,64.97,63.75,64.39,656600,64.29841
2016-09-23,65.50,65.52,65.05,65.30,582900,65.20712
2016-09-22,65.10,65.65,64.78,65.42,848200,65.32694
2016-09-21,64.81,65.00,64.12,64.78,465200,64.68785
2016-09-20,64.47,65.30,64.42,64.82,625600,64.7278
2016-09-19,64.09,64.55,63.51,64.40,889200,64.30839
2016-09-16,65.11,65.13,63.80,64.29,1460800,64.19855
2016-09-15,63.86,65.13,63.86,64.94,566400,64.84763
2016-09-14,63.18,64.41,62.75,64.06,942000,63.96887
2016-09-13,64.22,64.53,62.96,62.98,1220200,62.89041
2016-09-12,65.10,65.28,64.315,64.54,762700,64.4482
2016-09-09,65.28,65.55,64.69,65.18,775700,65.08728
2016-09-08,66.04,66.37,65.04,65.50,1193700,65.40683
2016-09-07,67.61,68.00,66.14,66.35,1088800,66.25562
2016-09-06,68.26,68.63,67.90,67.94,591300,67.76597
2016-09-05,68.26,68.26,68.26,68.26,000,68.08515
2016-09-02,68.20,68.56,67.99,68.26,703200,68.08515
2016-09-01,67.25,68.15,67.25,68.06,753700,67.88566
2016-08-31,68.04,68.04,67.10,67.63,1064800,67.45676
2016-08-30,67.75,68.06,66.93,67.94,1253800,67.76597
2016-08-29,67.85,68.03,67.11,67.63,1055600,67.45676
2016-08-26,68.06,68.15,67.26,67.93,723700,67.75599
2016-08-25,68.23,68.52,67.10,68.01,898700,67.83579
2016-08-24,67.11,68.50,66.36,68.37,1360000,68.19487
2016-08-23,67.25,67.88,65.51,66.70,1255200,66.52914
2016-08-22,63.50,67.99,63.50,66.78,2480900,66.60894
2016-08-19,62.25,62.48,61.80,62.15,585900,61.9908
2016-08-18,62.36,62.41,61.875,62.17,653700,62.01075
2016-08-17,62.00,62.51,61.25,62.45,835300,62.29003
2016-08-16,60.60,62.29,60.51,62.00,1118400,61.84118
2016-08-15,59.91,60.26,59.52,60.11,631400,59.95602
2016-08-12,59.63,60.07,59.12,60.07,563500,59.91613
2016-08-11,59.00,60.05,58.82,59.82,997300,59.66677
2016-08-10,58.14,58.97,58.10,58.91,568300,58.7591
