Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,12.37,12.44,12.30,12.36,275800,12.36
2017-01-20,12.55,12.55,12.39,12.41,237200,12.41
2017-01-19,12.65,12.65,12.48,12.55,192300,12.55
2017-01-18,12.62,12.69,12.60,12.60,437200,12.60
2017-01-17,12.70,12.78,12.60,12.61,414600,12.61
2017-01-16,12.62,12.72,12.57,12.72,172800,12.72
2017-01-13,12.56,12.60,12.51,12.57,164900,12.57
2017-01-12,12.56,12.60,12.51,12.56,176300,12.56
2017-01-11,12.66,12.68,12.52,12.53,335700,12.53
2017-01-10,12.71,12.71,12.62,12.66,272800,12.66
2017-01-09,12.75,12.75,12.70,12.70,212800,12.70
2017-01-06,12.79,12.82,12.72,12.75,237300,12.75
2017-01-05,12.77,12.80,12.72,12.77,214400,12.77
2017-01-04,12.70,12.83,12.66,12.75,276900,12.75
2017-01-03,12.70,12.75,12.63,12.71,248000,12.71
2016-12-30,12.60,12.75,12.56,12.70,256100,12.70
2016-12-29,12.43,12.58,12.42,12.58,190200,12.58
2016-12-28,12.44,12.50,12.36,12.43,231400,12.43
2016-12-23,12.40,12.52,12.39,12.47,204100,12.47
2016-12-22,12.37,12.47,12.34,12.43,248800,12.43
2016-12-21,12.30,12.44,12.30,12.40,288400,12.40
2016-12-20,12.35,12.38,12.25,12.32,273300,12.32
2016-12-19,12.25,12.40,12.24,12.34,277900,12.34
2016-12-16,12.09,12.31,12.08,12.24,977100,12.24
2016-12-15,12.11,12.16,12.02,12.07,578500,12.07
2016-12-14,12.35,12.37,12.07,12.11,658000,12.11
2016-12-13,12.24,12.39,12.23,12.35,381500,12.35
2016-12-12,12.30,12.34,12.22,12.26,353200,12.26
2016-12-09,12.30,12.38,12.27,12.31,271800,12.31
2016-12-08,12.04,12.29,12.02,12.29,361800,12.29
2016-12-07,11.98,12.09,11.95,12.02,586400,12.02
2016-12-06,11.92,11.95,11.85,11.93,464900,11.93
2016-12-05,11.90,11.94,11.83,11.92,290200,11.92
2016-12-02,11.87,12.00,11.85,11.91,248500,11.91
2016-12-01,11.76,11.88,11.65,11.88,371500,11.88
2016-11-30,11.79,11.81,11.63,11.80,516500,11.80
2016-11-29,11.61,11.77,11.50,11.75,294900,11.75
2016-11-28,11.72,11.74,11.51,11.61,422300,11.61
2016-11-25,11.77,11.83,11.71,11.75,185700,11.75
2016-11-24,11.69,11.83,11.69,11.76,170600,11.76
2016-11-23,11.77,11.79,11.66,11.70,346500,11.70
2016-11-22,11.62,11.79,11.58,11.78,299900,11.78
2016-11-21,11.59,11.71,11.55,11.59,275800,11.59
2016-11-18,11.55,11.67,11.52,11.55,424000,11.55
2016-11-17,11.49,11.60,11.45,11.58,356900,11.58
2016-11-16,11.54,11.54,11.43,11.45,433700,11.45
2016-11-15,11.68,11.79,11.54,11.54,575600,11.54
2016-11-14,11.64,11.71,11.48,11.60,468500,11.60
2016-11-11,11.50,11.73,11.37,11.64,471800,11.64
2016-11-10,11.70,11.72,11.50,11.51,544800,11.51
2016-11-09,11.51,11.74,11.50,11.65,426500,11.65
2016-11-08,11.68,11.76,11.58,11.72,319100,11.72
2016-11-07,11.60,11.70,11.51,11.67,331600,11.67
2016-11-04,11.59,11.62,11.39,11.49,562600,11.49
2016-11-03,11.55,11.69,11.48,11.62,451200,11.62
2016-11-02,11.63,11.63,11.50,11.55,339600,11.55
2016-11-01,11.77,11.82,11.60,11.67,371800,11.67
2016-10-31,11.76,11.78,11.66,11.72,394500,11.72
2016-10-28,11.95,11.95,11.71,11.74,575900,11.74
2016-10-27,12.13,12.14,11.85,11.91,390800,11.91
2016-10-26,12.20,12.21,12.12,12.18,332600,12.18
2016-10-25,12.29,12.30,12.19,12.21,141700,12.21
2016-10-24,12.27,12.32,12.17,12.25,325900,12.25
2016-10-21,12.30,12.30,12.20,12.20,247300,12.20
2016-10-20,12.23,12.33,12.20,12.29,315900,12.29
2016-10-19,12.30,12.30,12.15,12.25,233300,12.25
2016-10-18,12.11,12.27,12.08,12.26,357400,12.26
2016-10-17,12.02,12.09,11.96,12.05,246000,12.05
2016-10-14,12.09,12.14,12.00,12.06,178000,12.06
2016-10-13,12.06,12.11,11.91,12.10,324100,12.10
2016-10-12,11.95,12.18,11.95,12.10,353100,12.10
2016-10-11,11.94,12.02,11.90,11.95,388300,11.95
2016-10-07,11.88,12.08,11.88,11.93,314700,11.93
2016-10-06,11.97,12.04,11.79,11.88,659000,11.88
2016-10-05,12.15,12.23,11.96,11.98,381700,11.98
2016-10-04,12.28,12.28,12.11,12.14,365400,12.14
2016-10-03,12.45,12.47,12.25,12.30,340500,12.30
2016-09-30,12.60,12.62,12.36,12.41,589300,12.41
2016-09-29,12.65,12.70,12.58,12.62,241400,12.62
