Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,18.98,19.120001,18.92,19.08,98400,19.08
2017-02-09,18.75,19.120001,18.719999,18.959999,565600,18.959999
2017-02-08,18.74,18.809999,18.459999,18.780001,464500,18.780001
2017-02-07,18.540001,18.75,18.540001,18.66,115800,18.66
2017-02-06,18.48,18.65,18.360001,18.549999,199000,18.549999
2017-02-03,18.370001,18.68,18.209999,18.559999,231200,18.559999
2017-02-02,18.34,18.35,18.01,18.219999,273700,18.219999
2017-02-01,17.860001,18.549999,17.780001,18.360001,644400,18.360001
2017-01-31,18.129999,18.129999,17.73,17.85,121200,17.85
2017-01-30,18.00,18.17,17.99,18.10,64200,18.10
2017-01-27,18.059999,18.32,17.969999,18.25,59000,18.25
2017-01-26,18.139999,18.26,18.02,18.059999,75400,18.059999
2017-01-25,18.41,18.50,18.01,18.17,152200,18.17
2017-01-24,18.40,18.629999,18.25,18.389999,319700,18.389999
2017-01-23,18.370001,18.50,18.110001,18.299999,148100,18.299999
2017-01-20,18.34,18.43,18.110001,18.309999,268900,18.309999
2017-01-19,17.75,17.799999,17.65,17.74,96400,17.74
2017-01-18,17.52,18.02,17.50,17.77,136800,17.77
2017-01-17,18.00,18.00,17.469999,17.700001,206100,17.700001
2017-01-16,18.049999,18.120001,17.85,17.99,223300,17.99
2017-01-13,18.440001,18.66,18.129999,18.18,232100,18.18
2017-01-12,18.620001,18.690001,18.379999,18.50,153500,18.50
2017-01-11,18.860001,18.860001,18.41,18.709999,110200,18.709999
2017-01-10,19.09,19.24,18.83,18.879999,104300,18.879999
2017-01-09,19.049999,19.26,18.90,19.25,76500,19.25
2017-01-06,19.00,19.059999,18.75,19.01,48700,19.01
2017-01-05,19.290001,19.440001,18.90,19.01,119000,19.01
2017-01-04,19.42,19.620001,19.299999,19.389999,221000,19.389999
2017-01-03,19.24,19.58,18.950001,19.42,327000,19.42
2016-12-30,19.00,19.040001,18.870001,19.01,194800,19.01
2016-12-29,18.709999,19.09,18.709999,19.049999,148700,19.049999
2016-12-28,18.950001,19.10,18.879999,18.98,106800,18.98
2016-12-23,19.09,19.15,18.860001,19.049999,146700,19.049999
2016-12-22,19.059999,19.25,18.969999,19.139999,188000,19.139999
2016-12-21,19.049999,19.200001,18.68,19.08,260200,19.08
2016-12-20,17.889999,19.50,17.879999,19.00,840500,19.00
2016-12-19,19.15,19.48,19.00,19.379999,180200,19.379999
2016-12-16,19.139999,19.26,18.93,19.10,140100,19.10
2016-12-15,19.209999,19.379999,18.82,19.139999,120900,19.139999
2016-12-14,19.030001,19.360001,18.950001,19.200001,163800,19.200001
2016-12-13,18.49,19.030001,18.40,19.00,197700,19.00
2016-12-12,18.99,19.059999,18.139999,18.40,369500,18.40
2016-12-09,19.26,19.26,18.75,18.98,129000,18.98
2016-12-08,19.27,19.32,19.139999,19.190001,205400,19.190001
2016-12-07,19.299999,19.41,19.139999,19.27,189500,19.27
2016-12-06,19.16,19.40,19.059999,19.32,203100,19.32
2016-12-05,19.10,19.370001,19.059999,19.110001,160100,19.110001
2016-12-02,18.959999,19.360001,18.860001,19.120001,194200,19.120001
2016-12-01,19.91,19.91,18.76,19.049999,491600,19.049999
2016-11-30,19.950001,20.129999,19.57,19.60,447600,19.60
2016-11-29,19.950001,20.10,19.68,19.98,269300,19.98
2016-11-28,20.01,20.129999,19.889999,20.00,401100,20.00
2016-11-25,19.049999,20.629999,18.90,20.10,563400,20.10
2016-11-24,18.969999,19.10,18.59,18.790001,156000,18.790001
2016-11-23,18.559999,19.43,18.360001,18.82,1001500,18.82
2016-11-22,19.84,19.84,17.98,18.67,1813700,18.67
2016-11-21,20.41,20.440001,19.66,19.860001,854300,19.860001
2016-11-18,21.00,21.15,19.59,20.200001,1244000,20.200001
2016-11-17,19.959999,20.790001,19.83,20.790001,475400,20.790001
2016-11-16,20.139999,20.139999,19.450001,19.75,761800,19.75
2016-11-15,21.18,21.18,19.85,20.040001,1134100,20.040001
2016-11-14,21.00,21.690001,20.73,20.98,2807700,20.98
2016-11-11,18.379999,18.52,18.299999,18.34,171900,18.34
2016-11-10,17.799999,18.41,17.790001,18.299999,174600,18.299999
2016-11-09,17.07,18.23,17.07,17.809999,300100,17.809999
2016-11-08,17.889999,17.969999,17.639999,17.639999,161500,17.639999
2016-11-07,17.610001,18.00,17.549999,17.950001,409600,17.950001
2016-11-04,18.00,18.040001,17.43,17.48,405800,17.48
2016-11-03,17.799999,18.07,17.799999,17.98,625800,17.98
2016-11-02,17.93,18.10,17.68,17.940001,243700,17.940001
2016-11-01,17.92,18.129999,17.60,17.93,225000,17.93
2016-10-31,18.01,18.07,17.90,17.959999,291000,17.959999
2016-10-28,18.00,18.32,17.870001,18.09,651400,18.09
2016-10-27,18.00,18.23,17.799999,18.040001,210700,18.040001
2016-10-26,17.950001,18.01,17.709999,17.90,223800,17.90
2016-10-25,18.299999,18.50,17.879999,17.959999,176200,17.959999
2016-10-24,18.43,18.450001,17.83,18.370001,244800,18.370001
2016-10-21,18.540001,18.65,18.24,18.33,311600,18.33
2016-10-20,18.18,18.629999,17.530001,18.540001,586200,18.540001
2016-10-19,18.559999,18.98,18.049999,18.18,531500,18.18
2016-10-18,18.98,19.049999,18.25,18.65,1169600,18.65
2016-10-17,20.799999,21.209999,20.25,20.33,246000,20.33
