Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,32.619999,33.18,32.50,33.110001,45300,33.110001
2017-02-08,33.439999,33.439999,32.57,32.82,50900,32.82
2017-02-07,33.169998,33.759998,33.169998,33.59,63000,33.59
2017-02-06,34.029999,34.029999,33.310001,33.450001,57400,33.450001
2017-02-03,34.16,34.48,33.75,34.16,89400,34.16
2017-02-02,32.799999,34.09,32.799999,34.02,295700,34.02
2017-02-01,33.209999,33.209999,32.490002,32.77,282300,32.77
2017-01-31,33.439999,33.84,32.77,32.98,103800,32.98
2017-01-30,34.290001,34.290001,33.400002,33.459999,162900,33.459999
2017-01-27,34.349998,34.630001,33.799999,34.439999,260000,34.439999
2017-01-26,33.950001,34.360001,33.389999,33.880001,117200,33.847002
2017-01-25,33.139999,33.970001,33.139999,33.849998,143800,33.817029
2017-01-24,32.700001,33.200001,32.490002,33.119999,80500,33.08774
2017-01-23,32.330002,32.610001,32.310001,32.52,74400,32.488326
2017-01-20,32.119999,32.689999,32.00,32.52,190100,32.488326
2017-01-19,31.98,32.18,31.879999,32.009998,149300,31.978821
2017-01-18,31.91,32.209999,31.799999,31.959999,156800,31.92887
2017-01-17,31.76,32.009998,31.360001,31.809999,45200,31.779017
2017-01-16,31.889999,31.98,31.639999,31.76,13700,31.729066
2017-01-13,31.59,32.189999,31.51,32.029999,20500,31.998802
2017-01-12,31.700001,32.200001,31.25,31.60,124700,31.569222
2017-01-11,31.67,31.700001,31.16,31.690001,124300,31.659134
2017-01-10,32.459999,32.50,31.530001,31.639999,68700,31.609182
2017-01-09,32.139999,32.209999,31.90,32.040001,58400,32.008794
2017-01-06,32.700001,32.93,32.200001,32.200001,38400,32.168638
2017-01-05,32.849998,33.169998,32.599998,32.700001,43200,32.668151
2017-01-04,32.459999,33.029999,32.099998,32.849998,38800,32.818003
2017-01-03,32.25,32.57,32.150002,32.400002,63400,32.368444
2016-12-30,32.889999,32.970001,32.00,32.099998,167700,32.068733
2016-12-29,32.919998,33.299999,32.720001,32.860001,228100,32.827995
2016-12-28,31.57,33.00,31.35,32.790001,204000,32.758063
2016-12-23,31.049999,31.65,31.049999,31.620001,42500,31.556234
2016-12-22,30.66,31.290001,30.66,31.110001,77300,31.047262
2016-12-21,30.809999,31.08,30.700001,30.75,39000,30.687988
2016-12-20,30.74,31.030001,30.719999,30.83,53700,30.767826
2016-12-19,30.26,30.90,30.209999,30.74,47800,30.678008
2016-12-16,30.870001,31.049999,30.10,30.299999,182000,30.238894
2016-12-15,30.91,31.049999,30.450001,30.719999,80900,30.658047
2016-12-14,31.620001,31.75,30.639999,30.959999,166600,30.897563
2016-12-13,31.27,31.90,30.85,31.68,108200,31.616112
2016-12-12,31.43,31.83,31.290001,31.290001,58500,31.2269
2016-12-09,31.530001,31.719999,31.26,31.389999,62900,31.326696
2016-12-08,31.690001,31.709999,31.450001,31.540001,65800,31.476395
2016-12-07,31.41,32.00,31.41,31.59,280200,31.526294
2016-12-06,31.719999,31.860001,30.940001,31.209999,184000,31.147059
2016-12-05,32.00,32.75,31.549999,31.809999,180800,31.745849
2016-12-02,32.25,32.43,32.040001,32.299999,244200,32.234861
2016-12-01,31.50,32.34,31.200001,32.220001,238400,32.155024
2016-11-30,30.969999,31.469999,30.870001,31.25,176900,31.186979
2016-11-29,30.49,30.950001,30.360001,30.629999,104500,30.568229
2016-11-28,30.110001,30.60,30.110001,30.57,295100,30.50835
2016-11-25,30.10,30.40,30.07,30.200001,66300,30.106164
2016-11-24,29.60,30.15,29.60,30.049999,159100,29.956628
2016-11-23,29.90,30.00,29.60,29.85,72300,29.757251
2016-11-22,29.799999,30.08,29.799999,30.00,219900,29.906784
2016-11-21,29.709999,29.85,29.50,29.68,92100,29.587779
2016-11-18,29.33,29.610001,29.00,29.469999,57900,29.37843
2016-11-17,28.559999,29.68,28.51,29.370001,51600,29.278743
2016-11-16,28.440001,28.809999,27.870001,28.50,99500,28.411445
2016-11-15,29.10,29.10,27.440001,28.57,135200,28.481227
2016-11-14,29.82,29.82,28.68,29.139999,225100,29.049456
2016-11-11,29.389999,29.40,28.690001,29.299999,88000,29.208959
2016-11-10,28.799999,29.84,28.799999,29.299999,170100,29.208959
2016-11-09,28.379999,28.98,28.34,28.65,83900,28.560979
2016-11-08,29.120001,29.120001,28.15,28.42,114900,28.331694
2016-11-07,28.59,29.139999,28.58,28.84,100200,28.750389
2016-11-04,28.60,28.60,27.879999,28.32,179000,28.232004
2016-11-03,28.389999,28.85,28.389999,28.639999,97700,28.551009
2016-11-02,29.01,29.10,28.26,28.389999,87200,28.301786
2016-11-01,28.60,29.43,28.549999,29.09,139400,28.999612
2016-10-31,29.030001,29.66,28.67,28.98,300800,28.889953
2016-10-28,29.860001,30.10,29.700001,29.799999,146300,29.707405
2016-10-27,29.639999,29.99,29.57,29.809999,166500,29.717374
2016-10-26,29.709999,29.719999,29.48,29.58,68500,29.455193
2016-10-25,29.51,29.84,29.450001,29.790001,94500,29.664308
2016-10-24,29.51,29.65,28.940001,29.51,48100,29.385489
2016-10-21,29.51,29.52,29.120001,29.379999,164900,29.256036
2016-10-20,28.66,29.50,28.530001,29.49,84800,29.365573
2016-10-19,28.84,29.389999,28.530001,28.77,182500,28.648611
2016-10-18,28.68,28.98,28.23,28.799999,210100,28.678484
2016-10-17,28.10,28.75,28.08,28.48,146500,28.359834
2016-10-14,28.110001,28.65,28.030001,28.10,138600,27.981438
2016-10-13,28.299999,28.620001,27.33,28.08,117000,27.961522
2016-10-12,28.32,29.00,28.32,28.42,112000,28.300088
2016-10-11,28.65,28.92,28.32,28.370001,85200,28.250299
2016-10-07,28.90,28.93,28.52,28.620001,128600,28.499245
2016-10-06,28.459999,28.950001,28.459999,28.860001,110000,28.738232
2016-10-05,27.90,28.610001,27.870001,28.549999,143100,28.429538
2016-10-04,27.98,28.49,27.76,27.870001,74500,27.752409
2016-10-03,28.309999,28.32,27.75,27.90,63600,27.782281
2016-09-30,28.299999,28.57,28.299999,28.35,105000,28.230383
2016-09-29,28.450001,28.48,28.219999,28.27,75000,28.150721
2016-09-28,28.030001,28.58,28.030001,28.43,144100,28.310046
2016-09-27,27.90,28.110001,27.65,27.99,89300,27.839041
2016-09-26,28.40,28.40,27.91,27.969999,68800,27.819148
2016-09-23,28.879999,28.879999,28.15,28.40,40800,28.246829
2016-09-22,28.700001,28.92,28.620001,28.90,97200,28.744132
2016-09-21,28.34,28.700001,28.34,28.620001,79000,28.465644
2016-09-20,28.030001,28.379999,28.030001,28.32,37800,28.167261
2016-09-19,28.610001,28.610001,27.549999,28.00,179900,27.848987
2016-09-16,28.17,28.68,27.809999,28.610001,262600,28.455698
2016-09-15,28.030001,28.34,27.85,28.26,105700,28.107585
2016-09-14,27.27,27.93,26.58,27.93,323600,27.779365
2016-09-13,27.40,27.84,27.16,27.610001,62200,27.461091
2016-09-12,27.33,27.700001,27.02,27.52,66100,27.371576
2016-09-09,27.98,28.209999,27.41,27.52,160000,27.371576
2016-09-08,27.99,28.049999,27.879999,28.040001,43800,27.888772
2016-09-07,27.85,28.110001,27.790001,27.99,248600,27.839041
2016-09-06,26.809999,27.950001,26.719999,27.85,175300,27.699796
2016-09-02,26.23,27.10,26.17,26.77,310400,26.625621
2016-09-01,26.15,26.309999,25.92,26.030001,33300,25.889612
2016-08-31,25.93,26.49,25.93,26.17,87000,26.028857
2016-08-30,25.77,26.110001,25.77,26.059999,55000,25.919449
2016-08-29,26.24,26.25,25.860001,25.91,51600,25.770259
