Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,45.65,45.95,45.49,45.81,750000,45.81
2017-01-26,45.64,45.75,45.39,45.62,615100,45.62
2017-01-25,45.71,45.82,45.58,45.65,908000,45.65
2017-01-24,46.15,46.20,45.21,45.52,915200,45.52
2017-01-23,46.02,46.29,45.77,46.15,749000,46.15
2017-01-20,44.76,46.01,44.76,46.01,1188700,46.01
2017-01-19,45.15,45.34,44.62,44.69,622900,44.69
2017-01-18,44.42,45.14,44.35,45.02,848500,45.02
2017-01-17,44.51,44.90,44.42,44.48,834300,44.48
2017-01-16,44.83,44.90,44.35,44.53,359000,44.53
2017-01-13,44.64,44.93,44.56,44.84,1087900,44.84
2017-01-12,43.80,44.77,43.53,44.60,1440100,44.60
2017-01-11,43.82,43.94,43.51,43.84,1824600,43.84
2017-01-10,43.71,43.91,43.59,43.80,501700,43.80
2017-01-09,44.09,44.09,43.47,43.56,1303200,43.56
2017-01-06,44.22,44.32,44.03,44.12,2064700,44.12
2017-01-05,44.56,44.60,44.04,44.32,1125100,44.32
2017-01-04,44.62,44.86,44.44,44.59,1388800,44.59
2017-01-03,44.53,44.90,44.12,44.61,793600,44.61
2017-01-02,44.30,44.30,44.30,44.30,000,44.30
2016-12-30,44.67,44.67,44.20,44.30,572600,44.30
2016-12-29,44.63,44.88,44.38,44.56,504900,44.56
2016-12-28,44.45,44.78,44.32,44.51,594900,44.51
2016-12-27,44.62,44.62,44.62,44.62,000,44.62
2016-12-26,44.62,44.62,44.62,44.62,000,44.62
2016-12-23,44.65,44.98,44.57,44.62,363200,44.62
2016-12-22,44.77,44.92,44.43,44.59,467800,44.59
2016-12-21,45.00,45.00,44.68,44.68,570700,44.68
2016-12-20,44.82,45.21,44.71,45.03,748100,45.03
2016-12-19,44.88,45.09,44.69,44.74,518800,44.74
2016-12-16,44.50,44.82,44.44,44.63,5442000,44.63
2016-12-15,44.22,44.62,44.17,44.30,868700,44.30
