Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,9.48,9.66,9.47,9.48,794600,9.48
2017-01-19,9.55,9.69,9.43,9.44,1087900,9.44
2017-01-18,9.34,9.56,9.32,9.54,1141100,9.54
2017-01-17,9.46,9.47,9.30,9.33,919400,9.33
2017-01-16,9.53,9.56,9.43,9.46,309700,9.46
2017-01-13,9.52,9.65,9.48,9.54,803700,9.54
2017-01-12,9.48,9.51,9.31,9.48,1453100,9.48
2017-01-11,9.40,9.53,9.39,9.49,893500,9.49
2017-01-10,9.42,9.51,9.38,9.41,693000,9.41
2017-01-09,9.50,9.50,9.38,9.43,612100,9.43
2017-01-06,9.46,9.48,9.31,9.47,1096100,9.47
2017-01-05,9.49,9.58,9.38,9.44,1338100,9.44
2017-01-04,9.34,9.51,9.30,9.47,1192700,9.47
2017-01-03,9.24,9.42,9.22,9.33,779700,9.33
2016-12-30,9.38,9.41,9.21,9.24,1474000,9.24
2016-12-29,9.49,9.55,9.33,9.39,1246800,9.39
2016-12-28,9.60,9.65,9.45,9.50,1330400,9.50
2016-12-23,9.59,9.73,9.49,9.51,1214100,9.51
2016-12-22,9.78,9.83,9.40,9.68,2017500,9.68
2016-12-21,10.13,10.13,9.74,9.78,1713700,9.78
2016-12-20,10.48,10.78,10.00,10.02,2852000,10.02
2016-12-19,10.14,10.50,10.13,10.34,1288600,10.34
2016-12-16,10.27,10.27,10.07,10.11,3619200,10.11
2016-12-15,10.20,10.36,10.11,10.17,1420000,10.17
2016-12-14,10.28,10.34,10.15,10.23,1210700,10.23
2016-12-13,10.20,10.39,10.20,10.28,1547100,10.28
2016-12-12,10.28,10.33,10.18,10.20,785200,10.20
2016-12-09,10.36,10.45,10.23,10.29,732100,10.29
2016-12-08,10.14,10.47,10.11,10.33,1354300,10.33
2016-12-07,10.03,10.13,9.99,10.09,664600,10.09
2016-12-06,10.13,10.15,9.98,10.07,566400,10.07
2016-12-05,10.05,10.19,10.03,10.10,785600,10.10
2016-12-02,10.05,10.10,9.95,10.06,924400,10.06
2016-12-01,10.34,10.38,9.96,10.04,1835700,10.04
2016-11-30,9.98,10.38,9.97,10.34,1266300,10.34
2016-11-29,10.00,10.07,9.91,10.00,3875400,10.00
2016-11-28,10.07,10.08,9.95,10.01,660400,10.01
2016-11-25,10.05,10.14,10.04,10.12,443400,10.12
2016-11-24,10.06,10.14,10.02,10.06,226600,10.06
2016-11-23,10.15,10.27,10.07,10.08,774600,10.08
2016-11-22,10.16,10.24,10.07,10.22,778600,10.22
2016-11-21,10.24,10.30,10.07,10.19,857000,10.19
2016-11-18,10.06,10.26,10.06,10.25,810200,10.25
