Date,Open,High,Low,Close,Volume,Adj Close
2017-01-09,2.31,2.38,2.28,2.37,5711500,2.37
2017-01-06,2.31,2.35,2.26,2.30,6463400,2.30
2017-01-05,2.43,2.49,2.31,2.34,14896000,2.34
2017-01-04,2.29,2.41,2.29,2.41,12944500,2.41
2017-01-03,2.19,2.28,2.18,2.28,12430300,2.28
2016-12-30,2.18,2.18,2.16,2.16,2626400,2.16
2016-12-29,2.17,2.18,2.15,2.17,3823600,2.17
2016-12-28,2.12,2.16,2.11,2.14,4494700,2.14
2016-12-23,2.15,2.17,2.10,2.11,4351600,2.11
2016-12-22,2.08,2.15,2.07,2.15,7293700,2.15
2016-12-21,2.06,2.12,2.06,2.08,4667900,2.08
2016-12-20,2.18,2.19,2.05,2.05,9155800,2.05
2016-12-19,2.10,2.20,2.07,2.19,13144300,2.19
2016-12-16,1.98,2.08,1.97,2.05,32281900,2.05
2016-12-15,1.97,2.01,1.94,1.95,18046200,1.95
2016-12-14,1.94,1.94,1.90,1.91,3451500,1.91
2016-12-13,1.93,1.95,1.92,1.94,2830400,1.94
2016-12-12,1.89,1.93,1.89,1.92,4722300,1.92
2016-12-09,1.91,1.94,1.89,1.90,2528700,1.90
2016-12-08,1.90,1.92,1.89,1.92,2108100,1.92
2016-12-07,1.89,1.90,1.88,1.90,1777400,1.90
2016-12-06,1.88,1.89,1.86,1.89,1868800,1.89
2016-12-05,1.87,1.90,1.87,1.87,1859300,1.87
2016-12-02,1.85,1.89,1.85,1.87,2113500,1.87
2016-12-01,1.90,1.90,1.83,1.83,5559200,1.83
2016-11-30,1.89,1.92,1.88,1.88,4799400,1.88
2016-11-29,1.93,1.94,1.90,1.90,2480500,1.90
2016-11-28,1.92,1.93,1.90,1.93,2209400,1.93
2016-11-25,1.94,1.94,1.90,1.91,2117900,1.91
2016-11-24,1.90,1.94,1.89,1.92,1324100,1.92
2016-11-23,1.90,1.91,1.89,1.90,1264500,1.90
2016-11-22,1.88,1.91,1.88,1.91,2239300,1.91
2016-11-21,1.93,1.94,1.86,1.87,5868800,1.87
2016-11-18,1.96,1.97,1.92,1.94,1364000,1.94
2016-11-17,1.92,1.97,1.90,1.96,3744600,1.96
2016-11-16,2.00,2.01,1.90,1.91,5445400,1.91
2016-11-15,2.00,2.02,1.97,2.00,3573100,2.00
2016-11-14,2.00,2.05,1.97,2.01,7579100,2.01
2016-11-11,1.93,2.03,1.93,2.03,10352600,2.03
2016-11-10,1.84,1.96,1.84,1.96,13286700,1.96
2016-11-09,1.72,1.80,1.72,1.79,3075200,1.79
2016-11-08,1.78,1.81,1.77,1.78,2016400,1.78
2016-11-07,1.78,1.82,1.77,1.79,1459200,1.79
2016-11-04,1.80,1.82,1.78,1.78,3302200,1.78
2016-11-03,1.83,1.89,1.82,1.82,2089000,1.82
2016-11-02,1.84,1.87,1.81,1.81,4089300,1.81
2016-11-01,1.82,1.85,1.80,1.84,2345200,1.84
2016-10-31,1.86,1.87,1.78,1.78,5804600,1.78
2016-10-28,1.88,1.90,1.85,1.86,2659600,1.86
2016-10-27,1.85,1.90,1.84,1.88,5002900,1.88
2016-10-26,1.81,1.85,1.80,1.85,4424200,1.85
2016-10-25,1.79,1.81,1.78,1.80,2605000,1.80
2016-10-24,1.79,1.84,1.78,1.79,4176800,1.79
