Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,14.51,14.56,14.37,14.38,301800,14.38
2017-01-17,14.36,14.81,14.34,14.53,147400,14.53
2017-01-16,14.40,14.40,14.30,14.39,58000,14.39
2017-01-13,14.60,14.67,14.32,14.36,101800,14.36
2017-01-12,14.40,14.70,14.24,14.59,513300,14.59
2017-01-11,14.76,14.82,14.35,14.39,322600,14.39
2017-01-10,14.61,14.72,14.26,14.71,315200,14.71
2017-01-09,15.24,15.24,14.54,14.60,269200,14.60
2017-01-06,15.32,15.35,15.11,15.20,182100,15.20
2017-01-05,15.05,15.48,14.74,15.36,367400,15.36
2017-01-04,15.25,15.25,14.78,15.02,413100,15.02
2017-01-03,15.26,15.38,15.07,15.25,239300,15.25
2016-12-30,15.47,15.55,15.13,15.20,278500,15.20
2016-12-29,15.58,15.58,15.16,15.46,206100,15.46
2016-12-28,15.44,15.61,15.34,15.43,185900,15.43
2016-12-23,15.37,15.44,15.23,15.37,148900,15.37
2016-12-22,15.47,15.54,15.20,15.37,188800,15.37
2016-12-21,15.10,15.48,15.09,15.44,248300,15.44
2016-12-20,14.90,15.19,14.75,15.12,242600,15.12
2016-12-19,15.25,15.45,14.88,14.91,481700,14.91
2016-12-16,14.89,15.19,14.78,15.17,577200,15.17
2016-12-15,14.44,14.81,14.44,14.78,993100,14.78
2016-12-14,14.33,14.58,14.24,14.49,1502500,14.49
2016-12-13,13.90,14.38,13.66,14.30,2885000,14.30
2016-12-12,13.88,13.97,13.62,13.84,393400,13.84
2016-12-09,13.78,13.95,13.59,13.89,384600,13.89
2016-12-08,14.30,14.30,13.64,13.71,433500,13.71
2016-12-07,13.80,14.39,13.68,14.26,753100,14.26
2016-12-06,14.15,14.44,13.42,13.82,812400,13.82
2016-12-05,14.74,14.85,14.54,14.64,365200,14.64
2016-12-02,14.60,14.91,14.38,14.67,530300,14.67
2016-12-01,15.29,15.31,14.63,14.66,721300,14.66
2016-11-30,15.96,15.96,15.24,15.27,260000,15.27
2016-11-29,15.99,16.110001,15.68,15.91,196400,15.91
2016-11-28,16.01,16.030001,15.80,16.00,148100,16.00
2016-11-25,16.02,16.23,15.89,16.049999,137900,16.049999
2016-11-24,16.190001,16.26,15.83,15.98,84700,15.98
2016-11-23,16.49,16.58,16.110001,16.24,157200,16.24
2016-11-22,16.15,16.58,16.110001,16.42,145200,16.42
2016-11-21,16.139999,16.24,15.81,16.08,268400,16.08
2016-11-18,16.10,16.24,16.01,16.17,134600,16.17
2016-11-17,16.16,16.18,15.92,16.08,345400,16.08
