Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,47.990002,48.18,47.459999,47.799999,138700,47.799999
2017-01-25,47.50,48.169998,47.23,47.740002,372400,47.740002
2017-01-24,47.279999,47.93,47.25,47.48,327300,47.48
2017-01-23,47.299999,47.75,46.950001,47.029999,127300,47.029999
2017-01-20,47.799999,47.799999,47.349998,47.50,80400,47.50
2017-01-19,47.57,47.990002,47.560001,47.799999,60500,47.799999
2017-01-18,48.52,48.52,47.810001,47.93,87500,47.93
2017-01-17,47.900002,48.880001,47.900002,48.43,110700,48.43
2017-01-16,48.060001,48.470001,47.509998,48.16,74200,48.16
2017-01-13,48.43,48.900002,48.080002,48.150002,129800,48.150002
2017-01-12,49.82,49.900002,48.860001,48.939999,149700,48.939999
2017-01-11,50.939999,50.939999,50.110001,50.459999,65600,50.459999
2017-01-10,50.810001,51.18,50.400002,50.509998,102700,50.509998
2017-01-09,50.689999,50.919998,50.099998,50.700001,102800,50.700001
2017-01-06,50.720001,51.18,50.57,50.610001,77600,50.610001
2017-01-05,49.900002,50.77,49.720001,50.77,88700,50.77
2017-01-04,49.09,49.93,48.990002,49.73,101700,49.73
2017-01-03,48.77,49.060001,48.299999,49.00,70200,49.00
2016-12-30,47.860001,49.299999,47.860001,48.650002,91300,48.650002
2016-12-29,47.189999,47.959999,47.189999,47.830002,76300,47.830002
2016-12-28,47.490002,47.509998,46.84,47.110001,125000,47.110001
2016-12-23,47.529999,47.68,47.23,47.470001,56600,47.470001
2016-12-22,47.349998,47.540001,47.099998,47.459999,43600,47.459999
2016-12-21,47.299999,47.459999,47.060001,47.349998,90300,47.349998
2016-12-20,47.540001,47.540001,47.02,47.200001,76800,47.200001
2016-12-19,47.41,47.470001,47.09,47.150002,89300,47.150002
2016-12-16,46.93,47.529999,46.93,47.299999,279200,47.299999
2016-12-15,47.009998,47.139999,46.50,46.799999,125500,46.799999
2016-12-14,47.509998,47.549999,47.00,47.060001,223400,47.060001
2016-12-13,47.48,47.75,47.279999,47.470001,173800,47.470001
2016-12-12,47.41,47.68,47.220001,47.310001,139600,47.310001
2016-12-09,47.549999,47.650002,47.09,47.380001,80800,47.380001
2016-12-08,46.990002,47.740002,46.599998,47.549999,168300,47.549999
2016-12-07,46.790001,47.25,46.400002,46.84,144900,46.84
2016-12-06,46.50,46.779999,46.27,46.720001,194100,46.720001
2016-12-05,46.810001,46.82,46.139999,46.57,95500,46.57
2016-12-02,46.360001,46.810001,46.310001,46.59,142900,46.59
2016-12-01,44.540001,46.630001,44.509998,46.259998,278300,46.259998
2016-11-30,44.00,44.810001,43.950001,44.599998,195800,44.599998
2016-11-29,43.900002,44.290001,43.599998,44.150002,122000,44.150002
2016-11-28,43.59,43.959999,43.560001,43.959999,204900,43.959999
2016-11-25,44.00,44.080002,43.740002,43.77,478300,43.77
2016-11-24,44.400002,44.400002,43.57,43.860001,63900,43.860001
2016-11-23,44.139999,44.41,43.799999,43.970001,132900,43.970001
2016-11-22,43.91,44.450001,43.419998,44.110001,174500,44.110001
2016-11-21,43.610001,43.84,43.389999,43.830002,168100,43.830002
2016-11-18,43.470001,43.84,43.16,43.41,124500,43.41
2016-11-17,43.169998,43.849998,43.029999,43.380001,219400,43.380001
2016-11-16,43.380001,43.419998,43.060001,43.169998,235000,43.169998
2016-11-15,43.00,44.02,42.970001,43.57,328900,43.57
2016-11-14,43.509998,43.549999,42.900002,43.16,262900,43.16
2016-11-11,44.959999,44.959999,41.00,43.68,1636200,43.68
2016-11-10,48.169998,48.310001,46.389999,46.490002,222300,46.490002
2016-11-09,47.299999,48.259998,47.299999,48.00,136100,48.00
2016-11-08,47.939999,48.07,47.599998,47.779999,98500,47.779999
2016-11-07,48.009998,48.25,47.59,47.919998,118500,47.919998
2016-11-04,47.50,48.200001,47.110001,47.650002,180700,47.650002
2016-11-03,47.860001,48.099998,47.68,47.779999,92800,47.779999
2016-11-02,48.84,48.84,47.650002,47.889999,175400,47.889999
2016-11-01,49.220001,49.34,47.68,48.689999,176300,48.689999
2016-10-31,49.189999,49.32,48.939999,49.220001,227700,49.220001
2016-10-28,49.709999,49.900002,48.66,49.07,251500,49.07
2016-10-27,50.450001,50.50,49.73,49.75,313500,49.75
2016-10-26,50.349998,50.599998,50.200001,50.540001,125800,50.540001
2016-10-25,51.049999,51.049999,50.27,50.470001,109800,50.470001
2016-10-24,51.50,51.57,50.720001,50.990002,235200,50.990002
2016-10-21,51.619999,51.810001,51.150002,51.400002,113700,51.400002
