Date,Open,High,Low,Close,Volume,Adj Close
2017-01-19,38.47,38.48,38.25,38.45,105100,38.45
2017-01-18,38.96,38.96,38.30,38.48,135700,38.48
2017-01-17,38.70,38.97,38.53,38.85,117700,38.85
2017-01-16,38.36,38.75,38.31,38.70,76100,38.70
2017-01-13,38.49,38.52,38.12,38.36,128700,38.36
2017-01-12,38.74,38.75,38.05,38.36,139400,38.36
2017-01-11,38.64,38.78,38.25,38.72,90200,38.72
2017-01-10,38.77,38.78,38.36,38.52,115200,38.52
2017-01-09,38.75,38.82,38.41,38.66,111500,38.66
2017-01-06,38.75,38.93,38.63,38.75,79300,38.75
2017-01-05,38.97,38.97,38.50,38.81,137400,38.81
2017-01-04,39.06,39.14,38.86,38.98,121200,38.98
2017-01-03,40.10,40.11,38.53,38.97,169900,38.97
2017-01-02,39.85,39.85,39.85,39.85,000,39.85
2016-12-30,39.98,40.06,39.81,39.85,54400,39.85
2016-12-29,39.68,40.10,39.59,40.00,95100,40.00
2016-12-28,39.59,39.97,39.38,39.92,118400,39.92
2016-12-27,39.53,39.53,39.53,39.53,000,39.53
2016-12-26,39.53,39.53,39.53,39.53,000,39.53
2016-12-23,39.00,39.57,38.95,39.53,136900,39.53
2016-12-22,38.42,39.12,38.42,38.90,128400,38.90
2016-12-21,38.60,38.75,38.34,38.50,117400,38.50
2016-12-20,38.86,38.86,38.18,38.47,157300,38.47
2016-12-19,39.07,39.19,38.69,38.75,108400,38.75
2016-12-16,38.48,39.10,38.48,39.10,360700,39.10
2016-12-15,38.43,38.74,37.95,38.30,148200,38.30
2016-12-14,38.55,38.59,38.27,38.27,115900,38.27
2016-12-13,38.51,38.75,38.36,38.47,124800,38.47
2016-12-12,38.84,38.85,38.25,38.43,137000,38.43
2016-12-09,39.02,39.08,38.66,38.84,85500,38.84
2016-12-08,38.95,38.95,38.395,38.92,197500,38.92
2016-12-07,38.89,39.19,38.75,38.99,114600,38.99
2016-12-06,39.27,39.39,38.575,38.71,134900,38.71
2016-12-05,39.41,39.41,38.88,39.19,66400,39.19
2016-12-02,39.14,39.37,38.80,39.23,102100,39.23
2016-12-01,39.00,39.20,38.68,39.13,146200,39.13
2016-11-30,38.81,39.19,38.75,39.05,125500,39.05
2016-11-29,39.06,39.06,38.63,38.90,99200,38.90
2016-11-28,39.24,39.39,38.94,39.09,85700,39.09
2016-11-25,39.81,39.92,39.54,39.69,100400,39.245
