Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,8.43,8.72,8.35,8.63,1268000,8.63
2017-01-19,8.40,8.47,8.28,8.40,731200,8.40
2017-01-18,8.54,8.54,8.21,8.22,1960600,8.22
2017-01-17,8.78,8.82,8.58,8.59,1720200,8.59
2017-01-16,8.74,8.76,8.60,8.65,292800,8.65
2017-01-13,8.69,8.91,8.58,8.83,1028800,8.83
2017-01-12,8.70,8.75,8.51,8.63,1744700,8.63
2017-01-11,8.64,8.64,8.48,8.58,1242000,8.58
2017-01-10,8.65,8.74,8.50,8.53,1409800,8.53
2017-01-09,8.82,8.82,8.45,8.50,1858600,8.50
2017-01-06,9.00,9.09,8.85,8.95,859200,8.95
2017-01-05,9.18,9.34,9.00,9.03,606300,9.03
2017-01-04,9.10,9.20,8.98,9.14,1073800,9.14
2017-01-03,9.58,9.58,8.88,9.02,1344100,9.02
2016-12-30,9.28,9.53,9.26,9.37,439200,9.37
2016-12-29,9.29,9.34,9.08,9.24,864700,9.24
2016-12-28,9.24,9.46,9.23,9.32,905100,9.32
2016-12-23,9.52,9.52,9.26,9.32,377000,9.32
2016-12-22,9.51,9.59,9.41,9.44,966500,9.44
2016-12-21,9.57,9.77,9.56,9.57,714700,9.57
2016-12-20,9.66,9.72,9.45,9.51,1084700,9.51
2016-12-19,9.80,9.92,9.57,9.62,1093100,9.62
2016-12-16,9.97,9.97,9.67,9.82,1021400,9.82
2016-12-15,9.66,10.00,9.60,9.89,871100,9.89
2016-12-14,10.00,10.12,9.70,9.75,1505600,9.75
2016-12-13,9.97,10.20,9.82,10.15,1746400,10.15
2016-12-12,10.40,10.50,9.78,9.84,1896100,9.84
2016-12-09,10.00,10.19,9.97,10.11,2194000,10.11
2016-12-08,9.86,9.96,9.74,9.91,1853900,9.91
2016-12-07,9.74,9.85,9.62,9.70,1761900,9.70
2016-12-06,9.39,9.65,9.18,9.62,1842500,9.62
2016-12-05,9.46,9.68,9.34,9.40,976900,9.40
2016-12-02,9.30,9.48,9.16,9.28,755300,9.28
2016-12-01,9.30,9.89,9.13,9.21,2094300,9.21
2016-11-30,8.71,9.09,8.50,9.08,2730000,9.08
2016-11-29,8.29,8.31,8.06,8.12,933300,8.12
2016-11-28,8.79,8.80,8.40,8.42,1143000,8.42
2016-11-25,8.81,8.84,8.67,8.70,479900,8.70
2016-11-24,8.78,8.88,8.71,8.81,205000,8.81
2016-11-23,8.69,8.91,8.63,8.81,589100,8.81
2016-11-22,8.92,9.05,8.64,8.79,773800,8.79
2016-11-21,8.73,9.00,8.65,8.97,1482600,8.97
2016-11-18,8.52,8.65,8.34,8.43,836600,8.43
2016-11-17,8.61,8.79,8.37,8.50,1836900,8.50
2016-11-16,8.75,8.83,8.51,8.53,1552900,8.53
2016-11-15,8.80,9.02,8.77,8.86,1419500,8.86
2016-11-14,8.21,8.65,8.21,8.60,1087500,8.60
2016-11-11,8.30,8.34,7.99,8.27,1100100,8.27
2016-11-10,9.01,9.03,8.30,8.41,2387800,8.41
2016-11-09,8.44,8.97,8.38,8.91,1235400,8.91
