Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,24.959999,25.17,24.700001,24.879999,57200,24.879999
2017-02-08,24.68,24.73,24.110001,24.530001,85700,24.530001
2017-02-07,24.870001,25.059999,24.66,24.809999,88200,24.809999
2017-02-06,25.719999,25.719999,24.809999,25.02,84700,25.02
2017-02-03,25.85,26.00,25.469999,25.620001,42600,25.620001
2017-02-02,25.549999,25.709999,25.16,25.66,49900,25.66
2017-02-01,25.129999,25.620001,25.129999,25.40,38400,25.40
2017-01-31,25.26,25.52,25.00,25.139999,24600,25.139999
2017-01-30,25.50,25.52,24.799999,25.209999,64900,25.209999
2017-01-27,26.01,26.01,25.549999,25.610001,31800,25.610001
2017-01-26,26.59,26.60,26.00,26.139999,32200,26.139999
2017-01-25,25.950001,26.58,25.940001,26.49,75500,26.49
2017-01-24,25.08,26.200001,25.08,25.799999,157200,25.799999
2017-01-23,25.309999,25.309999,24.370001,24.57,64700,24.57
2017-01-20,25.85,26.17,25.58,25.629999,57800,25.629999
2017-01-19,26.07,26.09,25.60,25.629999,28200,25.629999
2017-01-18,26.51,26.51,25.68,25.82,59800,25.82
2017-01-17,26.65,26.889999,26.49,26.639999,47100,26.639999
2017-01-16,26.50,26.559999,26.299999,26.40,20400,26.40
2017-01-13,26.51,26.57,26.34,26.52,67600,26.52
2017-01-12,27.10,27.10,26.43,26.48,39100,26.48
2017-01-11,26.950001,27.040001,26.610001,26.950001,36700,26.850001
2017-01-10,26.780001,26.90,26.469999,26.700001,43700,26.600929
2017-01-09,27.01,27.049999,26.16,26.549999,61000,26.451484
2017-01-06,28.360001,28.360001,27.23,27.360001,90900,27.258479
2017-01-05,28.42,28.889999,28.10,28.35,52100,28.244806
2017-01-04,28.90,29.07,28.559999,28.66,34800,28.553655
2017-01-03,29.709999,29.76,28.540001,28.809999,74700,28.703098
2016-12-30,29.35,29.40,29.01,29.09,16600,28.98206
2016-12-29,29.34,29.58,29.280001,29.35,22300,29.241095
2016-12-28,29.01,29.50,28.90,29.32,37800,29.211206
2016-12-23,29.17,29.26,28.84,28.99,19400,28.88243
2016-12-22,28.65,29.40,28.57,29.290001,115600,29.181318
2016-12-21,28.219999,29.049999,28.059999,28.620001,93800,28.513804
2016-12-20,28.34,28.34,27.629999,27.76,45300,27.656995
2016-12-19,27.58,28.290001,27.41,28.02,38100,27.91603
2016-12-16,27.43,27.65,27.299999,27.629999,95000,27.527476
2016-12-15,27.68,27.860001,27.23,27.34,59900,27.238553
2016-12-14,28.360001,28.610001,27.32,27.469999,35100,27.36807
2016-12-13,29.17,29.290001,28.540001,28.75,96700,28.643321
2016-12-12,29.309999,29.42,28.40,28.559999,142100,28.354396
2016-12-09,27.50,27.799999,27.25,27.67,101900,27.470804
2016-12-08,27.42,27.50,27.040001,27.27,44700,27.073684
2016-12-07,27.370001,27.50,26.98,27.27,64900,27.073684
2016-12-06,26.60,27.50,26.60,27.360001,90300,27.163036
2016-12-05,27.24,27.51,26.99,27.00,70400,26.805627
2016-12-02,27.33,27.50,27.030001,27.129999,68900,26.934691
2016-12-01,27.33,28.90,26.93,27.33,215700,27.133252
2016-11-30,24.51,26.700001,24.25,26.49,373300,26.299299
