Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,4.74,4.79,4.69,4.69,286400,4.69
2017-01-26,4.91,4.98,4.75,4.79,601700,4.79
2017-01-25,4.68,4.88,4.68,4.86,1159700,4.86
2017-01-24,4.55,4.71,4.55,4.65,1130700,4.65
2017-01-23,4.62,4.65,4.49,4.52,952200,4.52
2017-01-20,4.63,4.80,4.60,4.65,818400,4.65
2017-01-19,4.43,4.57,4.43,4.55,526700,4.55
2017-01-18,4.49,4.51,4.40,4.41,305900,4.41
2017-01-17,4.50,4.63,4.48,4.55,402900,4.55
2017-01-16,4.47,4.54,4.43,4.46,470300,4.46
2017-01-13,4.42,4.51,4.42,4.50,357300,4.50
2017-01-12,4.61,4.62,4.43,4.43,510400,4.43
2017-01-11,4.60,4.69,4.49,4.54,826000,4.54
2017-01-10,4.49,4.56,4.44,4.48,542000,4.48
2017-01-09,4.60,4.65,4.42,4.47,930600,4.47
2017-01-06,4.78,4.80,4.64,4.68,549400,4.68
2017-01-05,4.89,4.90,4.74,4.77,532800,4.77
2017-01-04,4.80,4.89,4.77,4.86,520700,4.86
2017-01-03,4.90,5.05,4.73,4.78,641000,4.78
2016-12-30,4.81,4.92,4.78,4.81,404300,4.81
2016-12-29,4.73,4.84,4.72,4.82,325800,4.82
2016-12-28,4.75,4.80,4.71,4.75,456500,4.75
2016-12-23,4.70,4.72,4.61,4.67,357900,4.66
2016-12-22,4.77,4.81,4.71,4.73,334300,4.719871
2016-12-21,4.76,4.85,4.74,4.75,528900,4.739829
2016-12-20,4.79,4.80,4.66,4.71,590200,4.699914
2016-12-19,4.86,4.88,4.71,4.76,656400,4.749807
2016-12-16,4.99,5.03,4.82,4.82,879200,4.809679
2016-12-15,4.80,5.01,4.80,4.92,803800,4.909465
2016-12-14,5.11,5.24,4.88,4.90,1015600,4.889507
2016-12-13,5.32,5.32,5.07,5.18,867900,5.168908
2016-12-12,5.22,5.58,5.13,5.22,1372600,5.208822
2016-12-09,4.96,5.00,4.92,4.96,472400,4.949379
2016-12-08,4.94,4.98,4.80,4.94,478200,4.929422
2016-12-07,4.78,4.97,4.78,4.89,935800,4.879529
2016-12-06,4.68,4.87,4.68,4.81,728000,4.7997
2016-12-05,4.74,4.78,4.65,4.75,915100,4.739829
2016-12-02,4.69,4.74,4.51,4.63,1056400,4.620086
2016-12-01,4.65,4.99,4.64,4.68,1587800,4.669978
2016-11-30,4.45,4.58,4.36,4.49,1627000,4.480385
2016-11-29,4.17,4.18,3.96,4.05,851900,4.041328
2016-11-28,4.48,4.49,4.25,4.26,732000,4.250878
2016-11-25,4.47,4.51,4.39,4.43,665200,4.420514
2016-11-24,4.50,4.54,4.48,4.53,160300,4.5203
2016-11-23,4.48,4.57,4.46,4.49,969700,4.480385
