Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,30.25,30.31,30.03,30.19,227000,29.895
2017-02-09,30.41,30.50,30.00,30.03,269900,29.737
2017-02-08,30.15,30.28,29.95,30.19,149500,29.895
2017-02-07,30.22,30.22,29.85,30.06,151400,29.766
2017-02-06,29.99,30.20,29.79,30.09,85200,29.796
2017-02-03,29.70,29.98,29.52,29.84,227600,29.548
2017-02-02,29.35,29.57,29.29,29.31,61200,29.024
2017-02-01,29.11,29.58,29.11,29.39,140900,29.103
2017-01-31,28.94,29.22,28.68,29.12,172600,28.835
2017-01-30,29.02,29.05,28.76,28.92,314900,28.637
2017-01-27,29.43,29.58,28.975,29.00,132000,28.717
2017-01-26,29.22,29.39,28.98,29.32,134400,29.034
2017-01-25,29.11,29.50,28.75,28.99,281200,28.707
2017-01-24,28.66,29.15,28.66,29.05,244800,28.766
2017-01-23,28.50,28.94,28.31,28.67,287900,28.39
2017-01-20,28.44,28.50,28.37,28.40,304100,28.122
2017-01-19,28.50,28.59,28.30,28.35,165200,28.073
2017-01-18,28.69,28.69,28.30,28.39,176200,28.113
2017-01-17,29.00,29.00,28.57,28.58,215200,28.301
2017-01-16,29.10,29.10,28.95,29.04,38800,28.756
2017-01-13,29.18,29.31,28.99,29.05,141200,28.766
2017-01-12,29.20,29.27,28.94,29.16,105000,28.875
2017-01-11,29.20,29.32,29.00,29.24,153000,28.954
2017-01-10,29.29,29.50,29.12,29.18,77600,28.895
2017-01-09,29.55,29.55,29.05,29.26,79100,28.974
2017-01-06,29.54,29.74,29.25,29.57,103700,29.281
2017-01-05,29.72,29.72,29.10,29.52,115400,29.232
2017-01-04,29.52,29.81,29.30,29.60,117400,29.311
2017-01-03,29.47,29.70,29.39,29.52,74400,29.232
2017-01-02,29.33,29.33,29.33,29.33,000,29.043
2016-12-30,29.25,29.50,29.20,29.33,67700,29.043
2016-12-29,29.36,29.57,29.28,29.30,56500,29.014
2016-12-28,29.32,29.51,29.20,29.37,67400,29.083
2016-12-27,29.21,29.21,29.21,29.21,000,28.925
2016-12-26,29.21,29.21,29.21,29.21,000,28.925
2016-12-23,29.37,29.69,29.21,29.21,93400,28.925
2016-12-22,29.75,29.76,29.31,29.43,88600,29.142
2016-12-21,29.39,29.72,29.39,29.69,75500,29.40
2016-12-20,29.50,29.59,29.27,29.46,104300,29.172
2016-12-19,29.19,29.42,29.03,29.37,99400,29.083
2016-12-16,28.36,29.28,28.36,29.17,211500,28.885
2016-12-15,28.30,28.52,28.20,28.30,174900,28.023
2016-12-14,28.59,28.74,28.15,28.16,459100,27.885
2016-12-13,29.06,29.10,28.56,28.61,103100,28.33
2016-12-12,29.00,29.06,28.87,28.98,187100,28.697
2016-12-09,28.70,28.94,28.52,28.91,241600,28.628
2016-12-08,28.44,28.79,28.12,28.62,361100,28.34
2016-12-07,28.23,28.69,28.10,28.29,317500,28.014
2016-12-06,27.85,28.12,27.69,27.99,152500,27.716
2016-12-05,27.98,27.98,27.70,27.88,79800,27.608
2016-12-02,27.85,27.88,27.40,27.75,273900,27.479
2016-12-01,28.41,28.43,27.61,27.75,270800,27.479
2016-11-30,28.46,28.80,28.34,28.38,163200,28.103
2016-11-29,28.76,28.84,28.41,28.42,169100,28.142
2016-11-28,28.72,28.90,28.61,28.76,187500,28.479
2016-11-25,28.83,29.15,28.75,28.75,118500,28.192
2016-11-24,28.68,28.90,28.68,28.80,82400,28.241
2016-11-23,28.77,29.10,28.68,28.73,207300,28.172
2016-11-22,28.99,29.13,28.82,28.84,178000,28.28
2016-11-21,28.83,29.03,28.72,28.84,101100,28.28
2016-11-18,28.22,29.01,28.22,28.55,228700,27.996
2016-11-17,28.15,28.61,28.10,28.13,166900,27.584
2016-11-16,28.17,28.27,27.80,28.01,178400,27.466
2016-11-15,28.39,28.39,28.035,28.18,276200,27.633
2016-11-14,28.19,28.21,27.55,27.96,305700,27.417
2016-11-11,28.07,28.42,28.05,28.19,158400,27.643
2016-11-10,28.75,28.87,28.03,28.16,423800,27.613
2016-11-09,28.77,29.30,28.635,28.74,239600,28.182
2016-11-08,29.47,29.47,29.07,29.18,138700,28.613
2016-11-07,29.69,29.75,29.39,29.39,151000,28.819
2016-11-04,29.35,29.64,29.02,29.42,150200,28.849
2016-11-03,28.76,29.50,28.72,29.37,182600,28.80
2016-11-02,29.37,29.42,28.65,28.75,303500,28.192
2016-11-01,30.05,30.12,29.06,29.48,272000,28.908
2016-10-31,30.10,30.10,29.75,29.97,113700,29.388
2016-10-28,30.09,30.14,29.91,29.95,131200,29.369
2016-10-27,30.28,30.39,30.00,30.04,133500,29.457
2016-10-26,30.63,30.66,30.18,30.25,150400,29.663
2016-10-25,30.68,30.73,30.41,30.64,104000,30.045
2016-10-24,30.36,30.80,30.36,30.75,118200,30.153
2016-10-21,30.05,30.59,30.05,30.42,83400,29.829
2016-10-20,30.15,30.25,29.80,30.05,107100,29.467
2016-10-19,30.10,30.26,29.80,30.15,84300,29.565
2016-10-18,29.89,30.20,29.53,30.12,218200,29.535
2016-10-17,29.50,29.74,29.10,29.62,176000,29.045
2016-10-14,29.65,29.71,29.25,29.43,101100,28.859
2016-10-13,29.33,29.64,29.04,29.40,84800,28.829
2016-10-12,29.00,29.44,28.93,29.36,46200,28.79
2016-10-11,29.28,29.28,28.99,29.06,103800,28.496
2016-10-10,29.40,29.40,29.40,29.40,000,28.829
2016-10-07,29.30,29.68,29.30,29.40,74900,28.829
2016-10-06,29.01,29.55,28.94,29.32,102500,28.751
2016-10-05,29.23,29.46,28.99,29.09,236000,28.525
2016-10-04,29.93,29.93,29.08,29.29,130400,28.721
2016-10-03,29.95,29.97,29.64,29.79,145800,29.212
2016-09-30,30.29,30.29,29.96,30.00,518200,29.418
2016-09-29,30.50,30.50,30.15,30.23,139000,29.643
2016-09-28,30.41,30.81,30.20,30.44,253500,29.849
2016-09-27,30.43,30.63,30.03,30.12,136100,29.535
2016-09-26,31.12,31.12,30.50,30.52,257000,29.927
2016-09-23,30.85,31.20,30.85,31.14,90800,30.535
2016-09-22,31.00,31.05,30.73,30.97,114300,30.369
2016-09-21,30.99,31.10,30.52,30.81,103900,30.212
2016-09-20,30.69,30.99,30.68,30.98,80100,30.379
2016-09-19,30.32,30.70,30.32,30.56,139600,29.967
2016-09-16,29.96,30.31,29.95,30.27,475000,29.682
2016-09-15,29.80,30.37,29.75,30.04,182100,29.457
2016-09-14,29.11,29.82,29.11,29.74,103600,29.163
2016-09-13,29.10,29.54,29.01,29.08,136500,28.515
2016-09-12,29.30,29.35,29.07,29.16,159800,28.594
2016-09-09,29.67,29.81,29.29,29.37,208000,28.80
2016-09-08,29.71,29.84,29.58,29.58,133200,29.006
