Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,5.49,5.84,5.46,5.78,6809800,5.78
2017-01-23,5.30,5.43,5.25,5.42,3592900,5.42
2017-01-20,5.56,5.58,5.36,5.41,4572700,5.41
2017-01-19,5.52,5.57,5.36,5.38,4732400,5.38
2017-01-18,5.64,5.64,5.40,5.48,5470500,5.48
2017-01-17,5.88,5.92,5.72,5.75,3046200,5.75
2017-01-16,5.77,5.78,5.67,5.77,2313300,5.77
2017-01-13,5.88,5.92,5.81,5.84,2676000,5.84
2017-01-12,6.22,6.23,5.85,5.90,5203100,5.90
2017-01-11,6.20,6.20,6.01,6.10,4430000,6.10
2017-01-10,6.22,6.28,6.08,6.10,3156900,6.10
2017-01-09,6.34,6.36,6.17,6.20,5074400,6.20
2017-01-06,6.61,6.63,6.43,6.52,3801000,6.52
2017-01-05,6.80,6.80,6.59,6.60,4560600,6.60
2017-01-04,6.75,6.79,6.65,6.71,3169000,6.71
2017-01-03,6.80,6.97,6.60,6.76,7021200,6.76
2016-12-30,6.63,6.68,6.53,6.56,2657400,6.56
2016-12-29,6.73,6.74,6.61,6.64,2753100,6.64
2016-12-28,6.70,6.85,6.66,6.76,3484400,6.76
2016-12-23,6.59,6.63,6.49,6.52,2441900,6.52
2016-12-22,6.59,6.79,6.59,6.61,3280300,6.61
2016-12-21,6.72,6.82,6.54,6.57,3706300,6.57
2016-12-20,6.83,6.85,6.65,6.68,2779900,6.68
2016-12-19,6.80,6.86,6.73,6.75,2937500,6.75
2016-12-16,6.85,6.91,6.74,6.80,6013400,6.80
2016-12-15,6.45,6.75,6.32,6.74,8348600,6.74
2016-12-14,7.00,7.04,6.57,6.59,9692400,6.59
2016-12-13,7.16,7.22,7.02,7.16,8978000,7.16
2016-12-12,7.20,7.35,6.90,7.03,12763200,7.03
2016-12-09,6.40,6.43,6.32,6.42,4032000,6.42
2016-12-08,6.26,6.34,6.18,6.30,5037000,6.30
2016-12-07,6.12,6.32,6.12,6.20,6225900,6.20
2016-12-06,6.04,6.22,5.98,6.20,4507400,6.20
2016-12-05,6.23,6.37,6.13,6.17,7304800,6.17
2016-12-02,5.95,6.08,5.89,6.05,6997400,6.05
2016-12-01,6.10,6.38,5.79,5.96,14553100,5.96
2016-11-30,5.45,5.80,5.28,5.76,19808300,5.76
2016-11-29,4.96,4.98,4.85,4.93,5974800,4.93
2016-11-28,5.25,5.28,5.06,5.08,4515900,5.08
2016-11-25,5.27,5.33,5.17,5.17,2873300,5.17
2016-11-24,5.35,5.40,5.31,5.34,1984300,5.34
2016-11-23,5.24,5.37,5.20,5.33,8389400,5.33
2016-11-22,5.56,5.64,5.44,5.50,7655900,5.50
2016-11-21,5.49,5.60,5.46,5.51,6348100,5.51
2016-11-18,5.23,5.40,5.23,5.25,3055900,5.25
2016-11-17,5.41,5.50,5.19,5.21,5543100,5.21
2016-11-16,5.37,5.47,5.27,5.27,4101700,5.27
2016-11-15,5.34,5.59,5.32,5.43,6748700,5.43
2016-11-14,5.03,5.24,5.00,5.19,4525600,5.19
2016-11-11,5.20,5.21,5.02,5.08,4979200,5.08
2016-11-10,5.28,5.42,5.25,5.26,4478300,5.26
2016-11-09,5.04,5.44,5.03,5.32,5991600,5.32
2016-11-08,5.11,5.25,5.07,5.16,4245000,5.16
2016-11-07,5.07,5.17,5.00,5.16,3779800,5.16
2016-11-04,4.94,5.08,4.85,4.95,5276300,4.95
2016-11-03,5.08,5.12,4.97,4.99,4469500,4.99
2016-11-02,5.20,5.23,5.03,5.06,7524900,5.06
2016-11-01,5.26,5.39,5.10,5.36,6682000,5.36
2016-10-31,5.23,5.27,5.12,5.16,3688800,5.16
2016-10-28,5.31,5.40,5.22,5.32,3542100,5.32
2016-10-27,5.44,5.47,5.35,5.35,4094900,5.35
2016-10-26,5.40,5.55,5.26,5.35,4669400,5.35
2016-10-25,5.58,5.67,5.46,5.50,4428800,5.50
2016-10-24,5.71,5.74,5.53,5.63,5677900,5.63
2016-10-21,5.79,5.85,5.74,5.77,3794200,5.77
2016-10-20,5.68,5.89,5.65,5.80,5361700,5.80
2016-10-19,5.54,5.93,5.53,5.84,7800200,5.84
2016-10-18,5.51,5.54,5.38,5.43,4960000,5.43
2016-10-17,5.57,5.62,5.38,5.40,6818900,5.40
2016-10-14,5.66,5.71,5.53,5.63,4575800,5.63
2016-10-13,5.52,5.69,5.41,5.64,5619200,5.64
2016-10-12,5.65,5.65,5.49,5.57,4228400,5.57
2016-10-11,5.90,5.90,5.64,5.71,4821000,5.71
2016-10-07,5.85,5.85,5.52,5.62,5490800,5.62
2016-10-06,6.01,6.08,5.77,5.81,7047100,5.81
2016-10-05,5.68,5.88,5.60,5.87,7715900,5.87
2016-10-04,5.60,5.68,5.37,5.41,4050200,5.41
2016-10-03,5.61,5.69,5.44,5.60,5038900,5.60
2016-09-30,5.72,5.73,5.54,5.57,5898100,5.57
2016-09-29,5.72,5.88,5.55,5.65,11652300,5.65
2016-09-28,4.97,5.63,4.76,5.62,12581700,5.62
2016-09-27,4.83,4.95,4.77,4.87,4597700,4.87
2016-09-26,5.21,5.29,5.00,5.02,4237500,5.02
2016-09-23,5.30,5.38,4.97,5.09,8463800,5.09
2016-09-22,5.27,5.44,5.22,5.32,6501000,5.32
2016-09-21,4.97,5.10,4.92,5.09,5096500,5.09
2016-09-20,5.00,5.06,4.78,4.83,6657200,4.83
2016-09-19,5.31,5.37,5.10,5.11,3880500,5.11
2016-09-16,5.10,5.28,5.08,5.19,3603400,5.19
2016-09-15,5.38,5.48,5.20,5.23,5955200,5.23
2016-09-14,5.24,5.46,5.06,5.30,9350200,5.30
2016-09-13,5.70,5.73,5.27,5.34,6777600,5.34
2016-09-12,5.80,6.02,5.72,5.78,6321900,5.78
2016-09-09,6.15,6.18,5.86,5.96,6327600,5.96
2016-09-08,6.17,6.37,6.07,6.35,8740000,6.35
2016-09-07,6.15,6.18,5.93,6.04,4071100,6.04
2016-09-06,6.16,6.19,6.08,6.13,3530200,6.13
2016-09-02,6.25,6.25,6.11,6.16,4041200,6.16
2016-09-01,5.83,6.01,5.77,5.96,4824500,5.96
2016-08-31,5.96,6.10,5.79,5.92,4725500,5.92
2016-08-30,6.30,6.39,6.01,6.02,4857400,6.02
2016-08-29,6.29,6.33,6.21,6.23,4521900,6.23
2016-08-26,6.45,6.63,6.33,6.38,5552400,6.38
2016-08-25,6.50,6.58,6.33,6.41,4345400,6.41
2016-08-24,6.70,6.84,6.42,6.47,6060600,6.47
2016-08-23,6.64,6.95,6.63,6.83,4619700,6.83
2016-08-22,6.84,6.90,6.62,6.74,4285000,6.74
2016-08-19,7.22,7.24,7.02,7.05,3470500,7.05
2016-08-18,7.00,7.20,6.98,7.18,6114000,7.18
2016-08-17,6.88,6.98,6.78,6.89,4445600,6.89
2016-08-16,6.96,7.04,6.84,6.93,5618500,6.93
2016-08-15,6.80,7.00,6.78,6.94,6242100,6.94
2016-08-12,6.66,6.78,6.57,6.66,5939000,6.66
2016-08-11,6.37,6.67,6.29,6.54,6176800,6.54
2016-08-10,6.60,6.68,6.25,6.26,6949500,6.26
2016-08-09,6.72,6.84,6.48,6.55,6018300,6.55
2016-08-08,6.37,6.74,6.36,6.63,7429700,6.63
2016-08-05,6.10,6.18,5.95,6.18,4539300,6.18
2016-08-04,5.93,6.23,5.87,6.08,8098900,6.08
2016-08-03,5.80,5.97,5.65,5.91,8769000,5.91
2016-08-02,5.86,5.97,5.52,5.72,8791900,5.72
2016-07-29,5.57,6.25,5.57,6.13,8324900,6.13
2016-07-28,6.16,6.21,5.79,5.81,8799900,5.81
2016-07-27,6.46,6.59,6.12,6.21,6401900,6.21
2016-07-26,6.30,6.47,6.21,6.42,6245200,6.42
2016-07-25,6.73,6.73,6.40,6.42,5974000,6.42
2016-07-22,7.04,7.04,6.75,6.87,5761400,6.87
2016-07-21,7.12,7.22,7.01,7.04,3867900,7.04
2016-07-20,6.98,7.23,6.83,7.13,5043000,7.13
2016-07-19,7.18,7.20,7.02,7.06,2725700,7.06
2016-07-18,7.10,7.25,6.96,7.19,3166500,7.19
2016-07-15,7.31,7.31,7.13,7.16,3449600,7.16
2016-07-14,7.38,7.38,7.22,7.26,5141200,7.26
2016-07-13,7.41,7.45,7.15,7.24,7613500,7.24
2016-07-12,7.37,7.52,7.25,7.50,8677300,7.50
2016-07-11,7.37,7.41,7.12,7.16,5452700,7.16
2016-07-08,7.33,7.40,7.15,7.28,5862500,7.28
2016-07-07,7.59,7.70,7.13,7.22,8201300,7.22
2016-07-06,7.20,7.47,7.16,7.43,5966000,7.43
2016-07-05,7.39,7.44,7.12,7.35,6588200,7.35
2016-07-04,7.71,7.72,7.60,7.67,3297400,7.67
2016-06-30,7.53,7.65,7.37,7.50,8110400,7.50
2016-06-29,7.36,7.75,7.32,7.64,8541000,7.64
2016-06-28,7.00,7.25,6.95,7.18,7556100,7.18
2016-06-27,6.91,7.05,6.46,6.60,7668700,6.60
2016-06-24,6.90,7.38,6.90,7.05,8579800,7.05
2016-06-23,7.65,7.69,7.50,7.65,6316900,7.65
2016-06-22,7.84,7.92,7.33,7.43,8062500,7.43
2016-06-21,7.50,7.74,7.42,7.64,5752000,7.64
2016-06-20,7.66,7.70,7.36,7.65,6515500,7.65
2016-06-17,7.19,7.39,7.08,7.17,8632800,7.17
2016-06-16,7.10,7.13,6.72,6.83,10556800,6.83
2016-06-15,7.15,7.58,7.03,7.23,9530400,7.23
2016-06-14,7.50,7.65,7.16,7.29,6838000,7.29
2016-06-13,7.45,8.10,7.33,7.56,8303100,7.56
2016-06-10,8.24,8.36,7.60,7.71,9298100,7.71
2016-06-09,8.10,8.59,8.04,8.53,8203900,8.53
2016-06-08,9.00,9.04,8.31,8.43,13431800,8.43
2016-06-07,7.49,8.34,7.42,8.25,10832900,8.25
2016-06-06,6.70,7.30,6.67,7.24,8695100,7.24
2016-06-03,6.48,6.65,6.40,6.53,5497400,6.53
2016-06-02,6.21,6.49,6.21,6.48,5140900,6.48
2016-06-01,6.26,6.37,6.15,6.35,5628200,6.35
2016-05-31,6.31,6.50,6.30,6.39,5815800,6.39
2016-05-30,6.19,6.28,6.16,6.25,1369300,6.25
2016-05-27,6.21,6.31,6.14,6.20,3459000,6.20
2016-05-26,6.46,6.46,6.24,6.30,4501500,6.30
2016-05-25,6.13,6.33,6.10,6.32,7164200,6.32
2016-05-24,6.19,6.20,5.95,6.04,4884100,6.04
2016-05-20,6.20,6.24,6.02,6.13,4342100,6.13
2016-05-19,5.86,6.20,5.86,6.11,6888500,6.11
2016-05-18,6.35,6.40,5.89,6.05,8854100,6.05
2016-05-17,6.25,6.50,6.21,6.37,9248900,6.37
2016-05-16,6.27,6.28,6.12,6.21,5625200,6.21
2016-05-13,5.92,6.12,5.85,5.94,5176500,5.94
2016-05-12,6.37,6.44,5.93,6.04,7508200,6.04
2016-05-11,5.85,6.28,5.72,6.14,7965000,6.14
2016-05-10,5.82,5.97,5.80,5.92,4506800,5.92
2016-05-09,5.97,6.01,5.73,5.76,6000200,5.76
2016-05-06,6.08,6.31,6.01,6.06,7581700,6.06
2016-05-05,6.40,6.47,6.04,6.20,9747000,6.20
2016-05-04,6.08,6.33,5.90,6.00,9148000,6.00
2016-05-03,6.30,6.30,5.71,5.91,9291700,5.91
2016-05-02,6.35,6.40,6.05,6.27,7655500,6.27
2016-04-29,6.65,6.73,6.31,6.42,8743200,6.42
2016-04-28,6.62,6.80,6.36,6.42,7224300,6.42
