Date,Open,High,Low,Close,Volume,Adj Close
2017-01-30,86.209999,86.209999,85.279999,85.449997,28500,85.449997
2017-01-27,86.150002,86.889999,85.889999,86.349998,22000,86.349998
2017-01-26,84.510002,86.419998,84.510002,86.120003,23200,86.120003
2017-01-25,83.50,84.800003,83.50,84.800003,30800,84.800003
2017-01-24,83.010002,83.720001,82.849998,83.50,26100,83.50
2017-01-23,83.839996,83.839996,82.669998,83.309998,22900,83.309998
2017-01-20,82.669998,84.699997,82.669998,83.870003,26400,83.870003
2017-01-19,82.940002,83.50,81.790001,82.860001,97200,82.860001
2017-01-18,83.860001,83.860001,82.599998,82.940002,33900,82.940002
2017-01-17,85.449997,85.449997,83.900002,83.919998,36800,83.919998
2017-01-16,85.00,85.739998,84.970001,85.459999,14300,85.459999
2017-01-13,85.300003,85.489998,84.690002,85.269997,68400,85.269997
2017-01-12,86.260002,86.269997,85.309998,85.550003,41800,85.550003
2017-01-11,85.75,87.279999,85.449997,86.349998,15200,86.349998
2017-01-10,85.169998,86.239998,84.519997,85.529999,27600,85.529999
2017-01-09,84.769997,85.510002,84.349998,85.190002,10500,85.190002
2017-01-06,84.730003,85.989998,84.709999,85.300003,37100,85.300003
2017-01-05,85.970001,85.970001,84.760002,85.00,63600,85.00
2017-01-04,85.510002,86.82,84.830002,86.150002,40100,86.150002
2017-01-03,84.639999,86.239998,84.639999,85.800003,19700,85.800003
2016-12-30,86.290001,86.800003,85.360001,85.559998,10800,85.559998
2016-12-29,86.150002,87.900002,85.800003,86.290001,10400,86.290001
2016-12-28,86.489998,86.580002,85.879997,86.150002,5800,86.150002
2016-12-23,86.550003,87.519997,85.75,86.099998,11700,86.099998
2016-12-22,86.040001,88.00,86.040001,86.849998,15400,86.849998
2016-12-21,85.650002,86.50,85.650002,86.440002,11200,86.440002
2016-12-20,86.50,86.50,85.660004,86.080002,15900,86.080002
2016-12-19,86.440002,86.650002,85.190002,86.25,34800,86.25
2016-12-16,84.50,87.07,84.50,86.82,33500,86.82
2016-12-15,82.879997,84.690002,82.650002,84.110001,30800,84.110001
2016-12-14,83.459999,83.690002,82.919998,83.099998,47100,83.099998
2016-12-13,84.610001,85.459999,83.389999,83.559998,35400,83.559998
2016-12-12,82.919998,84.150002,82.830002,84.150002,44900,84.150002
2016-12-09,82.949997,83.18,82.50,82.839996,70000,82.839996
2016-12-08,82.110001,83.279999,81.760002,82.949997,30600,82.949997
2016-12-07,82.860001,83.82,82.529999,82.830002,51600,82.830002
2016-12-06,84.00,84.970001,82.559998,82.980003,43800,82.980003
2016-12-05,85.75,85.790001,84.739998,84.790001,14600,84.790001
2016-12-02,86.959999,87.230003,85.279999,85.769997,15800,85.769997
2016-12-01,87.00,87.849998,86.25,87.230003,26900,87.230003
2016-11-30,85.419998,86.910004,85.419998,86.650002,34400,86.650002
2016-11-29,86.449997,86.989998,85.220001,85.330002,30700,85.330002
2016-11-28,86.599998,88.290001,85.739998,86.449997,12600,86.449997
2016-11-25,86.050003,87.32,86.050003,86.720001,19300,86.720001
2016-11-24,86.57,86.93,86.290001,86.839996,19100,86.839996
2016-11-23,88.059998,88.059998,86.07,86.139999,19800,86.139999
2016-11-22,86.419998,87.699997,86.410004,87.150002,34300,87.150002
2016-11-21,88.790001,89.379997,85.849998,86.120003,41100,86.120003
2016-11-18,89.730003,91.309998,89.00,89.389999,28100,89.389999
2016-11-17,87.279999,89.989998,86.980003,89.730003,18300,89.730003
2016-11-16,86.00,87.00,85.480003,86.650002,34200,86.650002
2016-11-15,86.279999,87.50,86.00,86.279999,19300,86.279999
2016-11-14,86.690002,89.010002,86.599998,86.900002,46000,86.900002
2016-11-11,87.010002,88.300003,87.010002,87.900002,25100,87.900002
2016-11-10,85.010002,87.25,84.470001,87.080002,25800,87.080002
2016-11-09,80.620003,84.989998,80.449997,84.75,61500,84.75
2016-11-08,80.82,81.25,80.669998,80.760002,27700,80.760002
2016-11-07,80.209999,81.739998,80.209999,80.82,31400,80.82
2016-11-04,81.00,81.00,80.349998,80.50,10000,80.50
2016-11-03,81.800003,82.059998,80.720001,81.040001,39200,81.040001
2016-11-02,81.389999,82.150002,80.169998,81.800003,41400,81.800003
2016-11-01,82.870003,82.870003,81.50,81.599998,38000,81.599998
2016-10-31,81.900002,83.860001,81.900002,82.870003,21400,82.870003
2016-10-28,84.50,85.239998,81.400002,81.50,33000,81.50
2016-10-27,84.410004,84.860001,84.010002,84.230003,22000,84.230003
2016-10-26,84.959999,84.959999,84.110001,84.43,17400,84.43
2016-10-25,84.790001,85.25,84.639999,84.809998,24000,84.809998
2016-10-24,85.709999,85.709999,84.440002,84.790001,22200,84.790001
2016-10-21,84.870003,86.300003,84.589996,85.029999,32600,85.029999
2016-10-20,84.760002,84.760002,84.019997,84.489998,32000,84.489998
2016-10-19,86.230003,86.230003,84.900002,85.00,15200,85.00
2016-10-18,86.00,86.25,85.519997,85.949997,65400,85.949997
2016-10-17,85.220001,85.879997,85.00,85.599998,9400,85.599998
2016-10-14,85.010002,85.449997,84.980003,85.169998,36200,85.169998
2016-10-13,85.410004,85.410004,84.50,84.949997,14000,84.949997
2016-10-12,84.849998,85.389999,84.389999,85.050003,23100,85.050003
2016-10-11,85.599998,85.599998,84.220001,84.839996,14700,84.839996
2016-10-07,84.18,85.970001,84.18,85.199997,31200,85.199997
2016-10-06,83.739998,84.139999,83.230003,84.139999,14900,84.139999
2016-10-05,82.540001,84.489998,82.540001,83.25,50500,83.25
2016-10-04,82.900002,84.50,82.07,82.519997,32100,82.519997
2016-10-03,81.830002,83.910004,81.769997,83.550003,41800,83.550003
2016-09-30,82.449997,82.559998,81.870003,81.870003,54600,81.870003
2016-09-29,82.019997,83.059998,81.529999,81.650002,22000,81.650002
2016-09-28,82.870003,83.139999,82.059998,82.129997,32900,82.129997
2016-09-27,83.699997,83.720001,82.669998,83.00,15500,83.00
2016-09-26,83.769997,84.349998,83.50,83.580002,12700,83.580002
2016-09-23,84.279999,84.809998,84.07,84.230003,7300,84.230003
2016-09-22,85.940002,85.940002,84.279999,84.330002,17400,84.330002
2016-09-21,84.199997,85.790001,84.139999,85.779999,21000,85.779999
2016-09-20,83.809998,84.199997,83.18,84.120003,18400,84.120003
2016-09-19,84.169998,84.18,83.260002,83.629997,24400,83.629997
2016-09-16,84.400002,84.50,83.360001,83.650002,40500,83.650002
2016-09-15,83.400002,84.800003,83.400002,84.199997,36700,84.199997
2016-09-14,83.699997,84.150002,83.110001,83.599998,17100,83.599998
2016-09-13,84.00,84.00,83.309998,83.309998,80000,83.309998
2016-09-12,83.849998,84.730003,83.449997,84.330002,34500,84.330002
2016-09-09,85.970001,85.970001,83.480003,84.160004,54600,84.160004
2016-09-08,85.760002,85.989998,85.50,85.629997,8200,85.629997
2016-09-07,87.25,87.349998,85.260002,85.50,30000,85.50
2016-09-06,87.75,87.849998,86.809998,87.25,22500,87.25
2016-09-02,88.099998,88.349998,87.650002,87.790001,11900,87.790001
2016-09-01,86.279999,88.300003,85.860001,87.779999,56500,87.779999
2016-08-31,86.269997,86.269997,85.50,86.239998,12700,86.239998
2016-08-30,85.50,86.68,85.50,86.190002,21600,86.190002
2016-08-29,85.660004,85.669998,85.32,85.50,23400,85.50
2016-08-26,85.940002,85.940002,85.25,85.389999,21500,85.389999
2016-08-25,85.379997,86.620003,85.379997,85.940002,31200,85.940002
2016-08-24,85.699997,85.699997,85.18,85.349998,15400,85.349998
2016-08-23,84.889999,86.230003,84.889999,85.440002,57800,85.440002
2016-08-22,84.910004,85.839996,84.82,85.150002,13500,85.150002
2016-08-19,84.959999,85.279999,83.669998,84.910004,24800,84.910004
2016-08-18,86.879997,86.879997,84.400002,84.650002,22300,84.650002
