Date,Open,High,Low,Close,Volume,Adj Close
2016-12-29,1.97,2.00,1.97,2.00,2300,2.00
2016-12-28,1.93,1.93,1.93,1.93,000,1.93
2016-12-23,1.95,1.95,1.93,1.93,2000,1.93
2016-12-22,2.02,2.02,1.95,1.95,2600,1.95
2016-12-21,1.95,2.15,1.95,2.05,20900,2.05
2016-12-20,1.95,1.95,1.87,1.87,2500,1.87
2016-12-19,1.95,2.00,1.95,2.00,2100,2.00
2016-12-16,1.95,1.95,1.90,1.90,24900,1.90
2016-12-15,1.79,1.79,1.75,1.79,15100,1.79
2016-12-14,1.80,1.80,1.80,1.80,7800,1.80
2016-12-13,1.84,1.84,1.82,1.82,6500,1.82
2016-12-12,1.85,1.90,1.82,1.82,175200,1.82
2016-12-09,1.85,1.85,1.79,1.79,13000,1.79
2016-12-08,1.85,1.85,1.85,1.85,000,1.85
2016-12-07,1.85,1.85,1.85,1.85,3500,1.85
2016-12-06,2.00,2.00,1.90,1.90,10400,1.90
2016-12-05,1.93,1.97,1.93,1.97,3200,1.97
2016-12-02,2.00,2.00,1.95,1.95,400,1.95
2016-12-01,2.00,2.00,1.95,1.95,5100,1.95
2016-11-30,2.02,2.02,2.00,2.02,3800,2.02
2016-11-29,2.02,2.02,2.02,2.02,600,2.02
2016-11-28,2.05,2.05,2.05,2.05,6200,2.05
2016-11-25,2.00,2.00,2.00,2.00,000,2.00
2016-11-24,2.00,2.00,2.00,2.00,000,2.00
2016-11-23,2.05,2.05,2.00,2.00,2100,2.00
2016-11-22,2.08,2.09,2.08,2.09,6100,2.09
2016-11-21,2.01,2.05,2.00,2.00,6600,2.00
2016-11-18,2.05,2.08,2.05,2.08,1000,2.08
2016-11-17,2.00,2.00,2.00,2.00,000,2.00
2016-11-16,2.01,2.01,2.00,2.00,1100,2.00
2016-11-15,2.05,2.05,2.05,2.05,000,2.05
2016-11-14,2.05,2.05,2.05,2.05,000,2.05
2016-11-11,2.05,2.05,2.05,2.05,000,2.05
2016-11-10,2.05,2.05,2.05,2.05,000,2.05
2016-11-09,2.02,2.05,2.02,2.05,2600,2.05
2016-11-08,2.09,2.10,2.09,2.09,3800,2.09
2016-11-07,2.14,2.14,2.08,2.10,14500,2.10
2016-11-04,2.16,2.16,2.15,2.15,3300,2.15
2016-11-03,2.17,2.17,2.17,2.17,000,2.17
2016-11-02,2.17,2.17,2.17,2.17,000,2.17
2016-11-01,2.16,2.17,2.16,2.17,1500,2.17
2016-10-31,2.15,2.17,2.15,2.17,1000,2.17
2016-10-28,2.20,2.20,2.10,2.10,1300,2.10
2016-10-27,2.30,2.30,2.20,2.20,21300,2.20
2016-10-26,2.30,2.30,2.30,2.30,500,2.30
2016-10-25,2.40,2.40,2.30,2.30,4000,2.30
2016-10-24,2.39,2.40,2.39,2.40,2200,2.40
2016-10-21,2.26,2.32,2.26,2.32,1900,2.32
2016-10-20,2.36,2.46,2.30,2.30,5400,2.30
2016-10-19,2.33,2.35,2.33,2.35,800,2.35
2016-10-18,2.30,2.30,2.30,2.30,000,2.30
2016-10-17,2.30,2.30,2.30,2.30,300,2.30
2016-10-14,2.35,2.35,2.30,2.30,5000,2.30
2016-10-13,2.40,2.40,2.40,2.40,000,2.40
2016-10-12,2.40,2.40,2.40,2.40,900,2.40
2016-10-11,2.30,2.39,2.30,2.39,1100,2.39
2016-10-07,2.30,2.30,2.26,2.26,2000,2.26
2016-10-06,2.30,2.30,2.30,2.30,600,2.30
2016-10-05,2.40,2.40,2.32,2.32,4600,2.32
2016-10-04,2.13,2.43,2.13,2.40,13200,2.40
2016-10-03,2.00,2.10,2.00,2.10,8100,2.10
2016-09-30,2.00,2.00,2.00,2.00,000,2.00
2016-09-29,2.00,2.00,2.00,2.00,000,2.00
2016-09-28,2.00,2.00,2.00,2.00,000,2.00
2016-09-27,2.00,2.00,2.00,2.00,1200,2.00
2016-09-26,2.02,2.02,2.02,2.02,300,2.02
2016-09-23,2.06,2.06,2.06,2.06,000,2.06
2016-09-22,2.03,2.06,2.00,2.06,3300,2.06
2016-09-21,2.03,2.03,2.03,2.03,000,2.03
2016-09-20,2.03,2.03,2.03,2.03,000,2.03
2016-09-19,2.02,2.03,2.02,2.03,4000,2.03
2016-09-16,2.05,2.05,2.00,2.01,3200,2.01
2016-09-15,2.06,2.06,2.03,2.03,3100,2.03
2016-09-14,2.06,2.06,2.04,2.04,2100,2.04
2016-09-13,2.07,2.07,2.07,2.07,000,2.07
2016-09-12,2.07,2.07,2.07,2.07,000,2.07
2016-09-09,2.07,2.07,2.07,2.07,000,2.07
2016-09-08,2.06,2.09,2.06,2.07,4000,2.07
2016-09-07,2.02,2.02,2.02,2.02,000,2.02
2016-09-06,2.02,2.02,2.02,2.02,000,2.02
2016-09-02,2.10,2.10,2.02,2.02,9000,2.02
2016-09-01,2.10,2.10,2.10,2.10,000,2.10
2016-08-31,2.10,2.10,2.10,2.10,5100,2.10
2016-08-30,2.10,2.10,2.10,2.10,1300,2.10
2016-08-29,2.10,2.13,2.10,2.13,2100,2.13
2016-08-26,2.10,2.10,2.10,2.10,000,2.10
2016-08-25,2.10,2.10,2.10,2.10,000,2.10
2016-08-24,2.10,2.10,2.10,2.10,3000,2.10
2016-08-23,2.14,2.15,2.14,2.15,1300,2.15
2016-08-22,2.15,2.15,2.15,2.15,000,2.15
2016-08-19,2.15,2.15,2.15,2.15,2100,2.15
2016-08-18,2.07,2.15,2.07,2.15,19900,2.15
2016-08-17,2.12,2.12,2.12,2.12,000,2.12
2016-08-16,2.03,2.15,2.03,2.12,100200,2.12
2016-08-15,2.02,2.02,2.02,2.02,2000,2.02
2016-08-12,2.02,2.04,2.02,2.04,1200,2.04
2016-08-11,2.07,2.07,2.02,2.05,1900,2.05
2016-08-10,2.03,2.11,2.03,2.11,12300,2.11
2016-08-09,2.00,2.01,1.99,2.01,1000,2.01
2016-08-08,2.01,2.01,2.01,2.01,000,2.01
2016-08-05,2.01,2.01,2.01,2.01,000,2.01
2016-08-04,2.01,2.01,2.01,2.01,000,2.01
2016-08-03,2.04,2.04,2.01,2.01,2000,2.01
2016-08-02,2.04,2.04,2.04,2.04,1000,2.04
2016-07-29,2.03,2.03,2.00,2.00,2200,2.00
2016-07-28,2.06,2.06,2.03,2.04,3200,2.04
2016-07-27,2.04,2.04,2.04,2.04,500,2.04
2016-07-26,2.04,2.04,2.04,2.04,100,2.04
2016-07-25,2.03,2.03,2.03,2.03,100,2.03
2016-07-22,2.00,2.00,2.00,2.00,000,2.00
2016-07-21,2.00,2.00,2.00,2.00,100,2.00
2016-07-20,2.03,2.03,2.00,2.00,2500,2.00
2016-07-19,2.04,2.05,2.04,2.05,200,2.05
2016-07-18,2.00,2.09,2.00,2.09,2500,2.09
2016-07-15,2.00,2.00,2.00,2.00,000,2.00
2016-07-14,1.96,2.00,1.96,2.00,4100,2.00
2016-07-13,1.99,2.00,1.99,2.00,4100,2.00
2016-07-12,2.00,2.00,2.00,2.00,1200,2.00
2016-07-11,2.05,2.05,2.05,2.05,000,2.05
2016-07-08,2.05,2.05,2.05,2.05,1000,2.05
2016-07-07,2.10,2.10,2.10,2.10,600,2.10
2016-07-06,2.06,2.06,2.06,2.06,000,2.06
2016-07-05,2.06,2.06,2.06,2.06,000,2.06
2016-07-04,2.06,2.06,2.06,2.06,000,2.06
2016-06-30,2.06,2.06,2.06,2.06,000,2.06
2016-06-29,2.06,2.06,2.06,2.06,700,2.06
2016-06-28,2.15,2.15,2.15,2.15,200,2.15
2016-06-27,2.10,2.10,2.10,2.10,000,2.10
2016-06-24,2.10,2.15,2.10,2.10,400,2.10
2016-06-23,2.02,2.06,2.02,2.06,3600,2.06
2016-06-22,2.04,2.05,2.00,2.02,5600,2.02
2016-06-21,2.00,2.09,2.00,2.09,7400,2.09
2016-06-20,2.00,2.00,2.00,2.00,000,2.00
2016-06-17,2.00,2.00,2.00,2.00,000,2.00
2016-06-16,2.00,2.00,2.00,2.00,000,2.00
2016-06-15,2.00,2.00,2.00,2.00,200,2.00
2016-06-14,1.91,1.92,1.80,1.80,10000,1.80
2016-06-13,1.93,1.95,1.88,1.88,600,1.88
2016-06-10,1.92,1.92,1.92,1.92,000,1.92
