Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,70.510002,71.470001,70.510002,70.980003,57900,70.980003
2017-01-20,70.650002,71.50,70.650002,71.120003,88300,70.690003
2017-01-19,70.099998,71.080002,70.010002,70.540001,135900,70.113508
2017-01-18,69.669998,70.309998,69.010002,70.139999,113200,69.715925
2017-01-17,70.489998,70.75,69.57,69.669998,121300,69.248765
2017-01-16,69.220001,70.82,69.220001,70.720001,39100,70.29242
2017-01-13,66.989998,70.120003,66.989998,69.970001,169400,69.546954
2017-01-12,66.449997,66.970001,66.230003,66.900002,35900,66.495516
2017-01-11,66.309998,66.639999,66.230003,66.639999,43900,66.237086
2017-01-10,66.790001,67.110001,66.480003,66.610001,53200,66.207269
2017-01-09,66.760002,67.50,66.610001,66.940002,72600,66.535275
2017-01-06,67.00,67.239998,66.360001,66.980003,80500,66.575034
2017-01-05,66.800003,67.279999,66.459999,66.940002,150100,66.535275
2017-01-04,66.00,67.540001,65.970001,66.800003,91200,66.396122
2017-01-03,66.389999,66.559998,66.029999,66.150002,67200,65.750051
2016-12-30,66.330002,66.559998,66.190002,66.239998,29300,65.839503
2016-12-29,66.279999,66.440002,66.220001,66.330002,22600,65.928963
2016-12-28,66.059998,66.690002,65.790001,66.339996,28900,65.938897
2016-12-23,66.300003,66.650002,65.849998,66.129997,36100,65.730168
2016-12-22,65.489998,66.220001,65.07,66.040001,58100,65.640715
2016-12-21,65.709999,66.349998,65.330002,65.379997,70200,64.984702
2016-12-20,65.190002,66.040001,65.110001,65.93,83500,65.53138
2016-12-19,65.730003,66.139999,64.00,65.370003,58600,64.974768
2016-12-16,65.550003,66.099998,65.18,66.010002,80200,65.610898
2016-12-15,65.150002,66.029999,64.910004,65.559998,116400,65.163614
2016-12-14,65.25,65.510002,64.860001,65.32,109600,64.925067
2016-12-13,65.099998,65.300003,64.790001,65.080002,58600,64.686521
2016-12-12,64.269997,65.209999,64.040001,65.099998,64400,64.706396
2016-12-09,65.470001,65.599998,64.019997,64.910004,55900,64.51755
2016-12-08,64.980003,65.360001,64.900002,65.010002,43200,64.616944
2016-12-07,64.400002,65.00,64.050003,64.709999,45000,64.318755
2016-12-06,64.610001,65.190002,63.77,64.360001,48600,63.970873
2016-12-05,64.07,64.43,63.77,64.279999,26400,63.891354
2016-12-02,64.00,64.209999,63.689999,63.860001,56800,63.473896
2016-12-01,64.970001,64.970001,63.639999,63.950001,59200,63.563352
2016-11-30,64.870003,64.93,64.169998,64.550003,91000,64.159726
2016-11-29,64.07,64.900002,63.799999,64.720001,41600,64.328697
2016-11-28,64.099998,64.169998,63.650002,64.07,48800,63.682625
2016-11-25,63.740002,64.639999,63.740002,64.099998,15500,63.712442
2016-11-24,63.970001,64.099998,63.790001,63.919998,21900,63.53353
2016-11-23,64.050003,64.300003,63.799999,63.970001,38500,63.583231
2016-11-22,64.199997,64.599998,63.779999,64.019997,59500,63.632924
2016-11-21,63.779999,64.300003,63.560001,64.150002,43800,63.762143
2016-11-18,63.50,63.790001,62.93,63.610001,40300,63.225407
2016-11-17,62.970001,63.630001,62.599998,63.459999,67300,63.076313
2016-11-16,62.759998,63.02,62.07,62.439999,93200,62.062479
2016-11-15,61.25,63.349998,61.25,62.880001,190300,62.499821
2016-11-14,61.790001,61.790001,60.619999,61.349998,104400,60.979069
2016-11-11,61.790001,61.900002,60.959999,61.889999,57800,61.088406
2016-11-10,62.27,62.700001,61.299999,61.529999,90400,60.733068
2016-11-09,61.970001,62.700001,61.869999,62.330002,111900,61.522709
2016-11-08,62.110001,62.43,61.98,62.220001,131500,61.414133
2016-11-07,62.450001,62.52,61.75,61.990002,74200,61.187113
2016-11-04,62.09,62.709999,61.860001,62.23,137300,61.424002
2016-11-03,61.959999,63.240002,61.360001,61.93,128300,61.127888
2016-11-02,61.959999,62.119999,61.299999,61.880001,59400,61.078537
2016-11-01,62.560001,62.720001,61.830002,62.130001,50500,61.325299
2016-10-31,62.630001,62.93,62.349998,62.560001,115300,61.74973
2016-10-28,62.93,63.27,62.639999,62.639999,42300,61.828692
2016-10-27,62.650002,63.029999,62.380001,62.82,61100,62.006361
