Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,260.63,261.90,259.18,261.21,43900,261.21
2017-01-20,260.36,261.20,258.18,259.60,41600,259.60
2017-01-19,258.98,260.93,258.39,260.34,24200,260.34
2017-01-18,261.27,261.27,256.76,257.21,25200,257.21
2017-01-17,260.71,260.71,255.21,258.11,37000,258.11
2017-01-16,256.02,261.20,255.91,261.06,33700,261.06
2017-01-13,256.30,256.72,255.01,256.05,32900,256.05
2017-01-12,259.85,260.02,254.00,256.03,52900,256.03
2017-01-11,255.81,260.41,255.81,259.00,35000,259.00
2017-01-10,254.00,258.46,250.40,256.90,58000,256.90
2017-01-09,256.50,258.77,255.47,255.89,45200,255.89
2017-01-06,259.48,259.48,255.99,256.94,42900,256.94
2017-01-05,259.50,260.13,256.50,257.92,57600,257.92
2017-01-04,260.99,262.24,259.71,260.00,36000,260.00
2017-01-03,263.47,264.205,259.06,261.21,43500,261.21
2017-01-02,263.80,263.80,263.80,263.80,000,263.80
2016-12-30,265.01,265.46,263.225,263.80,26700,263.80
2016-12-29,265.84,267.00,264.64,265.01,40100,265.01
2016-12-28,269.95,269.99,265.92,266.45,45100,266.45
2016-12-27,267.50,267.50,267.50,267.50,000,267.50
2016-12-26,267.50,267.50,267.50,267.50,000,267.50
2016-12-23,266.84,269.41,265.02,267.50,65200,267.50
2016-12-22,265.99,268.60,265.12,266.74,45700,266.74
2016-12-21,272.01,272.01,264.62,266.25,89300,266.25
2016-12-20,250.50,275.90,250.50,271.19,296300,271.19
2016-12-19,229.01,232.14,224.56,226.82,69900,226.82
2016-12-16,229.16,232.44,228.59,229.46,113300,229.46
2016-12-15,228.52,228.77,225.53,228.74,65600,228.74
2016-12-14,225.53,230.11,225.53,228.03,87900,228.03
2016-12-13,219.99,223.56,218.76,223.31,66300,223.31
2016-12-12,220.49,221.265,216.64,219.73,101800,219.73
2016-12-09,224.99,224.99,220.89,222.52,57100,222.52
2016-12-08,226.53,227.00,222.38,224.63,78600,224.63
2016-12-07,227.99,228.83,223.51,227.00,86600,227.00
2016-12-06,231.00,231.97,225.07,229.00,80600,228.50
2016-12-05,232.08,235.72,229.40,231.00,51100,230.496
2016-12-02,233.00,233.29,228.49,231.33,88300,230.825
2016-12-01,234.45,235.56,232.16,234.03,91200,233.519
2016-11-30,234.97,235.38,232.70,233.75,106300,233.24
2016-11-29,228.49,235.24,228.49,234.95,63800,234.437
2016-11-28,230.50,231.22,227.23,228.49,81000,227.991
2016-11-25,230.87,230.92,227.77,230.47,26200,229.967
2016-11-24,232.01,233.00,230.11,230.87,17000,230.366
2016-11-23,233.70,235.00,232.46,232.62,65200,232.112
2016-11-22,229.01,235.00,228.11,233.90,77500,233.389
2016-11-21,227.57,230.37,226.70,228.53,61100,228.031
2016-11-18,223.97,227.78,223.35,226.88,66200,226.385
2016-11-17,224.03,224.275,222.79,223.97,46600,223.481
2016-11-16,223.19,224.00,222.00,223.91,105600,223.421
2016-11-15,226.74,226.74,223.265,223.77,74700,223.281
2016-11-14,227.51,229.01,222.75,226.85,94900,226.355
2016-11-11,230.01,231.66,222.43,227.50,95600,227.003
2016-11-10,245.91,245.91,220.00,230.87,133400,230.366
2016-11-09,237.41,241.22,235.51,241.19,44600,240.663
2016-11-08,240.01,241.33,237.83,238.79,56000,238.269
