Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,7.95,8.14,7.91,8.06,731200,8.06
2017-01-24,7.79,8.00,7.78,7.92,509700,7.92
2017-01-23,7.95,8.00,7.75,7.77,494800,7.77
2017-01-20,7.93,8.09,7.93,7.99,774800,7.99
2017-01-19,7.67,7.86,7.65,7.86,599200,7.86
2017-01-18,7.65,7.70,7.48,7.67,421800,7.67
2017-01-17,7.43,8.01,7.43,7.79,764200,7.79
2017-01-16,7.25,7.42,7.23,7.39,187300,7.39
2017-01-13,7.40,7.45,7.23,7.24,358700,7.24
2017-01-12,7.62,7.63,7.30,7.42,487200,7.42
2017-01-11,7.63,7.77,7.50,7.55,640100,7.55
2017-01-10,7.50,7.58,7.36,7.58,617300,7.58
2017-01-09,7.71,7.74,7.46,7.49,381100,7.49
2017-01-06,7.85,7.85,7.71,7.79,845600,7.79
2017-01-05,8.00,8.02,7.75,7.83,625200,7.83
2017-01-04,7.75,8.04,7.75,8.00,1304000,8.00
2017-01-03,7.64,7.86,7.58,7.73,971000,7.73
2016-12-30,7.63,7.71,7.61,7.66,398900,7.66
2016-12-29,7.64,7.73,7.60,7.66,449200,7.66
2016-12-28,7.25,7.70,7.23,7.66,779300,7.66
2016-12-23,7.35,7.35,7.15,7.22,244300,7.217
2016-12-22,7.41,7.43,7.35,7.39,194300,7.386929
2016-12-21,7.54,7.56,7.36,7.38,211300,7.376934
2016-12-20,7.49,7.58,7.42,7.50,639200,7.496884
2016-12-19,7.43,7.48,7.36,7.43,364300,7.426913
2016-12-16,7.46,7.46,7.21,7.40,737000,7.396925
2016-12-15,7.11,7.46,7.00,7.41,1163300,7.406921
2016-12-14,7.30,7.37,7.17,7.21,1431500,7.207004
2016-12-13,7.40,7.51,7.32,7.36,925800,7.356942
2016-12-12,7.38,7.44,7.21,7.33,1102400,7.326954
2016-12-09,7.35,7.36,7.17,7.20,421400,7.197008
2016-12-08,7.22,7.27,7.11,7.26,795600,7.256984
2016-12-07,7.20,7.25,7.14,7.18,1184600,7.177017
2016-12-06,7.17,7.23,7.11,7.19,590500,7.187013
2016-12-05,7.13,7.20,7.08,7.18,502500,7.177017
2016-12-02,7.09,7.16,6.96,6.96,480800,6.957108
2016-12-01,7.11,7.18,6.97,6.99,641600,6.987095
2016-11-30,6.70,7.14,6.70,6.99,1323500,6.987095
2016-11-29,6.24,6.42,6.24,6.34,370000,6.337366
2016-11-28,6.30,6.58,6.30,6.39,595800,6.387345
2016-11-25,6.56,6.62,6.29,6.31,292900,6.304379
2016-11-24,6.56,6.60,6.42,6.59,276000,6.58413
2016-11-23,6.61,6.64,6.52,6.54,839300,6.534175
2016-11-22,6.77,6.78,6.54,6.70,502900,6.694032
2016-11-21,6.59,6.77,6.58,6.75,516800,6.743988
2016-11-18,6.50,6.58,6.47,6.49,765800,6.484219
2016-11-17,6.58,6.61,6.44,6.48,696800,6.474228
2016-11-16,6.58,6.58,6.44,6.47,1904300,6.464237
2016-11-15,6.45,6.55,6.45,6.47,2016300,6.464237
2016-11-14,6.29,6.75,6.16,6.39,1578100,6.384308
2016-11-11,5.78,6.19,5.75,6.16,1932200,6.154513
2016-11-10,5.47,5.51,5.39,5.45,406800,5.445145
2016-11-09,5.13,5.50,5.10,5.44,465400,5.435154
2016-11-08,5.10,5.18,5.06,5.11,201200,5.105448
2016-11-07,5.18,5.25,5.00,5.16,522800,5.155404
2016-11-04,5.00,5.10,4.89,4.94,638500,4.9356
2016-11-03,5.19,5.19,5.00,5.03,648700,5.02552
2016-11-02,5.19,5.25,5.11,5.15,266400,5.145413
2016-11-01,5.40,5.40,5.11,5.27,658300,5.265306
2016-10-31,5.23,5.37,5.21,5.29,381200,5.285288
2016-10-28,5.40,5.45,5.22,5.28,390700,5.275297
2016-10-27,5.32,5.50,5.32,5.43,921200,5.425163
2016-10-26,5.47,5.49,5.26,5.32,1421200,5.312264
2016-10-25,5.79,5.81,5.50,5.52,403400,5.511973
2016-10-24,5.79,5.91,5.76,5.79,542300,5.78158
2016-10-21,5.71,5.87,5.68,5.83,609300,5.821522
2016-10-20,5.69,5.82,5.68,5.71,633400,5.701697
2016-10-19,5.57,5.88,5.56,5.79,1414400,5.78158
2016-10-18,5.44,5.53,5.38,5.49,521100,5.482016
2016-10-17,5.28,5.38,5.24,5.33,1166600,5.322249
2016-10-14,5.44,5.50,5.28,5.29,1108100,5.282307
2016-10-13,5.40,5.49,5.28,5.43,519800,5.422104
2016-10-12,5.44,5.48,5.31,5.47,749200,5.462045
2016-10-11,5.44,5.56,5.35,5.50,1089700,5.492002
2016-10-07,5.67,5.69,5.37,5.49,1377500,5.482016
2016-10-06,5.73,5.83,5.57,5.64,1721700,5.631798
2016-10-05,5.58,5.75,5.54,5.73,1039500,5.721668
2016-10-04,5.33,5.52,5.33,5.47,637100,5.462045
2016-10-03,5.20,5.40,5.13,5.39,450500,5.382162
2016-09-30,5.22,5.36,5.11,5.19,863000,5.182453
2016-09-29,4.97,5.28,4.97,5.15,1063800,5.142511
2016-09-28,4.68,4.99,4.59,4.96,787800,4.952787
2016-09-27,4.60,4.72,4.55,4.65,591800,4.640243
2016-09-26,4.88,4.91,4.66,4.66,699800,4.650221
2016-09-23,5.01,5.08,4.79,4.84,706700,4.829844
2016-09-22,4.90,5.08,4.90,5.05,1728600,5.039403
2016-09-21,4.60,4.80,4.51,4.78,697500,4.76997
2016-09-20,4.52,4.55,4.46,4.48,358200,4.470599
2016-09-19,4.66,4.68,4.50,4.52,571900,4.510515
2016-09-16,4.67,4.74,4.53,4.58,2287100,4.570389
2016-09-15,4.66,4.82,4.57,4.81,562200,4.799907
2016-09-14,4.69,4.91,4.60,4.61,1323200,4.600327
2016-09-13,4.79,4.81,4.65,4.69,745100,4.680159
2016-09-12,4.75,4.90,4.69,4.89,676300,4.879739
2016-09-09,4.96,5.09,4.73,4.86,538900,4.849802
2016-09-08,4.99,5.08,4.85,5.06,1745600,5.049382
2016-09-07,4.80,4.98,4.80,4.95,995100,4.939613
2016-09-06,4.65,4.87,4.65,4.79,568000,4.779949
2016-09-02,4.62,4.68,4.55,4.61,207300,4.600327
2016-09-01,4.40,4.55,4.38,4.52,440000,4.510515
2016-08-31,4.56,4.65,4.45,4.45,411400,4.440662
2016-08-30,4.63,4.65,4.56,4.61,207300,4.600327
2016-08-29,4.53,4.60,4.51,4.58,284000,4.570389
2016-08-26,4.61,4.66,4.51,4.57,911400,4.557417
2016-08-25,4.56,4.62,4.52,4.59,500400,4.577362
2016-08-24,4.60,4.72,4.56,4.59,279200,4.577362
2016-08-23,4.69,4.78,4.56,4.67,519400,4.657142
2016-08-22,4.56,4.71,4.47,4.68,483700,4.667114
2016-08-19,4.86,4.86,4.63,4.67,2097700,4.657142
2016-08-18,4.64,4.88,4.63,4.85,2371200,4.836646
2016-08-17,4.47,4.61,4.34,4.57,1849600,4.557417
2016-08-16,4.35,4.51,4.26,4.50,1738500,4.48761
2016-08-15,4.07,4.36,4.07,4.30,1064300,4.28816
2016-08-12,4.00,4.14,3.88,4.02,664700,4.008931
2016-08-11,4.18,4.22,4.09,4.13,340200,4.118628
