Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,15.70,16.809999,15.58,16.48,995600,16.48
2017-02-08,15.07,15.87,14.83,15.85,848100,15.85
2017-02-07,14.58,15.09,14.58,14.95,419600,14.95
2017-02-06,14.17,14.55,14.17,14.53,298500,14.53
2017-02-03,14.24,14.24,13.91,14.16,180800,14.16
2017-02-02,14.32,14.34,14.07,14.17,193000,14.17
2017-02-01,14.19,14.37,14.05,14.31,231300,14.31
2017-01-31,14.19,14.24,13.83,14.11,251000,14.11
2017-01-30,14.39,14.39,13.94,14.25,155100,14.25
2017-01-27,14.29,14.63,14.29,14.43,148000,14.43
2017-01-26,14.43,14.49,14.12,14.25,205000,14.25
2017-01-25,13.86,14.43,13.86,14.42,213100,14.42
2017-01-24,13.78,13.95,13.54,13.83,163500,13.83
2017-01-23,14.12,14.15,13.67,13.80,274400,13.80
2017-01-20,14.40,14.55,14.01,14.15,220300,14.15
2017-01-19,14.82,14.82,14.25,14.36,282200,14.36
2017-01-18,14.93,14.93,14.75,14.84,189100,14.84
2017-01-17,15.05,15.15,14.88,14.93,243900,14.93
2017-01-16,15.14,15.21,14.93,15.04,288800,15.04
2017-01-13,15.09,15.36,15.05,15.20,194600,15.20
2017-01-12,15.25,15.28,14.98,15.09,291200,15.09
2017-01-11,15.06,15.26,14.92,15.22,252100,15.22
2017-01-10,14.56,14.98,14.51,14.93,191700,14.93
2017-01-09,14.90,14.94,14.51,14.61,373900,14.61
2017-01-06,15.14,15.23,14.83,14.97,319400,14.97
2017-01-05,15.27,15.27,14.86,15.21,234500,15.21
2017-01-04,15.10,15.40,15.01,15.26,322800,15.26
2017-01-03,15.40,15.40,14.76,15.01,294300,15.01
2016-12-30,15.24,15.32,15.04,15.27,115300,15.27
2016-12-29,15.32,15.32,15.03,15.21,118900,15.21
2016-12-28,15.41,15.62,15.27,15.34,143300,15.34
2016-12-23,15.43,15.43,15.02,15.31,104200,15.31
2016-12-22,15.66,15.75,15.20,15.36,163500,15.36
2016-12-21,15.76,15.90,15.50,15.84,146700,15.84
2016-12-20,15.39,15.79,15.35,15.76,350500,15.76
2016-12-19,15.09,15.33,14.96,15.31,189400,15.31
2016-12-16,15.33,15.35,15.01,15.06,326000,15.06
2016-12-15,15.29,15.55,15.11,15.27,213400,15.27
2016-12-14,15.73,15.73,15.25,15.31,221800,15.31
2016-12-13,15.67,15.84,15.35,15.73,213100,15.73
2016-12-12,15.66,15.99,15.46,15.62,154900,15.62
2016-12-09,15.90,16.17,15.49,15.63,354500,15.63
2016-12-08,15.50,15.92,15.30,15.83,341100,15.83
2016-12-07,14.75,15.49,14.72,15.43,302800,15.43
2016-12-06,14.74,14.77,14.55,14.73,82600,14.73
2016-12-05,14.41,14.81,14.41,14.74,148800,14.74
2016-12-02,14.78,14.78,14.33,14.56,192800,14.56
2016-12-01,14.77,14.87,14.58,14.78,156400,14.78
2016-11-30,14.83,14.90,14.34,14.69,222700,14.69
2016-11-29,14.71,14.84,14.69,14.77,148000,14.77
2016-11-28,15.01,15.01,14.52,14.75,238000,14.75
2016-11-25,15.20,15.24,14.97,15.07,130500,15.07
2016-11-24,15.13,15.43,15.10,15.20,151300,15.20
2016-11-23,15.05,15.17,14.81,15.14,205400,15.14
2016-11-22,14.58,15.06,14.52,15.06,311500,15.06
2016-11-21,14.52,14.61,14.38,14.58,197800,14.58
2016-11-18,14.50,14.75,14.43,14.55,161900,14.55
2016-11-17,14.35,14.74,14.27,14.50,313000,14.50
2016-11-16,14.21,14.45,14.04,14.32,245600,14.32
2016-11-15,14.15,14.62,13.95,14.32,373100,14.32
2016-11-14,13.94,14.47,13.94,14.07,294100,14.07
