Date,Open,High,Low,Close,Volume,Adj Close
2017-02-08,7.26,7.48,7.08,7.13,1372300,7.13
2017-02-07,7.06,7.41,7.06,7.16,1285000,7.16
2017-02-06,6.60,7.10,6.60,7.03,1490900,7.03
2017-02-03,6.41,6.57,6.37,6.54,603500,6.54
2017-02-02,6.49,6.51,6.35,6.45,794700,6.45
2017-02-01,6.37,6.48,6.37,6.42,1127000,6.42
2017-01-31,6.64,6.64,6.41,6.43,1019400,6.43
2017-01-30,6.58,6.62,6.51,6.53,715700,6.53
2017-01-27,6.55,6.60,6.50,6.55,772200,6.55
2017-01-26,6.50,6.66,6.50,6.56,518900,6.56
2017-01-25,6.57,6.62,6.49,6.62,487900,6.62
2017-01-24,6.67,6.71,6.55,6.62,622800,6.62
2017-01-23,6.67,6.75,6.58,6.67,756300,6.67
2017-01-20,6.67,6.72,6.52,6.60,1421100,6.60
2017-01-19,6.79,6.94,6.66,6.68,1245700,6.68
2017-01-18,6.85,6.93,6.76,6.85,614500,6.85
2017-01-17,6.89,6.98,6.76,6.89,1061700,6.89
2017-01-16,6.97,6.98,6.87,6.90,204100,6.90
2017-01-13,6.78,6.95,6.71,6.94,574800,6.94
2017-01-12,7.06,7.06,6.80,6.85,877300,6.85
2017-01-11,6.85,7.02,6.71,6.94,1107400,6.94
2017-01-10,6.77,7.02,6.76,6.95,886400,6.95
2017-01-09,6.82,7.02,6.65,6.73,1446400,6.73
2017-01-06,6.70,7.06,6.53,6.70,1732200,6.70
2017-01-05,6.51,6.88,6.51,6.82,1942600,6.82
2017-01-04,6.50,6.54,6.25,6.39,1037000,6.39
2017-01-03,6.32,6.52,6.15,6.48,876300,6.48
2016-12-30,6.53,6.64,6.25,6.29,1092900,6.29
2016-12-29,6.10,6.64,6.00,6.51,2052000,6.51
2016-12-28,5.74,6.18,5.71,6.10,1191300,6.10
2016-12-23,5.79,5.79,5.65,5.71,893800,5.71
2016-12-22,5.64,5.84,5.62,5.73,626700,5.73
2016-12-21,5.80,5.81,5.56,5.66,876100,5.66
2016-12-20,5.71,5.83,5.63,5.80,752700,5.80
2016-12-19,5.81,5.92,5.75,5.86,1173800,5.86
2016-12-16,6.02,6.02,5.68,5.83,4861300,5.83
2016-12-15,6.25,6.26,5.89,5.99,1503000,5.99
2016-12-14,6.61,6.66,6.28,6.30,2548600,6.30
2016-12-13,6.74,6.74,6.45,6.56,1017500,6.56
2016-12-12,6.76,6.96,6.65,6.67,2462700,6.67
2016-12-09,7.19,7.30,6.75,6.99,1331900,6.99
2016-12-08,7.27,7.47,7.20,7.27,1010900,7.27
2016-12-07,7.15,7.39,7.15,7.28,1657100,7.28
2016-12-06,6.91,7.18,6.90,7.10,1326200,7.10
2016-12-05,6.80,6.98,6.72,6.90,2090100,6.90
2016-12-02,6.73,6.90,6.73,6.84,1420500,6.84
2016-12-01,6.88,6.92,6.72,6.74,1758200,6.74
2016-11-30,7.03,7.04,6.78,6.94,1372200,6.94
2016-11-29,6.97,7.16,6.86,7.10,672700,7.10
2016-11-28,6.98,7.07,6.86,7.02,639900,7.02
2016-11-25,6.99,6.99,6.84,6.89,471500,6.89
2016-11-24,6.69,6.95,6.69,6.92,239500,6.92
2016-11-23,6.90,6.95,6.70,6.77,1551700,6.77
2016-11-22,7.02,7.10,6.88,7.08,848700,7.08
2016-11-21,6.97,7.08,6.90,7.00,600300,7.00
2016-11-18,6.83,6.97,6.74,6.93,964600,6.93
2016-11-17,6.93,7.08,6.74,6.82,1438200,6.82
2016-11-16,6.97,7.04,6.78,6.87,1117400,6.87
2016-11-15,6.67,7.10,6.55,7.01,2086500,7.01
2016-11-14,6.27,6.74,6.21,6.60,1759400,6.60
2016-11-11,6.99,7.09,6.22,6.26,2145800,6.26
2016-11-10,7.04,7.39,6.90,6.93,1759900,6.93
2016-11-09,6.95,7.34,6.83,6.97,1882400,6.97
2016-11-08,6.68,6.90,6.56,6.65,1465500,6.65
2016-11-07,6.98,6.98,6.59,6.66,919400,6.66
2016-11-04,7.12,7.16,6.93,7.05,868200,7.05
2016-11-03,7.00,7.14,6.95,7.12,623300,7.12
2016-11-02,7.35,7.38,7.05,7.07,1115100,7.07
2016-11-01,6.97,7.26,6.95,7.26,1755000,7.26
2016-10-31,6.62,6.81,6.61,6.78,990200,6.78
2016-10-28,6.69,6.77,6.51,6.60,951200,6.60
2016-10-27,6.96,7.04,6.66,6.69,1223600,6.69
2016-10-26,7.03,7.10,6.82,6.90,957200,6.90
2016-10-25,6.87,7.07,6.83,7.02,855700,7.02
2016-10-24,7.03,7.13,6.66,6.85,1014600,6.85
2016-10-21,6.70,6.77,6.57,6.77,732600,6.77
2016-10-20,6.66,6.80,6.61,6.70,618800,6.70
2016-10-19,6.43,6.62,6.39,6.60,1094900,6.60
2016-10-18,6.31,6.47,6.23,6.33,796200,6.33
2016-10-17,6.20,6.28,6.12,6.22,579400,6.22
2016-10-14,6.34,6.35,6.13,6.14,507500,6.14
2016-10-13,6.37,6.53,6.24,6.35,1031000,6.35
2016-10-12,6.21,6.44,6.17,6.36,927400,6.36
2016-10-11,6.35,6.39,6.19,6.21,1020600,6.21
2016-10-07,6.53,6.67,6.30,6.42,1428000,6.42
2016-10-06,6.49,6.54,6.30,6.49,1640900,6.49
2016-10-05,6.69,6.81,6.43,6.61,2169400,6.61
2016-10-04,7.02,7.17,6.60,6.72,2065600,6.72
2016-10-03,7.17,7.22,7.04,7.15,806700,7.15
2016-09-30,7.27,7.35,6.99,7.19,1795900,7.19
2016-09-29,7.32,7.32,7.15,7.20,949900,7.20
2016-09-28,7.11,7.40,6.98,7.36,837400,7.36
2016-09-27,7.19,7.26,6.94,7.09,769600,7.09
2016-09-26,7.47,7.51,7.25,7.27,411300,7.27
2016-09-23,7.44,7.51,7.33,7.44,538800,7.44
2016-09-22,7.69,7.69,7.43,7.45,800800,7.45
2016-09-21,7.32,7.65,7.27,7.60,799100,7.60
2016-09-20,7.33,7.34,7.15,7.22,584700,7.22
2016-09-19,7.45,7.49,7.28,7.38,561700,7.38
2016-09-16,7.09,7.48,7.08,7.39,12250800,7.39
2016-09-15,6.95,7.30,6.95,7.14,1159500,7.14
2016-09-14,6.92,7.18,6.92,6.95,1015900,6.95
2016-09-13,6.95,7.05,6.81,6.88,1901500,6.88
2016-09-12,6.82,7.07,6.71,6.95,1584600,6.95
2016-09-09,6.87,7.09,6.81,6.87,1099700,6.87
2016-09-08,7.08,7.10,6.84,6.94,631400,6.94
2016-09-07,7.35,7.35,6.82,7.08,1037200,7.08
2016-09-06,7.23,7.41,7.13,7.37,1756600,7.37
2016-09-02,6.93,7.13,6.78,7.13,1078400,7.13
2016-09-01,6.53,6.82,6.53,6.81,1319700,6.81
2016-08-31,6.55,6.60,6.48,6.56,1435000,6.56
2016-08-30,6.60,6.73,6.50,6.60,927700,6.60
2016-08-29,6.58,6.79,6.58,6.69,481800,6.69
2016-08-26,6.90,7.02,6.53,6.64,1294700,6.64
2016-08-25,6.65,6.91,6.64,6.81,1083300,6.81
2016-08-24,6.86,6.86,6.59,6.68,1342300,6.68
2016-08-23,7.40,7.40,6.78,6.84,1935600,6.84
2016-08-22,7.63,7.73,7.57,7.65,393400,7.65
2016-08-19,7.72,7.85,7.65,7.76,467700,7.76
2016-08-18,7.83,7.84,7.70,7.75,463000,7.75
2016-08-17,7.61,7.82,7.58,7.80,794300,7.80
2016-08-16,7.71,7.87,7.64,7.67,469000,7.67
2016-08-15,8.10,8.10,7.64,7.73,541400,7.73
2016-08-12,7.90,8.12,7.90,8.01,1545300,8.01
2016-08-11,7.78,7.85,7.68,7.75,632600,7.75
2016-08-10,7.80,7.81,7.65,7.77,589400,7.77
2016-08-09,7.70,7.79,7.53,7.60,539200,7.60
2016-08-08,7.53,7.75,7.42,7.57,931800,7.53
2016-08-05,7.72,7.76,7.40,7.45,1064400,7.410634
2016-08-04,7.79,7.92,7.75,7.82,371200,7.778679
2016-08-03,8.01,8.01,7.75,7.78,678600,7.738891
2016-08-02,7.77,8.06,7.75,8.01,1003900,7.967675
2016-07-29,7.58,7.72,7.51,7.70,915000,7.659313
2016-07-28,7.60,7.66,7.37,7.49,1459700,7.450423
2016-07-27,7.52,7.60,7.34,7.60,1359400,7.559841
2016-07-26,7.40,7.55,7.36,7.43,753700,7.39074
2016-07-25,7.32,7.44,7.30,7.38,902600,7.341004
2016-07-22,7.29,7.42,7.25,7.40,601600,7.360898
2016-07-21,6.91,7.40,6.83,7.35,1741900,7.311162
2016-07-20,7.21,7.27,6.67,6.78,4388500,6.744175
2016-07-19,7.53,7.57,7.32,7.36,1078800,7.32111
2016-07-18,7.51,7.60,7.40,7.54,426500,7.500159
2016-07-15,7.40,7.56,7.39,7.52,472300,7.480264
2016-07-14,7.35,7.53,7.33,7.42,550300,7.380793
2016-07-13,7.35,7.64,7.31,7.44,1157300,7.400687
2016-07-12,7.46,7.49,7.25,7.29,884100,7.25148
2016-07-11,7.55,7.61,7.43,7.53,991800,7.490212
2016-07-08,7.33,7.56,7.20,7.56,2715700,7.520053
2016-07-07,7.45,7.48,7.24,7.31,1686000,7.271374
2016-07-06,7.37,7.55,7.28,7.45,6049500,7.410634
2016-07-05,8.06,8.13,7.93,8.10,700200,8.0572
2016-07-04,7.77,8.08,7.77,8.02,276300,7.977623
2016-06-30,7.69,7.72,7.49,7.70,574500,7.659313
2016-06-29,7.66,7.75,7.56,7.63,537900,7.589683
2016-06-28,7.50,7.69,7.44,7.56,568100,7.520053
2016-06-27,7.77,7.77,7.33,7.53,1151300,7.490212
2016-06-24,7.56,7.77,7.45,7.61,1297500,7.569789
2016-06-23,7.23,7.34,7.10,7.22,573300,7.181849
2016-06-22,7.12,7.21,6.93,7.21,1072900,7.171902
2016-06-21,7.11,7.29,7.03,7.12,952400,7.082378
2016-06-20,6.88,7.34,6.78,7.22,1139500,7.181849
2016-06-17,6.77,7.03,6.74,7.01,16892600,6.972959
2016-06-16,7.03,7.14,6.67,6.70,1489200,6.664597
2016-06-15,6.78,6.99,6.67,6.87,994400,6.833699
2016-06-14,6.89,6.93,6.65,6.76,1226100,6.72428
2016-06-13,7.17,7.18,6.79,6.89,1300700,6.853593
2016-06-10,6.96,7.08,6.77,6.84,784000,6.803858
2016-06-09,6.90,7.06,6.90,6.99,659400,6.953065
2016-06-08,6.94,7.11,6.88,6.94,911700,6.903329
2016-06-07,6.91,7.01,6.78,6.90,949800,6.86354
2016-06-06,7.24,7.24,6.94,7.19,934900,7.152008
2016-06-03,6.64,7.27,6.64,7.25,1334900,7.211691
2016-06-02,6.54,6.55,6.39,6.46,620900,6.425865
2016-06-01,6.75,6.78,6.53,6.62,961300,6.58502
2016-05-31,6.80,6.92,6.63,6.86,839300,6.823752
2016-05-30,6.72,6.86,6.57,6.75,314300,6.714333
2016-05-27,6.96,6.97,6.72,6.77,604700,6.734227
2016-05-26,7.15,7.18,6.79,6.95,698000,6.913276
2016-05-25,6.87,7.13,6.77,7.07,703700,7.032642
2016-05-24,7.41,7.48,6.89,6.97,1289700,6.93317
2016-05-20,7.63,7.76,7.53,7.67,772000,7.629472
2016-05-19,7.50,7.71,7.40,7.58,849700,7.539947
2016-05-18,7.77,7.90,7.57,7.60,861100,7.559841
2016-05-17,7.75,7.92,7.70,7.86,657400,7.818468
2016-05-16,7.59,7.87,7.56,7.72,615000,7.639419
2016-05-13,7.46,7.59,7.41,7.55,398200,7.471194
2016-05-12,7.53,7.59,7.31,7.44,443000,7.362342
2016-05-11,7.50,7.73,7.28,7.55,858900,7.471194
2016-05-10,7.21,7.42,7.06,7.41,580300,7.332655
2016-05-09,7.28,7.35,7.07,7.13,529800,7.055577
2016-05-06,7.24,7.68,7.20,7.50,636900,7.421715
2016-05-05,7.07,7.20,6.95,7.18,489700,7.105055
2016-05-04,6.92,7.23,6.92,7.06,501900,6.986308
2016-05-03,7.09,7.11,6.90,6.99,906600,6.917038
2016-05-02,7.05,7.17,6.96,7.10,727600,7.02589
2016-04-29,6.58,6.97,6.58,6.94,1096900,6.867561
2016-04-28,6.70,6.76,6.42,6.61,1146600,6.541005
2016-04-27,7.20,7.25,7.06,7.24,549700,7.164429
2016-04-26,7.03,7.19,6.93,7.19,318400,7.114951
2016-04-25,7.03,7.09,6.98,7.02,234200,6.946725
2016-04-22,7.01,7.05,6.94,6.99,602200,6.917038
2016-04-21,7.11,7.12,6.95,7.06,547300,6.986308
2016-04-20,6.79,7.15,6.71,6.99,1731500,6.917038
2016-04-19,6.71,6.82,6.65,6.79,1186300,6.719126
2016-04-18,6.72,6.75,6.54,6.57,203800,6.501423
2016-04-15,6.51,6.61,6.43,6.60,219300,6.531109
2016-04-14,6.61,6.70,6.42,6.52,319100,6.451944
2016-04-13,6.66,6.85,6.55,6.62,633500,6.550901
2016-04-12,6.40,6.72,6.37,6.69,659200,6.62017
