Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,27.610001,27.68,27.290001,27.48,663600,27.48
2017-01-17,27.959999,28.049999,27.629999,27.629999,481600,27.629999
2017-01-16,28.219999,28.219999,27.93,27.969999,124000,27.969999
2017-01-13,28.459999,28.51,28.16,28.23,382200,28.23
2017-01-12,28.66,28.73,28.41,28.450001,413300,28.450001
2017-01-11,28.549999,28.719999,28.49,28.67,464200,28.67
2017-01-10,28.40,28.60,28.200001,28.52,321800,28.52
2017-01-09,28.49,28.91,28.120001,28.389999,679500,28.389999
2017-01-06,29.41,29.450001,29.129999,29.15,515500,29.15
2017-01-05,29.129999,29.41,28.99,29.360001,456600,29.360001
2017-01-04,29.00,29.290001,28.99,28.99,436900,28.99
2017-01-03,28.870001,29.389999,28.780001,28.99,363000,28.99
2016-12-30,29.08,29.120001,28.85,28.870001,292800,28.870001
2016-12-29,29.07,29.200001,28.809999,29.01,352200,29.01
2016-12-28,28.950001,29.110001,28.82,29.02,406200,29.02
2016-12-23,28.809999,29.200001,28.809999,28.98,185100,28.865
2016-12-22,29.16,29.17,28.780001,28.870001,610200,28.755438
2016-12-21,28.780001,29.16,28.68,29.129999,382300,29.014404
2016-12-20,28.889999,28.889999,28.639999,28.75,399600,28.635913
2016-12-19,29.00,29.00,28.67,28.809999,395900,28.695675
2016-12-16,29.299999,29.309999,28.799999,28.91,912100,28.795278
2016-12-15,28.90,29.23,28.870001,29.209999,338700,29.094087
2016-12-14,29.129999,29.129999,28.84,28.92,524100,28.805239
2016-12-13,29.049999,29.27,28.75,29.110001,622500,28.994485
2016-12-12,29.33,29.50,28.99,29.00,1058500,28.884921
2016-12-09,29.530001,29.76,29.01,29.280001,990000,29.163811
2016-12-08,28.65,29.940001,28.65,29.50,1268300,29.382937
2016-12-07,27.98,28.59,27.92,28.549999,902400,28.436706
2016-12-06,27.040001,28.08,27.040001,27.879999,1027500,27.769365
2016-12-05,27.049999,27.08,26.85,26.969999,517300,26.862976
2016-12-02,26.83,27.049999,26.700001,27.00,585200,26.892858
2016-12-01,26.639999,26.99,26.629999,26.82,548500,26.713572
2016-11-30,26.75,26.93,26.469999,26.57,1205700,26.464564
2016-11-29,26.370001,26.83,26.370001,26.709999,564600,26.604007
2016-11-28,26.299999,26.51,26.299999,26.40,543900,26.295238
2016-11-25,26.35,26.52,26.25,26.450001,211700,26.230497
2016-11-24,26.440001,26.440001,26.16,26.35,162100,26.131327
2016-11-23,26.09,26.42,26.02,26.34,441700,26.121409
2016-11-22,26.309999,26.41,25.950001,26.18,472700,25.962737
2016-11-21,25.90,26.23,25.84,26.219999,450000,26.002404
2016-11-18,25.57,25.879999,25.51,25.799999,360800,25.58589
2016-11-17,25.309999,25.60,25.25,25.52,296600,25.308215
2016-11-16,25.379999,25.49,25.200001,25.27,322100,25.060289
2016-11-15,25.299999,25.49,25.110001,25.40,551600,25.18921
2016-11-14,25.59,25.59,25.139999,25.200001,313000,24.990871
2016-11-11,25.700001,25.870001,25.26,25.360001,309200,25.149543
2016-11-10,25.379999,25.98,25.379999,25.790001,384900,25.575974
2016-11-09,25.00,25.379999,24.969999,25.309999,294600,25.099956
2016-11-08,25.33,25.450001,25.110001,25.309999,281900,25.099956
2016-11-07,25.190001,25.43,25.09,25.309999,674600,25.099956
2016-11-04,25.00,25.309999,24.92,25.049999,1166100,24.842114
2016-11-03,23.780001,24.92,23.780001,24.66,2363900,24.455351
2016-11-02,24.049999,24.08,23.52,23.58,454800,23.384314
2016-11-01,24.700001,24.75,24.07,24.120001,405000,23.919833
2016-10-31,24.42,24.77,24.389999,24.68,365300,24.475186
2016-10-28,24.450001,24.540001,24.219999,24.41,318300,24.207426
