Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,13.13,13.15,13.02,13.07,350300,12.881
2017-02-09,13.15,13.21,13.12,13.13,333900,12.846
2017-02-08,13.15,13.21,13.08,13.13,236800,12.846
2017-02-07,13.12,13.17,13.06,13.15,359400,12.866
2017-02-06,13.13,13.13,13.06,13.09,228800,12.807
2017-02-03,12.97,13.12,12.97,13.09,259200,12.807
2017-02-02,12.81,12.95,12.77,12.92,324400,12.641
2017-02-01,12.90,12.92,12.73,12.78,553600,12.504
2017-01-31,13.00,13.02,12.90,12.92,993100,12.641
2017-01-30,13.20,13.20,12.98,12.99,439900,12.709
2017-01-27,13.23,13.265,13.15,13.18,436200,12.895
2017-01-26,13.24,13.30,13.19,13.21,408500,12.832
2017-01-25,13.42,13.42,13.18,13.20,571000,12.822
2017-01-24,13.31,13.39,13.30,13.35,302200,12.968
2017-01-23,13.47,13.47,13.28,13.30,319500,12.919
2017-01-20,13.20,13.45,13.18,13.39,905200,13.006
2017-01-19,13.23,13.28,13.13,13.19,598500,12.812
2017-01-18,13.48,13.52,13.16,13.21,658000,12.832
2017-01-17,13.42,13.555,13.35,13.43,772000,13.045
2017-01-16,13.21,13.43,13.21,13.42,262400,13.036
2017-01-13,13.13,13.28,13.10,13.21,443400,12.832
2017-01-12,12.87,13.15,12.87,13.13,940500,12.754
2017-01-11,13.00,13.13,12.85,12.87,1359000,12.409
2017-01-10,13.14,13.31,13.11,13.27,497600,12.795
2017-01-09,13.19,13.25,13.01,13.11,669000,12.64
2017-01-06,13.00,13.245,12.95,13.24,491900,12.766
2017-01-05,13.25,13.30,12.88,12.91,1192100,12.448
2017-01-04,12.99,13.11,12.90,13.08,565300,12.611
2017-01-03,12.69,12.95,12.67,12.94,507400,12.476
2017-01-02,12.60,12.60,12.60,12.60,000,12.149
2016-12-30,12.64,12.66,12.58,12.60,132800,12.149
2016-12-29,12.55,12.68,12.53,12.66,155400,12.207
2016-12-28,12.58,12.74,12.54,12.55,202900,12.10
2016-12-27,12.61,12.61,12.61,12.61,000,12.158
2016-12-26,12.61,12.61,12.61,12.61,000,12.158
2016-12-23,12.62,12.66,12.50,12.61,221000,12.158
2016-12-22,12.38,12.65,12.34,12.58,294800,12.129
2016-12-21,12.33,12.47,12.27,12.40,266800,11.956
2016-12-20,12.35,12.41,12.32,12.34,366000,11.898
2016-12-19,12.23,12.42,12.23,12.33,386900,11.888
2016-12-16,12.60,12.71,12.21,12.23,987600,11.792
2016-12-15,12.65,12.71,12.45,12.62,535100,12.168
2016-12-14,12.44,12.75,12.42,12.66,714400,12.207
2016-12-13,12.29,12.40,12.16,12.40,858600,11.956
2016-12-12,12.27,12.35,12.25,12.30,1213800,11.768
2016-12-09,12.11,12.23,12.10,12.23,990100,11.701
2016-12-08,12.00,12.13,12.00,12.07,1060500,11.548
2016-12-07,12.00,12.03,11.92,11.98,779700,11.462
2016-12-06,12.23,12.23,11.99,12.02,740200,11.50
2016-12-05,12.16,12.22,12.05,12.22,755700,11.691
2016-12-02,12.18,12.24,12.10,12.13,493300,11.605
2016-12-01,12.12,12.17,12.05,12.12,204900,11.596
2016-11-30,12.07,12.24,11.97,12.14,497300,11.615
2016-11-29,11.95,12.06,11.86,12.04,493600,11.519
2016-11-28,12.01,12.05,11.89,11.92,243700,11.404
2016-11-25,12.02,12.15,11.96,11.96,305400,11.443
2016-11-24,12.14,12.16,11.96,11.96,188200,11.443
2016-11-23,12.16,12.32,11.91,11.95,513900,11.433
2016-11-22,12.00,12.20,12.00,12.15,563200,11.624
2016-11-21,11.71,12.01,11.68,12.01,557800,11.49
2016-11-18,11.65,11.77,11.60,11.64,176900,11.136
2016-11-17,11.63,11.70,11.49,11.65,315300,11.146
2016-11-16,11.65,11.66,11.51,11.56,215100,11.06
2016-11-15,11.56,11.73,11.49,11.64,202600,11.136
2016-11-14,11.36,11.53,11.29,11.51,305300,11.012
2016-11-11,11.38,11.49,11.25,11.36,291000,10.868
2016-11-10,11.41,11.41,11.25,11.36,378300,10.868
2016-11-09,11.22,11.45,11.20,11.38,360500,10.797
2016-11-08,11.26,11.35,11.18,11.25,281400,10.673
2016-11-07,10.95,11.32,10.93,11.23,376800,10.654
2016-11-04,11.03,11.03,10.90,10.97,337200,10.408
2016-11-03,11.00,11.08,10.96,11.00,193500,10.436
2016-11-02,10.93,11.04,10.93,11.01,299100,10.446
2016-11-01,11.14,11.14,10.85,10.92,336500,10.36
2016-10-31,10.93,11.20,10.90,11.07,440100,10.503
2016-10-28,10.84,11.00,10.84,10.89,253800,10.332
2016-10-27,10.91,10.93,10.79,10.81,352700,10.256
2016-10-26,11.00,11.11,10.83,10.85,567700,10.294
2016-10-25,10.98,11.10,10.87,10.98,567000,10.417
2016-10-24,11.00,11.00,10.93,10.95,494000,10.389
2016-10-21,11.28,11.28,10.77,10.93,1182200,10.37
2016-10-20,11.60,11.61,11.18,11.27,683600,10.692
2016-10-19,11.16,11.82,11.05,11.60,1459900,11.005
2016-10-18,11.38,11.53,11.30,11.32,256000,10.74
2016-10-17,11.43,11.445,11.13,11.39,319400,10.806
2016-10-14,11.43,11.59,11.40,11.44,294900,10.854
2016-10-13,11.80,11.81,11.40,11.43,674300,10.844
2016-10-12,11.95,11.96,11.80,11.89,404000,11.19
2016-10-11,12.00,12.05,11.90,11.91,386000,11.209
2016-10-10,12.00,12.00,12.00,12.00,000,11.294
2016-10-07,12.11,12.11,11.98,12.00,204400,11.294
2016-10-06,11.99,12.08,11.96,12.08,125100,11.369
2016-10-05,12.20,12.26,11.98,12.00,285400,11.294
2016-10-04,12.27,12.29,12.01,12.13,291500,11.416
2016-10-03,12.19,12.33,12.16,12.27,179700,11.548
2016-09-30,11.98,12.22,11.98,12.15,238400,11.435
2016-09-29,12.11,12.265,12.00,12.01,306300,11.303
2016-09-28,11.92,12.13,11.92,12.06,189100,11.35
2016-09-27,12.14,12.14,11.91,11.92,218200,11.219
2016-09-26,12.19,12.21,12.07,12.09,250900,11.379
2016-09-23,12.22,12.30,12.17,12.18,218200,11.463
2016-09-22,12.22,12.23,12.10,12.21,193600,11.492
2016-09-21,12.32,12.36,12.10,12.16,233200,11.445
2016-09-20,12.17,12.33,12.15,12.28,212200,11.558
2016-09-19,12.20,12.24,12.10,12.12,222900,11.407
2016-09-16,11.95,12.19,11.87,12.10,1235100,11.388
2016-09-15,11.80,12.02,11.80,11.94,289200,11.238
2016-09-14,12.08,12.09,11.81,11.85,502200,11.153
2016-09-13,12.16,12.18,12.02,12.06,241800,11.35
2016-09-12,12.37,12.37,12.12,12.25,375900,11.44
2016-09-09,12.31,12.36,12.23,12.24,237900,11.431
2016-09-08,12.37,12.39,12.28,12.38,216700,11.561
2016-09-07,12.46,12.46,12.32,12.38,418900,11.561
2016-09-06,12.53,12.625,12.31,12.36,747200,11.543
2016-09-05,12.51,12.51,12.51,12.51,000,11.683
2016-09-02,12.39,12.53,12.27,12.51,221000,11.683
2016-09-01,12.32,12.33,12.12,12.31,509900,11.496
2016-08-31,12.18,12.43,12.15,12.29,626000,11.477
2016-08-30,12.50,12.50,12.25,12.25,355300,11.44
2016-08-29,12.64,12.69,12.47,12.47,340900,11.645
2016-08-26,12.60,12.70,12.60,12.61,139200,11.776
2016-08-25,12.61,12.74,12.56,12.59,201900,11.757
2016-08-24,12.65,12.70,12.57,12.59,172600,11.757
2016-08-23,12.75,12.75,12.63,12.65,235600,11.813
2016-08-22,12.85,12.85,12.71,12.73,356500,11.888
2016-08-19,12.89,12.91,12.78,12.85,262700,12.00
2016-08-18,12.80,12.88,12.72,12.87,136900,12.019
2016-08-17,12.98,12.99,12.68,12.76,388600,11.916
2016-08-16,12.94,12.995,12.84,12.95,170200,12.094
2016-08-15,12.95,13.00,12.87,12.95,146700,12.094
2016-08-12,12.95,13.05,12.875,12.90,205900,12.047
2016-08-11,13.18,13.26,12.93,12.94,225200,12.084
2016-08-10,13.06,13.30,12.99,13.24,339500,12.276
2016-08-09,13.00,13.07,12.95,13.00,289400,12.053
2016-08-08,12.85,12.95,12.81,12.95,284600,12.007
2016-08-05,12.80,12.88,12.715,12.77,378400,11.84
2016-08-04,12.84,12.89,12.76,12.80,236800,11.868
2016-08-03,12.81,12.88,12.72,12.81,225300,11.877
2016-08-02,12.99,13.00,12.71,12.77,256700,11.84
2016-08-01,12.90,12.90,12.90,12.90,000,11.96
2016-07-29,12.80,12.91,12.77,12.90,228000,11.96
2016-07-28,12.68,12.83,12.68,12.76,142900,11.831
2016-07-27,12.75,12.79,12.63,12.67,202600,11.747
2016-07-26,12.80,12.85,12.71,12.74,206000,11.812
2016-07-25,12.70,12.81,12.68,12.79,134000,11.858
2016-07-22,12.76,12.77,12.68,12.70,197900,11.775
2016-07-21,12.50,12.91,12.50,12.74,302000,11.812
2016-07-20,12.52,12.60,12.47,12.53,309400,11.617
2016-07-19,12.54,12.65,12.42,12.51,283500,11.599
2016-07-18,12.64,12.79,12.56,12.62,402700,11.701
2016-07-15,12.59,12.67,12.42,12.56,503600,11.645
2016-07-14,12.77,12.86,12.46,12.55,636200,11.636
2016-07-13,13.00,13.14,12.52,12.66,1271000,11.738
2016-07-12,14.10,14.10,13.78,13.78,645100,12.688
2016-07-11,13.86,14.08,13.86,13.99,417400,12.882
2016-07-08,13.63,13.87,13.60,13.77,306600,12.679
2016-07-07,13.50,13.71,13.49,13.60,198700,12.523
2016-07-06,13.55,13.63,13.41,13.46,248900,12.394
2016-07-05,13.57,13.62,13.36,13.50,260000,12.43
2016-07-04,13.38,13.66,13.34,13.61,256400,12.532
2016-07-01,13.32,13.32,13.32,13.32,000,12.265
2016-06-30,13.00,13.37,12.98,13.32,478500,12.265
2016-06-29,12.77,13.01,12.72,12.92,343300,11.896
2016-06-28,12.61,12.75,12.55,12.67,301400,11.666
2016-06-27,13.06,13.06,12.60,12.62,467700,11.62
2016-06-24,12.94,13.35,12.87,13.06,494900,12.025
2016-06-23,13.26,13.26,13.16,13.20,229300,12.154
2016-06-22,13.20,13.27,13.13,13.15,212500,12.108
2016-06-21,12.93,13.20,12.93,13.17,295800,12.127
2016-06-20,13.34,13.34,12.87,12.91,627400,11.887
2016-06-17,13.16,13.32,13.08,13.25,2766900,12.20
2016-06-16,13.18,13.25,13.08,13.17,272000,12.127
2016-06-15,13.19,13.35,13.19,13.22,446100,12.173
2016-06-14,13.24,13.31,12.88,13.17,613300,12.127
2016-06-13,13.20,13.42,13.20,13.24,474900,12.191
2016-06-10,13.26,13.33,13.16,13.31,500400,12.168
2016-06-09,13.28,13.54,13.27,13.30,502900,12.159
2016-06-08,13.65,13.73,13.26,13.26,687300,12.122
2016-06-07,13.08,13.55,13.07,13.29,463300,12.15
2016-06-06,12.85,13.02,12.82,13.00,562200,11.885
2016-06-03,12.76,12.85,12.61,12.79,466800,11.693
2016-06-02,12.60,12.775,12.60,12.73,274700,11.638
2016-06-01,12.58,12.70,12.58,12.63,211100,11.546
2016-05-31,12.70,12.74,12.58,12.58,1054400,11.501
2016-05-30,12.74,12.74,12.54,12.66,217100,11.574
2016-05-27,12.40,12.72,12.38,12.65,509600,11.565
2016-05-26,12.37,12.40,12.30,12.35,978700,11.29
2016-05-25,12.30,12.41,12.30,12.32,441400,11.263
2016-05-24,12.22,12.45,12.17,12.26,304200,11.208
2016-05-23,12.11,12.11,12.11,12.11,000,11.071
2016-05-20,12.15,12.24,11.99,12.11,276000,11.071
2016-05-19,11.95,12.15,11.95,12.10,296900,11.062
2016-05-18,12.34,12.425,11.91,11.92,434700,10.897
2016-05-17,12.48,12.49,12.31,12.34,410200,11.281
2016-05-16,12.30,12.47,12.26,12.38,344700,11.318
2016-05-13,12.60,12.68,12.15,12.24,453700,11.19
2016-05-12,12.81,12.88,12.55,12.60,528800,11.519
2016-05-11,12.81,12.93,12.71,12.84,513600,11.651
2016-05-10,12.86,12.86,12.66,12.76,419000,11.579
2016-05-09,12.55,12.82,12.52,12.78,336400,11.597
2016-05-06,12.68,12.76,12.43,12.53,320000,11.37
2016-05-05,12.72,12.89,12.63,12.71,546100,11.534
2016-05-04,12.22,12.73,12.15,12.68,478400,11.506
2016-05-03,12.37,12.38,12.16,12.28,452500,11.143
2016-05-02,12.56,12.62,12.37,12.38,328000,11.234
2016-04-29,12.39,12.67,12.27,12.51,408500,11.352
2016-04-28,12.19,12.49,12.15,12.35,352900,11.207
2016-04-27,11.85,12.19,11.85,12.16,320100,11.034
2016-04-26,11.86,12.06,11.80,11.85,757400,10.753
2016-04-25,11.82,11.86,11.76,11.80,260400,10.708
2016-04-22,11.97,11.98,11.755,11.78,319800,10.69
2016-04-21,11.75,11.90,11.70,11.87,298900,10.771
2016-04-20,11.72,11.91,11.66,11.71,345900,10.626
2016-04-19,11.91,11.97,11.65,11.72,289200,10.635
2016-04-18,11.85,12.00,11.82,11.93,537400,10.826
2016-04-15,11.99,11.99,11.75,11.83,189300,10.735
2016-04-14,12.04,12.04,11.91,11.95,241900,10.844
2016-04-13,12.32,12.32,11.89,11.97,398600,10.862
2016-04-12,12.01,12.14,11.91,11.97,335100,10.862
2016-04-11,11.79,12.12,11.75,11.96,344500,10.853
2016-04-08,11.86,11.93,11.65,11.73,246000,10.644
2016-04-07,11.97,12.00,11.64,11.75,252300,10.662
2016-04-06,11.86,12.06,11.77,11.99,304600,10.88
2016-04-05,11.87,11.94,11.52,11.87,248000,10.771
2016-04-04,12.32,12.41,11.80,11.92,290900,10.817
2016-04-01,11.68,12.30,11.68,12.24,328900,11.107
2016-03-31,11.95,11.95,11.67,11.76,388300,10.671
2016-03-30,11.59,11.99,11.55,11.78,777600,10.69
2016-03-29,10.69,11.03,10.69,10.98,148800,9.964
2016-03-28,10.72,10.75,10.56,10.72,159800,9.728
2016-03-25,10.67,10.67,10.67,10.67,000,9.682
2016-03-24,11.47,11.47,10.65,10.67,571200,9.682
2016-03-23,11.81,11.81,11.45,11.53,352000,10.463
2016-03-22,11.38,11.82,11.29,11.62,285400,10.544
2016-03-21,11.25,11.46,11.20,11.40,199700,10.345
2016-03-18,11.28,11.43,11.16,11.23,1269500,10.191
2016-03-17,11.06,11.35,11.06,11.21,347800,10.172
2016-03-16,11.08,11.23,11.02,11.20,300600,10.163
2016-03-15,11.03,11.27,10.97,11.07,254600,10.045
2016-03-14,10.99,11.09,10.76,11.01,320200,9.991
2016-03-11,10.80,10.93,10.70,10.75,231600,9.755
2016-03-10,10.62,11.04,10.60,10.80,315200,9.714
2016-03-09,10.46,10.65,10.42,10.47,311200,9.417
2016-03-08,10.57,10.57,10.42,10.42,370700,9.372
2016-03-07,10.61,10.74,10.43,10.48,416300,9.426
2016-03-04,10.60,10.72,10.57,10.63,315300,9.561
2016-03-03,10.63,10.67,10.52,10.58,369600,9.516
2016-03-02,10.71,10.74,10.54,10.60,262000,9.534
2016-03-01,10.86,10.91,10.51,10.75,505000,9.669
2016-02-29,10.30,10.76,10.26,10.76,607500,9.678
2016-02-26,9.86,10.31,9.77,10.27,443700,9.237
2016-02-25,9.98,9.98,9.50,9.87,413300,8.878
2016-02-24,9.78,10.03,9.61,9.94,248000,8.941
2016-02-23,10.00,10.09,9.79,9.83,241600,8.842
2016-02-22,9.80,10.04,9.71,9.98,441100,8.977
2016-02-19,9.57,9.70,9.44,9.67,333800,8.698
2016-02-18,9.55,9.64,9.46,9.60,387100,8.635
2016-02-17,9.35,9.54,9.34,9.49,319600,8.536
2016-02-16,9.30,9.35,9.24,9.32,354900,8.383
2016-02-15,9.25,9.25,9.25,9.25,000,8.32
2016-02-12,9.09,9.30,9.01,9.25,422600,8.32
2016-02-11,9.08,9.08,8.74,8.93,797600,8.032
2016-02-10,9.25,9.34,9.16,9.18,530700,8.257
2016-02-09,9.35,9.42,9.12,9.38,653600,8.437
2016-02-08,9.55,9.55,9.23,9.31,604500,8.374
2016-02-05,9.55,9.55,9.32,9.35,561700,8.41
2016-02-04,9.47,9.52,9.36,9.48,651900,8.527
2016-02-03,9.81,9.81,9.38,9.45,1166500,8.50
2016-02-02,10.06,10.105,9.73,9.85,425600,8.86
2016-02-01,9.76,10.25,9.53,10.06,607200,9.049
2016-01-29,9.75,9.87,9.58,9.73,1783300,8.752
2016-01-28,9.77,9.95,9.51,9.75,742400,8.77
2016-01-27,9.32,9.97,9.32,9.69,1850200,8.716
2016-01-26,9.85,9.85,9.30,9.34,1166900,8.401
2016-01-25,10.45,10.45,9.75,9.77,763600,8.788
2016-01-22,10.69,10.73,10.19,10.42,581200,9.372
2016-01-21,10.39,10.85,10.28,10.50,500800,9.444
2016-01-20,10.42,10.50,9.93,10.38,1565900,9.336
2016-01-19,11.26,11.30,10.82,10.84,1037200,9.75
2016-01-18,11.70,11.90,11.11,11.19,495800,10.065
2016-01-15,11.12,11.65,11.00,11.51,752900,10.353
2016-01-14,10.89,11.82,10.68,11.27,1100800,10.137
2016-01-13,12.33,12.59,10.43,10.78,1218200,9.696
2016-01-12,11.91,12.37,11.43,11.71,501700,10.447
2016-01-11,10.80,11.95,10.80,11.89,562000,10.608
2016-01-08,10.71,10.89,10.61,10.77,302700,9.609
2016-01-07,10.78,10.86,10.55,10.70,367600,9.546
2016-01-06,10.98,10.98,10.60,10.83,387600,9.662
2016-01-05,11.24,11.28,10.93,11.01,267800,9.823
2016-01-04,10.67,11.30,10.60,11.24,261200,10.028
2016-01-01,10.80,10.80,10.80,10.80,000,9.635
2015-12-31,11.10,11.10,10.77,10.80,161800,9.635
2015-12-30,10.90,11.15,10.90,11.09,181100,9.894
2015-12-29,10.90,10.97,10.81,10.93,219300,9.751
2015-12-28,10.85,10.85,10.85,10.85,000,9.68
2015-12-25,10.85,10.85,10.85,10.85,000,9.68
2015-12-24,10.61,10.85,10.55,10.85,85200,9.68
2015-12-23,10.51,10.88,10.48,10.64,298900,9.493
2015-12-22,10.31,10.53,10.16,10.50,224800,9.368
2015-12-21,10.50,10.50,10.22,10.34,247600,9.225
2015-12-18,10.01,10.51,10.00,10.46,435500,9.332
2015-12-17,10.06,10.18,9.85,9.99,471100,8.913
2015-12-16,9.95,10.23,9.87,10.15,223100,9.055
2015-12-15,9.55,9.94,9.44,9.87,186900,8.806
2015-12-14,9.83,9.88,9.41,9.54,378200,8.511
2015-12-11,9.98,10.05,9.80,9.88,286300,8.815
2015-12-10,9.90,10.20,9.83,10.17,237400,8.988
2015-12-09,9.80,10.05,9.75,9.88,305200,8.732
2015-12-08,10.04,10.09,9.72,9.78,270300,8.644
2015-12-07,10.23,10.42,10.10,10.14,210400,8.962
2015-12-04,9.97,10.29,9.96,10.28,196700,9.086
2015-12-03,10.43,10.43,9.94,9.96,277500,8.803
2015-12-02,10.56,10.65,10.40,10.45,178400,9.236
2015-12-01,10.52,10.66,10.43,10.51,229000,9.289
2015-11-30,10.42,10.67,10.33,10.48,321400,9.262
2015-11-27,10.17,10.40,9.91,10.35,209500,9.148
2015-11-26,9.93,10.24,9.87,10.11,198400,8.935
2015-11-25,9.75,10.00,9.67,9.89,388800,8.741
2015-11-24,9.80,9.85,9.53,9.70,432200,8.573
2015-11-23,10.52,10.52,9.63,9.83,552800,8.688
2015-11-20,11.53,11.54,10.53,10.55,512100,9.324
2015-11-19,11.41,11.43,11.10,11.11,221200,9.819
2015-11-18,11.25,11.49,11.25,11.40,170200,10.076
2015-11-17,11.42,11.42,11.08,11.27,256500,9.961
2015-11-16,11.44,11.69,11.39,11.42,342800,10.093
2015-11-13,11.81,11.86,11.40,11.43,180900,10.102
2015-11-12,11.92,12.07,11.78,11.83,176100,10.456
2015-11-11,12.13,12.16,11.95,12.10,129300,10.61
2015-11-10,12.22,12.22,12.00,12.14,153700,10.645
2015-11-09,12.20,12.30,12.08,12.16,102600,10.663
2015-11-06,12.18,12.21,11.86,12.16,304100,10.663
2015-11-05,12.31,12.36,12.13,12.18,299900,10.68
2015-11-04,12.76,12.76,12.27,12.41,189200,10.882
2015-11-03,12.88,12.88,12.67,12.68,206400,11.119
2015-11-02,12.50,12.68,12.50,12.63,638100,11.075
2015-10-30,12.45,12.53,12.42,12.47,288000,10.935
2015-10-29,12.32,12.50,12.26,12.45,167400,10.917
2015-10-28,12.16,12.46,12.15,12.39,283400,10.865
2015-10-27,12.44,12.51,12.11,12.20,387700,10.698
2015-10-26,12.61,12.61,12.35,12.43,284900,10.90
2015-10-23,12.47,12.60,12.21,12.54,522600,10.996
2015-10-22,12.70,12.90,12.29,12.42,360800,10.891
2015-10-21,12.64,12.64,12.32,12.39,279700,10.865
2015-10-20,13.26,13.26,12.41,12.49,267000,10.952
2015-10-19,13.24,13.57,13.21,13.26,203500,11.628
2015-10-16,13.73,13.83,13.31,13.32,253400,11.68
2015-10-15,13.80,13.94,13.60,13.69,684100,12.005
2015-10-14,13.66,13.90,13.65,13.75,136600,12.057
2015-10-13,13.81,13.905,13.65,13.73,161300,12.04
2015-10-12,13.83,13.83,13.83,13.83,000,12.044
