Date,Open,High,Low,Close,Volume,Adj Close
2017-01-19,16.24,16.24,15.87,15.96,160700,15.96
2017-01-18,15.89,16.469999,15.84,16.190001,336200,16.190001
2017-01-17,16.120001,16.280001,15.87,15.89,182800,15.89
2017-01-16,16.25,16.299999,16.120001,16.18,23300,16.18
2017-01-13,16.290001,16.389999,16.209999,16.280001,72700,16.280001
2017-01-12,16.139999,16.309999,15.88,16.280001,157600,16.280001
2017-01-11,16.209999,16.34,16.08,16.190001,145900,16.190001
2017-01-10,16.08,16.43,16.08,16.23,170500,16.23
2017-01-09,16.200001,16.379999,16.059999,16.10,118400,16.10
2017-01-06,16.040001,16.27,16.00,16.17,147700,16.17
2017-01-05,16.18,16.200001,15.99,16.120001,98100,16.120001
2017-01-04,15.84,16.40,15.75,16.209999,201400,16.209999
2017-01-03,15.96,16.030001,15.57,15.79,230900,15.79
2016-12-30,16.190001,16.190001,15.89,15.91,106400,15.91
2016-12-29,16.08,16.219999,16.07,16.139999,77000,16.139999
2016-12-28,16.129999,16.34,16.07,16.10,102800,16.10
2016-12-23,16.040001,16.16,16.01,16.01,68700,16.01
2016-12-22,16.110001,16.34,16.01,16.030001,204000,16.030001
2016-12-21,16.27,16.440001,16.07,16.08,180600,16.08
2016-12-20,16.129999,16.299999,16.059999,16.219999,189700,16.219999
2016-12-19,15.97,16.40,15.93,16.129999,328400,16.129999
2016-12-16,15.97,16.18,15.92,15.99,300400,15.99
2016-12-15,15.87,16.299999,15.80,15.94,200500,15.94
2016-12-14,15.96,16.040001,15.84,15.90,381100,15.90
2016-12-13,16.00,16.209999,15.93,15.96,188300,15.96
2016-12-12,16.110001,16.190001,16.00,16.030001,102900,16.030001
2016-12-09,15.97,16.23,15.95,16.18,144300,16.18
2016-12-08,16.49,16.549999,16.01,16.08,300900,16.08
2016-12-07,16.219999,16.42,16.219999,16.32,235600,16.32
2016-12-06,16.10,16.32,15.97,16.26,173000,16.26
2016-12-05,15.83,16.129999,15.80,16.059999,151200,16.059999
2016-12-02,15.71,15.84,15.58,15.80,284300,15.80
2016-12-01,16.33,16.34,15.70,15.74,216900,15.74
2016-11-30,16.450001,16.559999,16.299999,16.299999,293400,16.299999
2016-11-29,16.41,16.620001,16.35,16.450001,160000,16.450001
2016-11-28,16.540001,16.65,16.41,16.42,123700,16.42
2016-11-25,16.620001,16.879999,16.540001,16.59,95100,16.59
2016-11-24,16.73,16.76,16.540001,16.620001,27300,16.620001
2016-11-23,16.459999,16.790001,16.459999,16.690001,227400,16.690001
2016-11-22,16.459999,16.639999,16.40,16.469999,149300,16.469999
2016-11-21,16.690001,16.690001,16.370001,16.450001,230100,16.450001
2016-11-18,16.73,16.91,16.65,16.690001,168300,16.690001
2016-11-17,16.85,16.91,16.690001,16.690001,230400,16.690001
2016-11-16,16.549999,16.91,16.52,16.879999,357800,16.879999
2016-11-15,16.16,16.639999,16.16,16.549999,147800,16.549999
2016-11-14,16.25,16.440001,16.10,16.16,135300,16.16
2016-11-11,16.219999,16.34,16.17,16.200001,89300,16.200001
2016-11-10,16.23,16.57,16.15,16.23,207700,16.23
2016-11-09,16.049999,16.16,15.43,16.129999,227900,16.129999
2016-11-08,15.99,16.139999,15.94,16.059999,151700,16.059999
2016-11-07,16.049999,16.219999,15.89,16.01,180500,16.01
2016-11-04,16.02,16.17,15.84,15.88,154600,15.88
2016-11-03,16.290001,16.299999,15.88,15.91,198000,15.91
2016-11-02,16.24,16.40,16.17,16.24,200400,16.24
2016-11-01,15.87,16.469999,15.87,16.25,286600,16.25
2016-10-31,15.98,16.07,15.79,15.87,203600,15.87
2016-10-28,16.00,16.299999,15.94,15.94,198800,15.94
2016-10-27,15.89,16.32,15.89,15.97,215800,15.97
2016-10-26,15.56,16.030001,15.52,15.80,290400,15.80
2016-10-25,15.55,15.69,15.27,15.59,549000,15.59
2016-10-24,15.22,15.82,15.22,15.54,308400,15.54
2016-10-21,14.49,15.50,14.44,15.30,797500,15.30
2016-10-20,13.66,13.80,13.66,13.79,60400,13.79
2016-10-19,13.63,13.76,13.46,13.72,116000,13.72
2016-10-18,13.82,13.93,13.62,13.67,216800,13.67
2016-10-17,13.68,13.74,13.62,13.73,119400,13.73
