Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,9.30,9.35,9.25,9.30,71400,9.30
2017-02-08,9.40,9.40,9.20,9.28,35900,9.28
2017-02-07,9.25,9.40,9.22,9.40,30000,9.40
2017-02-06,9.14,9.30,9.10,9.26,14700,9.26
2017-02-03,9.19,9.21,9.13,9.18,28900,9.18
2017-02-02,9.34,9.35,9.08,9.12,37000,9.12
2017-02-01,9.38,9.49,9.28,9.40,66100,9.40
2017-01-31,9.47,9.47,9.20,9.37,252400,9.37
2017-01-30,9.45,9.50,9.26,9.48,38800,9.48
2017-01-27,9.25,9.50,9.25,9.50,63000,9.50
2017-01-26,9.16,9.50,9.16,9.50,128200,9.50
2017-01-25,9.24,9.25,9.09,9.20,107900,9.20
2017-01-24,9.17,9.28,9.11,9.25,134000,9.25
2017-01-23,9.11,9.28,9.09,9.18,38800,9.18
2017-01-20,9.16,9.22,9.09,9.10,53100,9.10
2017-01-19,9.17,9.33,9.15,9.20,22500,9.20
2017-01-18,9.32,9.32,9.19,9.19,38900,9.19
2017-01-17,9.24,9.41,9.19,9.32,36200,9.32
2017-01-16,9.46,9.46,9.11,9.30,28200,9.30
2017-01-13,9.23,9.49,9.19,9.45,68200,9.45
2017-01-12,9.21,9.26,9.09,9.23,72800,9.23
2017-01-11,9.10,9.37,9.10,9.17,58500,9.17
2017-01-10,9.19,9.24,9.09,9.10,49500,9.10
2017-01-09,9.25,9.38,9.16,9.27,60100,9.27
2017-01-06,9.30,9.39,9.27,9.35,33400,9.35
2017-01-05,9.37,9.40,9.27,9.35,88400,9.35
2017-01-04,9.31,9.40,9.19,9.34,40900,9.34
2017-01-03,9.15,9.37,9.15,9.31,111000,9.31
2016-12-30,9.10,9.28,9.05,9.11,63200,9.11
2016-12-29,9.22,9.29,9.13,9.18,21900,9.18
2016-12-28,9.15,9.30,9.12,9.18,21600,9.18
2016-12-23,8.85,9.21,8.85,9.19,45300,9.19
2016-12-22,9.17,9.20,8.85,8.94,66700,8.94
2016-12-21,9.15,9.30,9.14,9.24,79200,9.24
2016-12-20,9.14,9.14,9.08,9.12,69500,9.12
2016-12-19,9.20,9.20,9.04,9.16,40000,9.16
2016-12-16,9.10,9.25,9.07,9.20,50900,9.20
2016-12-15,9.08,9.16,9.00,9.11,137500,9.11
2016-12-14,9.13,9.15,9.00,9.11,347600,9.11
2016-12-13,9.10,9.21,9.01,9.06,54000,9.06
2016-12-12,8.91,9.11,8.79,9.09,138000,9.09
2016-12-09,8.64,8.86,8.58,8.82,83300,8.82
2016-12-08,8.78,8.82,8.55,8.63,69400,8.63
2016-12-07,8.65,8.85,8.65,8.78,101500,8.78
2016-12-06,8.71,8.77,8.53,8.69,65900,8.69
2016-12-05,8.77,8.77,8.60,8.76,66700,8.76
2016-12-02,8.69,8.85,8.65,8.78,64200,8.68
2016-12-01,8.88,8.89,8.67,8.72,65600,8.620684
