Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,189.770004,192.960007,188.360001,192.479996,403000,192.479996
2017-01-17,194.539993,194.539993,190.179993,190.399994,420100,190.399994
2017-01-16,195.020004,195.440002,193.300003,194.649994,91500,194.649994
2017-01-13,194.160004,195.75,193.089996,195.059998,282900,195.059998
2017-01-12,193.369995,194.25,191.990005,193.839996,244600,193.839996
2017-01-11,193.860001,194.820007,192.509995,193.800003,220200,193.800003
2017-01-10,194.380005,194.380005,192.25,193.360001,247300,193.360001
2017-01-09,196.419998,196.429993,191.50,192.470001,285800,192.470001
2017-01-06,195.210007,198.279999,193.440002,196.740005,360900,196.740005
2017-01-05,193.240005,197.75,193.00,194.869995,434500,194.869995
2017-01-04,191.190002,194.550003,189.550003,194.360001,404000,194.360001
2017-01-03,193.00,195.630005,189.860001,190.059998,309700,190.059998
2016-12-30,193.199997,194.029999,191.300003,191.559998,261200,191.559998
2016-12-29,193.190002,193.710007,192.080002,193.199997,167800,193.199997
2016-12-28,193.350006,194.850006,192.699997,192.850006,198800,192.850006
2016-12-23,193.649994,195.330002,193.160004,193.869995,229700,193.369998
2016-12-22,194.630005,194.990005,193.309998,193.529999,298000,193.030878
2016-12-21,193.899994,196.229996,193.529999,194.389999,222300,193.888661
2016-12-20,193.240005,195.649994,193.240005,193.710007,297000,193.210422
2016-12-19,193.820007,194.50,192.139999,193.229996,312000,192.731649
2016-12-16,195.960007,196.990005,193.130005,193.729996,1543100,193.23036
2016-12-15,193.690002,198.089996,193.690002,194.080002,638000,193.579463
2016-12-14,198.199997,198.339996,193.259995,193.610001,490900,193.110674
2016-12-13,200.259995,202.00,198.139999,198.210007,347500,197.698816
2016-12-12,204.289993,204.300003,199.100006,200.100006,455600,199.583942
2016-12-09,206.419998,206.50,204.199997,205.679993,189300,205.149537
2016-12-08,204.949997,206.179993,202.979996,205.919998,378800,205.388924
2016-12-07,200.649994,205.220001,200.630005,204.75,294300,204.221943
2016-12-06,200.070007,201.839996,198.729996,201.119995,297400,200.6013
2016-12-05,201.320007,204.169998,201.039993,201.119995,223000,200.6013
2016-12-02,206.399994,207.080002,200.220001,200.759995,263900,200.242228
2016-12-01,205.639999,209.119995,205.300003,206.869995,339400,206.33647
2016-11-30,200.070007,206.75,199.960007,205.630005,659100,205.099678
2016-11-29,198.809998,201.25,197.899994,200.190002,321600,199.673706
2016-11-28,201.110001,201.110001,198.419998,199.130005,284300,198.616442
2016-11-25,201.690002,202.800003,201.479996,201.860001,161500,201.339397
2016-11-24,201.279999,202.199997,200.50,201.429993,47400,200.910498
2016-11-23,201.559998,202.929993,201.009995,201.350006,232300,200.830718
2016-11-22,200.00,202.279999,199.550003,202.179993,386200,201.658564
2016-11-21,196.800003,199.740005,196.800003,199.50,242700,198.985483
2016-11-18,196.690002,197.800003,195.880005,196.789993,190900,196.282465
2016-11-17,194.869995,198.089996,194.320007,197.240005,575900,196.731317
2016-11-16,193.770004,195.070007,192.199997,194.880005,602500,194.377403
2016-11-15,193.089996,195.600006,192.690002,194.800003,533700,194.297607
2016-11-14,196.009995,196.289993,192.970001,193.50,282700,193.000957
2016-11-11,196.990005,198.050003,193.809998,194.440002,329700,193.938535
2016-11-10,192.800003,200.100006,192.720001,197.00,451000,196.49193
2016-11-09,190.949997,192.830002,188.800003,192.179993,232900,191.684354
2016-11-08,191.960007,193.399994,186.210007,191.179993,312800,190.686933
2016-11-07,190.110001,194.960007,189.940002,191.880005,337300,191.38514
2016-11-04,188.690002,189.949997,187.770004,188.25,156500,187.764497
2016-11-03,191.130005,191.240005,188.279999,188.690002,153800,188.203365
2016-11-02,188.899994,191.279999,188.399994,190.490005,213200,189.998725
2016-11-01,192.350006,192.360001,186.949997,188.899994,339800,188.412815
2016-10-31,192.970001,194.660004,191.720001,191.740005,252000,191.245502
2016-10-28,194.009995,195.949997,192.339996,192.960007,244900,192.462356
2016-10-27,192.529999,194.75,192.220001,193.979996,255000,193.479715
2016-10-26,196.00,196.00,190.639999,192.169998,341400,191.674385
2016-10-25,194.889999,196.600006,194.020004,196.369995,220500,195.86355
2016-10-24,196.899994,197.699997,194.509995,194.929993,261600,194.427262
2016-10-21,193.039993,196.649994,193.00,196.009995,412400,195.504478
2016-10-20,197.520004,198.910004,192.229996,193.389999,461200,192.89124
2016-10-19,197.669998,201.240005,195.850006,197.410004,542100,196.900877
2016-10-18,198.710007,201.869995,198.119995,201.309998,495900,200.790812
2016-10-17,197.320007,198.589996,195.070007,197.419998,260100,196.910845
2016-10-14,201.820007,202.600006,197.919998,198.149994,237300,197.638958
2016-10-13,198.860001,201.75,198.080002,201.080002,253400,200.56141
2016-10-12,201.889999,202.949997,199.789993,200.610001,201400,200.092621
2016-10-11,202.520004,203.860001,201.110001,201.889999,501600,201.369318
2016-10-07,201.910004,202.630005,198.869995,201.990005,222300,201.469067
2016-10-06,204.00,204.820007,201.460007,202.270004,471800,201.748343
2016-10-05,201.190002,204.25,201.050003,204.00,407200,203.473877
2016-10-04,200.830002,202.380005,199.690002,200.149994,439900,199.6338
2016-10-03,199.320007,202.240005,199.009995,200.360001,356200,199.843265
2016-09-30,199.009995,201.089996,198.220001,200.190002,443100,199.673706
2016-09-29,196.339996,199.100006,195.820007,198.00,369700,197.489351
2016-09-28,193.910004,197.320007,193.910004,196.690002,393600,196.182732
2016-09-27,193.139999,196.229996,193.070007,194.009995,251700,193.01092
2016-09-26,192.020004,194.610001,191.190002,193.580002,204000,192.583142
2016-09-23,192.869995,194.220001,192.789993,192.960007,317600,191.966339
2016-09-22,194.990005,195.00,192.490005,192.929993,258500,191.93648
2016-09-21,191.589996,194.460007,191.589996,193.809998,305000,192.811953
2016-09-20,194.990005,195.729996,190.320007,190.740005,396200,189.75777
2016-09-19,195.839996,195.839996,193.160004,194.00,258300,193.000977
2016-09-16,194.919998,195.399994,192.610001,194.830002,667000,193.826705
2016-09-15,194.25,195.380005,192.610001,195.059998,326400,194.055516
2016-09-14,193.919998,196.399994,192.759995,193.970001,309000,192.971133
2016-09-13,193.800003,195.949997,193.070007,194.369995,367400,193.369067
2016-09-12,191.550003,197.380005,191.550003,195.820007,399000,194.811612
2016-09-09,197.369995,198.169998,192.339996,192.610001,350000,191.618136
2016-09-08,200.979996,200.979996,196.839996,199.160004,306500,198.134409
2016-09-07,199.949997,202.50,199.220001,201.089996,238800,200.054463
2016-09-06,201.440002,201.600006,199.399994,199.779999,371800,198.751211
2016-09-02,201.559998,203.059998,199.919998,200.970001,233000,199.935086
2016-09-01,201.320007,203.220001,200.25,201.429993,405200,200.392708
2016-08-31,202.509995,203.110001,199.779999,200.850006,355300,199.815708
2016-08-30,201.75,203.289993,201.559998,203.00,482100,201.954631
2016-08-29,199.539993,202.660004,199.190002,201.429993,215500,200.392708
2016-08-26,196.960007,199.559998,196.960007,199.029999,257100,198.005073
2016-08-25,196.720001,198.020004,195.710007,196.929993,157200,195.915881
2016-08-24,197.50,198.699997,196.470001,196.610001,207600,195.597537
2016-08-23,198.50,198.559998,196.990005,197.580002,186700,196.562543
2016-08-22,196.00,198.199997,194.850006,197.839996,269700,196.821199
2016-08-19,193.960007,196.520004,193.770004,196.100006,277900,195.090169
2016-08-18,192.720001,195.300003,191.940002,194.100006,334000,193.100468
2016-08-17,191.929993,193.300003,191.419998,192.00,996000,191.011276
2016-08-16,192.990005,192.990005,190.279999,191.850006,251400,190.862055
2016-08-15,191.50,193.789993,191.289993,192.229996,236400,191.240088
2016-08-12,190.649994,191.50,189.100006,191.289993,202000,190.304926
2016-08-11,189.919998,191.809998,189.630005,190.490005,252700,189.509058
2016-08-10,190.410004,190.410004,187.589996,188.720001,171600,187.748168
2016-08-09,190.720001,191.369995,189.399994,190.039993,205900,189.061363
2016-08-08,190.759995,192.059998,189.529999,190.110001,247200,189.13101
2016-08-05,188.210007,191.850006,188.210007,189.850006,285500,188.872354
2016-08-04,185.399994,187.149994,184.779999,186.600006,627100,185.63909
2016-08-03,192.600006,193.279999,191.350006,192.490005,241100,191.498758
2016-08-02,192.600006,195.25,190.570007,192.149994,247900,191.160498
2016-07-29,194.759995,196.25,193.949997,195.610001,280100,194.602687
2016-07-28,192.869995,195.419998,192.429993,194.820007,289900,193.816762
