Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,25.120001,25.290001,25.08,25.08,119700,25.08
2017-02-03,25.00,25.459999,24.940001,25.110001,225500,25.110001
2017-02-02,24.66,25.09,24.65,25.030001,135700,25.030001
2017-02-01,24.700001,24.790001,24.50,24.639999,183000,24.639999
2017-01-31,24.440001,24.799999,24.40,24.68,209000,24.68
2017-01-30,24.50,24.639999,24.15,24.309999,120300,24.309999
2017-01-27,24.559999,24.58,24.299999,24.530001,134800,24.530001
2017-01-26,24.780001,24.950001,24.549999,24.58,147200,24.58
2017-01-25,24.559999,24.93,24.51,24.83,217200,24.83
2017-01-24,24.23,24.65,24.23,24.559999,270600,24.559999
2017-01-23,24.25,24.370001,24.17,24.190001,178600,24.190001
2017-01-20,24.41,24.52,24.219999,24.299999,274200,24.299999
2017-01-19,24.700001,24.700001,24.34,24.370001,291700,24.370001
2017-01-18,24.889999,25.02,24.58,24.690001,398100,24.690001
2017-01-17,24.780001,25.059999,24.690001,24.91,246800,24.91
2017-01-16,24.77,24.860001,24.690001,24.780001,58500,24.780001
2017-01-13,25.01,25.110001,24.719999,24.77,237000,24.77
2017-01-12,24.32,25.16,24.32,24.950001,765000,24.950001
2017-01-11,24.129999,24.43,24.10,24.389999,319400,24.389999
2017-01-10,23.799999,24.16,23.59,24.129999,345800,24.129999
2017-01-09,23.799999,23.83,23.540001,23.65,181200,23.65
2017-01-06,23.870001,23.870001,23.50,23.809999,491200,23.809999
2017-01-05,23.860001,23.90,23.67,23.73,199300,23.73
2017-01-04,23.43,23.74,23.309999,23.719999,570000,23.719999
2017-01-03,23.35,23.41,23.15,23.25,424600,23.25
2016-12-30,23.42,23.50,23.200001,23.23,267300,23.23
2016-12-29,23.32,23.42,23.25,23.40,274200,23.40
2016-12-28,23.49,23.549999,23.25,23.360001,415400,23.360001
2016-12-23,23.639999,23.639999,23.42,23.540001,282900,23.150001
2016-12-22,23.700001,23.709999,23.41,23.549999,558800,23.159834
2016-12-21,23.709999,23.959999,23.629999,23.700001,408300,23.30735
2016-12-20,24.49,24.49,23.540001,23.700001,538000,23.30735
2016-12-19,24.360001,24.40,24.120001,24.379999,363800,23.976083
2016-12-16,23.90,24.389999,23.860001,24.280001,723700,23.877741
2016-12-15,23.780001,23.780001,23.50,23.65,521200,23.258178
2016-12-14,24.00,24.07,23.68,23.799999,610300,23.405692
2016-12-13,23.280001,24.00,23.129999,23.99,722700,23.592545
2016-12-12,23.27,23.40,23.139999,23.17,410800,22.78613
2016-12-09,23.129999,23.549999,23.08,23.209999,509200,22.825467
2016-12-08,22.90,23.059999,22.77,23.01,396800,22.628781
2016-12-07,22.969999,23.110001,22.809999,22.879999,514200,22.500934
2016-12-06,23.17,23.280001,22.879999,22.91,480000,22.530438
2016-12-05,23.10,23.219999,22.92,23.120001,378400,22.73696
2016-12-02,23.690001,23.75,23.059999,23.07,639700,22.687787
2016-12-01,23.50,23.530001,23.15,23.48,528500,23.090994
2016-11-30,23.25,23.49,23.120001,23.34,640900,22.953314
2016-11-29,23.299999,23.33,22.860001,23.24,1064100,22.85497
2016-11-28,23.450001,23.66,22.84,23.26,643400,22.87464
2016-11-25,23.219999,23.790001,22.82,23.440001,1517100,23.051658
2016-11-24,21.00,21.57,21.00,21.389999,214000,21.03562
2016-11-23,20.84,21.030001,20.700001,20.969999,294800,20.622578
2016-11-22,20.85,21.09,20.85,20.879999,825100,20.534069
2016-11-21,21.02,21.18,20.799999,20.879999,255500,20.534069
2016-11-18,20.799999,21.24,20.75,21.00,336000,20.652082
2016-11-17,20.84,21.25,20.84,20.99,371900,20.642247
2016-11-16,20.629999,20.91,20.50,20.889999,218800,20.543904
2016-11-15,20.33,20.639999,20.309999,20.60,165200,20.258709
2016-11-14,20.25,20.26,19.90,20.25,194300,19.914508
2016-11-11,20.57,20.57,20.08,20.209999,225900,19.875169
2016-11-10,20.90,20.91,20.35,20.610001,343600,20.268544
2016-11-09,20.67,20.879999,20.620001,20.83,174000,20.484898
2016-11-08,20.76,20.940001,20.76,20.889999,150100,20.543904
2016-11-07,20.700001,20.870001,20.67,20.780001,202900,20.435727
2016-11-04,20.25,20.809999,20.24,20.59,176100,20.248875
2016-11-03,20.540001,20.58,20.25,20.290001,132600,19.953846
2016-11-02,20.65,20.82,20.469999,20.559999,162600,20.219371
2016-11-01,20.74,20.940001,20.52,20.66,364000,20.317715
2016-10-31,21.030001,21.040001,20.639999,20.65,166700,20.30788
2016-10-28,20.84,21.030001,20.75,20.950001,180400,20.602911
2016-10-27,20.889999,20.959999,20.77,20.809999,183000,20.465229
2016-10-26,20.790001,21.24,20.74,20.870001,372000,20.524237
2016-10-25,21.26,21.27,20.75,20.83,406700,20.484898
2016-10-24,21.41,21.75,21.26,21.33,427700,20.976615
2016-10-21,21.200001,21.389999,21.08,21.09,264000,20.740591
2016-10-20,21.32,21.59,21.18,21.25,358100,20.89794
2016-10-19,21.120001,21.559999,21.01,21.32,283700,20.96678
2016-10-18,21.040001,21.200001,20.959999,21.02,338300,20.671751
2016-10-17,20.99,21.059999,20.92,20.93,157900,20.583242
2016-10-14,20.99,21.120001,20.82,20.950001,238800,20.602911
2016-10-13,20.75,21.01,20.700001,20.889999,201400,20.543904
2016-10-12,20.709999,20.889999,20.57,20.790001,146000,20.445562
2016-10-11,20.559999,20.83,20.559999,20.74,220800,20.396389
2016-10-07,20.700001,20.709999,20.50,20.540001,193600,20.199704
2016-10-06,20.549999,20.91,20.51,20.709999,273800,20.366886
2016-10-05,20.50,20.620001,20.42,20.549999,181000,20.209537
2016-10-04,20.610001,20.75,20.32,20.440001,218700,20.10136
2016-10-03,20.549999,20.700001,20.42,20.65,242200,20.30788
2016-09-30,20.57,20.700001,20.450001,20.620001,186400,20.278378
2016-09-29,20.50,20.77,20.48,20.559999,263400,20.219371
2016-09-28,20.27,20.68,20.120001,20.559999,306100,20.219371
2016-09-27,20.98,21.08,20.48,20.58,320000,19.855502
2016-09-26,20.860001,21.09,20.790001,20.93,177800,20.193181
2016-09-23,20.950001,21.110001,20.84,20.84,195600,20.106349
2016-09-22,21.030001,21.23,20.85,20.91,213100,20.173884
2016-09-21,20.799999,21.030001,20.719999,20.870001,384200,20.135293
2016-09-20,20.67,21.00,20.67,20.77,598600,20.038814
2016-09-19,20.75,20.92,20.440001,20.57,694300,19.845854
2016-09-16,20.90,20.90,20.66,20.700001,332700,19.971278
2016-09-15,20.719999,21.07,20.67,20.83,229300,20.096701
2016-09-14,20.690001,20.959999,20.58,20.719999,197100,19.990573
2016-09-13,20.799999,20.950001,20.60,20.67,201400,19.942334
2016-09-12,20.809999,21.049999,20.700001,20.83,369700,20.096701
2016-09-09,21.43,21.43,20.90,20.92,184800,20.183533
2016-09-08,21.379999,21.75,21.309999,21.49,229600,20.733466
2016-09-07,21.200001,21.40,21.09,21.34,209800,20.588747
2016-09-06,21.059999,21.17,20.969999,21.17,454400,20.424732
2016-09-02,20.77,21.200001,20.77,21.01,192500,20.270364
2016-09-01,20.950001,20.950001,20.52,20.74,294400,20.009869
2016-08-31,21.00,21.040001,20.629999,20.950001,228700,20.212477
2016-08-30,21.440001,21.450001,20.950001,21.00,145200,20.260716
2016-08-29,21.459999,21.83,21.370001,21.389999,182000,20.636986
2016-08-26,21.620001,21.85,21.32,21.40,207000,20.646634
2016-08-25,21.65,21.66,21.50,21.559999,142300,20.801001
2016-08-24,21.68,21.959999,21.60,21.65,186800,20.887833
2016-08-23,21.469999,21.809999,21.459999,21.709999,231000,20.94572
2016-08-22,21.440001,21.540001,21.280001,21.48,133000,20.723818
2016-08-19,21.559999,21.57,21.370001,21.49,208200,20.733466
2016-08-18,21.60,21.65,21.389999,21.559999,192300,20.801001
2016-08-17,21.139999,21.610001,21.040001,21.559999,333700,20.801001
2016-08-16,21.16,21.219999,20.98,21.10,208800,20.357196
2016-08-15,21.049999,21.24,21.049999,21.190001,205900,20.444028
2016-08-12,21.00,21.200001,20.92,20.959999,221100,20.222123
2016-08-11,21.18,21.32,20.92,20.98,462800,20.24142
2016-08-10,21.440001,21.59,21.129999,21.18,262500,20.43438
2016-08-09,21.50,21.709999,21.41,21.43,271600,20.675579
2016-08-08,21.700001,22.16,21.540001,21.58,485400,20.820298
2016-08-05,21.459999,21.790001,21.40,21.77,165700,21.00361
2016-08-04,21.139999,21.66,21.139999,21.48,380100,20.723818
2016-08-03,21.16,21.23,20.959999,21.15,252900,20.405435
2016-08-02,20.91,21.18,20.91,21.17,395700,20.424732
2016-07-29,20.780001,21.120001,20.49,21.00,302100,20.260716
2016-07-28,20.459999,20.77,20.370001,20.76,157600,20.029165
2016-07-27,20.379999,20.59,20.35,20.440001,379700,19.720431
2016-07-26,20.10,20.360001,19.860001,20.33,345400,19.614303
2016-07-25,19.709999,20.389999,19.700001,20.059999,259900,19.353807
2016-07-22,19.60,19.67,19.52,19.610001,126500,18.91965
2016-07-21,19.48,19.67,19.48,19.59,127100,18.900354
2016-07-20,19.299999,19.65,19.27,19.52,157000,18.832818
2016-07-19,19.049999,19.41,18.969999,19.299999,146000,18.620562
2016-07-18,19.139999,19.25,18.950001,19.01,222400,18.340772
2016-07-15,19.360001,19.370001,19.120001,19.17,144000,18.49514
2016-07-14,19.700001,19.85,19.33,19.360001,156200,18.678451
2016-07-13,19.639999,19.76,19.549999,19.68,225400,18.987186
2016-07-12,19.459999,19.700001,19.360001,19.67,192600,18.977538
2016-07-11,19.52,19.65,19.32,19.360001,230300,18.678451
2016-07-08,19.889999,19.889999,19.450001,19.51,176100,18.82317
2016-07-07,20.040001,20.17,19.700001,19.799999,196800,19.10296
2016-07-06,19.67,20.07,19.58,19.959999,267700,19.257327
2016-07-05,19.379999,19.82,19.309999,19.77,375100,19.074017
2016-07-04,19.34,19.549999,19.309999,19.33,83600,18.649507
2016-06-30,18.860001,19.469999,18.76,19.280001,275800,18.601268
2016-06-29,18.950001,19.15,18.790001,18.85,269100,18.186405
2016-06-28,18.90,19.10,18.74,18.799999,180100,18.138164
2016-06-27,19.09,19.190001,18.92,19.01,102200,17.988621
2016-06-24,18.74,19.25,18.66,19.17,168100,18.140024
2016-06-23,19.110001,19.16,18.879999,19.040001,243200,18.01701
2016-06-22,19.01,19.17,18.99,19.00,452200,17.979158
2016-06-21,19.209999,19.219999,18.809999,18.98,425400,17.960232
2016-06-20,19.18,19.57,19.18,19.24,283500,18.206263
2016-06-17,19.66,19.83,18.99,18.99,704800,17.969695
2016-06-16,19.40,19.66,19.27,19.620001,111900,18.565847
