Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,6.00,6.09,5.89,5.92,1116200,5.92
2017-01-20,6.25,6.33,6.04,6.09,985700,6.09
2017-01-19,6.20,6.28,6.09,6.15,893000,6.15
2017-01-18,6.30,6.33,6.17,6.18,521700,6.18
2017-01-17,6.41,6.44,6.35,6.40,499700,6.40
2017-01-16,6.32,6.37,6.31,6.37,153100,6.37
2017-01-13,6.35,6.49,6.29,6.38,798000,6.38
2017-01-12,6.69,6.69,6.40,6.42,1276600,6.42
2017-01-11,6.72,6.72,6.56,6.60,813800,6.60
2017-01-10,6.69,6.76,6.58,6.67,1559700,6.67
2017-01-09,6.86,6.87,6.63,6.66,1064400,6.66
2017-01-06,7.19,7.19,6.84,6.93,1432000,6.93
2017-01-05,7.46,7.46,7.08,7.21,1365000,7.21
2017-01-04,7.35,7.40,7.27,7.40,370000,7.40
2017-01-03,7.62,7.67,7.17,7.32,548200,7.32
2016-12-30,7.55,7.65,7.50,7.51,240800,7.51
2016-12-29,7.56,7.60,7.45,7.56,225800,7.56
2016-12-28,7.61,7.67,7.42,7.55,369200,7.55
2016-12-23,7.51,7.58,7.40,7.47,286000,7.47
2016-12-22,7.54,7.60,7.46,7.51,370600,7.51
2016-12-21,7.35,7.54,7.31,7.49,414500,7.49
2016-12-20,7.37,7.38,7.28,7.28,290100,7.28
2016-12-19,7.30,7.41,7.20,7.30,316600,7.30
2016-12-16,7.30,7.37,7.24,7.31,797000,7.31
2016-12-15,7.17,7.36,7.12,7.26,969700,7.26
2016-12-14,7.64,7.65,7.21,7.26,2789300,7.26
2016-12-13,7.63,7.71,7.50,7.70,2048800,7.70
2016-12-12,7.77,7.79,7.36,7.51,930400,7.51
2016-12-09,7.45,7.52,7.32,7.40,645700,7.40
2016-12-08,7.53,7.67,7.35,7.39,798500,7.39
2016-12-07,7.61,7.64,7.39,7.47,758500,7.47
2016-12-06,7.67,7.73,7.59,7.65,485100,7.65
2016-12-05,7.81,7.88,7.72,7.76,854700,7.76
2016-12-02,7.61,7.77,7.58,7.61,415200,7.61
2016-12-01,7.54,8.10,7.54,7.64,1910200,7.64
2016-11-30,7.34,7.57,7.31,7.40,1506900,7.40
2016-11-29,6.90,6.90,6.71,6.75,807700,6.75
2016-11-28,7.28,7.28,7.01,7.03,795900,7.03
2016-11-25,7.46,7.46,7.12,7.20,363100,7.20
2016-11-24,7.42,7.51,7.42,7.49,151500,7.49
2016-11-23,7.35,7.55,7.35,7.43,827700,7.43
2016-11-22,7.60,7.62,7.38,7.40,719300,7.40
2016-11-21,7.45,7.60,7.37,7.60,797200,7.60
2016-11-18,7.34,7.41,7.16,7.20,545500,7.20
2016-11-17,7.37,7.48,7.29,7.30,1366900,7.30
2016-11-16,7.18,7.33,7.06,7.31,696600,7.31
2016-11-15,7.12,7.27,7.05,7.24,1101200,7.24
2016-11-14,6.51,6.98,6.51,6.94,567000,6.94
2016-11-11,6.65,6.67,6.46,6.58,426700,6.58
2016-11-10,6.95,6.99,6.74,6.76,1021200,6.76
2016-11-09,6.57,7.04,6.55,6.99,1348200,6.99
2016-11-08,6.64,6.87,6.58,6.65,531900,6.65
2016-11-07,6.65,6.83,6.61,6.67,624500,6.67
2016-11-04,6.51,6.64,6.46,6.48,2515300,6.48
2016-11-03,6.37,6.56,6.30,6.49,2153100,6.49
2016-11-02,6.53,6.62,6.30,6.39,1098800,6.39
2016-11-01,6.71,6.78,6.55,6.63,1062100,6.63
2016-10-31,6.67,6.70,6.56,6.59,669100,6.59
2016-10-28,6.82,7.02,6.68,6.70,742900,6.70
2016-10-27,6.95,7.03,6.79,6.85,3205000,6.85
2016-10-26,7.10,7.34,6.85,6.87,1514100,6.87
2016-10-25,7.50,7.58,7.17,7.20,1452200,7.20
2016-10-24,7.71,7.77,7.53,7.55,690200,7.55
2016-10-21,7.45,7.83,7.45,7.69,1350900,7.69
2016-10-20,7.53,7.72,7.44,7.50,1004600,7.50
2016-10-19,7.31,7.64,7.20,7.63,1619200,7.63
2016-10-18,7.09,7.28,7.04,7.23,1371200,7.23
2016-10-17,7.13,7.14,6.93,6.96,588300,6.96
2016-10-14,7.08,7.19,7.05,7.15,564200,7.15
2016-10-13,6.88,7.22,6.79,7.03,1290900,7.03
2016-10-12,6.95,6.99,6.83,6.92,628600,6.92
2016-10-11,7.11,7.19,6.95,6.97,740100,6.97
2016-10-07,7.10,7.21,7.02,7.04,417700,7.04
2016-10-06,7.15,7.30,6.95,7.10,1132100,7.10
2016-10-05,6.82,7.13,6.81,7.11,903500,7.11
2016-10-04,6.72,6.90,6.63,6.63,971000,6.63
2016-10-03,6.90,6.91,6.70,6.70,834200,6.70
2016-09-30,6.88,7.00,6.79,6.86,846900,6.86
2016-09-29,6.76,7.04,6.73,6.80,1141500,6.80
2016-09-28,6.23,6.77,6.21,6.77,1866900,6.77
2016-09-27,6.15,6.21,6.06,6.16,413600,6.16
2016-09-26,6.18,6.32,6.12,6.23,878900,6.23
2016-09-23,6.33,6.39,6.07,6.11,1271600,6.11
2016-09-22,6.61,6.65,6.33,6.36,1208600,6.36
2016-09-21,6.46,6.50,6.30,6.47,808300,6.47
2016-09-20,6.26,6.55,6.26,6.40,944300,6.40
2016-09-19,6.46,6.47,6.20,6.23,1078300,6.23
2016-09-16,6.33,6.49,6.30,6.37,684400,6.37
2016-09-15,6.44,6.63,6.42,6.45,599000,6.45
2016-09-14,6.39,6.66,6.39,6.40,774400,6.40
2016-09-13,6.83,6.83,6.47,6.47,751700,6.47
2016-09-12,6.70,6.92,6.69,6.90,646200,6.90
2016-09-09,7.10,7.12,6.80,6.80,1157500,6.80
2016-09-08,7.04,7.28,7.03,7.17,1535600,7.17
2016-09-07,6.87,7.02,6.85,6.96,1251800,6.96
2016-09-06,6.60,6.85,6.60,6.85,869500,6.85
2016-09-02,6.67,6.77,6.55,6.58,958000,6.58
2016-09-01,6.55,6.66,6.45,6.55,792000,6.55
2016-08-31,6.55,6.64,6.40,6.64,615100,6.64
2016-08-30,6.66,6.73,6.52,6.57,349600,6.57
2016-08-29,6.52,6.71,6.44,6.63,1044800,6.63
2016-08-26,6.31,6.74,6.31,6.61,2621100,6.61
2016-08-25,6.09,6.32,6.04,6.31,519200,6.31
2016-08-24,6.21,6.33,6.09,6.10,648100,6.10
2016-08-23,6.27,6.41,6.13,6.27,448000,6.27
2016-08-22,6.20,6.30,6.14,6.25,811800,6.25
2016-08-19,6.32,6.41,6.28,6.31,1104500,6.31
2016-08-18,6.16,6.36,6.12,6.33,1001300,6.33
2016-08-17,6.10,6.17,6.04,6.12,425000,6.12
2016-08-16,6.18,6.25,6.13,6.14,557800,6.14
2016-08-15,6.13,6.22,6.09,6.19,1262000,6.19
2016-08-12,6.04,6.12,5.97,6.04,897900,6.04
2016-08-11,5.83,6.06,5.82,6.00,1171500,6.00
2016-08-10,5.95,6.02,5.78,5.85,1231400,5.85
2016-08-09,6.08,6.23,5.94,5.95,768200,5.95
2016-08-08,5.86,6.16,5.86,6.06,1450100,6.06
2016-08-05,5.75,5.89,5.66,5.79,696200,5.79
2016-08-04,5.70,5.92,5.70,5.80,433000,5.80
2016-08-03,5.53,5.76,5.46,5.75,426100,5.75
2016-08-02,5.51,5.62,5.45,5.52,316200,5.52
2016-07-29,5.40,5.60,5.35,5.53,350400,5.53
2016-07-28,5.32,5.45,5.32,5.44,613100,5.44
2016-07-27,5.49,5.61,5.27,5.34,1062200,5.34
2016-07-26,5.37,5.50,5.35,5.45,418300,5.45
2016-07-25,5.79,5.82,5.38,5.41,773900,5.41
2016-07-22,5.72,5.90,5.72,5.90,621100,5.90
2016-07-21,5.70,5.82,5.70,5.72,396000,5.72
2016-07-20,5.70,5.78,5.57,5.73,576000,5.73
2016-07-19,5.95,5.98,5.76,5.81,432800,5.81
