Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,13.55,13.55,13.415,13.47,126400,13.47
2017-01-19,13.62,13.62,13.48,13.54,129900,13.54
2017-01-18,13.72,13.72,13.59,13.63,124400,13.63
2017-01-17,13.64,13.78,13.62,13.67,156100,13.67
2017-01-16,13.52,13.735,13.50,13.69,78000,13.69
2017-01-13,13.49,13.59,13.41,13.51,98600,13.51
2017-01-12,13.51,13.58,13.40,13.46,171300,13.46
2017-01-11,13.48,13.52,13.39,13.51,129100,13.51
2017-01-10,13.52,13.54,13.44,13.49,98200,13.49
2017-01-09,13.64,13.69,13.51,13.52,120800,13.52
2017-01-06,13.53,13.63,13.52,13.60,214100,13.60
2017-01-05,13.37,13.58,13.36,13.53,169500,13.53
2017-01-04,13.40,13.56,13.30,13.36,467400,13.36
2017-01-03,13.55,13.56,13.40,13.43,139500,13.43
2017-01-02,13.58,13.58,13.58,13.58,000,13.58
2016-12-30,13.51,13.61,13.40,13.58,147100,13.58
2016-12-29,13.36,13.53,13.35,13.53,129100,13.53
2016-12-28,13.52,13.54,13.40,13.42,63900,13.42
2016-12-27,13.56,13.56,13.56,13.56,000,13.486
2016-12-26,13.56,13.56,13.56,13.56,000,13.486
2016-12-23,13.53,13.61,13.50,13.56,93000,13.486
2016-12-22,13.50,13.61,13.44,13.56,118800,13.486
2016-12-21,13.39,13.575,13.37,13.52,245600,13.446
2016-12-20,13.63,13.72,13.45,13.57,321600,13.496
2016-12-19,13.55,13.78,13.48,13.77,310300,13.695
2016-12-16,13.31,13.53,13.30,13.53,1052000,13.456
2016-12-15,13.75,13.75,13.31,13.36,693500,13.287
2016-12-14,13.95,14.03,13.77,13.82,345400,13.744
2016-12-13,13.93,14.09,13.89,14.01,129000,13.933
2016-12-12,13.98,13.98,13.86,13.94,123600,13.864
2016-12-09,13.99,14.05,13.90,13.93,158000,13.854
2016-12-08,13.91,13.98,13.84,13.97,84800,13.894
2016-12-07,13.85,13.95,13.81,13.89,121100,13.814
2016-12-06,13.79,13.86,13.72,13.82,143100,13.744
2016-12-05,13.70,13.80,13.65,13.80,137200,13.725
2016-12-02,13.61,13.76,13.58,13.75,111700,13.675
2016-12-01,13.76,13.79,13.55,13.60,173000,13.526
2016-11-30,13.80,13.81,13.60,13.79,308400,13.715
2016-11-29,13.57,13.86,13.52,13.81,132200,13.734
2016-11-28,13.49,13.60,13.46,13.57,90800,13.496
2016-11-25,13.60,13.65,13.50,13.51,75800,13.362
2016-11-24,13.54,13.67,13.54,13.60,78400,13.451
2016-11-23,13.58,13.65,13.47,13.56,117700,13.412
2016-11-22,13.40,13.685,13.32,13.64,171500,13.491
2016-11-21,13.51,13.54,13.31,13.39,178300,13.244
2016-11-18,13.40,13.50,13.37,13.45,126700,13.303
2016-11-17,13.34,13.38,13.31,13.35,234200,13.204
2016-11-16,13.23,13.38,13.20,13.34,177700,13.194
2016-11-15,13.36,13.36,13.22,13.24,219200,13.095
2016-11-14,13.15,13.46,13.02,13.34,233100,13.194
2016-11-11,13.25,13.30,13.11,13.17,193400,13.026
2016-11-10,13.60,13.60,13.215,13.27,352300,13.125
2016-11-09,13.46,13.77,13.40,13.59,207700,13.441
2016-11-08,13.43,13.57,13.35,13.55,112600,13.402
2016-11-07,13.43,13.50,13.32,13.43,120000,13.283
2016-11-04,13.32,13.51,13.27,13.42,91300,13.273
2016-11-03,13.32,13.36,13.30,13.33,142700,13.184
2016-11-02,13.38,13.39,13.30,13.34,96500,13.194
2016-11-01,13.52,13.52,13.31,13.44,140700,13.293
2016-10-31,13.52,13.56,13.46,13.53,147900,13.382
2016-10-28,13.61,13.61,13.48,13.51,152600,13.362
2016-10-27,13.81,13.81,13.59,13.61,190900,13.461
2016-10-26,13.90,13.96,13.81,13.82,156700,13.596
2016-10-25,14.08,14.08,13.87,13.90,82100,13.674
2016-10-24,14.08,14.08,13.85,14.04,124200,13.812
2016-10-21,14.09,14.09,13.96,14.00,173800,13.773
2016-10-20,14.04,14.12,14.04,14.08,138500,13.851
2016-10-19,14.00,14.11,13.94,14.04,246400,13.812
2016-10-18,13.87,14.00,13.82,13.97,143600,13.743
2016-10-17,13.87,13.90,13.77,13.80,107300,13.576
2016-10-14,13.79,13.87,13.75,13.82,77800,13.596
2016-10-13,13.86,13.87,13.76,13.83,227200,13.605
2016-10-12,13.65,13.97,13.61,13.90,122600,13.674
2016-10-11,13.70,13.77,13.58,13.66,163700,13.438
2016-10-10,13.73,13.73,13.73,13.73,000,13.507
2016-10-07,13.68,13.775,13.65,13.73,101900,13.507
2016-10-06,13.50,13.68,13.40,13.65,273100,13.428
2016-10-05,13.78,13.80,13.53,13.57,229700,13.35
2016-10-04,14.05,14.08,13.70,13.76,312100,13.537
2016-10-03,14.28,14.32,14.07,14.11,199600,13.881
2016-09-30,14.33,14.40,14.28,14.31,148200,14.078
2016-09-29,14.58,14.58,14.35,14.37,199600,14.137
2016-09-28,14.57,14.64,14.48,14.54,294800,14.304
2016-09-27,14.73,14.73,14.56,14.57,394900,14.26
2016-09-26,14.70,14.75,14.65,14.70,117500,14.388
2016-09-23,14.80,14.87,14.74,14.75,68500,14.437
2016-09-22,14.72,14.86,14.66,14.82,216300,14.505
2016-09-21,14.81,14.81,14.51,14.62,255000,14.309
2016-09-20,14.85,14.90,14.65,14.75,103400,14.437
2016-09-19,14.52,14.89,14.52,14.84,132600,14.525
2016-09-16,14.85,14.85,14.43,14.46,1270000,14.153
2016-09-15,14.75,14.92,14.75,14.82,160300,14.505
2016-09-14,14.64,14.70,14.62,14.65,126300,14.339
2016-09-13,14.80,14.89,14.62,14.64,98200,14.329
2016-09-12,14.70,14.98,14.51,14.86,189000,14.544
2016-09-09,15.13,15.16,14.72,14.79,141300,14.476
2016-09-08,15.22,15.22,15.06,15.18,115200,14.857
2016-09-07,15.30,15.30,15.10,15.24,115700,14.916
2016-09-06,15.18,15.32,15.12,15.32,107800,14.995
2016-09-05,15.18,15.18,15.18,15.18,000,14.857
2016-09-02,14.97,15.21,14.94,15.18,156500,14.857
2016-09-01,15.00,15.06,14.86,14.92,229900,14.603
2016-08-31,15.15,15.25,14.97,15.01,183200,14.691
2016-08-30,15.40,15.48,15.18,15.19,170700,14.867
2016-08-29,15.50,15.55,15.42,15.49,137400,15.161
2016-08-26,15.61,15.64,15.48,15.55,136400,15.147
2016-08-25,15.62,15.62,15.46,15.61,124100,15.205
2016-08-24,15.65,15.65,15.56,15.64,89200,15.235
2016-08-23,15.67,15.71,15.61,15.71,74800,15.303
2016-08-22,15.67,15.73,15.57,15.72,104300,15.313
2016-08-19,15.55,15.78,15.46,15.70,151200,15.293
2016-08-18,15.45,15.60,15.41,15.55,296200,15.147
2016-08-17,15.31,15.45,15.26,15.45,151500,15.05
2016-08-16,15.34,15.39,15.26,15.35,216100,14.952
2016-08-15,15.29,15.34,15.20,15.32,74400,14.923
2016-08-12,15.11,15.33,15.00,15.30,169700,14.904
2016-08-11,15.37,15.38,14.99,15.02,148800,14.631
2016-08-10,15.36,15.39,15.18,15.32,304300,14.923
2016-08-09,15.35,15.39,15.27,15.35,179900,14.952
2016-08-08,15.43,15.43,15.27,15.31,122900,14.913
2016-08-05,15.60,15.61,15.28,15.30,113100,14.904
2016-08-04,15.62,15.68,15.49,15.57,89100,15.167
2016-08-03,15.76,15.76,15.52,15.61,120800,15.205
2016-08-02,15.79,15.79,15.55,15.73,171000,15.322
2016-08-01,15.77,15.77,15.77,15.77,000,15.361
2016-07-29,15.53,15.77,15.51,15.77,92200,15.361
2016-07-28,15.42,15.54,15.36,15.53,126900,15.128
2016-07-27,15.62,15.68,15.26,15.42,199000,15.02
2016-07-26,15.62,15.73,15.50,15.70,99500,15.221
2016-07-25,15.69,15.78,15.61,15.61,72000,15.134
2016-07-22,15.63,15.75,15.62,15.65,130200,15.172
2016-07-21,15.57,15.63,15.56,15.63,61200,15.153
2016-07-20,15.50,15.70,15.47,15.57,114900,15.095
2016-07-19,15.48,15.53,15.38,15.50,74100,15.027
2016-07-18,15.33,15.50,15.33,15.49,112500,15.017
2016-07-15,15.55,15.55,15.29,15.31,296700,14.843
2016-07-14,15.64,15.70,15.48,15.53,164600,15.056
2016-07-13,15.52,15.65,15.51,15.64,112500,15.163
2016-07-12,15.64,15.66,15.51,15.57,111300,15.095
2016-07-11,15.58,15.67,15.52,15.59,206000,15.114
2016-07-08,15.49,15.55,15.40,15.53,283700,15.056
2016-07-07,15.60,15.60,15.43,15.48,92000,15.008
2016-07-06,15.29,15.58,15.25,15.56,220200,15.085
2016-07-05,15.24,15.36,15.17,15.33,214900,14.862
2016-07-04,15.49,15.53,15.25,15.25,103200,14.785
2016-07-01,15.35,15.35,15.35,15.35,000,14.882
2016-06-30,15.39,15.39,15.20,15.35,143200,14.882
2016-06-29,15.35,15.44,15.24,15.39,238600,14.92
2016-06-28,15.24,15.41,15.16,15.34,245400,14.872
2016-06-27,15.08,15.23,15.00,15.23,194300,14.693
2016-06-24,14.84,15.25,14.80,15.14,158700,14.607
2016-06-23,15.17,15.21,15.08,15.15,44000,14.616
2016-06-22,15.22,15.23,15.05,15.18,204700,14.645
2016-06-21,15.08,15.21,15.07,15.20,128700,14.664
2016-06-20,15.08,15.13,15.03,15.07,68200,14.539
2016-06-17,15.14,15.15,14.98,15.02,268000,14.491
2016-06-16,15.18,15.18,15.02,15.11,161400,14.578
2016-06-15,15.13,15.20,15.12,15.12,108100,14.587
2016-06-14,15.17,15.20,15.12,15.12,149500,14.587
2016-06-13,15.07,15.18,15.07,15.16,135000,14.626
2016-06-10,15.15,15.21,15.08,15.12,115300,14.587
2016-06-09,15.14,15.24,15.04,15.17,196900,14.635
2016-06-08,15.08,15.26,15.08,15.21,249700,14.674
