Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,37.299999,37.349998,36.860001,37.110001,133900,37.110001
2017-01-20,37.27,37.73,37.23,37.349998,228300,37.349998
2017-01-19,37.00,37.400002,36.959999,37.209999,194400,37.209999
2017-01-18,37.169998,37.279999,36.799999,37.00,214700,37.00
2017-01-17,36.959999,37.18,36.779999,37.130001,179200,37.130001
2017-01-16,37.009998,37.080002,36.759998,36.91,52500,36.91
2017-01-13,36.66,37.139999,36.639999,36.98,205500,36.98
2017-01-12,36.23,36.700001,36.150002,36.599998,106000,36.599998
2017-01-11,36.279999,36.32,35.889999,36.23,139400,36.23
2017-01-10,36.189999,36.299999,35.98,36.189999,106300,36.189999
2017-01-09,36.220001,36.290001,36.02,36.150002,122300,36.150002
2017-01-06,36.599998,36.599998,36.150002,36.240002,151900,36.240002
2017-01-05,36.330002,36.790001,36.330002,36.580002,216500,36.580002
2017-01-04,36.009998,36.490002,35.919998,36.27,149200,36.27
2017-01-03,36.220001,36.369999,35.900002,36.00,134700,36.00
2016-12-30,36.369999,36.450001,36.189999,36.189999,109000,36.189999
2016-12-29,36.169998,36.400002,36.07,36.369999,140300,36.369999
2016-12-28,36.099998,36.290001,35.889999,36.25,187800,36.25
2016-12-23,36.189999,36.299999,35.900002,36.049999,87900,36.049999
2016-12-22,35.900002,36.110001,35.889999,36.110001,242500,36.110001
2016-12-21,35.950001,36.279999,35.759998,36.02,164000,36.02
2016-12-20,36.060001,36.299999,35.950001,36.02,121400,36.02
2016-12-19,36.560001,36.700001,36.009998,36.060001,287400,36.060001
2016-12-16,35.790001,36.689999,35.790001,36.689999,509300,36.689999
2016-12-15,35.830002,36.220001,35.599998,35.75,206300,35.75
2016-12-14,35.990002,36.400002,35.75,35.880001,229100,35.880001
2016-12-13,35.610001,36.400002,35.599998,36.029999,208900,36.029999
2016-12-12,35.259998,35.860001,35.169998,35.75,255200,35.75
2016-12-09,35.389999,35.50,35.139999,35.200001,133800,35.200001
2016-12-08,35.029999,35.540001,34.849998,35.290001,286200,35.290001
2016-12-07,35.220001,35.32,35.02,35.09,253200,35.09
2016-12-06,35.07,35.27,34.830002,35.18,300800,35.18
2016-12-05,35.119999,35.169998,34.849998,35.07,220200,35.07
2016-12-02,35.290001,35.310001,35.009998,35.119999,226300,35.119999
2016-12-01,35.470001,35.470001,35.02,35.330002,208100,35.330002
2016-11-30,35.59,35.639999,35.049999,35.369999,502100,35.369999
2016-11-29,35.41,35.75,35.34,35.580002,284200,35.580002
2016-11-28,36.00,36.00,35.369999,35.580002,367300,35.580002
2016-11-25,36.119999,36.299999,35.880001,36.00,158000,36.00
2016-11-24,36.509998,36.700001,35.93,36.07,127800,36.07
