Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,14.72,14.87,14.71,14.75,350900,14.75
2017-02-08,14.70,14.79,14.64,14.78,382500,14.78
2017-02-07,14.75,14.75,14.62,14.67,296900,14.67
2017-02-06,14.67,14.72,14.53,14.67,301600,14.67
2017-02-03,14.48,14.64,14.45,14.60,264000,14.60
2017-02-02,14.36,14.49,14.36,14.47,258900,14.47
2017-02-01,14.59,14.60,14.29,14.36,622000,14.36
2017-01-31,14.54,14.60,14.40,14.59,461200,14.59
2017-01-30,14.61,14.63,14.50,14.54,350100,14.54
2017-01-27,14.72,14.77,14.57,14.60,369100,14.60
2017-01-26,14.90,14.91,14.79,14.82,384600,14.82
2017-01-25,14.80,14.92,14.75,14.85,439000,14.85
2017-01-24,14.65,14.82,14.63,14.76,373400,14.76
2017-01-23,14.78,14.78,14.64,14.67,576600,14.67
2017-01-20,14.75,14.79,14.70,14.71,264500,14.71
2017-01-19,14.86,14.86,14.71,14.76,328100,14.76
2017-01-18,15.02,15.02,14.81,14.81,542300,14.81
2017-01-17,14.98,15.08,14.91,15.01,580700,15.01
2017-01-16,14.78,14.96,14.78,14.93,268400,14.93
2017-01-13,14.83,14.84,14.77,14.80,238800,14.80
2017-01-12,14.88,14.89,14.77,14.79,274000,14.79
2017-01-11,14.91,14.92,14.76,14.84,287500,14.84
2017-01-10,14.90,14.91,14.82,14.87,295200,14.87
2017-01-09,14.92,14.96,14.84,14.86,356800,14.86
2017-01-06,15.00,15.00,14.86,14.93,381800,14.93
2017-01-05,14.96,14.99,14.88,14.95,441100,14.95
2017-01-04,14.75,15.09,14.75,14.90,526700,14.90
2017-01-03,14.75,14.78,14.65,14.72,335300,14.72
2016-12-30,14.63,14.72,14.55,14.72,551500,14.72
2016-12-29,14.49,14.60,14.48,14.58,224400,14.58
2016-12-28,14.48,14.52,14.35,14.49,238900,14.49
2016-12-23,14.39,14.46,14.35,14.45,315100,14.45
2016-12-22,14.46,14.50,14.35,14.40,532000,14.40
2016-12-21,14.43,14.60,14.42,14.50,375300,14.50
2016-12-20,14.45,14.49,14.30,14.42,503000,14.42
2016-12-19,14.38,14.53,14.31,14.43,627700,14.43
2016-12-16,14.30,14.52,14.27,14.37,1476100,14.37
2016-12-15,14.59,14.59,14.25,14.26,687900,14.26
2016-12-14,14.74,14.74,14.54,14.59,668600,14.59
2016-12-13,14.90,14.93,14.75,14.83,411500,14.83
2016-12-12,14.84,14.92,14.81,14.90,486500,14.90
2016-12-09,14.75,14.87,14.72,14.81,451600,14.81
2016-12-08,14.43,14.73,14.39,14.72,651900,14.72
2016-12-07,14.31,14.44,14.19,14.38,591800,14.38
2016-12-06,14.17,14.29,14.15,14.28,551400,14.28
2016-12-05,14.16,14.17,14.05,14.14,287300,14.14
2016-12-02,14.06,14.16,14.01,14.10,390800,14.10
2016-12-01,14.02,14.05,13.90,14.03,323500,14.03
2016-11-30,14.04,14.04,13.89,14.00,372200,14.00
2016-11-29,13.75,14.07,13.75,14.05,565400,14.05
2016-11-28,13.95,13.96,13.79,13.80,617500,13.80
2016-11-25,14.07,14.07,13.91,13.96,604500,13.96
2016-11-24,14.09,14.14,14.01,14.07,278700,14.07
2016-11-23,14.03,14.08,14.00,14.03,383400,14.03
2016-11-22,13.96,14.10,13.89,14.05,433100,14.05
2016-11-21,13.91,13.99,13.85,13.88,345300,13.88
2016-11-18,13.76,13.95,13.74,13.85,386900,13.85
2016-11-17,13.74,13.91,13.72,13.76,396000,13.76
2016-11-16,13.77,13.80,13.65,13.69,434600,13.69
2016-11-15,13.65,13.88,13.64,13.73,430500,13.73
2016-11-14,13.80,13.82,13.53,13.65,603400,13.65
2016-11-11,13.74,13.92,13.71,13.78,320600,13.78
2016-11-10,13.94,13.94,13.70,13.79,604600,13.79
2016-11-09,13.94,14.00,13.87,13.88,436900,13.88
2016-11-08,14.05,14.11,13.87,14.10,575800,14.10
2016-11-07,14.18,14.18,14.03,14.04,530700,14.04
2016-11-04,14.18,14.19,13.95,14.02,976700,14.02
2016-11-03,14.61,14.61,14.15,14.21,1012200,14.21
2016-11-02,14.72,14.73,14.61,14.64,266700,14.64
2016-11-01,14.90,14.92,14.62,14.75,496400,14.75
2016-10-31,14.91,15.01,14.81,14.86,479400,14.86
2016-10-28,14.98,15.05,14.87,14.89,366200,14.89
2016-10-27,15.37,15.37,14.99,14.99,512400,14.99
2016-10-26,15.47,15.48,15.36,15.43,347100,15.43
