Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,13.63,13.69,13.55,13.61,153200,13.61
2017-02-08,13.60,13.65,13.48,13.62,115000,13.62
2017-02-07,13.45,13.61,13.39,13.61,144200,13.61
2017-02-06,13.30,13.42,13.17,13.41,156800,13.41
2017-02-03,13.05,13.19,12.91,13.15,65600,13.15
2017-02-02,13.20,13.22,12.97,13.07,155900,13.07
2017-02-01,13.09,13.22,12.96,13.16,136100,13.16
2017-01-31,13.34,13.35,12.91,13.03,163400,13.03
2017-01-30,13.20,13.46,13.09,13.25,304800,13.25
2017-01-27,13.51,13.59,13.19,13.24,151200,13.24
2017-01-26,13.67,13.72,13.46,13.54,195800,13.54
2017-01-25,13.61,13.78,13.61,13.76,122500,13.76
2017-01-24,13.61,13.77,13.49,13.72,246000,13.72
2017-01-23,13.52,13.66,13.40,13.49,181100,13.49
2017-01-20,13.40,13.64,13.29,13.47,140300,13.47
2017-01-19,13.41,13.47,13.30,13.41,135100,13.41
2017-01-18,13.61,13.61,13.29,13.45,170000,13.45
2017-01-17,13.50,13.54,13.05,13.48,265900,13.48
2017-01-16,13.20,13.61,13.17,13.43,133400,13.43
2017-01-13,12.89,13.15,12.86,13.12,137800,13.12
2017-01-12,12.99,12.99,12.79,12.89,184700,12.89
2017-01-11,12.99,13.00,12.85,12.88,92900,12.88
2017-01-10,12.61,12.99,12.61,12.92,171100,12.92
2017-01-09,13.03,13.04,12.53,12.55,172500,12.55
2017-01-06,13.20,13.20,12.85,13.00,310200,13.00
2017-01-05,12.94,13.26,12.94,13.21,293500,13.21
2017-01-04,12.85,12.89,12.65,12.86,213000,12.86
2017-01-03,13.12,13.19,12.75,12.83,185800,12.83
2016-12-30,13.18,13.27,12.81,13.01,188800,13.01
2016-12-29,12.84,13.34,12.83,13.16,317100,13.16
2016-12-28,12.63,12.86,12.62,12.77,141300,12.77
2016-12-23,12.51,12.65,12.51,12.56,169900,12.56
2016-12-22,12.47,12.66,12.47,12.54,269000,12.54
