Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,17.700001,17.700001,16.99,17.18,1420300,17.18
2017-01-24,18.26,18.73,18.01,18.09,1617000,18.09
2017-01-23,17.690001,18.190001,17.42,18.120001,1576500,18.120001
2017-01-20,17.35,17.639999,17.15,17.370001,1714100,17.370001
2017-01-19,17.48,17.74,17.129999,17.299999,1330200,17.299999
2017-01-18,17.709999,18.120001,17.469999,17.67,1306200,17.67
2017-01-17,18.24,18.450001,17.52,17.73,1825000,17.73
2017-01-16,17.75,17.75,17.530001,17.65,593500,17.65
2017-01-13,16.99,17.559999,16.879999,17.379999,1596700,17.379999
2017-01-12,18.33,18.370001,17.02,17.25,2193400,17.25
2017-01-11,18.059999,18.379999,17.58,17.690001,2342700,17.690001
2017-01-10,19.709999,19.709999,18.190001,18.40,2164500,18.40
2017-01-09,21.309999,21.34,19.74,19.799999,1487900,19.799999
2017-01-06,20.65,21.48,20.27,20.58,1703800,20.58
2017-01-05,20.190001,21.33,20.02,21.209999,2483700,21.209999
2017-01-04,19.35,20.00,19.33,19.43,1585700,19.43
2017-01-03,18.389999,19.18,18.24,19.00,1291700,19.00
2016-12-30,19.190001,19.389999,18.059999,18.290001,1460100,18.290001
2016-12-29,18.10,19.139999,18.08,18.940001,1854800,18.940001
2016-12-28,16.299999,17.85,16.190001,17.700001,2026700,17.700001
2016-12-23,16.18,16.26,15.96,16.00,1238200,16.00
2016-12-22,15.82,16.41,15.81,15.87,703200,15.87
2016-12-21,16.049999,16.139999,15.70,15.83,403000,15.83
2016-12-20,15.40,16.110001,15.36,15.89,768400,15.89
2016-12-19,15.97,16.040001,15.67,15.79,847200,15.79
2016-12-16,15.90,16.290001,15.70,15.74,2905400,15.74
2016-12-15,16.690001,16.690001,15.51,15.69,1864300,15.69
2016-12-14,18.25,18.639999,17.10,17.190001,1463500,17.190001
2016-12-13,18.26,18.290001,17.77,17.98,1179100,17.98
2016-12-12,18.49,18.66,17.98,18.33,998100,18.33
2016-12-09,19.16,19.280001,18.049999,18.290001,902800,18.290001
2016-12-08,19.110001,19.52,18.99,19.23,667600,19.23
2016-12-07,18.85,19.58,18.77,19.190001,1418700,19.190001
2016-12-06,17.98,18.620001,17.98,18.49,1011400,18.49
2016-12-05,17.610001,18.07,17.110001,17.969999,1202400,17.969999
2016-12-02,16.610001,18.379999,16.58,17.99,1670600,17.99
2016-12-01,16.870001,16.98,16.32,16.41,1727300,16.41
2016-11-30,17.33,17.610001,16.790001,17.120001,2161300,17.120001
2016-11-29,17.290001,18.049999,17.200001,17.93,1001000,17.93
2016-11-28,16.870001,17.76,16.52,17.700001,1130500,17.700001
2016-11-25,16.49,16.77,16.110001,16.379999,886300,16.379999
2016-11-24,16.26,16.280001,16.08,16.23,239100,16.23
2016-11-23,16.35,16.66,15.79,16.34,1363700,16.34
2016-11-22,17.950001,17.969999,16.959999,17.26,869500,17.26
2016-11-21,17.00,17.91,16.91,17.889999,1157900,17.889999
2016-11-18,17.469999,17.48,16.459999,16.790001,1389100,16.790001
2016-11-17,18.40,18.790001,17.27,17.530001,1744200,17.530001
2016-11-16,17.959999,18.370001,17.68,18.33,1451900,18.33
2016-11-15,17.01,17.83,16.85,17.77,1180300,17.77
2016-11-14,16.77,17.23,16.02,17.08,2108500,17.08
2016-11-11,17.40,17.540001,16.33,17.16,1885900,17.16
2016-11-10,19.00,19.07,17.379999,17.42,1504900,17.42
2016-11-09,20.99,20.99,18.969999,19.219999,1716200,19.219999
2016-11-08,20.10,20.139999,19.34,19.50,1451800,19.50
