Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,24.299999,24.60,24.299999,24.40,326000,24.40
2017-02-08,23.950001,24.32,23.540001,24.23,441200,24.23
2017-02-07,23.690001,23.969999,23.690001,23.969999,228300,23.969999
2017-02-06,23.75,23.92,23.610001,23.74,162800,23.74
2017-02-03,23.549999,23.950001,23.41,23.67,369600,23.67
2017-02-02,23.27,23.75,23.219999,23.41,342900,23.41
2017-02-01,23.139999,23.75,23.059999,23.219999,218200,23.219999
2017-01-31,23.10,23.33,22.85,23.01,353900,23.01
2017-01-30,24.15,24.209999,23.209999,23.25,467800,23.25
2017-01-27,22.450001,24.16,22.209999,24.08,1105200,24.08
2017-01-26,22.530001,22.75,22.15,22.379999,241300,22.379999
2017-01-25,22.450001,22.809999,22.389999,22.67,256900,22.67
2017-01-24,22.00,22.379999,22.00,22.25,216400,22.25
2017-01-23,21.469999,22.24,21.17,22.059999,331500,22.059999
2017-01-20,22.940001,23.32,21.68,21.75,682700,21.75
2017-01-19,23.200001,23.459999,22.75,22.870001,218600,22.870001
2017-01-18,23.139999,23.360001,22.969999,23.16,315800,23.16
2017-01-17,23.459999,23.459999,23.01,23.16,169100,23.16
2017-01-16,23.75,23.75,23.290001,23.540001,106900,23.540001
2017-01-13,23.549999,23.870001,23.309999,23.700001,189900,23.700001
2017-01-12,23.08,23.780001,23.00,23.540001,402900,23.540001
2017-01-11,23.60,23.709999,23.040001,23.15,298500,23.15
2017-01-10,22.629999,23.790001,22.549999,23.77,507400,23.77
2017-01-09,22.700001,23.43,22.610001,22.85,663400,22.85
2017-01-06,22.00,22.68,21.879999,22.440001,232300,22.440001
2017-01-05,22.24,22.450001,21.959999,22.049999,160400,22.049999
2017-01-04,22.309999,22.34,21.84,22.24,336100,22.24
2017-01-03,22.309999,22.629999,22.09,22.34,172700,22.34
2016-12-30,22.209999,22.370001,22.139999,22.280001,160200,22.280001
2016-12-29,22.02,22.49,21.98,22.219999,191700,22.219999
2016-12-28,22.00,22.35,21.969999,22.01,221800,22.01
2016-12-23,21.889999,22.139999,21.790001,21.99,277500,21.99
2016-12-22,21.709999,22.280001,21.68,22.040001,385400,22.040001
2016-12-21,21.74,21.959999,21.639999,21.90,370400,21.90
2016-12-20,21.700001,21.93,21.629999,21.75,540900,21.75
2016-12-19,21.27,21.93,21.25,21.879999,546200,21.879999
2016-12-16,21.25,21.58,21.219999,21.389999,795600,21.389999
2016-12-15,21.639999,21.639999,21.049999,21.41,795100,21.41
2016-12-14,21.74,22.07,21.690001,21.73,722200,21.73
2016-12-13,22.17,22.40,21.809999,21.959999,1093100,21.959999
2016-12-12,22.60,22.90,22.43,22.68,595100,22.36
2016-12-09,22.65,22.75,22.42,22.67,708800,22.350141
2016-12-08,22.50,23.50,22.190001,22.620001,1722600,22.300847
2016-12-07,19.280001,22.23,19.280001,21.870001,2220700,21.561429
2016-12-06,18.950001,19.219999,18.67,19.190001,1359300,18.919242
2016-12-05,18.360001,18.950001,18.309999,18.73,562900,18.465731
2016-12-02,18.860001,18.860001,18.280001,18.35,764500,18.091093
2016-12-01,18.92,19.23,18.75,18.92,1362900,18.653051
2016-11-30,17.98,18.959999,17.90,18.799999,1853000,18.534743
2016-11-29,17.23,17.799999,17.01,17.67,570600,17.420687
2016-11-28,16.950001,17.809999,16.950001,17.280001,610500,17.036191
2016-11-25,16.790001,17.15,16.790001,16.91,497700,16.67141
2016-11-24,16.610001,16.969999,16.610001,16.84,517500,16.602398
2016-11-23,16.889999,17.09,16.540001,16.82,643500,16.58268
2016-11-22,16.139999,16.889999,15.71,16.780001,1263000,16.543245
2016-11-21,14.40,17.00,14.30,16.15,2180300,15.922133
2016-11-18,14.46,14.63,14.20,14.55,431400,14.344709
2016-11-17,14.14,14.73,14.09,14.53,676700,14.324991
2016-11-16,14.75,14.75,14.06,14.17,914000,13.97007
2016-11-15,14.80,15.25,14.69,14.80,2050300,14.591181
2016-11-14,15.00,15.00,14.55,14.79,564700,14.581322
2016-11-11,15.52,16.290001,14.51,14.75,1181900,14.541887
2016-11-10,14.97,16.00,14.97,15.39,1019200,15.172857
2016-11-09,14.81,15.03,14.57,15.03,1077400,14.817936
2016-11-08,15.20,15.75,14.85,15.14,1521500,14.926384
2016-11-07,16.26,16.370001,15.30,15.46,781000,15.241869
2016-11-04,16.99,17.00,16.23,16.23,643700,16.001004
2016-11-03,16.469999,17.299999,16.469999,16.889999,1329100,16.651692
2016-11-02,17.120001,17.120001,16.41,16.549999,1005200,16.316489
2016-11-01,17.17,17.25,16.84,17.23,721400,16.986895
2016-10-31,17.75,17.85,17.209999,17.360001,1044500,17.115062
2016-10-28,18.02,18.16,17.540001,17.950001,1338000,17.696738
2016-10-27,16.469999,18.299999,16.299999,18.030001,2811800,17.775609
2016-10-26,20.00,20.18,14.97,16.25,6080300,16.020723
2016-10-25,28.60,29.18,28.43,28.700001,276800,28.295062
2016-10-24,29.00,29.190001,28.530001,28.66,353500,28.255625
2016-10-21,29.219999,29.299999,28.969999,29.049999,328800,28.640122
2016-10-20,29.25,29.27,29.030001,29.200001,454000,28.788007
2016-10-19,29.60,29.65,29.059999,29.25,256500,28.837301
2016-10-18,28.90,29.950001,28.799999,29.58,651100,29.162645
2016-10-17,28.120001,29.00,28.120001,28.610001,312900,28.206331
2016-10-14,27.98,28.25,27.77,28.18,195200,27.782398
2016-10-13,28.00,28.00,27.530001,27.74,201700,27.348606
2016-10-12,27.77,27.969999,27.73,27.969999,138200,27.57536
2016-10-11,27.91,27.99,27.59,27.809999,212900,27.417618
2016-10-07,28.139999,28.209999,27.82,28.01,157800,27.614797
2016-10-06,27.719999,28.209999,27.719999,28.209999,247800,27.811974
2016-10-05,28.370001,28.41,27.77,27.809999,117900,27.417618
2016-10-04,28.799999,29.290001,28.209999,28.389999,146000,27.989434
2016-10-03,28.370001,28.959999,28.32,28.799999,193600,28.393649
2016-09-30,27.959999,28.459999,27.50,28.360001,398900,27.959859
2016-09-29,28.690001,28.950001,27.50,27.879999,718400,27.48663
2016-09-28,29.23,29.42,28.60,28.74,150400,28.334496
2016-09-27,28.77,29.34,28.60,29.26,187300,28.84716
2016-09-26,28.98,29.00,28.41,28.809999,156200,28.403508
2016-09-23,29.01,29.190001,28.860001,29.01,185400,28.600687
