Date,Open,High,Low,Close,Volume,Adj Close
2017-02-08,6.67,6.77,6.49,6.76,117900,6.76
2017-02-07,6.65,6.70,6.50,6.67,115800,6.67
2017-02-06,6.65,6.73,6.65,6.65,30900,6.65
2017-02-03,6.66,6.73,6.64,6.69,40400,6.69
2017-02-02,6.71,6.80,6.68,6.73,78000,6.73
2017-02-01,6.75,6.81,6.68,6.80,112100,6.80
2017-01-31,6.67,6.80,6.67,6.74,103800,6.74
2017-01-30,6.72,6.79,6.67,6.71,123300,6.71
2017-01-27,6.76,6.85,6.74,6.77,103000,6.77
2017-01-26,6.81,6.92,6.72,6.77,149600,6.77
2017-01-25,6.71,6.88,6.68,6.86,89700,6.86
2017-01-24,6.89,6.92,6.73,6.77,134400,6.77
2017-01-23,6.83,6.92,6.83,6.85,69300,6.85
2017-01-20,6.96,6.96,6.77,6.86,88400,6.86
2017-01-19,6.92,6.96,6.90,6.91,67800,6.91
2017-01-18,6.87,6.97,6.87,6.93,97500,6.93
2017-01-17,6.98,7.00,6.90,6.90,54600,6.90
2017-01-16,6.96,7.01,6.96,6.99,75500,6.99
2017-01-13,6.98,7.00,6.90,6.95,106100,6.95
2017-01-12,7.00,7.02,6.96,6.98,339900,6.98
2017-01-11,7.00,7.05,6.97,7.00,70400,7.00
2017-01-10,7.04,7.05,6.96,7.00,160100,7.00
2017-01-09,6.94,7.03,6.94,7.03,98900,7.03
2017-01-06,7.00,7.07,6.98,7.01,72900,7.01
2017-01-05,7.09,7.13,6.95,6.96,135200,6.96
2017-01-04,7.11,7.11,7.03,7.09,227300,7.09
2017-01-03,7.07,7.17,7.06,7.08,218500,7.08
2016-12-30,7.08,7.17,7.05,7.05,56300,7.05
2016-12-29,7.11,7.14,7.00,7.09,100800,7.09
2016-12-28,7.01,7.15,6.93,7.12,71200,7.12
2016-12-23,6.98,7.09,6.93,7.02,169600,7.02
2016-12-22,6.99,7.09,6.94,6.99,149000,6.99
2016-12-21,7.01,7.06,6.88,6.99,633400,6.99
2016-12-20,6.76,7.11,6.75,7.02,814800,7.02
2016-12-19,6.75,6.79,6.72,6.75,131100,6.75
2016-12-16,6.72,6.76,6.67,6.75,667700,6.75
2016-12-15,6.64,6.73,6.64,6.68,414100,6.68
