Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,36.93,36.93,36.330002,36.52,20200,36.52
2017-01-26,37.240002,37.240002,36.18,36.459999,16900,36.459999
2017-01-25,37.48,37.48,36.369999,36.91,10900,36.91
2017-01-24,37.080002,37.150002,36.23,36.98,17600,36.98
2017-01-23,38.09,38.09,36.27,36.889999,23000,36.889999
2017-01-20,37.990002,38.09,37.470001,37.720001,9100,37.720001
2017-01-19,35.639999,38.00,35.639999,37.68,59200,37.68
2017-01-18,36.560001,36.669998,35.02,35.529999,58900,35.529999
2017-01-17,38.59,38.950001,36.310001,36.529999,50900,36.529999
2017-01-16,38.299999,38.669998,38.02,38.439999,8600,38.439999
2017-01-13,37.759998,38.540001,37.759998,38.299999,15100,38.299999
2017-01-12,38.43,38.77,37.52,37.689999,26600,37.689999
2017-01-11,38.16,39.169998,37.919998,38.73,17200,38.73
2017-01-10,37.580002,38.220001,37.509998,37.959999,21400,37.959999
2017-01-09,38.549999,38.560001,37.639999,37.830002,11400,37.830002
2017-01-06,38.860001,38.860001,38.080002,38.16,9700,38.16
2017-01-05,38.810001,39.27,38.700001,39.130001,11700,39.130001
2017-01-04,38.59,39.310001,38.099998,38.810001,15700,38.810001
2017-01-03,38.75,38.790001,37.77,38.18,20300,38.18
2016-12-30,39.040001,39.34,38.540001,38.799999,20400,38.799999
2016-12-29,39.099998,39.900002,39.07,39.52,16800,39.52
2016-12-28,40.200001,40.200001,39.049999,39.470001,16300,39.470001
2016-12-23,40.009998,40.27,39.610001,40.099998,12300,40.099998
2016-12-22,40.450001,40.450001,39.810001,40.110001,11400,40.110001
2016-12-21,40.02,40.799999,39.799999,39.919998,40000,39.919998
2016-12-20,40.09,40.50,39.849998,40.119999,24200,40.119999
2016-12-19,39.889999,40.849998,39.869999,40.200001,26600,40.200001
2016-12-16,39.889999,40.50,39.709999,40.110001,53600,40.110001
2016-12-15,40.48,40.490002,39.93,40.09,45200,40.09
2016-12-14,40.540001,40.560001,39.98,40.119999,82700,40.119999
2016-12-13,40.59,40.700001,40.00,40.540001,26500,40.540001
2016-12-12,40.130001,40.540001,39.790001,39.93,46700,39.93
2016-12-09,39.740002,40.740002,39.73,40.00,48800,40.00
2016-12-08,38.830002,40.400002,38.799999,40.209999,30300,40.209999
2016-12-07,39.18,39.50,38.689999,38.939999,41900,38.939999
2016-12-06,37.950001,39.400002,37.599998,39.200001,45100,39.200001
2016-12-05,37.02,38.00,37.009998,37.869999,15400,37.869999
2016-12-02,37.970001,38.279999,37.639999,37.66,19800,37.66
2016-12-01,37.459999,38.610001,37.029999,37.82,28000,37.82
2016-11-30,37.360001,37.950001,36.740002,36.799999,62200,36.799999
2016-11-29,37.669998,37.860001,37.389999,37.439999,45600,37.439999
2016-11-28,37.849998,38.389999,37.75,37.82,32400,37.82
2016-11-25,37.290001,37.939999,37.259998,37.650002,12900,37.650002
2016-11-24,38.240002,38.240002,37.400002,37.400002,9900,37.400002
2016-11-23,38.099998,38.389999,37.439999,37.77,18900,37.77
2016-11-22,37.990002,38.290001,37.990002,38.099998,21800,38.099998
2016-11-21,37.169998,38.00,37.169998,37.900002,29500,37.900002
2016-11-18,37.459999,37.84,37.41,37.540001,20600,37.540001
2016-11-17,37.470001,37.75,37.299999,37.709999,24100,37.709999
2016-11-16,37.349998,37.50,37.080002,37.369999,22300,37.369999
2016-11-15,36.759998,37.68,36.73,37.490002,50300,37.490002
2016-11-14,36.84,37.689999,36.84,37.459999,20900,37.459999
2016-11-11,37.759998,37.759998,36.950001,37.220001,23000,37.220001
2016-11-10,37.139999,38.240002,37.139999,37.529999,35900,37.529999
2016-11-09,37.439999,37.650002,36.68,37.48,35900,37.48
2016-11-08,36.369999,37.32,36.09,37.09,60200,37.09
2016-11-07,35.82,36.150002,34.830002,35.970001,36100,35.970001
2016-11-04,35.93,35.93,35.240002,35.419998,30600,35.419998
2016-11-03,34.50,36.48,34.50,35.779999,38900,35.779999
2016-11-02,33.84,34.950001,33.84,34.860001,32700,34.860001
2016-11-01,34.099998,34.290001,33.509998,33.869999,40700,33.869999
2016-10-31,34.040001,34.07,33.59,34.049999,29900,34.049999
2016-10-28,34.00,34.310001,33.759998,33.880001,45300,33.880001
2016-10-27,34.139999,34.150002,33.790001,34.00,31800,34.00
2016-10-26,33.52,34.130001,33.330002,33.849998,27800,33.849998
2016-10-25,34.98,34.98,33.369999,33.540001,50100,33.540001
2016-10-24,34.779999,35.00,34.349998,34.950001,26200,34.950001
2016-10-21,34.799999,34.830002,34.599998,34.66,13100,34.66
2016-10-20,34.52,35.279999,34.470001,34.98,22100,34.98
2016-10-19,34.00,35.080002,33.889999,34.50,40000,34.50
2016-10-18,34.790001,34.900002,33.889999,33.990002,92100,33.990002
2016-10-17,34.48,34.869999,33.779999,34.720001,24400,34.720001
2016-10-14,34.549999,34.630001,34.25,34.419998,11000,34.419998
2016-10-13,35.209999,35.299999,34.07,34.189999,28000,34.189999
2016-10-12,33.900002,35.419998,33.34,35.41,40100,35.41
2016-10-11,35.959999,36.00,33.740002,33.889999,38300,33.889999
2016-10-07,35.299999,35.849998,35.299999,35.619999,16300,35.619999
2016-10-06,35.599998,35.919998,35.369999,35.389999,16500,35.389999
2016-10-05,35.540001,36.09,35.540001,35.57,25100,35.57
2016-10-04,35.040001,35.52,34.41,35.330002,31300,35.330002
2016-10-03,35.41,35.880001,35.259998,35.529999,15700,35.529999
2016-09-30,35.299999,35.599998,35.220001,35.32,118200,35.32
2016-09-29,34.799999,35.50,34.799999,35.290001,25000,35.290001
2016-09-28,35.119999,35.349998,35.009998,35.279999,18200,35.279999
2016-09-27,35.779999,35.779999,35.099998,35.209999,27500,35.209999
2016-09-26,36.82,36.82,35.790001,35.830002,19900,35.830002
2016-09-23,36.599998,36.700001,36.27,36.419998,20600,36.419998
2016-09-22,36.889999,37.200001,36.450001,36.66,31500,36.66
2016-09-21,37.139999,37.299999,36.580002,36.970001,32800,36.970001
2016-09-20,37.110001,37.110001,36.849998,36.93,32000,36.93
2016-09-19,36.990002,37.119999,36.639999,36.91,27800,36.91
2016-09-16,36.419998,37.349998,36.419998,36.75,71900,36.75
2016-09-15,36.869999,37.150002,36.389999,36.57,35300,36.57
2016-09-14,36.810001,37.07,36.810001,36.810001,16700,36.810001
2016-09-13,37.240002,37.25,36.810001,36.810001,29800,36.810001
2016-09-12,36.849998,37.529999,36.84,37.450001,20400,37.450001
2016-09-09,36.950001,37.419998,36.889999,37.00,25100,37.00
