Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,26.50,26.50,26.09,26.26,35500,26.26
2017-02-08,25.83,26.559999,25.690001,26.49,52300,26.49
2017-02-07,25.959999,26.120001,25.59,25.780001,30900,25.780001
2017-02-06,25.60,26.280001,25.440001,25.889999,30700,25.889999
2017-02-03,25.440001,25.59,25.43,25.57,41400,25.57
2017-02-02,26.120001,26.120001,25.32,25.41,116600,25.41
2017-02-01,26.40,26.50,25.889999,26.17,64600,26.17
2017-01-31,26.49,26.52,26.190001,26.290001,59200,26.290001
2017-01-30,26.74,26.74,26.34,26.459999,57700,26.459999
2017-01-27,26.959999,27.129999,26.629999,26.75,68000,26.75
2017-01-26,27.440001,27.50,26.74,26.879999,78500,26.879999
2017-01-25,26.99,27.75,26.99,27.379999,97400,27.379999
2017-01-24,26.92,27.120001,26.82,26.83,79300,26.83
2017-01-23,27.02,27.41,26.68,26.84,89100,26.84
2017-01-20,27.16,27.32,26.93,26.99,30300,26.99
2017-01-19,27.360001,27.52,27.00,27.09,54700,27.09
2017-01-18,26.690001,27.540001,26.60,27.42,132700,27.42
2017-01-17,26.59,26.90,26.59,26.73,51900,26.73
2017-01-16,26.68,26.99,26.35,26.540001,33600,26.540001
2017-01-13,26.790001,27.07,26.76,26.799999,32400,26.799999
2017-01-12,27.200001,27.27,26.66,26.790001,175700,26.790001
2017-01-11,28.030001,28.49,27.08,27.139999,180200,27.139999
2017-01-10,28.440001,28.59,27.76,28.02,205900,28.02
2017-01-09,28.67,28.690001,28.35,28.440001,57000,28.440001
2017-01-06,28.809999,28.809999,28.389999,28.77,54400,28.77
2017-01-05,28.82,29.00,28.610001,28.719999,47500,28.719999
2017-01-04,27.83,28.90,27.799999,28.799999,135400,28.799999
2017-01-03,28.48,28.48,27.27,27.559999,47400,27.559999
2016-12-30,28.309999,28.459999,27.870001,28.35,35900,28.35
2016-12-29,28.23,28.469999,28.200001,28.290001,51200,28.290001
2016-12-28,28.120001,28.370001,28.120001,28.23,35900,28.23
2016-12-23,28.09,28.26,27.975,28.139999,31000,28.139999
2016-12-22,28.01,28.395,27.959999,28.16,49100,28.16
2016-12-21,28.49,28.68,28.129999,28.27,64100,28.27
2016-12-20,28.639999,28.82,28.370001,28.65,69200,28.65
2016-12-19,28.10,28.60,28.049999,28.530001,116800,28.530001
2016-12-16,28.40,28.809999,28.004999,28.17,240200,28.17
2016-12-15,28.35,28.84,28.129999,28.389999,126500,28.389999
2016-12-14,28.940001,29.059999,28.280001,28.440001,136300,28.440001
2016-12-13,28.40,29.059999,28.40,28.90,161800,28.90
2016-12-12,27.870001,28.68,27.85,28.370001,222700,28.370001
2016-12-09,26.90,28.25,26.90,28.209999,194000,28.209999
2016-12-08,25.190001,25.860001,25.190001,25.74,81100,25.74
2016-12-07,24.58,25.27,24.360001,25.190001,121900,25.190001
2016-12-06,24.66,24.719999,24.35,24.530001,62400,24.530001
2016-12-05,24.25,24.84,24.219999,24.66,64500,24.66
2016-12-02,23.76,24.25,23.73,24.049999,43800,24.049999
2016-12-01,23.75,23.90,23.57,23.870001,46700,23.870001
2016-11-30,23.74,23.790001,23.34,23.51,95600,23.51
2016-11-29,23.049999,23.790001,23.00,23.68,77700,23.68
2016-11-28,23.110001,23.299999,23.00,23.110001,43500,23.110001
2016-11-25,22.91,23.25,22.709999,23.059999,29100,23.059999
2016-11-24,22.950001,23.02,22.40,22.58,60100,22.58
