Date,Open,High,Low,Close,Volume,Adj Close
2017-01-06,6.25,6.39,6.24,6.32,39800,6.32
2017-01-05,6.18,6.24,6.15,6.21,94500,6.21
2017-01-04,6.18,6.35,6.18,6.21,49900,6.21
2017-01-03,6.27,6.27,6.07,6.15,57300,6.15
2016-12-30,6.14,6.42,6.14,6.27,61000,6.27
2016-12-29,6.25,6.33,6.11,6.21,32900,6.21
2016-12-28,6.30,6.36,6.25,6.30,29900,6.30
2016-12-23,6.30,6.38,6.23,6.30,60000,6.30
2016-12-22,6.30,6.43,6.25,6.30,158100,6.30
2016-12-21,6.21,6.50,6.21,6.35,204600,6.35
2016-12-20,6.05,6.38,6.03,6.26,167300,6.26
2016-12-19,6.15,6.18,6.035,6.04,46700,6.04
2016-12-16,6.08,6.15,6.08,6.11,45100,6.11
2016-12-15,5.93,6.06,5.87,6.04,118500,6.04
2016-12-14,6.47,6.47,5.96,5.97,355700,5.97
2016-12-13,6.24,6.46,6.20,6.40,561400,6.40
2016-12-12,6.15,6.30,6.02,6.19,115300,6.19
2016-12-09,5.94,6.09,5.80,6.09,877200,6.09
2016-12-08,5.85,6.09,5.78,5.94,377500,5.94
2016-12-07,5.71,5.89,5.70,5.89,306400,5.89
2016-12-06,5.67,5.75,5.655,5.72,10500,5.72
2016-12-05,5.75,5.75,5.65,5.67,54700,5.67
2016-12-02,5.73,5.76,5.68,5.70,53500,5.70
2016-12-01,5.92,5.92,5.65,5.70,91400,5.70
2016-11-30,5.70,5.92,5.70,5.89,82500,5.89
2016-11-29,5.67,5.72,5.625,5.66,40100,5.66
2016-11-28,5.76,5.80,5.67,5.68,42300,5.68
2016-11-25,5.84,5.85,5.77,5.79,34100,5.79
2016-11-24,5.81,5.88,5.80,5.87,48500,5.87
2016-11-23,5.72,5.80,5.72,5.79,79000,5.79
2016-11-22,5.77,5.82,5.71,5.76,94700,5.76
2016-11-21,5.68,5.77,5.68,5.71,80100,5.71
2016-11-18,5.67,5.75,5.67,5.70,428400,5.70
2016-11-17,5.77,5.77,5.70,5.74,135000,5.74
2016-11-16,5.90,6.00,5.70,5.76,175300,5.76
2016-11-15,5.73,5.98,5.68,5.93,283700,5.93
2016-11-14,5.41,5.78,5.41,5.73,115900,5.73
2016-11-11,5.60,5.79,5.60,5.65,247400,5.65
2016-11-10,5.50,5.81,5.50,5.62,444800,5.62
2016-11-09,5.11,5.35,5.11,5.29,328300,5.29
2016-11-08,5.23,5.30,5.12,5.19,132000,5.19
2016-11-07,5.25,5.41,5.10,5.23,261300,5.23
2016-11-04,4.75,5.23,4.75,5.22,203900,5.22
2016-11-03,4.70,4.78,4.61,4.77,71700,4.77
2016-11-02,4.60,4.70,4.59,4.70,146600,4.70
2016-11-01,4.95,4.96,4.62,4.69,452100,4.69
2016-10-31,4.99,5.02,4.90,4.94,167600,4.94
2016-10-28,5.18,5.18,4.99,5.05,58900,5.05
2016-10-27,5.22,5.23,5.13,5.17,121900,5.17
2016-10-26,5.09,5.23,5.02,5.22,165700,5.22
2016-10-25,5.14,5.16,5.07,5.10,83500,5.10
2016-10-24,5.19,5.20,5.05,5.11,48600,5.11
2016-10-21,4.90,5.16,4.90,5.16,256400,5.16
2016-10-20,4.92,4.92,4.78,4.91,128900,4.91
2016-10-19,4.89,4.91,4.87,4.88,15900,4.88
2016-10-18,4.86,4.90,4.85,4.90,28800,4.90
2016-10-17,4.86,4.88,4.85,4.87,34100,4.87
2016-10-14,4.87,4.95,4.85,4.88,53800,4.88
2016-10-13,4.89,4.92,4.85,4.89,66200,4.89
2016-10-12,4.90,4.95,4.895,4.95,51300,4.95
2016-10-11,5.00,5.08,4.895,4.92,222200,4.92
2016-10-07,4.96,5.03,4.92,5.02,100400,5.02
2016-10-06,4.89,4.97,4.82,4.96,174100,4.96
2016-10-05,4.84,4.97,4.78,4.88,236900,4.88
2016-10-04,4.85,4.90,4.78,4.83,125400,4.83
2016-10-03,4.99,4.99,4.84,4.85,154600,4.85
2016-09-30,4.94,5.01,4.935,4.98,281500,4.98
2016-09-29,4.90,4.97,4.90,4.94,52500,4.94
2016-09-28,4.96,5.00,4.86,4.93,88700,4.93
2016-09-27,4.92,5.00,4.88,4.94,133800,4.94
2016-09-26,4.89,4.94,4.78,4.89,343500,4.89
2016-09-23,4.90,5.01,4.83,4.85,205600,4.85
2016-09-22,5.04,5.07,4.86,4.88,149900,4.88
2016-09-21,5.25,5.25,4.94,5.01,532000,5.01
2016-09-20,5.15,5.27,5.15,5.25,74000,5.25
2016-09-19,5.17,5.31,5.17,5.23,80500,5.23
2016-09-16,5.15,5.20,5.10,5.17,72000,5.17
2016-09-15,5.08,5.30,5.08,5.17,152200,5.17
2016-09-14,5.01,5.14,5.01,5.11,37900,5.11
2016-09-13,5.14,5.15,5.00,5.02,65200,5.02
2016-09-12,5.12,5.22,5.08,5.19,21700,5.19
2016-09-09,5.20,5.21,5.11,5.15,95400,5.15
2016-09-08,5.33,5.33,5.17,5.24,223700,5.24
2016-09-07,5.33,5.35,5.22,5.34,197000,5.34
2016-09-06,5.34,5.35,5.27,5.34,61300,5.34
2016-09-02,5.37,5.42,5.34,5.36,23000,5.36
2016-09-01,5.40,5.43,5.32,5.34,116300,5.34
2016-08-31,5.32,5.46,5.25,5.38,118500,5.38
2016-08-30,5.37,5.37,5.31,5.31,181300,5.31
2016-08-29,5.38,5.44,5.36,5.36,57400,5.36
2016-08-26,5.39,5.48,5.35,5.37,35200,5.37
2016-08-25,5.42,5.49,5.31,5.39,103700,5.39
2016-08-24,5.50,5.57,5.43,5.45,72400,5.45
2016-08-23,5.43,5.56,5.43,5.50,81300,5.50
2016-08-22,5.46,5.49,5.41,5.48,182000,5.48
2016-08-19,5.52,5.60,5.42,5.46,76300,5.46
2016-08-18,5.48,5.58,5.46,5.52,235400,5.52
2016-08-17,5.44,5.60,5.32,5.50,211600,5.50
2016-08-16,5.36,5.46,5.36,5.40,167400,5.40
2016-08-15,5.30,5.50,5.30,5.40,490200,5.40
2016-08-12,5.31,5.44,5.30,5.40,85300,5.40
2016-08-11,5.33,5.38,5.295,5.33,48400,5.33
2016-08-10,5.35,5.39,5.26,5.30,61500,5.30
2016-08-09,5.34,5.40,5.31,5.33,111500,5.33
2016-08-08,5.46,5.49,5.34,5.38,102200,5.38
2016-08-05,5.54,5.58,5.28,5.46,185600,5.46
2016-08-04,6.02,6.02,4.86,5.56,906700,5.56
2016-08-03,5.94,5.95,5.67,5.88,98200,5.88
2016-08-02,5.65,5.96,5.60,5.88,89100,5.88
2016-07-29,5.73,5.77,5.65,5.65,31300,5.65
2016-07-28,5.61,5.79,5.61,5.73,30200,5.73
2016-07-27,5.64,5.83,5.57,5.63,43100,5.63
2016-07-26,5.63,5.65,5.55,5.62,117800,5.62
2016-07-25,5.74,5.75,5.55,5.605,23600,5.605
2016-07-22,5.87,5.97,5.82,5.83,31700,5.83
2016-07-21,5.93,6.00,5.81,5.81,132800,5.81
2016-07-20,5.80,5.99,5.77,5.92,229900,5.92
2016-07-19,5.60,5.80,5.52,5.80,167800,5.80
2016-07-18,5.78,5.82,5.51,5.58,67200,5.58
2016-07-15,5.67,5.83,5.65,5.79,53600,5.79
2016-07-14,5.70,5.76,5.66,5.67,79200,5.67
2016-07-13,5.85,5.86,5.66,5.70,129500,5.70
2016-07-12,5.54,5.83,5.54,5.79,178700,5.79
2016-07-11,5.72,5.94,5.56,5.58,130600,5.58
2016-07-08,5.42,5.78,5.42,5.71,147300,5.71
2016-07-07,5.39,5.47,5.25,5.30,69000,5.30
2016-07-06,5.58,5.69,5.40,5.44,89200,5.44
2016-07-05,5.55,5.64,5.43,5.59,91000,5.59
2016-07-04,5.23,5.59,5.23,5.55,33600,5.55
2016-06-30,5.40,5.60,5.33,5.38,137700,5.38
2016-06-29,5.40,5.50,5.30,5.41,64600,5.41
2016-06-28,5.18,5.35,5.18,5.31,42500,5.31
2016-06-27,5.36,5.36,5.16,5.16,75900,5.16
2016-06-24,5.10,5.34,5.10,5.31,73000,5.31
2016-06-23,5.17,5.38,5.17,5.33,218200,5.33
2016-06-22,5.28,5.30,5.18,5.21,24100,5.21
2016-06-21,5.28,5.32,5.20,5.24,42500,5.24
2016-06-20,5.22,5.38,5.15,5.31,167400,5.31
2016-06-17,5.20,5.24,5.16,5.16,81400,5.16
2016-06-16,5.37,5.37,5.15,5.18,100900,5.18
2016-06-15,5.29,5.42,5.19,5.38,86300,5.38
2016-06-14,5.10,5.31,5.05,5.30,170100,5.30
2016-06-13,5.27,5.37,5.14,5.16,53300,5.16
2016-06-10,5.46,5.46,5.28,5.28,82700,5.28
2016-06-09,5.48,5.50,5.40,5.43,91500,5.43
2016-06-08,5.64,5.64,5.37,5.46,147300,5.46
2016-06-07,5.38,5.75,5.32,5.60,410500,5.60
2016-06-06,5.18,5.22,5.15,5.20,52400,5.20
2016-06-03,5.20,5.24,5.17,5.18,42000,5.18
2016-06-02,5.00,5.25,5.00,5.20,74600,5.20
2016-06-01,5.04,5.08,5.00,5.03,25200,5.03
2016-05-31,5.18,5.19,5.01,5.09,135900,5.09
2016-05-30,5.17,5.20,5.06,5.19,59500,5.19
2016-05-27,5.09,5.14,5.04,5.08,50100,5.08
2016-05-26,5.12,5.23,5.00,5.10,180200,5.10
2016-05-25,5.00,5.21,5.00,5.16,200100,5.16
2016-05-24,4.93,4.97,4.79,4.94,132300,4.94
2016-05-20,4.72,4.86,4.71,4.86,51600,4.86
2016-05-19,4.72,4.74,4.64,4.71,117400,4.71
2016-05-18,4.79,4.84,4.71,4.71,92400,4.71
2016-05-17,4.89,4.92,4.80,4.80,68000,4.80
2016-05-16,4.90,4.92,4.85,4.90,140100,4.90
2016-05-13,4.97,4.97,4.90,4.90,172700,4.90
2016-05-12,4.91,4.98,4.90,4.95,106000,4.95
2016-05-11,4.79,4.90,4.77,4.90,118900,4.90
2016-05-10,4.70,4.80,4.65,4.77,135800,4.77
2016-05-09,4.97,4.99,4.58,4.82,246900,4.82
2016-05-06,4.81,5.10,4.81,4.88,267900,4.88
2016-05-05,4.88,5.17,4.70,4.91,1328500,4.91
2016-05-04,5.25,5.33,5.14,5.16,150400,5.16
2016-05-03,5.46,5.48,5.20,5.27,247900,5.27
2016-05-02,5.42,5.50,5.42,5.46,85000,5.46
2016-04-29,5.58,5.58,5.27,5.42,140300,5.42
2016-04-28,5.57,5.58,5.18,5.33,125300,5.33
2016-04-27,5.56,5.65,5.54,5.57,64500,5.57
2016-04-26,5.62,5.62,5.52,5.54,37600,5.54
2016-04-25,5.59,5.67,5.54,5.59,44100,5.59
2016-04-22,5.66,5.71,5.61,5.65,61100,5.65
2016-04-21,5.74,5.77,5.67,5.69,96400,5.69
2016-04-20,5.74,5.79,5.68,5.74,79800,5.74
2016-04-19,5.78,5.78,5.68,5.74,71400,5.74
2016-04-18,5.86,5.87,5.69,5.71,88900,5.71
2016-04-15,5.76,5.95,5.76,5.93,91900,5.93
2016-04-14,5.63,5.85,5.63,5.79,74700,5.79
2016-04-13,5.50,5.73,5.50,5.65,62600,5.65
2016-04-12,5.62,5.74,5.50,5.53,63100,5.53
2016-04-11,5.57,5.68,5.57,5.61,121600,5.61
2016-04-08,5.48,5.62,5.46,5.53,57300,5.53
2016-04-07,5.48,5.50,5.40,5.46,29100,5.46
2016-04-06,5.40,5.50,5.39,5.48,52800,5.48
2016-04-05,5.40,5.45,5.31,5.40,83000,5.40
2016-04-04,5.45,5.45,5.38,5.40,96600,5.40
2016-04-01,5.36,5.45,5.36,5.41,39000,5.41
2016-03-31,5.43,5.46,5.38,5.40,175900,5.40
2016-03-30,5.46,5.47,5.30,5.41,54600,5.41
2016-03-29,5.39,5.44,5.25,5.40,68900,5.40
2016-03-28,5.57,5.58,5.40,5.41,82600,5.41
2016-03-24,5.56,5.69,5.44,5.63,73900,5.63
2016-03-23,5.75,5.75,5.54,5.57,83000,5.57
2016-03-22,5.93,5.97,5.67,5.70,232200,5.70
2016-03-21,6.10,6.12,5.85,5.93,119200,5.93
2016-03-18,5.96,6.08,5.81,6.05,528900,6.05
2016-03-17,6.15,6.35,5.79,5.95,666100,5.95
2016-03-16,5.66,5.66,5.51,5.63,90900,5.63
2016-03-15,5.73,5.73,5.52,5.61,69600,5.61
2016-03-14,5.73,5.77,5.69,5.73,77800,5.73
2016-03-11,5.60,5.76,5.59,5.72,93700,5.72
2016-03-10,5.47,5.61,5.47,5.58,64100,5.58
2016-03-09,5.43,5.43,5.26,5.41,358100,5.41
2016-03-08,5.48,5.48,5.36,5.44,185100,5.44
2016-03-07,5.41,5.50,5.40,5.47,164700,5.47
2016-03-04,5.48,5.48,5.30,5.41,110500,5.41
2016-03-03,5.51,5.51,5.28,5.37,92500,5.37
2016-03-02,5.43,5.66,5.40,5.50,360000,5.50
2016-03-01,5.42,5.50,5.00,5.36,478000,5.36
2016-02-29,5.50,5.53,5.47,5.48,157100,5.48
2016-02-26,5.70,5.70,5.48,5.49,86300,5.49
2016-02-25,5.62,5.65,5.49,5.59,79100,5.59
2016-02-24,5.69,5.76,5.50,5.61,142000,5.61
