Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,28.209999,28.32,27.860001,28.120001,68500,28.120001
2017-02-02,28.50,28.620001,28.059999,28.18,75400,28.18
2017-02-01,28.51,28.93,28.43,28.59,93400,28.59
2017-01-31,28.74,28.74,28.23,28.41,107700,28.41
2017-01-30,29.84,29.84,28.74,28.780001,72400,28.780001
2017-01-27,29.48,29.98,29.459999,29.889999,130600,29.889999
2017-01-26,29.58,29.73,29.43,29.540001,81100,29.540001
2017-01-25,29.26,29.799999,29.129999,29.58,225200,29.58
2017-01-24,28.50,29.26,28.389999,29.139999,85600,29.139999
2017-01-23,28.450001,28.629999,28.40,28.440001,43200,28.440001
2017-01-20,28.32,28.639999,28.23,28.51,84000,28.51
2017-01-19,28.43,28.92,28.25,28.309999,62000,28.309999
2017-01-18,28.290001,28.60,28.110001,28.459999,113300,28.459999
2017-01-17,28.440001,28.469999,28.209999,28.25,76100,28.25
2017-01-16,28.540001,28.959999,28.440001,28.610001,59100,28.610001
2017-01-13,28.32,28.65,27.92,28.52,80500,28.52
2017-01-12,28.25,28.58,28.02,28.32,85900,28.32
2017-01-11,28.43,28.709999,28.290001,28.360001,114000,28.360001
2017-01-10,28.059999,28.709999,27.98,28.469999,83100,28.469999
2017-01-09,28.059999,28.25,28.02,28.120001,94000,28.120001
2017-01-06,28.120001,28.309999,27.90,28.059999,124000,28.059999
2017-01-05,28.610001,28.620001,27.93,28.049999,161800,28.049999
2017-01-04,28.540001,28.74,28.50,28.59,82300,28.59
2017-01-03,28.57,28.76,28.360001,28.48,80600,28.48
2016-12-30,28.76,28.799999,28.50,28.629999,31000,28.629999
2016-12-29,28.60,28.73,28.40,28.690001,28400,28.690001
2016-12-28,28.620001,28.75,28.32,28.59,35900,28.59
2016-12-23,28.040001,28.860001,28.040001,28.57,101400,28.57
2016-12-22,28.41,28.60,27.98,28.049999,55300,28.049999
2016-12-21,28.43,28.74,28.379999,28.48,70300,28.48
2016-12-20,28.49,28.65,28.02,28.43,79000,28.43
2016-12-19,28.379999,28.65,28.299999,28.49,67200,28.49
2016-12-16,28.08,28.43,28.059999,28.34,65800,28.34
2016-12-15,27.59,28.25,27.40,28.049999,82900,28.049999
2016-12-14,27.719999,27.860001,27.459999,27.58,139100,27.58
2016-12-13,28.049999,28.40,27.790001,27.799999,144700,27.799999
2016-12-12,28.15,28.290001,27.860001,28.09,75100,28.09
2016-12-09,27.889999,28.459999,27.799999,28.32,178800,28.32
2016-12-08,28.40,28.40,27.639999,27.870001,174000,27.870001
2016-12-07,27.629999,28.610001,27.629999,28.35,186200,28.35
2016-12-06,28.34,28.370001,27.389999,27.629999,203200,27.629999
2016-12-05,28.17,28.58,28.17,28.34,68100,28.34
2016-12-02,28.860001,28.860001,28.049999,28.129999,93100,28.129999
2016-12-01,29.76,29.98,28.77,28.969999,144800,28.969999
2016-11-30,29.76,30.15,29.75,29.83,71400,29.83
2016-11-29,29.959999,30.27,29.860001,29.99,66000,29.99
2016-11-28,30.17,30.35,29.92,29.99,79500,29.99
2016-11-25,30.33,30.52,30.16,30.25,28900,30.25
2016-11-24,30.26,30.40,30.24,30.34,22200,30.34
2016-11-23,30.18,30.370001,30.059999,30.200001,68000,30.200001
2016-11-22,30.450001,30.51,29.99,30.18,131000,30.18
2016-11-21,30.360001,30.530001,30.16,30.50,100400,30.50
2016-11-18,30.370001,30.57,30.139999,30.360001,62000,30.360001
2016-11-17,29.629999,30.389999,29.549999,30.309999,64700,30.309999
2016-11-16,29.15,29.870001,29.049999,29.58,146700,29.58
2016-11-15,29.18,29.48,29.10,29.15,105900,29.15
2016-11-14,28.549999,29.190001,28.469999,29.030001,100200,29.030001
2016-11-11,28.35,28.60,28.190001,28.469999,88000,28.469999
2016-11-10,27.67,28.43,27.67,28.07,48800,28.07
2016-11-09,27.610001,28.059999,27.280001,27.91,34700,27.91
2016-11-08,27.60,28.10,27.43,27.67,32400,27.67
2016-11-07,27.959999,28.00,27.48,27.58,82600,27.58
2016-11-04,27.110001,27.58,27.110001,27.389999,77800,27.389999
2016-11-03,27.280001,27.370001,27.139999,27.190001,50500,27.190001
2016-11-02,27.43,27.51,27.18,27.290001,143400,27.290001
2016-11-01,27.950001,28.110001,27.43,27.549999,82100,27.549999
2016-10-31,27.91,28.15,27.48,27.950001,65600,27.950001
2016-10-28,27.620001,28.08,27.51,27.969999,97500,27.969999
2016-10-27,28.120001,28.219999,27.60,27.620001,25500,27.620001
2016-10-26,28.02,28.33,27.940001,28.01,93900,28.01
2016-10-25,28.379999,28.42,27.790001,28.049999,83000,28.049999
2016-10-24,28.10,28.48,27.969999,28.370001,93300,28.370001
2016-10-21,28.16,28.41,27.85,28.360001,154100,28.360001
2016-10-20,28.02,28.25,27.85,28.09,92100,28.09
2016-10-19,28.34,28.35,27.98,28.18,153500,28.18
2016-10-18,27.379999,27.98,27.33,27.73,35600,27.73
2016-10-17,27.219999,27.389999,27.120001,27.219999,74300,27.219999
2016-10-14,27.50,27.549999,27.25,27.27,46200,27.27
2016-10-13,27.00,27.51,27.00,27.49,57600,27.49
2016-10-12,27.16,27.209999,26.99,27.08,64700,27.08
2016-10-11,27.450001,27.60,27.07,27.110001,74900,27.110001
2016-10-07,27.82,27.82,27.379999,27.75,49400,27.75
2016-10-06,27.610001,27.93,27.58,27.860001,52600,27.860001
2016-10-05,27.82,27.82,27.459999,27.60,44800,27.60
2016-10-04,28.059999,28.34,27.790001,27.84,33500,27.84
2016-10-03,28.110001,28.34,27.91,27.969999,68600,27.969999
2016-09-30,28.299999,28.32,27.99,28.23,167500,28.23
2016-09-29,28.16,28.32,28.07,28.280001,45000,28.280001
2016-09-28,28.09,28.200001,27.940001,28.16,34100,28.16
2016-09-27,28.00,28.299999,27.93,28.09,135900,28.09
2016-09-26,27.99,28.15,27.700001,28.030001,51700,28.030001
2016-09-23,28.200001,28.40,28.02,28.07,53100,28.07
2016-09-22,27.790001,28.290001,27.700001,28.209999,45900,28.209999
2016-09-21,27.84,28.01,27.50,27.66,53800,27.66
2016-09-20,27.85,28.139999,27.57,27.73,80300,27.73
2016-09-19,27.879999,28.120001,27.74,27.75,132200,27.75
2016-09-16,27.65,27.93,27.43,27.74,79200,27.74
2016-09-15,27.65,27.92,27.469999,27.66,52500,27.66
2016-09-14,27.440001,27.790001,27.26,27.57,62900,27.57
2016-09-13,26.92,27.59,26.92,27.450001,92200,27.450001
2016-09-12,26.940001,27.110001,26.450001,27.030001,90200,27.030001
2016-09-09,27.719999,27.84,26.83,26.950001,148000,26.950001
2016-09-08,27.299999,28.02,26.870001,27.90,162000,27.90
2016-09-07,27.48,27.60,27.219999,27.40,78300,27.40
2016-09-06,28.68,28.68,27.389999,27.440001,70400,27.440001
2016-09-02,28.719999,28.719999,28.33,28.459999,33500,28.459999
2016-09-01,27.959999,28.73,27.959999,28.620001,50100,28.620001
2016-08-31,28.02,28.35,27.91,27.959999,79100,27.959999
2016-08-30,28.02,28.09,27.82,28.02,53000,28.02
2016-08-29,27.84,28.09,27.719999,27.959999,70200,27.959999
2016-08-26,27.700001,27.940001,27.530001,27.90,40900,27.90
2016-08-25,27.43,27.799999,27.24,27.73,49200,27.73
2016-08-24,26.950001,27.469999,26.879999,27.43,38400,27.43
2016-08-23,26.940001,27.129999,26.700001,26.92,79900,26.92
2016-08-22,26.950001,27.049999,26.719999,26.93,37200,26.93
2016-08-19,26.59,27.08,26.59,27.01,90200,27.01
2016-08-18,26.299999,26.780001,26.129999,26.65,85900,26.65
2016-08-17,26.41,26.59,26.139999,26.24,58900,26.24
2016-08-16,26.41,26.620001,26.200001,26.35,60900,26.35
2016-08-15,26.26,26.65,26.17,26.50,42000,26.50
2016-08-12,26.23,26.41,26.129999,26.299999,247000,26.299999
2016-08-11,26.51,26.60,26.24,26.24,67900,26.24
2016-08-10,26.75,26.75,26.27,26.42,46400,26.42
2016-08-09,26.52,26.780001,26.40,26.690001,70800,26.690001
2016-08-08,26.870001,26.870001,26.26,26.58,88400,26.58
2016-08-05,26.219999,26.93,26.07,26.809999,81500,26.809999
2016-08-04,25.50,26.129999,25.50,26.08,58200,26.08
2016-08-03,26.209999,26.23,25.540001,25.58,72600,25.58
2016-08-02,26.35,26.43,26.10,26.299999,49300,26.299999
2016-07-29,26.34,26.50,26.219999,26.33,34400,26.33
2016-07-28,26.360001,26.360001,25.959999,26.299999,34500,26.299999
2016-07-27,26.15,26.51,26.030001,26.379999,83200,26.379999
2016-07-26,25.85,26.190001,25.84,26.08,40200,26.08
2016-07-25,25.799999,25.92,25.59,25.889999,60800,25.889999
2016-07-22,25.77,26.049999,25.700001,25.780001,54800,25.780001
2016-07-21,26.629999,26.690001,25.700001,25.709999,116800,25.709999
2016-07-20,25.469999,26.83,25.469999,26.60,176500,26.60
2016-07-19,25.40,25.799999,25.34,25.389999,85500,25.389999
2016-07-18,25.040001,25.799999,25.040001,25.440001,88800,25.440001
2016-07-15,25.26,25.26,24.82,25.00,50400,25.00
2016-07-14,25.01,25.219999,24.85,25.200001,69700,25.200001
2016-07-13,24.99,25.059999,24.73,24.950001,70200,24.950001
2016-07-12,24.690001,25.059999,24.50,24.99,56100,24.99
2016-07-11,24.690001,24.780001,24.469999,24.620001,50600,24.620001
2016-07-08,24.610001,24.76,24.40,24.610001,63200,24.610001
2016-07-07,24.290001,24.530001,23.879999,24.48,60000,24.48
2016-07-06,24.459999,24.639999,24.209999,24.24,77200,24.24
2016-07-05,24.50,24.700001,24.33,24.48,86200,24.48
2016-07-04,25.00,25.00,24.370001,24.610001,30000,24.610001
2016-06-30,24.84,24.84,24.639999,24.709999,61400,24.709999
2016-06-29,24.58,24.889999,24.32,24.76,78300,24.76
2016-06-28,24.540001,24.75,24.129999,24.379999,73500,24.379999
2016-06-27,24.50,24.51,23.83,24.309999,115500,24.309999
2016-06-24,24.92,24.959999,24.51,24.65,112100,24.65
2016-06-23,25.24,25.530001,24.940001,25.49,54200,25.49
2016-06-22,25.530001,25.700001,25.10,25.139999,61400,25.139999
2016-06-21,25.389999,26.00,25.379999,25.49,71900,25.49
2016-06-20,25.219999,25.700001,25.219999,25.290001,72000,25.290001
2016-06-17,25.110001,25.49,24.66,25.290001,103700,25.290001
2016-06-16,25.25,25.440001,24.83,25.129999,93800,25.129999
2016-06-15,25.370001,25.610001,25.25,25.34,41200,25.34
2016-06-14,25.360001,25.709999,25.200001,25.360001,70200,25.360001
2016-06-13,25.27,25.629999,25.120001,25.48,115800,25.48
2016-06-10,25.73,25.940001,25.309999,25.389999,82500,25.389999
2016-06-09,26.01,26.219999,25.780001,25.959999,42000,25.959999
2016-06-08,26.549999,26.549999,26.030001,26.09,61300,26.09
2016-06-07,26.52,26.76,26.41,26.610001,68000,26.610001
2016-06-06,27.07,27.07,26.549999,26.57,51700,26.57
2016-06-03,27.00,27.10,26.870001,26.99,54500,26.99
2016-06-02,27.139999,27.43,27.139999,27.16,43900,27.16
2016-06-01,27.440001,27.51,26.85,27.26,93600,27.26
2016-05-31,27.040001,27.51,27.040001,27.34,124500,27.34
2016-05-30,27.42,27.42,26.629999,27.049999,47500,27.049999
2016-05-27,26.26,27.469999,26.26,27.299999,101200,27.299999
2016-05-26,27.25,27.25,26.190001,26.299999,96800,26.299999
2016-05-25,26.82,26.940001,26.379999,26.90,77100,26.90
2016-05-24,25.450001,26.74,25.450001,26.690001,214500,26.690001
2016-05-20,24.49,25.290001,24.450001,25.24,89500,25.24
2016-05-19,24.51,24.639999,24.02,24.389999,64200,24.389999
2016-05-18,24.57,24.74,24.41,24.530001,54300,24.530001
