Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,15.73,16.559999,15.70,16.540001,5180300,16.540001
2017-02-08,15.50,15.69,15.19,15.53,5895600,15.53
2017-02-07,16.059999,16.08,15.37,15.60,7417200,15.60
2017-02-06,16.299999,16.51,16.040001,16.08,5654100,16.08
2017-02-03,16.59,16.68,16.309999,16.33,4515800,16.33
2017-02-02,16.639999,16.690001,16.299999,16.57,3194200,16.57
2017-02-01,16.77,16.879999,16.26,16.59,4265500,16.59
2017-01-31,16.58,16.790001,16.309999,16.610001,4230200,16.610001
2017-01-30,16.969999,16.969999,16.129999,16.610001,5282100,16.610001
2017-01-27,17.40,17.43,16.959999,17.09,4370200,17.09
2017-01-26,18.110001,18.120001,17.58,17.610001,3616600,17.610001
2017-01-25,17.879999,18.129999,17.809999,17.959999,3150700,17.959999
2017-01-24,17.540001,17.950001,17.32,17.82,4631000,17.82
2017-01-23,17.43,17.52,17.15,17.33,3468700,17.33
2017-01-20,17.68,18.02,17.530001,17.629999,4451700,17.629999
2017-01-19,17.469999,17.719999,17.32,17.389999,4932200,17.389999
2017-01-18,17.190001,17.50,17.10,17.379999,5108000,17.379999
2017-01-17,17.26,17.450001,17.030001,17.450001,5038600,17.450001
2017-01-16,17.139999,17.209999,17.00,17.16,1391300,17.16
2017-01-13,16.99,17.129999,16.85,17.110001,3795200,17.110001
2017-01-12,17.459999,17.610001,17.110001,17.120001,5907200,17.120001
2017-01-11,17.059999,17.219999,16.90,17.200001,5102500,17.200001
2017-01-10,16.889999,17.049999,16.83,16.92,4176000,16.92
2017-01-09,16.870001,16.99,16.719999,16.83,4141200,16.83
2017-01-06,17.049999,17.290001,16.82,17.120001,5616400,17.120001
2017-01-05,17.25,17.35,16.639999,16.940001,6259400,16.940001
2017-01-04,16.50,17.280001,16.43,17.219999,7939000,17.219999
2017-01-03,16.16,16.440001,15.78,16.059999,4924100,16.059999
2016-12-30,15.95,15.99,15.70,15.76,2707500,15.76
2016-12-29,16.370001,16.41,15.94,15.98,2586300,15.98
2016-12-28,16.360001,16.68,16.26,16.379999,3744000,16.379999
2016-12-23,16.41,16.549999,16.280001,16.360001,2605500,16.360001
2016-12-22,16.549999,16.790001,16.43,16.469999,3409300,16.469999
2016-12-21,16.889999,16.889999,16.370001,16.50,2625900,16.50
2016-12-20,16.719999,16.940001,16.65,16.700001,2936000,16.700001
2016-12-19,16.370001,16.73,16.219999,16.65,3608400,16.65
2016-12-16,16.559999,16.559999,16.26,16.32,11322200,16.32
2016-12-15,16.17,16.66,15.92,16.35,5104800,16.35
2016-12-14,16.75,16.799999,16.16,16.27,5635500,16.27
2016-12-13,17.030001,17.17,16.57,16.90,4107300,16.90
2016-12-12,17.700001,17.700001,16.85,16.889999,6086400,16.87
2016-12-09,17.10,17.139999,16.879999,16.98,4258600,16.959893
2016-12-08,16.60,17.00,16.42,16.90,5247100,16.879988
2016-12-07,16.610001,16.799999,16.379999,16.440001,5626600,16.420534
