Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,3.20,3.20,3.11,3.16,1015200,3.16
2017-01-26,3.18,3.255,3.18,3.20,1054100,3.20
2017-01-25,3.16,3.23,3.16,3.21,1391200,3.21
2017-01-24,3.10,3.16,3.07,3.16,923700,3.16
2017-01-23,3.13,3.13,3.03,3.11,833700,3.11
2017-01-20,3.11,3.15,3.08,3.11,485400,3.11
2017-01-19,3.18,3.20,3.04,3.08,1542200,3.08
2017-01-18,3.12,3.16,3.11,3.15,4049400,3.15
2017-01-17,3.20,3.21,3.11,3.11,1761300,3.11
2017-01-16,3.25,3.28,3.18,3.18,1035800,3.18
2017-01-13,3.09,3.20,3.09,3.19,2650000,3.19
2017-01-12,3.14,3.14,3.06,3.08,2585100,3.08
2017-01-11,3.12,3.15,3.10,3.13,806200,3.13
2017-01-10,3.11,3.18,3.09,3.11,1338100,3.11
2017-01-09,3.15,3.16,3.09,3.10,662900,3.10
2017-01-06,3.19,3.19,3.13,3.14,1776400,3.14
2017-01-05,3.19,3.21,3.15,3.18,1417800,3.18
2017-01-04,3.24,3.25,3.18,3.19,645200,3.19
2017-01-03,3.30,3.30,3.22,3.23,354500,3.23
2016-12-30,3.30,3.30,3.26,3.30,456500,3.30
2016-12-29,3.22,3.36,3.22,3.30,655800,3.30
2016-12-28,3.18,3.22,3.18,3.21,614300,3.21
2016-12-23,3.17,3.23,3.14,3.14,875300,3.13
2016-12-22,3.13,3.19,3.11,3.14,2647400,3.13
2016-12-21,3.17,3.18,3.13,3.13,2189500,3.120032
2016-12-20,3.17,3.20,3.13,3.17,2737800,3.159904
2016-12-19,3.19,3.21,3.13,3.13,1993000,3.120032
2016-12-16,3.19,3.21,3.14,3.16,999700,3.149936
2016-12-15,3.11,3.19,3.10,3.18,929100,3.169873
2016-12-14,3.11,3.16,3.08,3.08,1405600,3.070191
2016-12-13,3.17,3.17,3.12,3.12,548300,3.110064
2016-12-12,3.19,3.19,3.10,3.13,1205300,3.120032
2016-12-09,3.18,3.19,3.13,3.18,546100,3.169873
2016-12-08,3.10,3.19,3.08,3.17,716200,3.159904
2016-12-07,3.14,3.15,3.09,3.09,805300,3.080159
2016-12-06,3.10,3.15,3.08,3.15,1326900,3.139968
2016-12-05,2.98,3.07,2.95,3.07,3483400,3.060223
2016-12-02,2.97,3.00,2.95,2.98,580900,2.97051
2016-12-01,3.04,3.05,2.95,2.99,804100,2.980478
2016-11-30,3.06,3.07,3.01,3.02,1195900,3.010382
2016-11-29,3.08,3.09,3.01,3.04,939600,3.030318
2016-11-28,3.11,3.13,3.00,3.05,1370000,3.040287
2016-11-25,3.14,3.14,3.08,3.11,1061900,3.100095
2016-11-24,3.06,3.17,3.06,3.11,726900,3.100095
2016-11-23,3.09,3.13,3.01,3.06,1830600,3.050255
2016-11-22,3.16,3.22,3.08,3.10,7572400,3.090127
2016-11-21,2.97,3.12,2.88,3.09,3507500,3.080159
2016-11-18,2.82,2.94,2.79,2.94,4681600,2.930637
2016-11-17,2.71,2.92,2.70,2.85,3929900,2.840923
2016-11-16,2.68,2.73,2.60,2.69,2269600,2.681433
2016-11-15,2.85,2.85,2.70,2.70,1597900,2.691401
2016-11-14,2.86,2.92,2.78,2.81,1260700,2.801051
2016-11-11,2.70,2.86,2.70,2.84,1816500,2.830955
2016-11-10,2.67,2.77,2.66,2.71,760200,2.701369
2016-11-09,2.62,2.70,2.62,2.66,583700,2.651529
2016-11-08,2.72,2.73,2.62,2.68,2910100,2.671465
2016-11-07,2.77,2.85,2.71,2.74,3019900,2.731274
2016-11-04,2.75,2.80,2.65,2.73,4215100,2.721306
2016-11-03,2.81,2.88,2.745,2.77,973300,2.761178
2016-11-02,2.89,2.91,2.82,2.82,2008400,2.811019
2016-11-01,2.90,2.95,2.78,2.90,1755900,2.890764
2016-10-31,2.95,2.98,2.85,2.93,2262400,2.920669
2016-10-28,2.96,2.99,2.95,2.95,517100,2.940605
2016-10-27,3.04,3.07,2.95,2.95,1719100,2.940605
2016-10-26,3.00,3.04,2.975,3.02,3900100,3.010382
2016-10-25,3.18,3.19,3.03,3.07,2445300,3.060223
2016-10-24,3.20,3.23,3.18,3.19,705500,3.179841
2016-10-21,3.15,3.26,3.15,3.20,3837100,3.189809
2016-10-20,3.16,3.20,3.11,3.15,2391200,3.139968
2016-10-19,3.05,3.13,3.04,3.13,4623600,3.120032
2016-10-18,2.98,3.08,2.95,3.02,10251600,3.010382
2016-10-17,2.99,3.02,2.95,2.95,2421700,2.940605
2016-10-14,3.00,3.03,2.95,2.95,5251800,2.940605
2016-10-13,3.05,3.05,2.94,3.00,10176700,2.990446
2016-10-12,2.96,3.16,2.86,3.09,6761000,3.080159
2016-10-11,3.25,3.37,3.16,3.16,4467400,3.149936
2016-10-07,3.38,3.39,3.22,3.26,4089600,3.249618
2016-10-06,3.42,3.44,3.34,3.34,2708600,3.329363
2016-10-05,3.40,3.47,3.38,3.40,8464500,3.389172
2016-10-04,3.35,3.47,3.34,3.38,15196100,3.369236
2016-10-03,3.50,3.59,3.29,3.30,1441500,3.28949
2016-09-30,3.55,3.55,3.38,3.46,589800,3.448981
2016-09-29,3.30,3.505,3.26,3.49,10346100,3.478885
2016-09-28,3.50,3.50,3.18,3.29,22439700,3.279522
