Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,17.92,18.48,17.92,18.33,186000,18.33
2017-02-09,17.700001,17.93,17.59,17.879999,224300,17.879999
2017-02-08,18.00,18.01,17.59,17.76,233200,17.76
2017-02-07,18.610001,18.610001,18.09,18.10,166900,18.10
2017-02-06,18.77,19.07,18.65,18.709999,145600,18.709999
2017-02-03,18.73,18.959999,18.51,18.860001,66200,18.860001
2017-02-02,18.879999,18.90,18.59,18.68,134400,18.68
2017-02-01,18.459999,18.790001,18.33,18.73,188600,18.73
2017-01-31,18.23,18.549999,18.18,18.33,658100,18.33
2017-01-30,18.33,18.41,18.110001,18.26,238900,18.26
2017-01-27,18.51,18.65,18.35,18.459999,107500,18.459999
2017-01-26,19.08,19.129999,18.52,18.59,201600,18.59
2017-01-25,18.67,19.17,18.629999,19.030001,323700,19.030001
2017-01-24,18.700001,18.92,18.50,18.700001,217600,18.700001
2017-01-23,18.82,18.90,18.50,18.540001,304600,18.540001
2017-01-20,18.75,19.07,18.700001,18.870001,231800,18.870001
2017-01-19,18.440001,18.92,18.360001,18.709999,201900,18.709999
2017-01-18,18.209999,18.60,18.110001,18.49,230700,18.49
2017-01-17,17.50,18.33,17.50,18.27,207900,18.27
2017-01-16,17.629999,17.629999,17.09,17.379999,114300,17.379999
2017-01-13,17.549999,17.73,17.389999,17.459999,174400,17.459999
2017-01-12,17.49,17.59,17.309999,17.549999,166600,17.549999
2017-01-11,17.23,17.50,17.129999,17.35,118100,17.35
2017-01-10,16.52,17.10,16.52,17.07,141600,17.07
2017-01-09,17.139999,17.139999,16.66,16.66,122200,16.66
2017-01-06,17.540001,17.540001,17.15,17.200001,58700,17.200001
2017-01-05,17.58,17.610001,17.139999,17.540001,122700,17.540001
2017-01-04,17.360001,17.639999,17.10,17.58,186000,17.58
2017-01-03,17.09,17.450001,17.049999,17.41,132200,17.41
2016-12-30,17.15,17.309999,16.98,17.049999,49500,17.049999
2016-12-29,17.139999,17.25,17.040001,17.17,68300,17.17
2016-12-28,17.10,17.34,17.10,17.200001,45900,17.200001
2016-12-23,17.35,17.35,16.91,17.09,102700,17.09
2016-12-22,17.379999,17.379999,16.99,17.33,92800,17.33
2016-12-21,17.51,17.59,17.23,17.34,70900,17.34
2016-12-20,17.549999,17.57,17.43,17.49,71100,17.49
2016-12-19,17.309999,17.530001,17.309999,17.49,84800,17.49
2016-12-16,17.360001,17.52,17.35,17.41,105400,17.41
2016-12-15,17.219999,17.440001,17.139999,17.33,140800,17.33
2016-12-14,17.59,17.75,17.24,17.26,142100,17.26
2016-12-13,17.60,17.860001,17.559999,17.68,175200,17.68
2016-12-12,17.639999,17.84,17.40,17.41,267500,17.41
2016-12-09,17.629999,17.959999,17.58,17.65,78100,17.65
2016-12-08,17.879999,17.90,17.41,17.76,184700,17.76
2016-12-07,17.440001,18.059999,17.440001,17.639999,179500,17.639999
2016-12-06,17.389999,17.700001,17.309999,17.540001,113100,17.540001
2016-12-05,17.309999,17.74,17.299999,17.50,223700,17.50
2016-12-02,16.969999,17.440001,16.90,17.200001,218100,17.200001
