Date,Open,High,Low,Close,Volume,Adj Close
2016-12-29,4.39,4.60,4.34,4.54,4042000,4.54
2016-12-28,4.20,4.35,4.20,4.32,3762100,4.32
2016-12-23,4.07,4.13,4.05,4.13,1693300,4.13
2016-12-22,4.11,4.19,4.01,4.04,3308400,4.04
2016-12-21,3.99,4.16,3.94,4.12,5088700,4.12
2016-12-20,3.75,3.98,3.69,3.96,5383600,3.96
2016-12-19,3.75,3.93,3.71,3.80,3056300,3.80
2016-12-16,3.68,3.81,3.59,3.73,8416400,3.73
2016-12-15,3.61,3.78,3.52,3.63,5325200,3.63
2016-12-14,3.96,4.01,3.75,3.75,3833300,3.75
2016-12-13,4.02,4.02,3.86,3.91,2277300,3.91
2016-12-12,3.93,4.07,3.86,4.00,3486500,4.00
2016-12-09,3.97,3.99,3.82,3.86,5021800,3.86
2016-12-08,3.96,4.00,3.90,3.99,2503000,3.99
2016-12-07,4.08,4.18,3.94,3.96,3606900,3.96
2016-12-06,3.95,4.10,3.93,4.03,3543000,4.03
2016-12-05,3.80,4.01,3.72,3.90,5152000,3.90
2016-12-02,3.71,3.85,3.69,3.85,2880200,3.85
2016-12-01,3.65,3.75,3.57,3.67,3036300,3.67
2016-11-30,3.60,3.70,3.54,3.70,4908500,3.70
2016-11-29,3.62,3.69,3.60,3.63,2371600,3.63
2016-11-28,3.68,3.73,3.54,3.73,2805100,3.73
2016-11-25,3.60,3.66,3.53,3.58,1797200,3.58
2016-11-24,3.58,3.59,3.52,3.54,733900,3.54
2016-11-23,3.64,3.64,3.50,3.58,3599200,3.58
2016-11-22,3.82,3.85,3.72,3.79,2838200,3.79
2016-11-21,3.77,3.82,3.72,3.77,3301700,3.77
2016-11-18,3.67,3.72,3.62,3.69,3015700,3.69
2016-11-17,3.80,3.90,3.62,3.70,4613300,3.70
2016-11-16,3.81,3.86,3.67,3.80,4876700,3.80
2016-11-15,3.56,3.85,3.53,3.85,4620400,3.85
2016-11-14,3.52,3.76,3.46,3.53,8566400,3.53
2016-11-11,3.88,3.95,3.55,3.60,5554800,3.60
2016-11-10,4.22,4.22,3.87,3.91,5235300,3.91
2016-11-09,4.50,4.54,4.10,4.22,5038900,4.22
2016-11-08,4.25,4.39,4.13,4.19,2979100,4.19
2016-11-07,4.26,4.30,4.16,4.23,3079000,4.23
2016-11-04,4.45,4.56,4.28,4.39,4106600,4.39
2016-11-03,4.40,4.59,4.36,4.44,3784900,4.44
2016-11-02,4.54,4.68,4.34,4.43,6926700,4.43
2016-11-01,4.33,4.51,4.32,4.44,4257800,4.44
2016-10-31,4.47,4.50,4.16,4.23,7186200,4.23
2016-10-28,4.44,4.66,4.39,4.45,3770800,4.45
2016-10-27,4.52,4.59,4.43,4.45,2787800,4.45
2016-10-26,4.79,4.82,4.44,4.54,4087400,4.54
2016-10-25,4.79,4.87,4.75,4.81,3371500,4.81
2016-10-24,5.03,5.04,4.69,4.77,3239900,4.77
2016-10-21,4.98,5.00,4.90,4.98,1912100,4.98
2016-10-20,4.92,4.98,4.83,4.98,2140000,4.98
2016-10-19,4.80,4.92,4.78,4.85,2650300,4.85
2016-10-18,4.70,4.73,4.61,4.72,2573800,4.72
2016-10-17,4.62,4.65,4.56,4.60,1849800,4.60
2016-10-14,4.69,4.78,4.58,4.58,2474300,4.58
2016-10-13,4.77,4.98,4.65,4.78,2926500,4.78
2016-10-12,4.58,4.81,4.53,4.75,3373600,4.75
2016-10-11,4.58,4.65,4.53,4.57,2426100,4.57
2016-10-07,4.73,4.81,4.51,4.57,4151300,4.57
2016-10-06,4.39,4.64,4.39,4.58,2566500,4.58
2016-10-05,4.74,4.75,4.48,4.64,3225000,4.64
2016-10-04,4.75,4.80,4.58,4.62,4329800,4.62
2016-10-03,5.14,5.20,4.90,4.96,2713300,4.96
2016-09-30,5.38,5.41,5.15,5.16,3828600,5.16
