Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,45.689999,46.139999,45.639999,46.110001,883100,46.110001
2017-01-24,45.709999,45.779999,45.34,45.68,632400,45.68
2017-01-23,46.00,46.02,45.639999,45.66,636800,45.66
2017-01-20,46.00,46.150002,45.779999,45.990002,510300,45.990002
2017-01-19,45.759998,46.00,45.669998,45.880001,429800,45.880001
2017-01-18,45.799999,46.150002,45.66,45.759998,714500,45.759998
2017-01-17,45.650002,45.950001,45.599998,45.790001,464800,45.790001
2017-01-16,45.470001,45.700001,45.310001,45.650002,211100,45.650002
2017-01-13,45.32,45.50,45.169998,45.369999,279900,45.369999
2017-01-12,45.25,45.459999,45.049999,45.279999,420700,45.279999
2017-01-11,45.380001,45.380001,44.889999,45.220001,500500,45.220001
2017-01-10,45.48,45.50,45.189999,45.279999,395500,45.279999
2017-01-09,45.50,45.59,45.220001,45.419998,443500,45.419998
2017-01-06,45.59,45.599998,45.189999,45.43,477300,45.43
2017-01-05,45.580002,45.619999,45.380001,45.59,693700,45.59
2017-01-04,45.209999,45.650002,45.139999,45.59,464200,45.59
2017-01-03,45.41,45.450001,45.009998,45.189999,529100,45.189999
2016-12-30,45.540001,45.619999,45.290001,45.389999,280700,45.389999
2016-12-29,45.00,45.540001,44.959999,45.490002,399600,45.490002
2016-12-28,45.25,45.400002,44.73,45.060001,554600,45.060001
2016-12-23,45.400002,45.50,45.189999,45.279999,342900,45.279999
2016-12-22,45.00,45.48,44.919998,45.349998,595000,45.349998
2016-12-21,44.799999,45.00,44.700001,44.939999,329300,44.939999
2016-12-20,45.099998,45.25,44.73,44.790001,398800,44.790001
2016-12-19,45.18,45.240002,44.689999,45.07,611700,45.07
2016-12-16,44.799999,45.240002,44.610001,45.18,1787800,45.18
2016-12-15,44.610001,44.959999,44.540001,44.630001,637200,44.630001
2016-12-14,45.18,45.189999,44.549999,44.639999,570100,44.639999
2016-12-13,44.75,45.130001,44.650002,45.119999,485500,45.119999
2016-12-12,44.560001,44.709999,44.400002,44.619999,441100,44.619999
2016-12-09,44.470001,44.77,44.240002,44.50,448800,44.50
2016-12-08,44.259998,44.459999,43.939999,44.400002,573200,44.400002
2016-12-07,44.009998,44.389999,44.00,44.259998,550700,44.259998
2016-12-06,44.16,44.16,43.880001,44.029999,537800,44.029999
2016-12-05,44.240002,44.25,43.759998,44.200001,713000,44.200001
2016-12-02,44.73,44.860001,44.080002,44.189999,740400,44.189999
2016-12-01,45.07,45.07,44.310001,44.580002,747900,44.580002
2016-11-30,45.139999,45.189999,44.700001,45.110001,4177400,45.110001
2016-11-29,45.00,45.27,44.529999,45.27,1660400,45.27
2016-11-28,45.50,45.830002,45.200001,45.709999,740900,45.709999
2016-11-25,45.349998,45.360001,45.00,45.310001,457300,45.310001
2016-11-24,45.240002,45.25,45.00,45.200001,281600,45.200001
2016-11-23,44.900002,45.32,44.900002,45.029999,481400,45.029999
2016-11-22,44.959999,45.099998,44.82,45.040001,572100,45.040001
2016-11-21,45.009998,45.16,44.639999,44.84,646200,44.84
2016-11-18,44.849998,45.16,44.529999,44.860001,631600,44.860001
2016-11-17,44.700001,44.98,44.540001,44.82,621700,44.82
2016-11-16,44.759998,44.889999,44.330002,44.66,695800,44.66
2016-11-15,44.450001,44.720001,44.299999,44.66,1031700,44.66
2016-11-14,44.68,44.799999,44.16,44.299999,1332000,44.299999
2016-11-11,45.00,45.189999,44.50,44.599998,840500,44.599998
2016-11-10,45.900002,45.91,44.889999,45.00,1249600,45.00
2016-11-09,46.400002,46.490002,45.740002,45.919998,1038900,45.919998
2016-11-08,46.68,46.779999,46.279999,46.41,730000,46.41
2016-11-07,46.50,46.599998,46.200001,46.41,432200,46.41
2016-11-04,46.009998,46.59,45.93,46.380001,445200,46.380001
2016-11-03,46.099998,46.330002,45.849998,45.98,410100,45.98
2016-11-02,46.57,46.619999,46.080002,46.09,604000,46.09
2016-11-01,46.98,47.060001,46.279999,46.57,750500,46.57
2016-10-31,46.630001,47.189999,46.599998,46.779999,583800,46.779999
2016-10-28,46.50,46.799999,46.299999,46.66,444800,46.66
2016-10-27,46.919998,47.139999,46.599998,46.889999,540900,46.367
2016-10-26,47.189999,47.189999,46.709999,46.849998,778200,46.327445
2016-10-25,47.50,47.529999,47.02,47.09,621700,46.56477
2016-10-24,47.549999,47.68,47.369999,47.48,382900,46.950419
2016-10-21,47.16,47.59,47.099998,47.41,551800,46.8812
2016-10-20,47.150002,47.43,46.919998,47.27,689600,46.742762
2016-10-19,47.009998,47.52,46.860001,47.18,597900,46.653766
2016-10-18,46.889999,47.099998,46.77,46.869999,564600,46.347222
2016-10-17,46.619999,46.900002,46.459999,46.73,263400,46.208784
2016-10-14,46.330002,46.73,46.25,46.509998,464200,45.991237
2016-10-13,46.099998,46.360001,46.060001,46.169998,481600,45.655029
2016-10-12,45.68,46.369999,45.66,46.25,670300,45.734139
2016-10-11,45.740002,45.779999,45.400002,45.610001,450100,45.101278
2016-10-07,45.849998,45.98,45.66,45.720001,527900,45.210051
2016-10-06,45.700001,46.189999,45.650002,45.93,635900,45.417708
2016-10-05,46.41,46.650002,45.560001,45.669998,695200,45.160606
2016-10-04,46.98,47.200001,46.209999,46.310001,662100,45.793471
2016-10-03,47.349998,47.349998,46.869999,47.00,459000,46.475773
2016-09-30,47.299999,47.57,47.150002,47.310001,650900,46.782317
2016-09-29,47.25,47.439999,47.00,47.139999,542300,46.614211
2016-09-28,47.490002,47.799999,47.259998,47.290001,556800,46.76254
2016-09-27,47.75,47.939999,47.48,47.509998,489700,46.980083
2016-09-26,47.84,47.959999,47.669998,47.790001,353700,47.256963
2016-09-23,47.900002,48.080002,47.82,47.91,514200,47.375623
2016-09-22,47.759998,48.290001,47.759998,47.900002,728100,47.365737
2016-09-21,47.509998,47.709999,47.400002,47.619999,515800,47.088857
2016-09-20,47.169998,47.810001,47.169998,47.290001,487700,46.76254
2016-09-19,47.00,47.349998,46.990002,47.02,541700,46.495551
2016-09-16,47.040001,47.049999,46.75,46.869999,986700,46.347222
2016-09-15,46.799999,47.09,46.779999,46.91,462700,46.386777
2016-09-14,46.43,47.029999,46.27,46.77,664400,46.248339
2016-09-13,46.939999,46.98,46.400002,46.52,592700,46.001128
2016-09-12,47.040001,47.34,46.869999,47.049999,740800,46.525215
2016-09-09,47.799999,47.810001,46.880001,47.099998,582800,46.574657
2016-09-08,48.049999,48.150002,47.73,47.849998,277900,47.316291
2016-09-07,48.029999,48.150002,47.869999,48.07,288100,47.533839
2016-09-06,48.18,48.240002,47.919998,48.16,476100,47.622835
2016-09-02,48.00,48.509998,47.880001,48.049999,604700,47.514061
2016-09-01,47.720001,47.939999,47.560001,47.860001,550500,47.326182
2016-08-31,47.490002,47.77,47.220001,47.75,761300,47.217408
2016-08-30,47.759998,48.119999,47.240002,47.389999,784600,46.861423
2016-08-29,47.490002,48.18,47.400002,47.830002,402000,47.296518
2016-08-26,48.119999,48.27,47.189999,47.360001,431300,46.831759
2016-08-25,47.950001,48.200001,47.650002,48.029999,317100,47.494284
2016-08-24,47.849998,48.259998,47.509998,47.849998,688400,47.316291
2016-08-23,48.200001,48.279999,47.75,47.810001,293000,47.27674
2016-08-22,47.799999,48.200001,47.560001,48.18,448700,47.642612
2016-08-19,48.400002,48.41,47.52,47.779999,577800,47.247072
2016-08-18,48.41,48.450001,47.860001,48.330002,466600,47.790941
2016-08-17,48.450001,48.470001,47.75,48.330002,535100,47.790941
2016-08-16,48.450001,48.650002,47.73,48.450001,920200,47.909601
2016-08-15,48.549999,48.779999,48.360001,48.52,481900,47.97882
2016-08-12,49.00,49.07,48.259998,48.48,814700,47.939265
2016-08-11,49.009998,49.25,48.50,49.049999,7392400,48.502907
2016-08-10,48.950001,49.150002,48.59,48.939999,771400,48.394134
2016-08-09,49.220001,49.25,48.040001,48.900002,1126900,48.354583
2016-08-08,49.16,49.23,48.549999,48.75,766300,48.206254
2016-08-05,48.75,49.48,48.66,49.130001,798400,48.582017
2016-08-04,48.740002,48.799999,48.400002,48.68,426300,48.137035
2016-08-03,49.299999,49.299999,48.50,48.560001,242700,48.018375
2016-08-02,48.869999,49.200001,48.27,49.18,581500,48.631459
2016-07-29,48.669998,48.84,48.43,48.68,265200,48.137035
2016-07-28,48.50,48.830002,48.310001,48.610001,370100,48.067816
2016-07-27,48.810001,48.959999,48.259998,48.50,615400,47.959043
2016-07-26,49.25,49.27,48.740002,48.810001,554800,48.265586
2016-07-25,49.400002,49.470001,49.099998,49.16,234400,48.611681
2016-07-22,49.349998,49.700001,49.169998,49.52,299400,48.967666
2016-07-21,49.290001,49.380001,48.68,49.310001,395800,48.76001
2016-07-20,49.50,49.799999,49.240002,49.290001,525800,48.740232
2016-07-19,49.189999,49.939999,49.110001,49.84,711400,48.766928
2016-07-18,49.349998,49.400002,49.049999,49.209999,432400,48.150492
2016-07-15,49.25,49.470001,48.82,49.25,486500,48.189631
2016-07-14,49.389999,49.41,49.049999,49.119999,321700,48.062429
2016-07-13,49.580002,49.610001,49.080002,49.25,442800,48.189631
2016-07-12,49.400002,49.77,49.23,49.34,459000,48.277694
2016-07-11,49.009998,49.779999,49.00,49.43,486400,48.365756
2016-07-08,49.720001,49.790001,48.91,49.02,471200,47.964584
2016-07-07,50.060001,50.189999,49.43,49.560001,595900,48.492958
2016-07-06,48.98,50.189999,48.93,49.959999,697400,48.884344
2016-07-05,48.50,49.18,48.240002,49.00,549000,47.945014
2016-07-04,49.560001,49.889999,48.200001,48.240002,374900,47.201379
2016-06-30,48.48,48.959999,48.09,48.619999,563700,47.573194
2016-06-29,48.049999,48.59,47.810001,48.330002,534900,47.289441
2016-06-28,47.880001,48.290001,47.400002,47.880001,552100,46.849129
2016-06-27,47.139999,47.740002,47.139999,47.650002,759400,46.624081
2016-06-24,45.93,47.41,45.700001,47.41,631800,46.389247
2016-06-23,46.990002,47.099998,46.150002,46.48,410500,45.47927
2016-06-22,47.169998,47.169998,46.689999,46.799999,234500,45.79238
2016-06-21,46.970001,47.290001,46.490002,47.07,396000,46.056567
2016-06-20,47.279999,47.400002,46.450001,46.779999,447800,45.77281
2016-06-17,47.25,47.389999,46.709999,47.139999,1571800,46.12506
2016-06-16,47.00,47.349998,46.66,47.259998,276700,46.242475
2016-06-15,47.330002,47.450001,47.040001,47.040001,202800,46.027214
2016-06-14,47.349998,47.490002,47.220001,47.25,275700,46.232692
2016-06-13,47.209999,47.529999,47.209999,47.389999,479400,46.369677
2016-06-10,47.080002,47.439999,47.080002,47.389999,318300,46.369677
2016-06-09,47.16,47.50,47.110001,47.259998,216700,46.242475
2016-06-08,47.00,47.459999,46.919998,47.27,479500,46.252262
2016-06-07,47.080002,47.419998,46.740002,46.849998,519200,45.841303
2016-06-06,46.700001,47.00,46.52,46.52,350100,45.518409
2016-06-03,46.060001,46.849998,46.060001,46.610001,367400,45.606472
2016-06-02,46.060001,46.290001,46.02,46.040001,366400,45.048744
2016-06-01,46.18,46.470001,46.110001,46.139999,334900,45.14659
2016-05-31,46.490002,46.610001,46.16,46.209999,399500,45.215083
2016-05-30,46.48,46.709999,46.299999,46.299999,234100,45.303145
2016-05-27,46.299999,46.619999,46.299999,46.369999,268500,45.371638
2016-05-26,46.02,46.470001,45.98,46.27,460200,45.273792
2016-05-25,45.91,46.150002,45.630001,45.959999,765700,44.970465
2016-05-24,45.689999,45.990002,45.610001,45.830002,657400,44.843267
2016-05-20,45.599998,45.889999,45.540001,45.549999,499400,44.569293
2016-05-19,45.790001,45.790001,45.209999,45.599998,710900,44.618215
2016-05-18,46.470001,46.470001,45.580002,45.700001,637300,44.716065
2016-05-17,46.68,46.84,46.299999,46.459999,434300,45.4597
2016-05-16,46.57,46.84,46.360001,46.75,372500,45.743457
2016-05-13,46.98,47.009998,46.25,46.369999,404500,45.371638
2016-05-12,46.990002,47.310001,46.799999,47.07,665400,46.056567
2016-05-11,46.48,47.23,46.400002,46.950001,583600,45.939152
2016-05-10,45.990002,46.740002,45.619999,46.419998,640100,45.42056
2016-05-09,46.200001,46.240002,45.900002,45.900002,383100,44.911759
2016-05-06,46.200001,46.43,46.07,46.25,388200,45.254222
2016-05-05,46.119999,46.41,46.029999,46.259998,415900,45.264005
2016-05-04,45.549999,46.200001,45.549999,46.02,684700,45.029175
2016-05-03,45.310001,45.599998,45.18,45.560001,491500,44.57908
2016-05-02,45.41,45.610001,45.200001,45.48,1053900,44.5008
2016-04-29,45.669998,45.68,45.310001,45.470001,584300,44.491017
2016-04-28,45.720001,45.790001,45.200001,45.669998,860000,44.686708
2016-04-27,45.939999,46.380001,45.720001,46.299999,594300,44.838374
2016-04-26,46.200001,46.299999,45.689999,45.869999,421500,44.421948
2016-04-25,46.240002,46.43,45.970001,46.119999,667300,44.664056
2016-04-22,46.619999,46.650002,46.110001,46.310001,382800,44.84806
2016-04-21,47.32,47.330002,46.509998,46.650002,420100,45.177327
2016-04-20,47.650002,47.869999,47.18,47.279999,829900,45.787436
2016-04-19,47.650002,47.650002,47.099998,47.549999,574800,46.048913
2016-04-18,47.619999,47.650002,47.18,47.459999,352900,45.961754
2016-04-15,47.060001,47.540001,47.060001,47.529999,303800,46.029544
2016-04-14,47.360001,47.470001,46.970001,47.169998,325600,45.680908
2016-04-13,47.330002,47.360001,47.00,47.099998,470200,45.613118
2016-04-12,47.040001,47.25,46.880001,47.119999,494000,45.632487
2016-04-11,47.450001,47.610001,46.919998,46.970001,351500,45.487225
2016-04-08,47.599998,47.889999,47.27,47.459999,300800,45.961754
2016-04-07,47.619999,47.82,47.27,47.509998,481500,46.010175
2016-04-06,48.009998,48.009998,47.349998,47.619999,393200,46.116703
2016-04-05,48.32,48.389999,47.830002,48.00,547200,46.484708
2016-04-04,48.150002,48.540001,47.82,48.529999,548000,46.997975
2016-04-01,47.349998,48.310001,47.330002,48.220001,613400,46.697764
2016-03-31,47.669998,47.959999,47.459999,47.540001,347900,46.03923
2016-03-30,47.650002,47.919998,47.450001,47.66,270300,46.155441
2016-03-29,46.950001,47.59,46.849998,47.50,346800,46.000492
2016-03-28,46.91,47.110001,46.59,47.080002,335200,45.593753
2016-03-24,47.400002,47.419998,46.759998,46.919998,279400,45.4388
2016-03-23,47.290001,47.560001,47.00,47.52,368200,46.019861
2016-03-22,47.09,47.580002,46.810001,47.34,607900,45.845543
2016-03-21,46.700001,47.34,46.560001,47.119999,407200,45.632487
2016-03-18,46.970001,47.220001,46.580002,46.610001,1484600,45.138589
2016-03-17,47.040001,47.50,46.84,47.049999,641200,45.564697
2016-03-16,47.07,47.279999,46.52,47.060001,645200,45.574384
2016-03-15,46.759998,47.360001,46.689999,47.169998,710700,45.680908
2016-03-14,46.91,47.07,46.619999,46.790001,511900,45.312907
2016-03-11,46.900002,47.09,46.830002,46.939999,349700,45.458169
2016-03-10,47.130001,47.150002,46.560001,46.810001,439900,45.332276
2016-03-09,46.860001,47.189999,46.720001,47.029999,627500,45.545328
2016-03-08,46.380001,47.009998,46.099998,46.869999,818200,45.390379
2016-03-07,46.139999,46.369999,45.779999,46.310001,574300,44.84806
2016-03-04,45.93,46.18,45.689999,46.049999,491000,44.596266
2016-03-03,45.799999,45.970001,45.619999,45.889999,481400,44.441317
2016-03-02,45.669998,45.790001,45.400002,45.700001,573800,44.257316
2016-03-01,45.130001,45.759998,45.040001,45.650002,839700,44.208895
2016-02-29,45.09,45.18,44.75,45.040001,435500,43.618152
2016-02-26,45.799999,45.799999,45.00,45.029999,629500,43.608465
2016-02-25,45.849998,45.849998,45.349998,45.650002,501900,44.208895
2016-02-24,45.77,45.790001,45.150002,45.400002,624300,43.966788
2016-02-23,46.060001,46.150002,45.59,45.779999,863300,44.334789
2016-02-22,46.549999,46.700001,45.560001,46.00,13098000,44.547845
2016-02-19,46.439999,46.50,45.860001,46.41,832100,44.944902
2016-02-18,46.470001,46.950001,46.34,46.57,814300,45.099851
2016-02-17,45.049999,46.380001,45.049999,46.189999,1037800,44.731846
2016-02-16,45.049999,45.639999,44.91,45.41,1063000,43.97647
2016-02-12,45.209999,45.490002,44.57,44.57,855600,43.162988
2016-02-11,45.00,45.25,44.700001,45.049999,1025700,43.627834
2016-02-10,46.25,46.349998,45.200001,45.27,919500,43.840891
2016-02-09,46.860001,47.119999,46.16,46.169998,1994300,44.712477
2016-02-08,45.75,46.439999,45.580002,46.439999,765900,44.973953
2016-02-05,45.799999,46.049999,45.369999,45.959999,563300,44.509107
2016-02-04,45.549999,45.939999,45.34,45.869999,994600,44.421948
2016-02-03,45.240002,45.619999,44.93,45.52,913300,44.082998
2016-02-02,44.73,45.119999,44.310001,45.119999,492500,43.695624
2016-02-01,45.310001,45.310001,44.450001,44.970001,478500,43.550362
2016-01-29,44.439999,44.939999,43.810001,44.669998,992600,43.259829
2016-01-28,44.099998,44.669998,44.080002,44.639999,951000,42.770771
2016-01-27,43.689999,44.080002,43.50,43.91,445600,42.071339
2016-01-26,43.509998,43.869999,43.450001,43.689999,259600,41.86055
