Date,Open,High,Low,Close,Volume,Adj Close
2017-01-30,16.34,16.39,16.23,16.31,243900,16.31
2017-01-27,16.39,16.40,16.28,16.31,159200,16.31
2017-01-26,16.38,16.42,16.23,16.36,197000,16.36
2017-01-25,16.43,16.465,16.27,16.38,329500,16.38
2017-01-24,16.24,16.44,16.12,16.39,436300,16.39
2017-01-23,16.35,16.36,16.02,16.24,362500,16.24
2017-01-20,16.38,16.53,16.30,16.40,327100,16.40
2017-01-19,16.55,16.61,16.14,16.30,348200,16.30
2017-01-18,16.56,16.70,16.43,16.54,434400,16.54
2017-01-17,16.51,16.605,16.23,16.56,459000,16.56
2017-01-16,16.97,16.97,16.20,16.35,340600,16.35
2017-01-13,15.65,16.92,15.53,16.72,1189400,16.72
2017-01-12,15.61,15.61,15.47,15.53,482600,15.53
2017-01-11,15.76,15.76,15.47,15.58,455600,15.58
2017-01-10,15.69,15.79,15.56,15.75,1340800,15.6475
2017-01-09,15.81,15.81,15.51,15.65,326200,15.54815
2017-01-06,15.71,15.75,15.50,15.72,259900,15.6177
2017-01-05,15.83,15.85,15.60,15.67,334000,15.56802
2017-01-04,15.58,15.82,15.58,15.74,296500,15.63756
2017-01-03,15.75,15.79,15.40,15.55,386600,15.4488
2017-01-02,15.72,15.72,15.72,15.72,000,15.6177
2016-12-30,15.78,15.83,15.56,15.72,147000,15.6177
2016-12-29,15.27,15.93,15.27,15.73,474400,15.62763
2016-12-28,15.30,15.36,15.22,15.27,402800,15.17062
2016-12-27,15.32,15.32,15.32,15.32,000,15.2203
2016-12-26,15.32,15.32,15.32,15.32,000,15.2203
2016-12-23,15.40,15.48,15.22,15.32,276800,15.2203
2016-12-22,15.39,15.49,15.21,15.37,609700,15.26997
2016-12-21,15.30,15.41,15.16,15.36,557300,15.26004
2016-12-20,15.19,15.36,14.83,15.28,684200,15.18056
2016-12-19,15.01,15.35,14.90,15.30,880200,15.20043
2016-12-16,15.50,15.59,14.74,15.00,2392700,14.90238
2016-12-15,17.44,17.45,15.32,15.52,2420500,15.419
