Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,51.029999,51.75,50.470001,51.610001,26600,51.610001
2017-01-31,50.650002,51.43,50.18,50.880001,69700,50.880001
2017-01-30,52.080002,52.080002,50.57,51.150002,28300,51.150002
2017-01-27,51.950001,52.16,51.669998,51.849998,22900,51.849998
2017-01-26,53.02,53.02,51.740002,52.16,26400,52.16
2017-01-25,52.650002,52.880001,52.16,52.880001,23300,52.880001
2017-01-24,52.560001,53.00,52.400002,52.73,16500,52.73
2017-01-23,52.73,53.00,52.41,52.799999,14100,52.799999
2017-01-20,53.00,53.00,52.43,52.509998,15200,52.509998
2017-01-19,53.16,53.369999,52.50,52.939999,13000,52.939999
2017-01-18,53.50,53.50,52.41,52.849998,27300,52.849998
2017-01-17,52.57,53.650002,51.84,53.599998,43700,53.599998
2017-01-16,51.880001,52.400002,51.50,52.400002,30200,52.400002
2017-01-13,51.240002,51.849998,51.240002,51.68,18500,51.68
2017-01-12,52.02,52.139999,51.119999,51.41,17400,51.41
2017-01-11,52.950001,52.950001,51.759998,52.34,27800,52.34
2017-01-10,53.799999,53.970001,53.00,53.099998,22300,53.099998
2017-01-09,54.529999,54.950001,54.259998,54.400002,13000,54.400002
2017-01-06,55.00,55.099998,54.150002,54.970001,16600,54.970001
2017-01-05,55.950001,55.950001,54.509998,55.00,18700,55.00
2017-01-04,54.900002,55.599998,54.66,54.970001,56500,54.970001
2017-01-03,55.950001,56.130001,55.00,55.00,29300,55.00
2016-12-30,55.25,56.00,54.93,55.939999,13600,55.939999
2016-12-29,55.00,55.099998,54.900002,55.00,37400,55.00
2016-12-28,54.240002,55.669998,54.220001,55.16,36100,55.16
2016-12-23,53.040001,53.799999,53.00,53.66,12800,53.66
2016-12-22,52.34,53.57,52.290001,53.130001,24900,53.130001
2016-12-21,54.209999,54.209999,52.50,52.700001,19400,52.700001
2016-12-20,54.689999,54.689999,53.900002,53.939999,34300,53.939999
2016-12-19,53.779999,54.799999,53.349998,54.389999,40800,54.389999
2016-12-16,53.080002,54.869999,53.080002,54.00,55500,54.00
2016-12-15,52.849998,52.849998,51.540001,52.209999,14900,52.209999
2016-12-14,52.93,52.93,51.799999,51.82,44800,51.82
2016-12-13,52.299999,53.419998,52.299999,52.400002,22300,52.400002
2016-12-12,52.279999,52.580002,52.25,52.41,16500,52.41
2016-12-09,52.650002,53.200001,52.25,52.689999,12300,52.689999
2016-12-08,53.450001,53.509998,52.27,52.689999,13900,52.689999
2016-12-07,52.639999,53.50,52.330002,53.450001,23800,53.450001
2016-12-06,52.759998,52.93,52.060001,52.32,16200,52.32
2016-12-05,52.509998,53.41,52.50,52.759998,18000,52.759998
2016-12-02,52.75,52.849998,52.41,52.75,16900,52.75
2016-12-01,52.299999,53.369999,52.259998,52.84,23200,52.84
2016-11-30,53.349998,54.48,52.720001,52.869999,19200,52.869999
2016-11-29,54.099998,54.099998,53.360001,53.470001,9300,53.470001
2016-11-28,54.139999,54.669998,53.450001,53.560001,15400,53.560001
2016-11-25,54.59,54.59,54.00,54.02,7000,54.02
2016-11-24,53.490002,54.25,53.490002,54.07,5700,54.07
2016-11-23,52.459999,53.709999,52.459999,52.889999,34000,52.889999
2016-11-22,55.580002,55.77,52.939999,53.41,34100,53.41
2016-11-21,55.790001,57.25,55.790001,56.25,23400,56.25
2016-11-18,55.970001,56.48,55.59,56.330002,18100,56.330002
2016-11-17,55.00,56.200001,54.25,55.970001,41400,55.970001
2016-11-16,53.060001,54.50,53.060001,54.50,25300,54.50
2016-11-15,53.009998,53.740002,52.849998,53.439999,28000,53.439999
2016-11-14,52.470001,52.900002,52.25,52.900002,34500,52.900002
2016-11-11,51.709999,52.009998,51.18,52.00,23400,51.860001
2016-11-10,51.099998,51.799999,50.580002,51.599998,26700,51.461077
2016-11-09,49.66,51.130001,49.560001,51.00,29200,50.862694
2016-11-08,50.509998,50.900002,50.00,50.27,15400,50.134659
2016-11-07,49.029999,51.02,49.029999,50.509998,27600,50.374011
2016-11-04,49.130001,49.990002,48.400002,49.400002,41400,49.267003
2016-11-03,50.00,50.00,48.720001,49.400002,32700,49.267003
2016-11-02,49.299999,50.990002,49.209999,49.540001,25700,49.406625
2016-11-01,50.049999,50.98,49.200001,50.029999,29500,49.895304
2016-10-31,49.59,50.48,49.560001,50.389999,17700,50.254335
2016-10-28,50.040001,50.57,49.75,49.799999,23800,49.665924
2016-10-27,50.00,50.810001,49.849998,49.939999,35800,49.805546
2016-10-26,51.400002,51.400002,49.75,49.810001,37000,49.675899
2016-10-25,51.799999,51.799999,50.810001,50.98,32300,50.842747
2016-10-24,50.889999,52.450001,50.889999,51.810001,41300,51.670514
2016-10-21,49.970001,51.099998,49.849998,51.099998,31700,50.962423
2016-10-20,49.610001,50.060001,49.610001,49.810001,25300,49.675899
2016-10-19,50.009998,50.259998,49.630001,49.869999,22300,49.735735
2016-10-18,50.41,50.41,49.849998,49.93,59600,49.795575
2016-10-17,50.75,50.75,49.900002,49.939999,42500,49.805546
2016-10-14,50.18,50.66,49.939999,50.450001,44600,50.314175
2016-10-13,50.009998,50.009998,49.549999,49.860001,45500,49.725763
2016-10-12,50.23,50.349998,49.880001,50.02,73100,49.885333
2016-10-11,51.25,51.25,50.25,50.25,29400,50.114713
2016-10-07,51.75,51.75,50.900002,51.490002,23500,51.351376
2016-10-06,51.75,52.189999,51.50,51.77,46000,51.630621
2016-10-05,52.970001,52.970001,51.669998,51.810001,35900,51.670514
2016-10-04,52.43,53.169998,52.43,52.77,24800,52.627929
2016-10-03,52.59,53.68,52.27,52.939999,35700,52.797469
2016-09-30,52.439999,53.389999,52.349998,52.560001,25000,52.418495
2016-09-29,53.060001,53.060001,52.490002,52.779999,28700,52.6379
2016-09-28,53.360001,53.849998,52.84,53.060001,56000,52.917149
2016-09-27,52.59,54.110001,52.59,53.349998,43900,53.206365
2016-09-26,52.880001,53.279999,52.50,53.189999,20900,53.046796
2016-09-23,52.470001,53.130001,52.25,52.950001,24600,52.807444
2016-09-22,52.549999,53.720001,52.150002,52.470001,37900,52.328737
2016-09-21,51.790001,52.540001,51.50,52.43,25200,52.288844
2016-09-20,50.880001,52.349998,50.880001,51.759998,45800,51.620646
2016-09-19,49.990002,51.220001,49.32,50.310001,61000,50.174553
2016-09-16,50.00,50.009998,49.139999,49.369999,105900,49.237081
2016-09-15,51.00,52.169998,50.360001,50.419998,22800,50.284253
2016-09-14,50.599998,51.16,50.110001,51.00,50400,50.862694
2016-09-13,51.619999,51.619999,50.650002,50.650002,27700,50.513637
2016-09-12,51.16,51.16,49.490002,50.900002,59900,50.762964
2016-09-09,53.990002,54.00,50.57,51.25,70500,51.112021
2016-09-08,55.720001,55.970001,54.73,54.869999,21800,54.722273
2016-09-07,56.27,56.91,56.00,56.00,17800,55.849232
2016-09-06,55.990002,56.720001,55.84,56.259998,19200,56.108531
2016-09-02,57.740002,57.740002,55.290001,55.869999,22000,55.719581
2016-09-01,55.700001,57.509998,55.700001,57.09,17000,56.936298
