Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,3.08,3.09,3.07,3.09,9200,3.09
2017-02-09,3.09,3.09,2.78,3.07,8700,3.07
2017-02-08,3.00,3.11,3.00,3.09,5100,3.09
2017-02-07,2.94,3.11,2.70,2.75,7500,2.75
2017-02-06,2.74,2.98,2.46,2.90,23700,2.90
2017-02-03,2.50,2.69,2.48,2.69,2200,2.69
2017-02-02,2.49,2.50,2.49,2.50,3600,2.50
2017-02-01,2.51,2.54,2.50,2.50,800,2.50
2017-01-31,2.46,2.46,2.46,2.46,1000,2.46
2017-01-30,2.45,2.52,2.45,2.52,1200,2.52
2017-01-27,2.40,2.44,2.40,2.44,2500,2.44
2017-01-26,2.51,2.52,2.40,2.40,20500,2.40
2017-01-25,2.55,2.55,2.51,2.51,400,2.51
2017-01-24,2.56,2.56,2.56,2.56,000,2.56
2017-01-23,2.52,2.69,2.52,2.56,8200,2.56
2017-01-20,2.55,2.79,2.55,2.79,4000,2.79
2017-01-19,2.55,2.55,2.50,2.50,6700,2.50
2017-01-18,2.50,2.53,2.46,2.46,8800,2.46
2017-01-17,2.58,2.62,2.50,2.50,63000,2.50
2017-01-16,2.65,2.65,2.65,2.65,1000,2.65
2017-01-13,2.90,2.90,2.65,2.65,1900,2.65
2017-01-12,2.71,2.71,2.70,2.70,14400,2.70
2017-01-11,2.70,2.91,2.66,2.70,7300,2.70
2017-01-10,2.70,2.70,2.64,2.70,25500,2.70
2017-01-09,2.75,2.76,2.69,2.74,22400,2.74
2017-01-06,2.75,2.85,2.70,2.75,23900,2.75
2017-01-05,2.79,2.82,2.66,2.66,21500,2.66
2017-01-04,2.83,2.95,2.76,2.80,3300,2.80
2017-01-03,2.95,2.95,2.80,2.80,5300,2.80
2016-12-30,2.80,2.95,2.80,2.95,8400,2.95
2016-12-29,2.95,2.95,2.91,2.95,8000,2.95
2016-12-28,2.95,3.11,2.60,3.00,21800,3.00
2016-12-23,2.85,2.97,2.80,2.95,14000,2.95
2016-12-22,2.95,2.95,2.80,2.80,15500,2.80
2016-12-21,3.00,3.00,2.76,2.95,10100,2.95
2016-12-20,3.00,3.00,2.75,2.76,10200,2.76
2016-12-19,3.04,3.10,2.85,2.85,3900,2.85
2016-12-16,2.99,3.00,2.99,3.00,1000,3.00
2016-12-15,2.99,3.00,2.99,3.00,1500,3.00
2016-12-14,2.99,2.99,2.99,2.99,000,2.99
2016-12-13,3.00,3.05,2.58,2.99,46700,2.99
2016-12-12,3.00,3.00,2.94,3.00,24300,3.00
2016-12-09,2.95,3.00,2.95,3.00,30000,3.00
2016-12-08,3.00,3.09,2.90,2.94,7900,2.94
2016-12-07,3.05,3.11,2.98,3.10,4800,3.10
2016-12-06,3.11,3.11,3.01,3.11,5400,3.11
2016-12-05,3.15,3.15,3.00,3.00,27700,3.00
2016-12-02,3.16,3.16,3.12,3.15,9500,3.15
2016-12-01,3.30,3.30,3.00,3.16,17500,3.16
2016-11-30,3.35,3.35,3.00,3.20,19800,3.20
2016-11-29,3.49,3.50,3.32,3.32,44800,3.32
2016-11-28,3.46,3.64,3.25,3.35,88800,3.35
2016-11-25,2.90,3.25,2.90,3.25,28500,3.25
2016-11-24,2.85,2.90,2.85,2.90,300,2.90
2016-11-23,2.48,2.75,2.46,2.75,3100,2.75
2016-11-22,2.85,2.85,2.85,2.85,000,2.85
2016-11-21,2.90,2.90,2.75,2.85,14100,2.85
2016-11-18,2.86,2.89,2.86,2.89,2000,2.89
2016-11-17,2.85,2.85,2.85,2.85,4800,2.85
2016-11-16,2.75,2.90,2.75,2.90,2900,2.90
2016-11-15,2.75,2.90,2.55,2.90,4600,2.90
2016-11-14,2.90,2.90,2.90,2.90,2000,2.90
2016-11-11,2.60,2.70,2.60,2.70,600,2.70
2016-11-10,2.45,2.49,2.45,2.49,200,2.49
2016-11-09,2.40,2.45,2.39,2.39,7100,2.39
2016-11-08,2.55,2.61,2.45,2.55,3100,2.55
2016-11-07,2.60,2.60,2.47,2.55,6600,2.55
2016-11-04,2.61,2.61,2.61,2.61,1400,2.61
2016-11-03,2.71,2.71,2.55,2.65,25700,2.65
2016-11-02,2.76,2.76,2.75,2.75,6900,2.75
2016-11-01,2.90,2.90,2.76,2.76,6300,2.76
2016-10-31,2.85,2.95,2.75,2.90,19900,2.90
2016-10-28,2.94,2.95,2.80,2.90,22000,2.90
2016-10-27,2.90,2.90,2.90,2.90,800,2.90
2016-10-26,2.90,3.00,2.90,2.90,5600,2.90
2016-10-25,2.88,2.90,2.86,2.90,4000,2.90
2016-10-24,2.86,2.91,2.75,2.91,20600,2.91
2016-10-21,2.95,2.95,2.95,2.95,000,2.95
2016-10-20,3.00,3.00,2.95,2.95,2500,2.95
2016-10-19,3.00,3.00,2.75,2.90,18900,2.90
2016-10-18,3.00,3.00,2.75,2.99,13200,2.99
2016-10-17,3.15,3.15,3.05,3.05,1300,3.05
2016-10-14,3.25,3.25,3.25,3.25,000,3.25
2016-10-13,3.25,3.25,3.25,3.25,1400,3.25
2016-10-12,3.15,3.15,3.05,3.06,5000,3.06
2016-10-11,3.30,3.30,3.05,3.05,3200,3.05
2016-10-07,3.45,3.45,3.17,3.17,5700,3.17
2016-10-06,3.50,3.50,3.30,3.30,8200,3.30
2016-10-05,3.55,3.55,3.45,3.45,7500,3.45
2016-10-04,3.55,3.55,3.55,3.55,4000,3.55
2016-10-03,3.77,3.82,3.48,3.48,46900,3.48
2016-09-30,3.60,3.78,3.60,3.75,12500,3.75
2016-09-29,3.51,3.51,3.51,3.51,000,3.51
2016-09-28,3.69,3.69,3.50,3.51,1200,3.51
2016-09-27,3.65,3.75,3.51,3.51,6300,3.51
2016-09-26,3.44,3.56,3.44,3.56,18300,3.56
2016-09-23,3.30,3.33,3.30,3.30,600,3.30
2016-09-22,3.45,3.45,3.30,3.30,200,3.30
2016-09-21,3.11,3.34,3.11,3.33,9300,3.33
