Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,12.03,12.15,11.76,11.88,532800,11.88
2017-01-26,12.45,12.58,12.08,12.19,608900,12.18
2017-01-25,12.33,12.53,12.21,12.49,818400,12.479754
2017-01-24,11.88,12.47,11.86,12.41,1153300,12.399819
2017-01-23,11.87,12.01,11.72,11.77,813300,11.760345
2017-01-20,12.47,12.49,12.06,12.11,1259800,12.100065
2017-01-19,12.05,12.32,12.04,12.25,1083300,12.239951
2017-01-18,11.90,12.12,11.90,12.03,976200,12.020131
2017-01-17,12.20,12.33,12.08,12.20,1218800,12.189992
2017-01-16,12.01,12.12,11.90,12.08,455500,12.07009
2017-01-13,11.71,12.17,11.65,12.11,1035000,12.100065
2017-01-12,11.93,12.07,11.74,11.81,968000,11.800312
2017-01-11,11.92,11.97,11.62,11.71,813200,11.700394
2017-01-10,11.83,11.92,11.66,11.76,908500,11.750353
2017-01-09,12.06,12.07,11.68,11.76,1037500,11.750353
2017-01-06,12.45,12.45,12.11,12.24,720900,12.229959
2017-01-05,12.71,12.93,12.35,12.44,995500,12.429795
2017-01-04,12.84,12.88,12.58,12.63,1237400,12.619639
2017-01-03,13.00,13.35,12.52,12.81,1526200,12.799492
2016-12-30,12.69,12.79,12.65,12.74,569500,12.729549
2016-12-29,12.77,12.84,12.68,12.76,456100,12.749533
2016-12-28,12.66,12.90,12.66,12.79,530800,12.779508
2016-12-23,12.70,12.72,12.52,12.54,371800,12.519721
2016-12-22,12.67,12.90,12.60,12.72,630400,12.69943
2016-12-21,12.63,12.77,12.46,12.58,1003200,12.559656
2016-12-20,12.90,12.91,12.50,12.53,745800,12.509737
2016-12-19,12.62,12.98,12.60,12.70,1109500,12.679462
2016-12-16,12.77,12.93,12.44,12.72,1600600,12.69943
2016-12-15,12.50,12.92,12.43,12.60,1757000,12.579624
2016-12-14,13.03,13.20,12.63,12.72,2472500,12.69943
2016-12-13,12.88,13.53,12.67,13.22,3931500,13.198622
2016-12-12,13.21,13.55,12.43,12.46,1852100,12.439851
2016-12-09,12.04,12.38,11.99,12.17,1318900,12.15032
2016-12-08,11.84,11.93,11.73,11.92,1528600,11.900724
2016-12-07,11.79,11.83,11.48,11.77,1571800,11.750967
2016-12-06,11.83,12.09,11.72,11.94,921300,11.920691
2016-12-05,12.09,12.40,11.99,12.05,947400,12.030514
2016-12-02,11.79,12.34,11.75,11.88,1609600,11.860789
