Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,8.40,8.53,8.37,8.44,93000,8.44
2017-02-09,8.45,8.55,8.27,8.32,214300,8.32
2017-02-08,8.34,8.51,8.19,8.36,228900,8.36
2017-02-07,8.94,8.94,8.18,8.37,712800,8.37
2017-02-06,9.35,9.54,9.06,9.07,214600,9.07
2017-02-03,9.13,9.35,9.06,9.32,7462400,9.32
2017-02-02,9.07,9.21,9.03,9.11,124100,9.11
2017-02-01,8.95,9.12,8.95,9.10,169800,9.10
2017-01-31,8.99,9.00,8.78,8.87,1192700,8.87
2017-01-30,9.27,9.27,8.92,8.98,160900,8.98
2017-01-27,9.37,9.39,9.30,9.30,149600,9.30
2017-01-26,9.61,9.69,9.26,9.37,193000,9.37
2017-01-25,9.35,9.66,9.32,9.60,404200,9.60
2017-01-24,9.18,9.37,9.18,9.36,156500,9.36
2017-01-23,9.35,9.42,9.13,9.16,113000,9.16
2017-01-20,9.27,9.52,9.27,9.41,118100,9.41
2017-01-19,9.02,9.22,8.99,9.20,282300,9.20
2017-01-18,9.19,9.19,8.93,9.02,203900,9.02
2017-01-17,9.17,9.31,9.08,9.25,145800,9.25
2017-01-16,9.48,9.51,9.06,9.11,121200,9.11
2017-01-13,9.39,9.52,9.35,9.41,188600,9.41
2017-01-12,9.61,9.61,9.40,9.54,220400,9.54
2017-01-11,9.60,9.62,9.50,9.55,389500,9.55
2017-01-10,9.61,9.68,9.48,9.55,223100,9.55
2017-01-09,9.60,9.81,9.57,9.58,1290100,9.58
2017-01-06,9.60,9.60,9.45,9.54,159100,9.54
2017-01-05,9.62,9.70,9.43,9.58,205500,9.58
2017-01-04,9.52,9.55,9.30,9.50,285800,9.50
2017-01-03,9.43,9.71,9.37,9.44,364800,9.44
2016-12-30,9.30,9.47,9.30,9.38,116900,9.38
2016-12-29,9.42,9.43,9.24,9.31,140700,9.31
2016-12-28,9.59,9.71,9.38,9.38,148900,9.38
2016-12-23,9.55,9.55,9.35,9.45,108200,9.45
2016-12-22,9.55,9.61,9.45,9.49,80600,9.49
2016-12-21,9.65,9.82,9.54,9.58,251800,9.58
2016-12-20,9.62,9.77,9.42,9.60,290900,9.60
2016-12-19,9.68,9.70,9.47,9.54,2264800,9.54
2016-12-16,9.50,9.80,9.48,9.67,470900,9.67
2016-12-15,9.30,9.75,9.30,9.65,230000,9.65
2016-12-14,9.36,9.50,9.19,9.44,1355900,9.44
2016-12-13,9.54,9.62,9.41,9.50,2719400,9.38
2016-12-12,10.38,10.41,9.32,9.46,393600,9.340505
2016-12-09,9.47,9.57,9.45,9.49,92400,9.370126
2016-12-08,9.50,9.52,9.36,9.42,102200,9.30101
2016-12-07,9.41,9.57,9.38,9.44,97000,9.320757
2016-12-06,9.45,9.60,9.30,9.56,250100,9.439242
2016-12-05,9.36,9.70,9.36,9.51,126700,9.389874
2016-12-02,9.24,9.59,9.24,9.34,152800,9.222021
2016-12-01,9.34,9.69,9.12,9.23,229400,9.11341
2016-11-30,8.37,9.40,8.37,9.19,642000,9.073915
2016-11-29,7.90,8.10,7.80,8.02,132100,7.918695
2016-11-28,8.35,8.35,7.87,7.89,126300,7.790337
2016-11-25,8.37,8.44,8.27,8.28,72500,8.17541
2016-11-24,8.36,8.48,8.28,8.40,32000,8.293894
2016-11-23,8.25,8.45,8.25,8.33,48900,8.224779
2016-11-22,8.34,8.51,8.23,8.27,75100,8.165537
2016-11-21,8.40,8.45,8.27,8.35,82000,8.244527
2016-11-18,8.33,8.46,8.12,8.20,74300,8.096421
2016-11-17,8.45,8.53,8.30,8.34,95100,8.234653
2016-11-16,8.33,8.49,8.28,8.41,128600,8.303768
2016-11-15,7.77,8.50,7.77,8.42,162700,8.313642
2016-11-14,7.70,7.88,7.66,7.68,94900,7.582989
2016-11-11,7.67,7.88,7.65,7.68,73000,7.582989
2016-11-10,7.74,7.94,7.69,7.80,57100,7.701474
2016-11-09,7.77,7.89,7.73,7.78,112700,7.681726
2016-11-08,7.89,8.00,7.59,7.73,111200,7.632358
2016-11-07,8.02,8.04,7.86,7.87,58900,7.770589
2016-11-04,7.81,7.99,7.78,7.87,62500,7.770589
2016-11-03,7.90,8.09,7.80,7.86,94000,7.760716
2016-11-02,8.15,8.27,7.91,7.95,126500,7.849579
2016-11-01,8.15,8.25,8.10,8.21,87900,8.106295
2016-10-31,8.12,8.20,8.03,8.09,125700,7.987811
2016-10-28,8.19,8.43,8.14,8.22,114100,8.116169
2016-10-27,8.29,8.35,8.16,8.19,134000,8.086547
2016-10-26,8.51,8.58,8.18,8.24,123000,8.135915
2016-10-25,8.91,9.00,8.53,8.56,158900,8.451874
2016-10-24,8.73,9.03,8.69,8.95,180400,8.836947
2016-10-21,8.98,9.02,8.66,8.69,127200,8.580231
2016-10-20,8.90,9.11,8.87,9.00,123900,8.886316
2016-10-19,8.78,9.11,8.78,8.97,342100,8.856695
2016-10-18,8.42,8.80,8.42,8.78,174100,8.669094
2016-10-17,8.35,8.42,8.24,8.41,117300,8.303768
2016-10-14,8.36,8.48,8.31,8.35,67100,8.244527
2016-10-13,8.23,8.40,8.22,8.36,94800,8.2544
2016-10-12,8.36,8.44,8.22,8.28,86400,8.17541
2016-10-11,8.22,8.55,8.22,8.41,208100,8.303768
2016-10-07,8.08,8.32,8.04,8.14,116400,8.037179
2016-10-06,7.46,8.18,7.46,8.08,228200,7.977937
2016-10-05,7.55,7.55,7.45,7.45,210600,7.355894
2016-10-04,7.46,7.51,7.41,7.42,104400,7.326274
2016-10-03,7.52,7.53,7.36,7.46,115000,7.365768
2016-09-30,7.54,7.60,7.40,7.50,750300,7.405263
2016-09-29,7.44,7.89,7.36,7.65,348600,7.553368
2016-09-28,7.19,7.49,7.15,7.44,271500,7.346021
2016-09-27,7.24,7.24,7.06,7.17,126800,7.079432
2016-09-26,7.59,7.60,7.29,7.32,137800,7.227537
2016-09-23,7.46,7.69,7.37,7.59,183600,7.494126
2016-09-22,7.41,7.49,7.34,7.48,96300,7.385516
2016-09-21,7.42,7.48,7.35,7.42,87500,7.326274
2016-09-20,7.30,7.32,7.20,7.31,255800,7.217663
2016-09-19,7.61,7.65,7.27,7.36,113900,7.267032
2016-09-16,7.55,7.64,7.50,7.50,601500,7.405263
2016-09-15,7.66,7.70,7.62,7.66,200000,7.444758
2016-09-14,7.53,7.70,7.53,7.65,191400,7.435039
2016-09-13,7.62,7.63,7.46,7.59,169700,7.376725
2016-09-12,7.64,7.79,7.53,7.72,93400,7.503072
2016-09-09,7.87,7.89,7.67,7.72,94800,7.503072
2016-09-08,7.78,8.02,7.69,7.90,109400,7.678014
2016-09-07,7.70,7.78,7.67,7.72,102800,7.503072
2016-09-06,7.89,7.89,7.70,7.77,313000,7.551667
2016-09-02,7.76,7.89,7.74,7.84,96700,7.6197
2016-09-01,7.68,7.71,7.61,7.69,75800,7.473915
2016-08-31,7.55,7.83,7.55,7.72,228400,7.503072
2016-08-30,7.66,7.78,7.60,7.63,140400,7.415601
2016-08-29,7.67,7.67,7.60,7.66,295600,7.444758
2016-08-26,7.58,7.80,7.55,7.71,54800,7.493353
2016-08-25,7.70,7.70,7.58,7.60,102300,7.386444
2016-08-24,7.70,7.78,7.59,7.66,115600,7.444758
2016-08-23,7.63,7.67,7.56,7.61,258500,7.396163
2016-08-22,7.53,7.66,7.44,7.66,57900,7.444758
2016-08-19,7.63,7.69,7.56,7.63,38400,7.415601
2016-08-18,7.69,7.87,7.60,7.67,97400,7.454477
2016-08-17,7.59,7.69,7.49,7.65,118400,7.435039
2016-08-16,7.49,7.65,7.40,7.60,111600,7.386444
2016-08-15,7.29,7.53,7.23,7.53,99100,7.318411
2016-08-12,7.21,7.23,7.14,7.22,83800,7.017122
2016-08-11,7.30,7.34,7.16,7.21,59800,7.007403
2016-08-10,7.39,7.44,7.15,7.24,75100,7.03656
