Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,10.25,10.45,10.24,10.43,196900,10.43
2017-01-23,10.30,10.30,10.17,10.23,211200,10.23
2017-01-20,10.21,10.31,10.20,10.20,161100,10.20
2017-01-19,10.08,10.24,10.04,10.18,220500,10.18
2017-01-18,10.05,10.11,10.00,10.09,160400,10.09
2017-01-17,10.02,10.08,9.99,10.02,373800,10.02
2017-01-16,10.00,10.03,9.95,10.02,115400,10.02
2017-01-13,10.05,10.05,9.92,9.98,197800,9.98
2017-01-12,10.15,10.20,9.99,10.03,292400,10.03
2017-01-11,10.15,10.21,10.12,10.15,234500,10.15
2017-01-10,10.00,10.10,9.94,10.06,267200,10.06
2017-01-09,10.01,10.06,9.96,9.98,135600,9.98
2017-01-06,9.98,10.04,9.93,9.97,149400,9.97
2017-01-05,10.08,10.08,9.98,9.99,155500,9.99
2017-01-04,9.87,10.08,9.87,10.04,241300,10.04
2017-01-03,9.93,9.93,9.81,9.89,151200,9.89
2016-12-30,9.90,9.92,9.86,9.88,135600,9.88
2016-12-29,9.92,9.95,9.80,9.87,140300,9.87
2016-12-28,9.98,9.99,9.84,9.88,112600,9.88
2016-12-23,9.95,10.06,9.91,9.94,161900,9.90
2016-12-22,10.05,10.05,9.90,9.95,158200,9.90996
2016-12-21,9.96,10.05,9.89,10.02,185500,9.979678
2016-12-20,10.07,10.08,9.78,9.91,321800,9.870121
2016-12-19,10.01,10.23,9.97,10.01,287700,9.969719
2016-12-16,9.95,10.01,9.90,10.00,219000,9.959759
2016-12-15,9.95,10.03,9.92,9.95,207700,9.90996
2016-12-14,10.11,10.19,9.86,9.96,632900,9.91992
2016-12-13,10.19,10.22,10.05,10.15,153300,10.109155
2016-12-12,10.00,10.23,10.00,10.13,222600,10.089235
2016-12-09,9.90,10.08,9.86,10.00,301200,9.959759
2016-12-08,9.77,9.92,9.73,9.88,167000,9.840242
2016-12-07,9.75,9.91,9.69,9.80,272800,9.760564
2016-12-06,9.62,9.73,9.54,9.70,151400,9.660966
2016-12-05,9.61,9.62,9.52,9.57,233000,9.531489
2016-12-02,9.52,9.66,9.51,9.63,259600,9.591248
2016-12-01,9.85,9.85,9.46,9.50,288400,9.461771
2016-11-30,9.91,9.91,9.75,9.77,236200,9.730685
2016-11-29,9.87,9.94,9.86,9.89,377100,9.850202
2016-11-28,9.85,9.94,9.79,9.82,234200,9.780483
2016-11-25,9.89,9.89,9.76,9.77,114500,9.690846
2016-11-24,9.85,9.92,9.80,9.81,143500,9.730522
2016-11-23,9.89,9.99,9.77,9.88,255100,9.799954
2016-11-22,9.83,9.98,9.80,9.87,368900,9.790035
2016-11-21,9.75,9.95,9.75,9.86,467600,9.780116
2016-11-18,9.70,9.80,9.61,9.78,460700,9.700764
2016-11-17,9.50,9.67,9.42,9.65,515500,9.571817
2016-11-16,9.29,9.60,9.28,9.46,631300,9.383357
2016-11-15,9.16,9.28,9.11,9.26,539800,9.184977
2016-11-14,9.22,9.29,9.06,9.11,269600,9.036192
2016-11-11,9.21,9.50,9.07,9.10,547700,9.026274
2016-11-10,9.27,9.32,9.03,9.07,239200,8.996516
2016-11-09,8.99,9.31,8.90,9.20,201700,9.125463
2016-11-08,9.04,9.23,8.93,9.20,163900,9.125463
2016-11-07,9.05,9.19,9.01,9.04,206000,8.96676
2016-11-04,9.04,9.11,8.95,9.02,264200,8.946922
2016-11-03,9.17,9.18,9.01,9.05,224600,8.976679
2016-11-02,9.35,9.41,9.16,9.18,219700,9.105626
2016-11-01,9.26,9.44,9.25,9.44,235300,9.363518
2016-10-31,9.35,9.42,9.21,9.22,221900,9.145301
2016-10-28,9.31,9.33,9.16,9.23,215600,9.15522
2016-10-27,9.45,9.45,9.26,9.31,222600,9.234572
2016-10-26,9.61,9.68,9.45,9.48,474800,9.363518
